                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9768	5.67981	6.18701	5.49036	5.49939
Length    0, alignments in bytes  0/ 0:	10.9758	5.6604	6.18506	5.49194	5.49158
Length    0, alignments in bytes  0/ 0:	10.9718	5.61279	6.17261	5.49963	5.48755
Length    0, alignments in bytes  0/ 0:	10.9703	5.49048	6.1803	5.48486	5.49548
Length    1, alignments in bytes  0/ 0:	10.7028	6.20068	6.86438	5.49487	5.48755
Length    1, alignments in bytes  0/ 0:	10.7157	6.1875	6.86572	5.48926	5.50171
Length    1, alignments in bytes  0/ 1:	10.6542	6.17004	6.86572	5.49548	5.49121
Length    1, alignments in bytes  1/ 0:	10.2919	6.17993	6.85583	5.49402	5.09229
Length    2, alignments in bytes  0/ 0:	10.3545	6.86133	6.87903	6.60388	6.87097
Length    2, alignments in bytes  0/ 0:	10.3073	6.8739	6.86401	6.58032	6.87366
Length    2, alignments in bytes  0/ 2:	10.2891	6.86084	6.85779	6.61304	6.86084
Length    2, alignments in bytes  2/ 0:	10.3003	6.85266	6.86426	5.4895	6.18579
Length    3, alignments in bytes  0/ 0:	10.98	6.18433	6.86963	5.50208	6.88293
Length    3, alignments in bytes  0/ 0:	10.9812	6.17566	6.86584	5.49817	6.86304
Length    3, alignments in bytes  0/ 3:	10.9755	6.17798	6.86707	5.48328	6.87415
Length    3, alignments in bytes  3/ 0:	10.9725	6.17664	6.85681	5.49329	8.25293
Length    4, alignments in bytes  0/ 0:	10.9755	8.57422	8.53235	6.29553	8.92358
Length    4, alignments in bytes  0/ 0:	10.973	8.58069	8.52307	6.27747	8.92651
Length    4, alignments in bytes  0/ 4:	10.9724	6.51135	6.86011	6.27246	8.91565
Length    4, alignments in bytes  4/ 0:	10.9698	6.17859	6.85217	5.48999	10.9926
Length    5, alignments in bytes  0/ 0:	10.9728	8.57727	8.53113	7.10193	9.89758
Length    5, alignments in bytes  0/ 0:	10.9734	8.57056	8.52539	7.12146	9.8783
Length    5, alignments in bytes  0/ 5:	10.9713	6.5022	6.8562	6.1792	8.91467
Length    5, alignments in bytes  5/ 0:	10.9729	6.16895	6.85645	6.18079	9.62061
Length    6, alignments in bytes  0/ 0:	10.9716	8.57129	8.52576	7.87524	12.3555
Length    6, alignments in bytes  0/ 0:	10.9727	8.56702	8.53784	7.87244	12.3397
Length    6, alignments in bytes  0/ 6:	10.972	6.50928	6.85779	6.13354	12.3446
Length    6, alignments in bytes  6/ 0:	10.9742	6.17737	6.86011	6.49524	10.3131
Length    7, alignments in bytes  0/ 0:	10.9769	7.54004	7.39368	5.49841	13.4001
Length    7, alignments in bytes  0/ 0:	17.3601	10.3671	11.4677	8.61646	15.8755
Length    7, alignments in bytes  0/ 7:	17.7458	10.7947	11.2068	8.50964	12.6545
Length    7, alignments in bytes  7/ 0:	13.0753	6.17932	7.0658	6.0592	12.2682
Length    8, alignments in bytes  0/ 0:	10.975	8.7688	8.61877	7.7063	6.19495
Length    8, alignments in bytes  0/ 0:	10.9728	8.75391	11.4993	8.58911	6.98877
Length    8, alignments in bytes  0/ 0:	10.9722	9.30359	15.3707	8.43884	10.7706
Length    8, alignments in bytes  0/ 0:	17.4097	10.5785	9.29309	6.30017	6.18164
Length    9, alignments in bytes  0/ 0:	10.9894	8.75427	8.61487	7.13306	6.35657
Length    9, alignments in bytes  0/ 0:	10.9701	8.75623	8.59216	7.10986	6.34302
Length    9, alignments in bytes  0/ 1:	10.9703	9.1062	8.61096	7.5304	7.12146
Length    9, alignments in bytes  1/ 0:	10.9716	8.72864	8.61023	7.4762	14.3464
