                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.7153	7.61393	8.73844	6.90004	11.2497
Length   16, n   16, alignment  1/ 1:	12.6556	7.69322	8.22368	6.85353	11.2849
Length   16, n   16, alignment  1/ 2:	12.7634	7.56024	8.22356	6.91938	11.167
Length   16, n   16, alignment  2/ 1:	12.5332	7.53822	8.22353	6.8596	11.4277
Length    2, n    4, alignment  7/ 2:	13.5334	11.6851	11.0136	10.9808	14.0349
Length    4, n    2, alignment  2/ 7:	11.8391	8.22365	8.239	6.85316	11.0048
Length    2, n    4, alignment  7/ 2:	13.5394	11.6561	11.6503	10.9705	14.2472
Length    4, n    2, alignment  2/ 7:	11.8769	8.22382	8.70766	6.85304	11.1212
Length   16, n   16, alignment  2/ 2:	12.8918	7.72707	8.4354	7.02435	11.4494
Length   16, n   16, alignment  2/ 2:	12.9727	7.73735	8.42912	7.02422	11.4375
Length   16, n   16, alignment  2/ 4:	12.6504	7.72671	8.42911	7.03138	11.3741
Length   16, n   16, alignment  4/ 2:	12.9919	7.72676	8.42938	7.02945	11.4707
Length    4, n    8, alignment  6/ 4:	14.2837	12.1887	12.2403	11.2444	14.5068
Length    8, n    4, alignment  4/ 6:	12.7517	7.72689	8.43482	7.02444	11.5252
Length    4, n    8, alignment  6/ 4:	14.2521	12.1863	12.2347	11.2441	14.3892
Length    8, n    4, alignment  4/ 6:	13.0109	7.73494	8.42919	7.0244	11.6344
Length   16, n   16, alignment  3/ 3:	12.9281	7.73143	8.42929	7.03142	11.3322
Length   16, n   16, alignment  3/ 3:	13.0078	7.72677	8.42908	7.03369	11.6171
Length   16, n   16, alignment  3/ 6:	12.9968	7.72669	8.43428	7.02437	11.3588
Length   16, n   16, alignment  6/ 3:	13.0074	7.72671	8.43383	7.02427	11.4028
Length    8, n   16, alignment  5/ 6:	14.4658	11.2439	11.2392	11.2439	14.5784
Length   16, n    8, alignment  6/ 5:	12.6709	9.99756	9.13157	7.04598	11.432
Length    8, n   16, alignment  5/ 6:	14.1661	11.2391	11.2547	11.2389	14.4018
Length   16, n    8, alignment  6/ 5:	12.6989	8.42927	9.13155	7.03035	11.4806
Length   16, n   16, alignment  4/ 4:	12.9543	7.72666	8.43431	7.04396	11.6628
Length   16, n   16, alignment  4/ 4:	13.0087	7.76642	8.43448	7.02434	11.4844
Length   16, n   16, alignment  4/ 0:	12.8311	7.74682	8.42905	7.02423	11.4807
Length   16, n   16, alignment  0/ 4:	12.9383	7.72666	8.42911	7.03315	11.4725
Length   16, n   32, alignment  4/ 0:	14.9491	10.8052	11.9465	11.9415	14.5638
Length   32, n   16, alignment  0/ 4:	12.7896	7.02451	7.02447	7.0312	11.4816
Length   16, n   32, alignment  4/ 0:	15.0339	10.8144	11.9415	11.946	14.3625
