                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.5963	21.5631	22.7393	21.2421	14.7722
Length    0/   0, alignment  0/ 0:	22.908	21.906	22.4959	20.3286	13.3963
Length    0/   0, alignment  0/ 0:	23.0847	21.5629	22.4962	20.3246	13.6517
Length    0/   0, alignment  0/ 0:	22.8699	21.5626	22.4966	20.471	13.3475
Length    1/   1, alignment  0/ 0:	23.0387	34.6375	23.6394	20.4526	14.5045
Length    1/   1, alignment  0/ 0:	22.9058	21.8728	22.3332	20.4031	14.376
Length    1/   1, alignment  0/ 1:	23.2262	21.6593	22.2163	20.3666	6.87741
Length    1/   1, alignment  1/ 0:	23.1319	21.5625	22.3411	21.056	14.6143
Length    2/   2, alignment  0/ 0:	23.0412	22.3361	22.8701	21.2501	15.0815
Length    2/   2, alignment  0/ 0:	23.079	22.216	23.1064	21.0384	15.0816
Length    2/   2, alignment  0/ 2:	23.1202	22.258	22.8696	21.0359	9.802
Length    2/   2, alignment  2/ 0:	22.8693	22.4317	22.8701	21.0763	15.1336
Length    3/   3, alignment  0/ 0:	23.0928	21.563	22.2161	20.4181	15.4268
Length    3/   3, alignment  0/ 0:	23.085	21.563	22.2161	20.4042	15.2098
Length    3/   3, alignment  0/ 3:	23.0954	21.5628	22.5858	20.3497	11.2054
Length    3/   3, alignment  3/ 0:	22.8694	21.5626	22.2408	20.4388	17.0455
Length    4/   4, alignment  0/ 0:	23.0321	22.2809	23.1031	21.0172	17.1529
Length    4/   4, alignment  0/ 0:	23.0905	22.2581	23.1034	21.0087	17.1702
Length    4/   4, alignment  0/ 4:	23.0282	22.2167	23.1027	21.0367	14.3772
Length    4/   4, alignment  4/ 0:	23.0849	22.2447	23.1354	21.0219	18.4962
Length    5/   5, alignment  0/ 0:	23.7524	22.2815	23.1034	21.0446	18.0461
Length    5/   5, alignment  0/ 0:	23.1578	22.2593	23.1029	21.0452	18.0572
Length    5/   5, alignment  0/ 5:	23.0319	22.2165	23.1029	21.0689	15.72
Length    5/   5, alignment  5/ 0:	23.0275	22.246	23.1218	21.0712	18.5739
Length    6/   6, alignment  0/ 0:	23.149	22.3699	23.1033	21.0283	18.6424
Length    6/   6, alignment  0/ 0:	23.231	22.2569	23.1028	21.0076	18.8751
Length    6/   6, alignment  0/ 6:	23.036	22.2168	23.1027	21.231	17.7958
Length    6/   6, alignment  6/ 0:	23.0679	22.2471	23.1232	21.0718	19.3012
Length    7/   7, alignment  0/ 0:	23.2839	22.2769	23.1035	20.3745	18.485
Length    7/   7, alignment  0/ 0:	23.062	22.2594	23.1029	20.408	18.327
Length    7/   7, alignment  0/ 7:	23.2003	22.2169	23.1236	20.4018	18.4732
