                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.653	5.79749	5.72559	5.63611	5.62793
Length    0, alignments in bytes  0/ 0:	10.6895	5.76196	5.73425	5.62634	5.63708
Length    0, alignments in bytes  0/ 0:	10.6038	5.77893	5.72119	5.62463	5.62488
Length    0, alignments in bytes  0/ 0:	10.6902	5.7843	5.71277	5.62866	5.61963
Length    1, alignments in bytes  0/ 0:	10.9703	6.32959	5.72791	5.62146	5.64343
Length    1, alignments in bytes  0/ 0:	10.6211	5.77271	6.33179	5.64001	5.62561
Length    1, alignments in bytes  0/ 1:	10.4587	5.76672	5.70093	5.62573	5.62952
Length    1, alignments in bytes  1/ 0:	10.0475	5.75793	6.33459	5.61792	5.34668
Length    2, alignments in bytes  0/ 0:	11.812	6.47522	6.48608	7.07788	6.87817
Length    2, alignments in bytes  0/ 0:	10.1584	6.61108	5.90051	6.12402	6.39722
Length    2, alignments in bytes  0/ 2:	9.63892	5.82532	6.26929	6.01135	6.25378
Length    2, alignments in bytes  2/ 0:	9.13367	5.00464	4.99939	5.0061	6.26624
Length    3, alignments in bytes  0/ 0:	9.38391	5.00806	5.04749	5.00281	6.26575
Length    3, alignments in bytes  0/ 0:	9.42126	5.62634	5.02295	5.00281	6.26953
Length    3, alignments in bytes  0/ 3:	9.37354	4.41479	5.00708	4.99841	6.2605
Length    3, alignments in bytes  3/ 0:	9.89612	4.99719	5.00879	4.99329	8.1427
Length    4, alignments in bytes  0/ 0:	9.40723	7.81921	7.81384	5.74622	9.38562
Length    4, alignments in bytes  0/ 0:	9.41479	7.81653	7.80994	5.73926	8.13281
Length    4, alignments in bytes  0/ 4:	9.73621	5.91821	5.97046	5.73376	8.12573
Length    4, alignments in bytes  4/ 0:	9.3728	5.00659	4.99768	5.00366	8.1311
Length    5, alignments in bytes  0/ 0:	9.60278	7.80737	7.81604	6.47742	8.93091
Length    5, alignments in bytes  0/ 0:	10.3188	7.98755	7.99329	6.64172	9.12256
Length    5, alignments in bytes  0/ 5:	10.0065	6.04675	6.1217	5.8136	8.30969
Length    5, alignments in bytes  5/ 0:	9.58667	5.11816	5.1106	5.11707	8.32031
Length    6, alignments in bytes  0/ 0:	9.79309	7.98804	7.99255	7.3324	11.5139
Length    6, alignments in bytes  0/ 0:	9.79797	7.98438	7.98755	7.34363	11.5098
Length    6, alignments in bytes  0/ 6:	9.92773	6.05566	6.09705	5.72009	11.5001
Length    6, alignments in bytes  6/ 0:	9.5874	5.11206	5.11597	5.11108	8.96118
Length    7, alignments in bytes  0/ 0:	9.62158	7.52576	8.63538	7.70251	14.3965
Length    7, alignments in bytes  0/ 0:	14.746	8.58936	8.98242	8.63489	16.2623
Length    7, alignments in bytes  0/ 7:	15.5809	9.07446	9.27979	8.07849	12.5312
Length    7, alignments in bytes  7/ 0:	13.0679	5.13635	5.11597	6.58801	11.6996
Length    8, alignments in bytes  0/ 0:	11.8593	8.19055	8.00671	5.86523	5.14722
Length    8, alignments in bytes  0/ 0:	12.2365	8.98828	8.60791	5.87708	5.37097
Length    8, alignments in bytes  0/ 0:	15.8625	10.2988	8.58069	6.29382	5.52148
Length    8, alignments in bytes  0/ 0:	11.2468	10.3364	9.90967	13.5341	9.49158
Length    9, alignments in bytes  0/ 0:	12.1859	8.80225	8.57971	7.11694	6.42078
Length    9, alignments in bytes  0/ 0:	10.7117	8.82556	8.58643	7.12915	6.38159
Length    9, alignments in bytes  0/ 1:	10.658	9.96558	8.60815	7.71802	6.81982
Length    9, alignments in bytes  1/ 0:	9.90479	8.43542	8.21045	7.15344	14.3982
Length   10, alignments in bytes  0/ 0:	9.98499	10.8115	8.1781	7.5061	7.21484
Length   10, alignments in bytes  0/ 0:	9.80847	8.401	8.17395	7.51379	6.96484
Length   10, alignments in bytes  0/ 2:	10.058	8.41479	8.17126	7.34583	7.64722
Length   10, alignments in bytes  2/ 0:	9.90405	8.3584	8.18958	7.25989	15.7096
Length   11, alignments in bytes  0/ 0:	10.1632	8.50586	8.17114	6.86011	7.75732
Length   11, alignments in bytes  0/ 0:	10.8287	8.37915	8.17017	7.71204	8.07007
Length   11, alignments in bytes  0/ 3:	10.1399	8.52502	8.17346	7.34229	8.46948
Length   11, alignments in bytes  3/ 0:	10.0397	8.39258	8.22717	7.25342	17.0061
Length   12, alignments in bytes  0/ 0:	9.86511	8.53467	8.17957	7.49573	8.70068
Length   12, alignments in bytes  0/ 0:	9.88965	8.38037	8.18115	7.5094	8.69629
Length   12, alignments in bytes  0/ 4:	9.92896	8.0376	8.05469	7.5564	8.9574
Length   12, alignments in bytes  4/ 0:	10.08	8.05823	8.06311	7.25488	11.2079
Length   13, alignments in bytes  0/ 0:	10.0676	8.43335	8.17896	7.50769	11.3656
Length   13, alignments in bytes  0/ 0:	9.97009	8.48999	8.17676	7.51306	11.3911
Length   13, alignments in bytes  0/ 5:	9.89136	8.04199	7.96216	7.55273	10.1261
Length   13, alignments in bytes  5/ 0:	10.0785	8.05347	8.0155	7.25696	12.2495
Length   14, alignments in bytes  0/ 0:	10.0392	8.44324	8.17322	7.49646	12.6062
Length   14, alignments in bytes  0/ 0:	9.99902	8.40002	8.17566	7.51038	12.6466
Length   14, alignments in bytes  0/ 6:	10.0973	8.04407	7.91187	7.55066	11.7773
Length   14, alignments in bytes  6/ 0:	9.97925	8.04822	8.02417	7.26013	12.6053
Length   15, alignments in bytes  0/ 0:	9.90588	7.19702	7.39697	5.24561	11.7865
Length   15, alignments in bytes  0/ 0:	10.0361	7.21118	7.40137	5.24207	11.7758
Length   15, alignments in bytes  0/ 7:	9.96265	8.04553	8.00122	5.22815	11.7672
Length   15, alignments in bytes  7/ 0:	9.95593	8.0354	8.04968	5.22656	13.0874
Length   16, alignments in bytes  0/ 0:	9.80701	8.51782	8.18567	5.24915	6.62634
Length   16, alignments in bytes  7/ 2:	9.80713	8.34705	8.23438	5.60168	13.1033
Length   32, alignments in bytes  0/ 0:	10.2213	6.54773	7.20142	6.91455	9.41064
Length   32, alignments in bytes  6/ 4:	10.4446	6.54492	6.54846	10.9342	15.7103
Length   64, alignments in bytes  0/ 0:	12.4269	7.90491	8.50745	8.00854	14.6504
Length   64, alignments in bytes  5/ 6:	13.9252	13.1959	15.068	11.9185	24.1829
Length  128, alignments in bytes  0/ 0:	15.6198	9.6438	9.60547	13.5076	25.6685
Length  128, alignments in bytes  4/ 0:	17.6562	10.3386	11.7632	14.7966	32.0442
Length  256, alignments in bytes  0/ 0:	22.3256	15.1378	18.0468	18.9166	51.6875
Length  256, alignments in bytes  3/ 2:	24.2097	15.0896	17.5299	19.49	57.6567
Length  512, alignments in bytes  0/ 0:	28.9458	18.8953	20.7692	27.3014	100.646
Length  512, alignments in bytes  2/ 4:	32.2531	21.7119	23.3077	28.8391	144.454
Length 1024, alignments in bytes  0/ 0:	51.7091	28.0931	28.6958	46.6525	223.751
Length 1024, alignments in bytes  1/ 6:	63.8018	40.262	34.7252	46.7552	311.407
Length   16, alignments in bytes  1/ 2:	10.1385	8.60791	8.40491	5.66602	17.2705
Length   16, alignments in bytes  2/ 1:	10.2042	8.64404	8.42358	5.72888	15.3539
Length   16, alignments in bytes  1/ 1:	10.0426	8.53503	8.41748	5.35254	16.0001
Length   16, alignments in bytes  1/ 1:	10.0894	8.54224	8.41492	5.36182	16.5059
Length   32, alignments in bytes  2/ 4:	11.8311	7.37085	8.18738	9.9906	21.0256
Length   32, alignments in bytes  4/ 2:	11.5911	6.70142	6.70984	11.3395	16.5967
Length   32, alignments in bytes  2/ 2:	11.5645	6.41309	6.63098	9.52441	16.5166
Length   32, alignments in bytes  2/ 2:	11.5845	6.70435	6.70288	9.56116	16.1133
Length   64, alignments in bytes  3/ 6:	14.2915	9.6272	9.401	11.0558	29.4025
Length   64, alignments in bytes  6/ 3:	15.4247	11.4205	11.4219	12.3804	19.7532
Length   64, alignments in bytes  3/ 3:	13.9415	8.51855	8.73413	9.4613	20.9691
Length   64, alignments in bytes  3/ 3:	13.9352	8.51587	8.71729	9.45837	24.869
Length  128, alignments in bytes  4/ 0:	17.6578	10.3829	11.8691	14.8685	32.613
Length  128, alignments in bytes  0/ 4:	20.1854	10.9698	10.5527	53.5332	35.4777
Length  128, alignments in bytes  4/ 4:	19.9954	13.1882	12.7395	43.4938	32.5837
