                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	26.2466	23.7481	23.752	21.5665	24.1779
Length    4/   4, alignment  0/ 0, N    2:	24.9243	22.8719	23.1688	21.102	24.2783
Length    4/   4, alignment  4/ 0, N    2:	24.7349	22.8682	23.7938	21.7567	25.8134
Length    8/   8, alignment  0/ 0, N    2:	25.856	22.7301	22.6818	20.6101	23.9391
Length    8/   8, alignment  0/ 0, N    2:	24.1467	22.458	22.7749	20.6139	23.6895
Length   16/  16, alignment  0/ 0, N    2:	23.7984	21.8526	22.0617	20.7848	23.9985
Length   16/  16, alignment  7/ 2, N    2:	25.001	22.3509	22.5619	22.2163	23.6519
Length   16/   4, alignment  0/ 0, N    2:	23.4794	21.8542	22.3893	20.4547	23.8183
Length   16/   4, alignment  7/ 2, N    2:	24.0385	21.8546	21.8541	19.9795	23.1064
Length   32/  32, alignment  0/ 0, N    2:	25.0797	21.8959	22.5178	20.7334	23.9452
Length   32/  32, alignment  6/ 4, N    2:	23.8408	23.8107	23.9513	20.7053	23.8336
Length   32/   8, alignment  0/ 0, N    2:	23.7107	21.2302	23.0026	20.0289	23.4494
Length   32/   8, alignment  6/ 4, N    2:	24.4619	21.457	21.8537	20.0498	23.5516
Length   64/  64, alignment  0/ 0, N    2:	23.7799	22.0343	22.8361	21.2006	24.4028
Length   64/  64, alignment  5/ 6, N    2:	24.4687	22.4077	23.6289	21.2473	24.1547
Length   64/  16, alignment  0/ 0, N    2:	25.3171	21.6129	21.8561	20.636	23.5204
Length   64/  16, alignment  5/ 6, N    2:	23.597	21.541	21.8534	22.0316	23.6304
Length  128/ 128, alignment  0/ 0, N    2:	24.2025	22.4059	23.4469	21.0933	24.4438
Length  128/ 128, alignment  4/ 0, N    2:	24.68	22.4022	23.372	21.0938	24.4443
Length  128/  32, alignment  0/ 0, N    2:	24.3852	22.3529	22.9885	21.116	24.3879
Length  128/  32, alignment  4/ 0, N    2:	24.3445	22.4579	22.9878	21.0731	24.3622
Length  256/ 256, alignment  0/ 0, N    2:	27.5702	22.3511	22.9934	21.1472	27.985
Length  256/ 256, alignment  3/ 2, N    2:	27.3069	22.4867	22.9897	21.075	27.2653
Length  256/  64, alignment  0/ 0, N    2:	24.4653	22.5133	22.9936	21.2269	25.8018
