                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.5311	7.37732	8.03724	7.17309	16.5807
Length   16, n   16, alignment  1/ 1:	13.321	7.64421	7.53831	6.85294	11.206
Length   16, n   16, alignment  1/ 2:	11.7695	7.53833	7.58087	6.99609	12.5671
Length   16, n   16, alignment  2/ 1:	12.1274	7.70888	7.5589	7.05088	11.3113
Length    2, n    4, alignment  7/ 2:	14.1461	11.3146	11.65	11.6688	13.3632
Length    4, n    2, alignment  2/ 7:	10.7213	7.53846	8.22361	6.86554	10.9967
Length    2, n    4, alignment  7/ 2:	13.4516	11.1265	11.669	11.6494	13.5943
Length    4, n    2, alignment  2/ 7:	10.7508	8.22367	8.22359	6.86193	10.915
Length   16, n   16, alignment  2/ 2:	11.7002	7.57625	7.54406	6.96942	11.4053
Length   16, n   16, alignment  2/ 2:	11.8385	7.74545	7.74945	6.86693	11.2428
Length   16, n   16, alignment  2/ 4:	11.8884	7.56027	7.73762	6.95074	11.1289
Length   16, n   16, alignment  4/ 2:	11.9212	7.73171	7.73185	6.8529	11.2995
Length    4, n    8, alignment  6/ 4:	14.3405	12.0123	11.9563	11.6502	14.004
Length    8, n    4, alignment  4/ 6:	11.2986	7.74941	8.37459	6.85315	11.3126
Length    4, n    8, alignment  6/ 4:	14.6222	12.0929	11.9734	11.65	14.1063
Length    8, n    4, alignment  4/ 6:	11.1816	7.72351	8.34861	6.8627	11.3239
Length   16, n   16, alignment  3/ 3:	12.0049	7.72341	7.53831	6.96001	11.4618
Length   16, n   16, alignment  3/ 3:	11.9123	7.72667	7.6008	7.01232	11.4952
Length   16, n   16, alignment  3/ 6:	11.7903	7.68507	7.73166	6.90692	11.3659
Length   16, n   16, alignment  6/ 3:	11.7644	7.74908	7.74939	6.97827	11.3154
Length    8, n   16, alignment  5/ 6:	14.3389	11.0023	10.2665	11.655	13.929
Length   16, n    8, alignment  6/ 5:	11.0823	8.45081	7.71694	6.85298	11.1591
Length    8, n   16, alignment  5/ 6:	14.1248	11.1601	10.425	11.6632	14.0434
Length   16, n    8, alignment  6/ 5:	11.4484	8.29787	7.73191	6.97901	11.3308
Length   16, n   16, alignment  4/ 4:	11.8623	7.53825	7.64867	7.04024	11.4094
Length   16, n   16, alignment  4/ 4:	11.8804	7.64351	7.53826	6.85294	11.2647
Length   16, n   16, alignment  4/ 0:	11.9705	7.71252	7.61973	6.92167	11.383
Length   16, n   16, alignment  0/ 4:	11.8607	7.7267	7.57544	6.85786	11.2737
Length   16, n   32, alignment  4/ 0:	15.2567	10.7592	10.618	11.6501	14.1316
Length   32, n   16, alignment  0/ 4:	11.9165	6.85304	6.87004	6.99177	11.173
Length   16, n   32, alignment  4/ 0:	15.2341	10.6013	10.5302	11.6506	14.4361
Length   32, n   16, alignment  0/ 4:	11.9473	6.94919	6.97224	6.99178	11.3104
Length   16, n   16, alignment  5/ 5:	11.965	7.70851	7.53828	6.97985	11.5514
Length   16, n   16, alignment  5/ 5:	11.8329	7.72673	7.58756	6.90874	11.1947
Length   16, n   16, alignment  5/ 2:	11.8983	7.60422	7.62325	7.02422	11.2862
Length   16, n   16, alignment  2/ 5:	11.9416	7.54767	7.54318	6.88528	11.4078
Length   32, n   64, alignment  3/ 2:	18.8357	10.172	10.5366	12.8338	19.1797
Length   64, n   32, alignment  2/ 3:	10.6251	7.74937	7.66238	7.61589	10.2728
Length   32, n   64, alignment  3/ 2:	18.6841	10.2026	10.5597	12.8443	18.6425
Length   64, n   32, alignment  2/ 3:	10.4665	7.72268	7.74398	7.64914	10.4038
Length   16, n   16, alignment  6/ 6:	11.9675	7.72675	7.73152	6.90899	11.2605
Length   16, n   16, alignment  6/ 6:	11.9307	7.63247	7.72988	6.85289	11.3431
Length   16, n   16, alignment  6/ 4:	11.8144	7.68769	7.53832	6.99064	11.5119
Length   16, n   16, alignment  4/ 6:	11.8434	7.62664	7.58059	6.96332	11.1814
Length   64, n  128, alignment  2/ 4:	16.4541	14.0539	13.8115	16.027	16.3254
Length  128, n   64, alignment  4/ 2:	14.5961	9.1365	10.4966	11.651	12.9087
Length   64, n  128, alignment  2/ 4:	16.3942	14.1129	14.1211	16.0841	16.6769
Length  128, n   64, alignment  4/ 2:	12.7802	10.4945	10.3396	11.6179	13.0691
Length   16, n   16, alignment  7/ 7:	11.9851	7.74388	7.73209	7.02422	11.5801
Length   16, n   16, alignment  7/ 7:	11.6683	7.73161	7.62278	6.85289	11.3334
Length   16, n   16, alignment  7/ 6:	11.8355	7.73255	7.53825	6.85291	11.2584
Length   16, n   16, alignment  6/ 7:	11.9797	7.68732	7.53824	6.85762	11.4295
Length  128, n  256, alignment  1/ 6:	21.4359	17.675	17.3618	24.8174	21.5938
Length  256, n  128, alignment  6/ 1:	16.1706	13.4639	13.1965	19.7861	16.6276
Length  128, n  256, alignment  1/ 6:	22.0072	18.0625	17.4837	24.9095	22.1525
Length  256, n  128, alignment  6/ 1:	15.8324	13.5489	13.2077	19.7027	15.9179
Length    8, n   16, alignment  0/ 0:	14.2923	11.2389	10.4301	11.9431	14.2622
Length   32, n   16, alignment  0/ 0:	12.1789	6.98007	6.88384	6.85816	11.2948
Length    8, n   16, alignment  7/ 2:	14.4149	11.3115	11.4429	11.8034	14.3255
Length   32, n   16, alignment  7/ 2:	11.8668	7.68421	7.675	6.85736	11.1966
Length   16, n   32, alignment  0/ 0:	14.6427	9.93076	9.81911	11.6501	14.1278
Length   64, n   32, alignment  0/ 0:	11.5768	7.72679	7.75509	6.85802	10.2865
Length   16, n   32, alignment  6/ 4:	15.3222	10.7636	10.7738	11.65	14.0025
Length   64, n   32, alignment  6/ 4:	10.6178	7.73148	7.59798	6.91751	10.4212
Length   32, n   64, alignment  0/ 0:	15.6133	10.4605	10.5431	12.1648	15.3111
Length  128, n   64, alignment  0/ 0:	12.0017	8.44631	8.4291	9.63285	12.7479
Length   32, n   64, alignment  5/ 6:	17.4683	11.4943	11.6589	13.4154	17.4009
Length  128, n   64, alignment  5/ 6:	12.5346	10.5562	10.3592	12.5252	12.5584
Length   64, n  128, alignment  0/ 0:	16.0655	12.6807	15.3091	14.9348	15.6877
Length  256, n  128, alignment  0/ 0:	14.8952	10.4752	9.9264	14.1271	16.28
Length   64, n  128, alignment  4/ 0:	16.1941	13.6278	13.4744	16.2519	15.9977
Length  256, n  128, alignment  4/ 0:	15.2806	13.3455	12.2192	18.5972	15.8358
Length  128, n  256, alignment  0/ 0:	19.0974	16.2862	15.663	23.1984	19.2375
Length  512, n  256, alignment  0/ 0:	18.511	15.6194	14.9271	18.9223	18.885
