combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex ,__strnlen_evex_sunil 
1   ,0     ,127      ,128    ,3.246          ,3.23                 ,1.005 
128 ,0     ,127      ,1      ,3.441          ,4.649                ,0.74  
1   ,0     ,127      ,2      ,3.216          ,3.779                ,0.851 
2   ,0     ,127      ,1      ,3.381          ,3.628                ,0.932 
1   ,32    ,127      ,128    ,3.503          ,3.745                ,0.936 
128 ,32    ,127      ,1      ,3.194          ,4.777                ,0.669 
1   ,32    ,127      ,2      ,3.333          ,3.669                ,0.908 
2   ,32    ,127      ,1      ,3.232          ,3.489                ,0.926 
1   ,1     ,127      ,128    ,3.203          ,3.648                ,0.878 
128 ,1     ,127      ,1      ,3.12           ,4.892                ,0.638 
1   ,1     ,127      ,2      ,3.257          ,3.906                ,0.834 
2   ,1     ,127      ,1      ,3.009          ,3.904                ,0.771 
1   ,33    ,127      ,128    ,3.51           ,3.748                ,0.937 
128 ,33    ,127      ,1      ,3.407          ,5.042                ,0.676 
1   ,33    ,127      ,2      ,3.528          ,3.824                ,0.923 
2   ,33    ,127      ,1      ,3.546          ,3.975                ,0.892 
1   ,0     ,127      ,0      ,3.456          ,3.447                ,1.003 
1   ,0     ,127      ,1      ,3.434          ,4.046                ,0.849 
2   ,0     ,127      ,2      ,3.173          ,3.94                 ,0.805 
2   ,0     ,127      ,3      ,3.104          ,3.945                ,0.787 
3   ,0     ,127      ,2      ,3.065          ,3.995                ,0.767 
3   ,0     ,127      ,3      ,3.154          ,4.103                ,0.769 
3   ,0     ,127      ,4      ,3.175          ,3.969                ,0.8   
4   ,0     ,127      ,3      ,3.201          ,4.071                ,0.786 
4   ,0     ,127      ,4      ,3.236          ,4.122                ,0.785 
4   ,0     ,127      ,5      ,3.009          ,4.113                ,0.732 
5   ,0     ,127      ,4      ,3.157          ,4.083                ,0.773 
5   ,0     ,127      ,5      ,3.08           ,4.093                ,0.753 
5   ,0     ,127      ,6      ,3.159          ,4.038                ,0.782 
6   ,0     ,127      ,5      ,3.173          ,4.029                ,0.788 
6   ,0     ,127      ,6      ,3.008          ,4.039                ,0.745 
6   ,0     ,127      ,7      ,3.085          ,3.836                ,0.804 
7   ,0     ,127      ,6      ,3.045          ,4.123                ,0.739 
7   ,0     ,127      ,7      ,3.13           ,3.846                ,0.814 
7   ,0     ,127      ,8      ,3.15           ,4.115                ,0.766 
1   ,1     ,127      ,0      ,3.43           ,3.411                ,1.006 
1   ,1     ,127      ,1      ,3.258          ,3.985                ,0.818 
2   ,2     ,127      ,1      ,3.068          ,3.843                ,0.799 
2   ,2     ,127      ,2      ,3.121          ,3.949                ,0.79  
2   ,2     ,127      ,3      ,2.992          ,4.028                ,0.743 
3   ,3     ,127      ,2      ,3.208          ,4.029                ,0.796 
3   ,3     ,127      ,3      ,3.031          ,3.999                ,0.758 
3   ,3     ,127      ,4      ,3.08           ,3.962                ,0.777 
4   ,4     ,127      ,3      ,3.054          ,3.917                ,0.78  
4   ,4     ,127      ,4      ,3.009          ,4.001                ,0.752 
4   ,4     ,127      ,5      ,3.155          ,3.968                ,0.795 
5   ,5     ,127      ,4      ,3.215          ,3.926                ,0.819 
5   ,5     ,127      ,5      ,3.049          ,3.782                ,0.806 
5   ,5     ,127      ,6      ,3.194          ,3.832                ,0.834 
6   ,6     ,127      ,5      ,3.102          ,3.983                ,0.779 
6   ,6     ,127      ,6      ,3.091          ,3.878                ,0.797 
6   ,6     ,127      ,7      ,3.081          ,4.023                ,0.766 
7   ,7     ,127      ,6      ,3.163          ,4.048                ,0.781 
7   ,7     ,127      ,7      ,3.023          ,3.847                ,0.786 
7   ,7     ,127      ,8      ,3.094          ,3.781                ,0.818 
4   ,0     ,127      ,5000   ,2.99           ,3.378                ,0.885 
4   ,1     ,127      ,5000   ,3.247          ,3.687                ,0.881 
5000,0     ,127      ,4      ,2.997          ,4.776                ,0.628 
5000,1     ,127      ,4      ,3.332          ,4.831                ,0.69  
8   ,0     ,127      ,5000   ,3.142          ,3.512                ,0.895 
8   ,1     ,127      ,5000   ,3.019          ,3.489                ,0.865 
5000,0     ,127      ,8      ,3.137          ,4.837                ,0.649 
5000,1     ,127      ,8      ,3.213          ,4.931                ,0.652 
16  ,0     ,127      ,5000   ,3.105          ,3.435                ,0.904 
16  ,1     ,127      ,5000   ,3.128          ,3.543                ,0.883 
5000,0     ,127      ,16     ,3.157          ,4.903                ,0.644 
5000,1     ,127      ,16     ,3.129          ,4.984                ,0.628 
32  ,0     ,127      ,5000   ,4.728          ,5.305                ,0.891 
32  ,1     ,127      ,5000   ,4.719          ,5.256                ,0.898 
5000,0     ,127      ,32     ,3.339          ,4.786                ,0.698 
5000,1     ,127      ,32     ,3.188          ,5.169                ,0.617 
64  ,0     ,127      ,5000   ,5.432          ,6.507                ,0.835 
64  ,1     ,127      ,5000   ,5.443          ,6.481                ,0.84  
5000,0     ,127      ,64     ,4.561          ,4.941                ,0.923 
5000,1     ,127      ,64     ,4.846          ,6.046                ,0.801 
128 ,0     ,127      ,5000   ,6.79           ,7.723                ,0.879 
128 ,1     ,127      ,5000   ,6.62           ,7.379                ,0.897 
5000,0     ,127      ,128    ,6.141          ,6.676                ,0.92  
5000,1     ,127      ,128    ,6.323          ,6.969                ,0.907 
256 ,0     ,127      ,5000   ,12.043         ,12.361               ,0.974 
256 ,1     ,127      ,5000   ,12.028         ,12.237               ,0.983 
5000,0     ,127      ,256    ,9.287          ,9.071                ,1.024 
5000,1     ,127      ,256    ,9.827          ,10.839               ,0.907 
512 ,0     ,127      ,5000   ,15.585         ,15.855               ,0.983 
512 ,1     ,127      ,5000   ,15.744         ,15.801               ,0.996 
5000,0     ,127      ,512    ,11.82          ,13.028               ,0.907 
5000,1     ,127      ,512    ,13.594         ,15.356               ,0.885 
1024,0     ,127      ,5000   ,22.949         ,23.229               ,0.988 
1024,1     ,127      ,5000   ,22.75          ,22.918               ,0.993 
5000,0     ,127      ,1024   ,18.898         ,20.569               ,0.919 
