combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex512 ,__strnlen_evex512_orig 
1   ,0     ,127      ,128    ,3.53              ,3.233                  ,1.092 
128 ,0     ,127      ,1      ,3.912             ,4.2                    ,0.931 
1   ,0     ,127      ,2      ,3.465             ,3.761                  ,0.921 
2   ,0     ,127      ,1      ,3.337             ,3.683                  ,0.906 
1   ,32    ,127      ,128    ,3.889             ,3.886                  ,1.001 
128 ,32    ,127      ,1      ,3.864             ,4.214                  ,0.917 
1   ,32    ,127      ,2      ,3.99              ,3.822                  ,1.044 
2   ,32    ,127      ,1      ,3.925             ,3.95                   ,0.994 
1   ,1     ,127      ,128    ,3.95              ,3.941                  ,1.002 
128 ,1     ,127      ,1      ,3.764             ,4.098                  ,0.919 
1   ,1     ,127      ,2      ,3.771             ,3.784                  ,0.997 
2   ,1     ,127      ,1      ,3.851             ,4.034                  ,0.955 
1   ,33    ,127      ,128    ,3.921             ,3.962                  ,0.99  
128 ,33    ,127      ,1      ,3.959             ,4.271                  ,0.927 
1   ,33    ,127      ,2      ,3.845             ,3.823                  ,1.006 
2   ,33    ,127      ,1      ,3.897             ,4.092                  ,0.952 
1   ,0     ,127      ,0      ,3.434             ,3.438                  ,0.999 
1   ,0     ,127      ,1      ,3.845             ,3.843                  ,1.001 
2   ,0     ,127      ,2      ,3.868             ,4.009                  ,0.965 
2   ,0     ,127      ,3      ,3.895             ,3.95                   ,0.986 
3   ,0     ,127      ,2      ,3.875             ,3.845                  ,1.008 
3   ,0     ,127      ,3      ,3.88              ,3.891                  ,0.997 
3   ,0     ,127      ,4      ,3.866             ,3.909                  ,0.989 
4   ,0     ,127      ,3      ,3.979             ,4.043                  ,0.984 
4   ,0     ,127      ,4      ,3.86              ,3.888                  ,0.993 
4   ,0     ,127      ,5      ,3.939             ,4.113                  ,0.958 
5   ,0     ,127      ,4      ,3.769             ,3.807                  ,0.99  
5   ,0     ,127      ,5      ,3.846             ,4.086                  ,0.941 
5   ,0     ,127      ,6      ,3.986             ,4.108                  ,0.97  
6   ,0     ,127      ,5      ,3.897             ,3.931                  ,0.991 
6   ,0     ,127      ,6      ,3.903             ,4.083                  ,0.956 
6   ,0     ,127      ,7      ,3.831             ,4.106                  ,0.933 
7   ,0     ,127      ,6      ,3.862             ,3.945                  ,0.979 
7   ,0     ,127      ,7      ,3.925             ,4.038                  ,0.972 
7   ,0     ,127      ,8      ,3.871             ,3.97                   ,0.975 
1   ,1     ,127      ,0      ,3.408             ,3.411                  ,0.999 
1   ,1     ,127      ,1      ,3.833             ,3.762                  ,1.019 
2   ,2     ,127      ,1      ,3.934             ,3.91                   ,1.006 
2   ,2     ,127      ,2      ,3.904             ,3.826                  ,1.02  
2   ,2     ,127      ,3      ,3.957             ,3.936                  ,1.005 
3   ,3     ,127      ,2      ,3.93              ,3.706                  ,1.061 
3   ,3     ,127      ,3      ,3.862             ,3.927                  ,0.984 
3   ,3     ,127      ,4      ,3.99              ,3.931                  ,1.015 
4   ,4     ,127      ,3      ,3.796             ,3.791                  ,1.001 
4   ,4     ,127      ,4      ,3.908             ,3.909                  ,1.0   
4   ,4     ,127      ,5      ,3.862             ,3.947                  ,0.979 
5   ,5     ,127      ,4      ,3.841             ,3.978                  ,0.965 
5   ,5     ,127      ,5      ,3.92              ,3.98                   ,0.985 
5   ,5     ,127      ,6      ,3.857             ,3.902                  ,0.988 
6   ,6     ,127      ,5      ,3.976             ,3.87                   ,1.027 
6   ,6     ,127      ,6      ,3.881             ,3.794                  ,1.023 
