size, align0, align1, ret, New Time/Old Time
   1,      1,      1,   0,             1.207
   1,      1,      1,   1,             1.197
   1,      1,      1,  -1,               1.2
   2,      2,      2,   0,             0.856
   2,      2,      2,   1,              0.75
   2,      2,      2,  -1,             0.751
   3,      3,      3,   0,             0.798
   3,      3,      3,   1,             0.664
   3,      3,      3,  -1,             0.649
   4,      4,      4,   0,             0.624
   4,      4,      4,   1,             0.747
   4,      4,      4,  -1,             0.757
   5,      5,      5,   0,             0.602
   5,      5,      5,   1,             0.641
   5,      5,      5,  -1,             0.658
   6,      6,      6,   0,              0.62
   6,      6,      6,   1,             0.668
   6,      6,      6,  -1,             0.648
   7,      7,      7,   0,             0.552
   7,      7,      7,   1,             0.596
   7,      7,      7,  -1,             0.595
   8,      8,      8,   0,             0.555
   8,      8,      8,   1,             0.692
   8,      8,      8,  -1,             0.711
   9,      9,      9,   0,             0.547
   9,      9,      9,   1,             0.583
   9,      9,      9,  -1,             0.598
  10,     10,     10,   0,             0.592
  10,     10,     10,   1,               0.6
  10,     10,     10,  -1,               0.6
  11,     11,     11,   0,             0.507
  11,     11,     11,   1,             0.535
  11,     11,     11,  -1,             0.543
  12,     12,     12,   0,             0.534
  12,     12,     12,   1,             0.582
  12,     12,     12,  -1,             0.599
  13,     13,     13,   0,             0.501
  13,     13,     13,   1,             0.537
  13,     13,     13,  -1,             0.541
  14,     14,     14,   0,             0.517
  14,     14,     14,   1,             0.534
  14,     14,     14,  -1,             0.539
  15,     15,     15,   0,             0.455
  15,     15,     15,   1,             0.493
  15,     15,     15,  -1,             0.495
  16,     16,     16,   0,             0.501
  16,     16,     16,   1,             0.599
  16,     16,     16,  -1,             0.597
  17,     17,     17,   0,             0.591
  17,     17,     17,   1,             0.672
  17,     17,     17,  -1,             0.676
  18,     18,     18,   0,             0.664
  18,     18,     18,   1,             0.734
  18,     18,     18,  -1,             0.741
  19,     19,     19,   0,              0.58
  19,     19,     19,   1,             0.625
  19,     19,     19,  -1,             0.644
  20,     20,     20,   0,             0.591
  20,     20,     20,   1,              0.69
  20,     20,     20,  -1,             0.698
  21,     21,     21,   0,             0.589
  21,     21,     21,   1,             0.633
  21,     21,     21,  -1,             0.641
  22,     22,     22,   0,              0.61
  22,     22,     22,   1,             0.643
  22,     22,     22,  -1,             0.645
  23,     23,     23,   0,             0.549
  23,     23,     23,   1,             0.594
  23,     23,     23,  -1,             0.588
  24,     24,     24,   0,             0.639
  24,     24,     24,   1,             0.704
  24,     24,     24,  -1,             0.712
  25,     25,     25,   0,             0.613
  25,     25,     25,   1,             0.664
  25,     25,     25,  -1,             0.654
  26,     26,     26,   0,             0.648
  26,     26,     26,   1,             0.678
  26,     26,     26,  -1,              0.67
  27,     27,     27,   0,              0.55
  27,     27,     27,   1,             0.596
  27,     27,     27,  -1,             0.587
  28,     28,     28,   0,             0.639
  28,     28,     28,   1,             0.676
  28,     28,     28,  -1,             0.697
  29,     29,     29,   0,             0.581
  29,     29,     29,   1,              0.63
  29,     29,     29,  -1,             0.626
  30,     30,     30,   0,             0.598
  30,     30,     30,   1,             0.635
  30,     30,     30,  -1,             0.631
  31,     31,     31,   0,             0.532
  31,     31,     31,   1,             0.579
  31,     31,     31,  -1,             0.577
   1,      0,      0,   0,             1.198
   1,      0,      0,   1,             1.198
   1,      0,      0,  -1,               1.2
   1,   4095,      0,   0,             1.199
   1,   4095,      0,   1,             1.199
   1,   4095,      0,  -1,             1.199
   2,      0,      0,   0,             0.855
   2,      0,      0,   1,              0.75
   2,      0,      0,  -1,             0.748
   2,   4094,      0,   0,             0.857
   2,   4094,      0,   1,             0.749
   2,   4094,      0,  -1,             0.747
   3,      0,      0,   0,              0.77
   3,      0,      0,   1,             0.647
   3,      0,      0,  -1,              0.66
   3,   4093,      0,   0,             0.784
   3,   4093,      0,   1,             0.665
   3,   4093,      0,  -1,             0.667
   4,      0,      0,   0,             0.624
   4,      0,      0,   1,             0.705
   4,      0,      0,  -1,             0.706
   4,   4092,      0,   0,             0.623
   4,   4092,      0,   1,             0.756
   4,   4092,      0,  -1,             0.736
   5,      0,      0,   0,             0.616
   5,      0,      0,   1,             0.671
   5,      0,      0,  -1,             0.655
   5,   4091,      0,   0,             0.599
   5,   4091,      0,   1,              0.66
   5,   4091,      0,  -1,             0.663
   6,      0,      0,   0,             0.617
   6,      0,      0,   1,              0.65
   6,      0,      0,  -1,             0.665
   6,   4090,      0,   0,             0.609
   6,   4090,      0,   1,             0.656
   6,   4090,      0,  -1,             0.663
   7,      0,      0,   0,             0.542
   7,      0,      0,   1,             0.621
   7,      0,      0,  -1,              0.61
   7,   4089,      0,   0,             0.556
   7,   4089,      0,   1,             0.583
   7,   4089,      0,  -1,             0.594
   8,      0,      0,   0,             0.555
   8,      0,      0,   1,             0.667
   8,      0,      0,  -1,             0.667
   8,   4088,      0,   0,             0.555
   8,   4088,      0,   1,             0.721
   8,   4088,      0,  -1,             0.708
   9,      0,      0,   0,             0.553
   9,      0,      0,   1,             0.594
   9,      0,      0,  -1,              0.59
   9,   4087,      0,   0,             0.543
   9,   4087,      0,   1,             0.584
   9,   4087,      0,  -1,             0.595
  10,      0,      0,   0,             0.593
  10,      0,      0,   1,               0.6
  10,      0,      0,  -1,               0.6
  10,   4086,      0,   0,             0.586
  10,   4086,      0,   1,               0.6
  10,   4086,      0,  -1,             0.599
  11,      0,      0,   0,             0.522
  11,      0,      0,   1,              0.53
  11,      0,      0,  -1,             0.538
  11,   4085,      0,   0,             0.506
  11,   4085,      0,   1,             0.544
  11,   4085,      0,  -1,             0.544
  12,      0,      0,   0,             0.497
  12,      0,      0,   1,             0.569
  12,      0,      0,  -1,             0.586
  12,   4084,      0,   0,             0.538
  12,   4084,      0,   1,             0.598
  12,   4084,      0,  -1,               0.6
  13,      0,      0,   0,             0.503
  13,      0,      0,   1,             0.542
  13,      0,      0,  -1,             0.538
  13,   4083,      0,   0,             0.503
  13,   4083,      0,   1,              0.54
  13,   4083,      0,  -1,             0.542
  14,      0,      0,   0,             0.521
  14,      0,      0,   1,             0.542
  14,      0,      0,  -1,             0.535
  14,   4082,      0,   0,             0.512
  14,   4082,      0,   1,             0.536
  14,   4082,      0,  -1,             0.529
  15,      0,      0,   0,             0.461
  15,      0,      0,   1,             0.492
  15,      0,      0,  -1,             0.498
  15,   4081,      0,   0,             0.466
  15,   4081,      0,   1,               0.5
  15,   4081,      0,  -1,             0.494
  16,      0,      0,   0,             0.501
  16,      0,      0,   1,               0.6
  16,      0,      0,  -1,               0.6
  16,   4080,      0,   0,               0.5
  16,   4080,      0,   1,               0.6
  16,   4080,      0,  -1,             0.599
  17,      0,      0,   0,             0.599
  17,      0,      0,   1,             0.698
  17,      0,      0,  -1,             0.679
  17,   4079,      0,   0,             0.599
  17,   4079,      0,   1,              0.69
  17,   4079,      0,  -1,             0.694
  18,      0,      0,   0,             0.667
  18,      0,      0,   1,             0.726
  18,      0,      0,  -1,             0.723
  18,   4078,      0,   0,             0.667
  18,   4078,      0,   1,             0.739
  18,   4078,      0,  -1,             0.742
  19,      0,      0,   0,             0.578
  19,      0,      0,   1,              0.65
  19,      0,      0,  -1,             0.649
  19,   4077,      0,   0,             0.584
  19,   4077,      0,   1,             0.636
  19,   4077,      0,  -1,             0.649
  20,      0,      0,   0,             0.599
  20,      0,      0,   1,             0.685
  20,      0,      0,  -1,               0.7
  20,   4076,      0,   0,               0.6
  20,   4076,      0,   1,             0.698
  20,   4076,      0,  -1,             0.699
  21,      0,      0,   0,             0.592
  21,      0,      0,   1,             0.641
  21,      0,      0,  -1,             0.656
  21,   4075,      0,   0,             0.594
  21,   4075,      0,   1,             0.666
  21,   4075,      0,  -1,             0.639
  22,      0,      0,   0,             0.614
  22,      0,      0,   1,             0.649
  22,      0,      0,  -1,             0.648
  22,   4074,      0,   0,             0.612
  22,   4074,      0,   1,             0.654
  22,   4074,      0,  -1,             0.649
  23,      0,      0,   0,             0.548
  23,      0,      0,   1,             0.588
  23,      0,      0,  -1,             0.597
  23,   4073,      0,   0,              0.56
  23,   4073,      0,   1,             0.601
  23,   4073,      0,  -1,             0.591
  24,      0,      0,   0,             0.634
  24,      0,      0,   1,             0.696
  24,      0,      0,  -1,             0.681
  24,   4072,      0,   0,             0.577
  24,   4072,      0,   1,              0.67
  24,   4072,      0,  -1,             0.663
  25,      0,      0,   0,             0.619
  25,      0,      0,   1,             0.647
  25,      0,      0,  -1,             0.643
  25,   4071,      0,   0,             0.585
  25,   4071,      0,   1,              0.65
  25,   4071,      0,  -1,             0.628
  26,      0,      0,   0,             0.645
  26,      0,      0,   1,             0.674
  26,      0,      0,  -1,             0.668
  26,   4070,      0,   0,             0.638
  26,   4070,      0,   1,             0.673
  26,   4070,      0,  -1,             0.679
  27,      0,      0,   0,             0.543
  27,      0,      0,   1,             0.591
  27,      0,      0,  -1,             0.601
  27,   4069,      0,   0,             0.562
  27,   4069,      0,   1,             0.602
  27,   4069,      0,  -1,             0.588
  28,      0,      0,   0,             0.651
  28,      0,      0,   1,             0.679
  28,      0,      0,  -1,             0.697
  28,   4068,      0,   0,             0.645
  28,   4068,      0,   1,             0.695
  28,   4068,      0,  -1,             0.698
  29,      0,      0,   0,             0.568
  29,      0,      0,   1,             0.628
  29,      0,      0,  -1,             0.604
  29,   4067,      0,   0,             0.576
  29,   4067,      0,   1,             0.623
  29,   4067,      0,  -1,             0.626
  30,      0,      0,   0,             0.596
  30,      0,      0,   1,             0.635
  30,      0,      0,  -1,             0.628
  30,   4066,      0,   0,             0.597
  30,   4066,      0,   1,              0.63
  30,   4066,      0,  -1,             0.625
  31,      0,      0,   0,             0.524
  31,      0,      0,   1,             0.578
  31,      0,      0,  -1,             0.581
  31,   4065,      0,   0,             0.538
  31,   4065,      0,   1,             0.573
  31,   4065,      0,  -1,             0.578
  33,      0,      0,   0,             0.437
  33,      0,      0,   1,             0.563
  33,      0,      0,  -1,             0.561
  33,     33,      0,   0,             0.542
  33,      0,     33,   1,             0.532
  33,     33,     33,  -1,             0.642
  65,      0,      0,   0,             0.556
  65,      0,      0,   1,             0.666
  65,      0,      0,  -1,             0.675
  65,     65,      0,   0,             0.541
  65,      0,     65,   1,             0.637
  65,     65,     65,  -1,             0.619
  97,      0,      0,   0,             0.607
  97,      0,      0,   1,             0.727
  97,      0,      0,  -1,             0.723
  97,     97,      0,   0,             0.625
  97,      0,     97,   1,             0.742
  97,     97,     97,  -1,             0.612
 129,      0,      0,   0,             0.637
 129,      0,      0,   1,             0.746
 129,      0,      0,  -1,             0.753
 129,    129,      0,   0,             0.672
 129,      0,    129,   1,             0.814
 129,    129,    129,  -1,             0.669
 161,      0,      0,   0,             0.684
 161,      0,      0,   1,             0.771
 161,      0,      0,  -1,             0.783
 161,    161,      0,   0,             0.681
 161,      0,    161,   1,             0.822
 161,    161,    161,  -1,             0.651
 193,      0,      0,   0,             0.687
 193,      0,      0,   1,             0.782
 193,      0,      0,  -1,             0.786
 193,    193,      0,   0,             0.624
 193,      0,    193,   1,              0.78
 193,    193,    193,  -1,             0.648
 225,      0,      0,   0,             0.705
 225,      0,      0,   1,             0.773
 225,      0,      0,  -1,             0.778
 225,    225,      0,   0,             0.624
 225,      0,    225,   1,              0.81
 225,    225,    225,  -1,              0.66
 257,      0,      0,   0,             0.702
 257,      0,      0,   1,             0.773
 257,      0,      0,  -1,             0.771
 257,    257,      0,   0,             0.616
 257,      0,    257,   1,             0.763
 257,    257,    257,  -1,             0.622
 289,      0,      0,   0,             0.711
 289,      0,      0,   1,             0.786
 289,      0,      0,  -1,             0.777
 289,    289,      0,   0,             0.608
 289,      0,    289,   1,             0.789
 289,    289,    289,  -1,             0.624
 321,      0,      0,   0,             0.711
 321,      0,      0,   1,             0.772
 321,      0,      0,  -1,             0.762
 321,    321,      0,   0,             0.625
 321,      0,    321,   1,             0.801
 321,    321,    321,  -1,             0.587
 353,      0,      0,   0,             0.724
 353,      0,      0,   1,             0.775
 353,      0,      0,  -1,             0.777
 353,    353,      0,   0,             0.637
 353,      0,    353,   1,             0.816
 353,    353,    353,  -1,             0.606
  32,      7,      2,   0,             0.399
  32,      0,      0,   0,             0.427
  32,      0,      0,   1,             0.498
  32,      0,      0,  -1,             0.499
   4,      1,      0,   0,             0.623
   4,      0,      1,   1,             0.752
   4,      1,      1,  -1,             0.779
  32,      1,      0,   0,             0.524
  32,      0,      1,   1,             0.466
  32,      1,      1,  -1,             0.533
  64,      6,      4,   0,             0.376
  64,      0,      0,   0,             0.464
  64,      0,      0,   1,             0.641
  64,      0,      0,  -1,             0.642
   8,      2,      0,   0,             0.555
   8,      0,      2,   1,             0.718
   8,      2,      2,  -1,             0.709
  64,      2,      0,   0,             0.394
  64,      0,      2,   1,             0.639
  64,      2,      2,  -1,             0.477
 128,      5,      6,   0,             0.488
 128,      0,      0,   0,             0.547
 128,      0,      0,   1,             0.678
 128,      0,      0,  -1,              0.67
  16,      3,      0,   0,             0.499
  16,      0,      3,   1,             0.599
  16,      3,      3,  -1,             0.601
 128,      3,      0,   0,             0.498
 128,      0,      3,   1,             0.684
 128,      3,      3,  -1,             0.518
 256,      4,      8,   0,             0.596
 256,      0,      0,   0,             0.678
 256,      0,      0,   1,             0.763
 256,      0,      0,  -1,             0.763
  32,      4,      0,   0,             0.432
  32,      0,      4,   1,             0.461
  32,      4,      4,  -1,             0.465
 256,      4,      0,   0,             0.593
 256,      0,      4,   1,             0.784
 256,      4,      4,  -1,              0.62
 512,      3,     10,   0,             0.631
 512,      0,      0,   0,             0.714
 512,      0,      0,   1,             0.762
 512,      0,      0,  -1,             0.763
  64,      5,      0,   0,             0.371
  64,      0,      5,   1,             0.625
  64,      5,      5,  -1,             0.446
 512,      5,      0,   0,             0.611
 512,      0,      5,   1,             0.819
 512,      5,      5,  -1,             0.626
1024,      2,     12,   0,              0.77
1024,      0,      0,   0,             0.736
1024,      0,      0,   1,             0.765
1024,      0,      0,  -1,             0.768
 128,      6,      0,   0,             0.477
 128,      0,      6,   1,             0.663
 128,      6,      6,  -1,             0.511
1024,      6,      0,   0,             0.741
1024,      0,      6,   1,             0.891
1024,      6,      6,  -1,             0.664
2048,      1,     14,   0,             0.785
2048,      0,      0,   0,             0.694
2048,      0,      0,   1,             0.698
2048,      0,      0,  -1,             0.701
 256,      7,      0,   0,             0.549
 256,      0,      7,   1,             0.773
 256,      7,      7,  -1,             0.576
2048,      7,      0,   0,             0.794
2048,      0,      7,   1,             0.744
2048,      7,      7,  -1,             0.707
4096,      0,     16,   0,             0.731
4096,      0,      0,   0,             0.732
4096,      0,      0,   1,             0.741
4096,      0,      0,  -1,              0.74
 512,      8,      0,   0,             0.617
 512,      0,      8,   1,             0.822
 512,      8,      8,  -1,             0.615
4096,      8,      0,   0,             0.885
4096,      0,      8,   1,             0.835
4096,      8,      8,  -1,             0.735
1024,      9,      0,   0,             0.735
1024,      0,      9,   1,             0.852
1024,      9,      9,  -1,             0.656
  16,      1,      2,   0,               0.5
  16,      1,      2,   1,             0.599
  16,      1,      2,  -1,             0.599
  32,      2,      4,   0,             0.466
  32,      2,      4,   1,             0.497
  32,      2,      4,  -1,             0.495
  64,      3,      6,   0,             0.377
  64,      3,      6,   1,             0.447
  64,      3,      6,  -1,              0.45
 128,      4,      8,   0,             0.491
 128,      4,      8,   1,             0.494
 128,      4,      8,  -1,             0.499
 256,      5,     10,   0,             0.571
 256,      5,     10,   1,             0.542
 256,      5,     10,  -1,             0.543
 512,      6,     12,   0,             0.619
 512,      6,     12,   1,              0.62
 512,      6,     12,  -1,              0.62
1024,      7,     14,   0,             0.735
1024,      7,     14,   1,             0.741
1024,      7,     14,  -1,             0.741
2048,      8,     16,   0,             0.786
2048,      8,     16,   1,             0.801
2048,      8,     16,  -1,             0.803
4096,      9,     18,   0,             0.887
4096,      9,     18,   1,             0.874
4096,      9,     18,  -1,             0.871
