length,align0,align1,dst>src,New Time/Old Time
65543,0,0,0,0.981
65543,0,0,1,0.981
65551,0,3,0,1.012
65551,0,3,1,1.013
65567,3,0,0,1.019
65567,3,0,1,1.02
65599,3,5,0,1.058
65599,3,5,1,1.061
65536,0,127,0,1.046
65536,0,127,1,1.046
65536,0,255,0,1.071
65536,0,255,1,1.071
65536,0,256,0,0.983
65536,0,256,1,0.984
65536,0,4064,0,1.017
65536,0,4064,1,1.018
131079,0,0,0,0.981
131079,0,0,1,0.981
131087,0,3,0,1.017
131087,0,3,1,1.017
131103,3,0,0,1.022
131103,3,0,1,1.022
131135,3,5,0,1.064
131135,3,5,1,1.065
131072,0,127,0,1.05
131072,0,127,1,1.05
131072,0,255,0,1.074
131072,0,255,1,1.074
131072,0,256,0,0.984
131072,0,256,1,0.984
131072,0,4064,0,1.018
131072,0,4064,1,1.019
262151,0,0,0,0.985
262151,0,0,1,0.985
262159,0,3,0,1.026
262159,0,3,1,1.026
262175,3,0,0,1.03
262175,3,0,1,1.03
262207,3,5,0,1.07
262207,3,5,1,1.07
262144,0,127,0,1.057
262144,0,127,1,1.057
262144,0,255,0,1.079
262144,0,255,1,1.078
262144,0,256,0,0.988
262144,0,256,1,0.988
262144,0,4064,0,1.02
262144,0,4064,1,1.02
524295,0,0,0,0.692
524295,0,0,1,0.692
524303,0,3,0,0.736
524303,0,3,1,0.737
524319,3,0,0,0.758
524319,3,0,1,0.759
524351,3,5,0,0.759
524351,3,5,1,0.759
524288,0,127,0,1.057
524288,0,127,1,1.058
524288,0,255,0,1.079
524288,0,255,1,1.079
524288,0,256,0,0.988
524288,0,256,1,0.988
524288,0,4064,0,1.02
524288,0,4064,1,1.02
1048583,0,0,0,0.948
1048583,0,0,1,0.948
1048591,0,3,0,0.735
1048591,0,3,1,0.735
1048607,3,0,0,0.757
1048607,3,0,1,0.758
1048639,3,5,0,0.758
1048639,3,5,1,0.758
1048576,0,127,0,0.761
1048576,0,127,1,0.762
1048576,0,255,0,0.751
1048576,0,255,1,0.751
1048576,0,256,0,0.93
1048576,0,256,1,0.93
1048576,0,4064,0,0.93
1048576,0,4064,1,0.93
2097159,0,0,0,0.928
2097159,0,0,1,0.931
2097167,0,3,0,0.735
2097167,0,3,1,0.734
2097183,3,0,0,0.759
2097183,3,0,1,0.759
2097215,3,5,0,0.758
2097215,3,5,1,0.757
2097152,0,127,0,0.77
2097152,0,127,1,0.77
2097152,0,255,0,0.745
2097152,0,255,1,0.745
2097152,0,256,0,0.924
2097152,0,256,1,0.925
2097152,0,4064,0,0.926
2097152,0,4064,1,0.927
4194311,0,0,0,0.894
4194311,0,0,1,0.896
4194319,0,3,0,0.752
4194319,0,3,1,0.751
4194335,3,0,0,0.82
4194335,3,0,1,0.821
4194367,3,5,0,0.788
4194367,3,5,1,0.789
4194304,0,127,0,0.801
4194304,0,127,1,0.801
4194304,0,255,0,0.802
4194304,0,255,1,0.804
4194304,0,256,0,0.873
4194304,0,256,1,0.868
4194304,0,4064,0,0.955
4194304,0,4064,1,0.954
8388615,0,0,0,0.885
8388615,0,0,1,0.886
8388623,0,3,0,0.769
8388623,0,3,1,0.769
8388639,3,0,0,0.87
8388639,3,0,1,0.87
8388671,3,5,0,0.811
8388671,3,5,1,0.814
8388608,0,127,0,0.83
8388608,0,127,1,0.83
8388608,0,255,0,0.857
8388608,0,255,1,0.857
8388608,0,256,0,0.851
8388608,0,256,1,0.848
8388608,0,4064,0,0.981
8388608,0,4064,1,0.981
16777223,0,0,0,0.885
16777223,0,0,1,0.886
16777231,0,3,0,0.769
16777231,0,3,1,0.768
16777247,3,0,0,0.87
16777247,3,0,1,0.87
16777279,3,5,0,0.811
16777279,3,5,1,0.814
16777216,0,127,0,0.831
16777216,0,127,1,0.83
16777216,0,255,0,0.857
16777216,0,255,1,0.857
16777216,0,256,0,0.852
16777216,0,256,1,0.848
16777216,0,4064,0,0.98
16777216,0,4064,1,0.981
33554439,0,0,0,0.885
33554439,0,0,1,0.886
33554447,0,3,0,0.768
33554447,0,3,1,0.768
33554463,3,0,0,0.871
33554463,3,0,1,0.87
33554495,3,5,0,0.811
33554495,3,5,1,0.814
33554432,0,127,0,0.831
33554432,0,127,1,0.831
33554432,0,255,0,0.858
33554432,0,255,1,0.857
33554432,0,256,0,0.852
33554432,0,256,1,0.848
33554432,0,4064,0,0.98
33554432,0,4064,1,0.981
