Results For: memcpy
length,align1,align2,dst > src, New Time / Old Time
1,0,0,0,2.099
1,0,0,1,2.099
1,32,0,0,2.103
1,32,0,1,2.103
1,0,32,0,2.099
1,0,32,1,2.098
1,32,32,0,2.098
1,32,32,1,2.098
1,2048,0,0,2.098
1,2048,0,1,2.098
2,0,0,0,1.135
2,0,0,1,1.136
2,1,0,0,1.139
2,1,0,1,1.139
2,33,0,0,1.165
2,33,0,1,1.139
2,0,1,0,1.136
2,0,1,1,1.136
2,0,33,0,1.136
2,0,33,1,1.136
2,1,1,0,1.136
2,1,1,1,1.136
2,33,33,0,1.136
2,33,33,1,1.136
2,2048,0,0,1.136
2,2048,0,1,1.136
2,2049,0,0,1.191
2,2049,0,1,1.139
2,2048,1,0,1.136
2,2048,1,1,1.136
2,2049,1,0,1.136
2,2049,1,1,1.136
4,0,0,0,1.074
4,0,0,1,0.962
4,2,0,0,0.973
4,2,0,1,0.989
4,34,0,0,0.991
4,34,0,1,0.991
4,0,2,0,0.962
4,0,2,1,0.962
4,0,34,0,0.962
4,0,34,1,0.962
4,2,2,0,0.962
4,2,2,1,0.962
4,34,34,0,0.962
4,34,34,1,0.962
4,2048,0,0,0.962
4,2048,0,1,0.962
4,2050,0,0,0.977
4,2050,0,1,0.979
4,2048,2,0,0.962
4,2048,2,1,0.962
4,2050,2,0,0.962
4,2050,2,1,0.962
8,0,0,0,0.961
8,0,0,1,0.962
8,3,0,0,1.0
8,3,0,1,1.0
8,35,0,0,1.0
8,35,0,1,1.0
8,0,3,0,0.962
8,0,3,1,0.962
8,0,35,0,0.962
8,0,35,1,0.962
8,3,3,0,0.962
8,3,3,1,0.962
8,35,35,0,0.962
8,35,35,1,0.962
8,2048,0,0,0.962
8,2048,0,1,0.962
8,2051,0,0,1.0
8,2051,0,1,1.0
8,2048,3,0,0.962
8,2048,3,1,0.962
8,2051,3,0,0.962
8,2051,3,1,0.962
16,0,0,0,0.798
16,0,0,1,0.799
16,4,0,0,0.8
16,4,0,1,0.801
16,36,0,0,0.801
16,36,0,1,0.8
16,0,4,0,0.798
16,0,4,1,0.798
16,0,36,0,0.798
16,0,36,1,0.798
16,4,4,0,0.798
16,4,4,1,0.798
16,36,36,0,0.798
16,36,36,1,0.798
16,2048,0,0,0.798
16,2048,0,1,0.799
16,2052,0,0,0.8
16,2052,0,1,0.8
16,2048,4,0,0.798
16,2048,4,1,0.798
16,2052,4,0,0.798
16,2052,4,1,0.798
32,0,0,0,0.471
32,0,0,1,0.471
32,5,0,0,0.471
32,5,0,1,0.471
32,37,0,0,0.961
32,37,0,1,0.961
32,0,5,0,0.471
32,0,5,1,0.471
32,0,37,0,1.021
32,0,37,1,1.021
32,5,5,0,0.471
32,5,5,1,0.471
32,37,37,0,1.011
32,37,37,1,1.011
32,2048,0,0,0.471
32,2048,0,1,0.471
32,2053,0,0,0.471
32,2053,0,1,0.471
32,2048,5,0,0.471
32,2048,5,1,0.471
32,2053,5,0,0.471
32,2053,5,1,0.471
64,0,0,0,1.0
64,0,0,1,1.0
64,6,0,0,0.862
64,6,0,1,0.862
64,38,0,0,0.912
64,38,0,1,0.912
64,0,6,0,0.896
64,0,6,1,0.896
64,0,38,0,0.906
64,0,38,1,0.906
64,6,6,0,0.91
64,6,6,1,0.91
64,38,38,0,0.883
64,38,38,1,0.883
64,2048,0,0,1.0
64,2048,0,1,1.0
64,2054,0,0,0.862
64,2054,0,1,0.862
64,2048,6,0,0.887
64,2048,6,1,0.887
64,2054,6,0,0.887
64,2054,6,1,0.887
128,0,0,0,0.857
128,0,0,1,0.857
128,7,0,0,0.875
128,7,0,1,0.875
128,39,0,0,0.892
128,39,0,1,0.892
128,0,7,0,1.183
128,0,7,1,1.183
128,0,39,0,1.113
128,0,39,1,1.113
128,7,7,0,0.692
128,7,7,1,0.692
128,39,39,0,1.104
128,39,39,1,1.104
128,2048,0,0,0.857
128,2048,0,1,0.857
128,2055,0,0,0.875
128,2055,0,1,0.875
128,2048,7,0,0.959
128,2048,7,1,0.959
128,2055,7,0,1.036
128,2055,7,1,1.036
256,0,0,0,0.889
256,0,0,1,0.889
256,8,0,0,0.966
256,8,0,1,0.966
256,40,0,0,0.983
256,40,0,1,0.983
256,0,8,0,1.29
256,0,8,1,1.29
256,0,40,0,1.274
256,0,40,1,1.274
256,8,8,0,0.865
256,8,8,1,0.865
256,40,40,0,1.477
256,40,40,1,1.477
256,2048,0,0,0.889
256,2048,0,1,0.889
256,2056,0,0,0.966
256,2056,0,1,0.966
256,2048,8,0,0.952
256,2048,8,1,0.952
256,2056,8,0,0.878
256,2056,8,1,0.878
512,0,0,0,1.077
512,0,0,1,1.077
512,9,0,0,1.001
512,9,0,1,1.0
512,41,0,0,0.954
512,41,0,1,0.954
512,0,9,0,1.191
512,0,9,1,1.191
512,0,41,0,1.181
512,0,41,1,1.181
512,9,9,0,0.765
512,9,9,1,0.765
512,41,41,0,0.905
512,41,41,1,0.905
512,2048,0,0,1.077
512,2048,0,1,1.077
512,2057,0,0,1.0
512,2057,0,1,1.0
512,2048,9,0,1.0
512,2048,9,1,1.0
512,2057,9,0,0.733
512,2057,9,1,0.733
1024,0,0,0,1.143
1024,0,0,1,1.143
1024,10,0,0,1.015
1024,10,0,1,1.015
1024,42,0,0,1.045
1024,42,0,1,1.045
1024,0,10,0,1.126
