Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9674465599435252

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
2048,     0,   32,        23,          0,     0.949
 256,     1,   64,        23,          0,     0.978
2048,     0,   32,         0,          0,      0.92
 256,     1,   64,         0,          0,     1.022
 256,  4081,   64,         0,          0,     1.037
2048,     0,   64,        23,          0,     1.048
 256,     2,   64,        23,          0,     1.028
2048,     0,   64,         0,          0,     1.011
 256,     2,   64,         0,          0,     1.036
2048,     0,  128,        23,          0,      1.01
 256,     3,   64,        23,          0,     1.016
2048,     0,  128,         0,          0,     1.006
 256,     3,   64,         0,          0,     1.017
2048,     0,  256,        23,          0,     1.008
 256,     4,   64,        23,          0,     0.999
2048,     0,  256,         0,          0,     1.015
 256,     4,   64,         0,          0,     0.985
2048,     0,  512,        23,          0,     1.008
 256,     5,   64,        23,          0,     0.993
2048,     0,  512,         0,          0,     1.007
 256,     5,   64,         0,          0,     1.031
2048,     0, 1024,        23,          0,     1.014
 256,     6,   64,        23,          0,     0.998
2048,     0, 1024,         0,          0,     1.013
 256,     6,   64,         0,          0,     1.004
2048,     0, 2048,        23,          0,     1.004
 256,     7,   64,        23,          0,     1.027
2048,     0, 2048,         0,          0,     1.005
 256,     7,   64,         0,          0,     0.999
 192,     1,   32,        23,          0,     0.949
 192,     1,   32,         0,          0,     0.952
 256,     1,   32,        23,          0,     0.958
 256,     1,   32,         0,          0,     0.961
 512,     1,   32,        23,          0,     0.943
 512,     1,   32,         0,          0,     0.937
 256,  4081,   32,        23,          0,     0.993
 192,     2,   64,        23,          0,     0.996
 192,     2,   64,         0,          0,     1.012
 512,     2,   64,        23,          0,     1.023
 512,     2,   64,         0,          0,     1.036
 256,  4081,   64,        23,          0,     1.029
 192,     3,   96,        23,          0,     1.008
 192,     3,   96,         0,          0,     1.006
 256,     3,   96,        23,          0,       1.0
 256,     3,   96,         0,          0,     0.998
 512,     3,   96,        23,          0,     1.014
 512,     3,   96,         0,          0,      1.01
 256,  4081,   96,        23,          0,     1.056
 192,     4,  128,        23,          0,     1.006
 192,     4,  128,         0,          0,     1.021
 256,     4,  128,        23,          0,     1.012
 256,     4,  128,         0,          0,     1.005
 512,     4,  128,        23,          0,     1.011
 512,     4,  128,         0,          0,     1.018
 256,  4081,  128,        23,          0,     1.027
 192,     5,  160,        23,          0,     1.001
 192,     5,  160,         0,          0,      1.02
