Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.7606704539854201

Results For: memrchr
 len, align,  pos, seek_char, invert_pos,  New / Old
2048,     0,   32,        23,          0,      0.938
 256,     1,   64,        23,          0,      0.813
2048,     0,   32,         0,          0,      0.948
 256,     1,   64,         0,          0,      0.811
 256,  4081,   64,         0,          0,      0.642
 256,     0,    1,        23,          0,       0.77
 256,     0,    1,         0,          0,      0.771
 256,     1,    1,        23,          0,      0.788
 256,     1,    1,         0,          0,      0.788
2048,     0,   64,        23,          0,       0.95
 256,     2,   64,        23,          0,      0.817
2048,     0,   64,         0,          0,       0.96
 256,     2,   64,         0,          0,      0.811
 256,     0,    2,        23,          0,      0.772
 256,     0,    2,         0,          0,      0.772
 256,     2,    2,        23,          0,      0.789
 256,     2,    2,         0,          0,      0.789
2048,     0,  128,        23,          0,      0.979
 256,     3,   64,        23,          0,      0.811
2048,     0,  128,         0,          0,      0.971
 256,     3,   64,         0,          0,      0.816
 256,     0,    3,        23,          0,      0.772
 256,     0,    3,         0,          0,      0.772
 256,     3,    3,        23,          0,      0.788
 256,     3,    3,         0,          0,      0.787
2048,     0,  256,        23,          0,      0.949
 256,     4,   64,        23,          0,      0.808
2048,     0,  256,         0,          0,      0.952
 256,     4,   64,         0,          0,      0.811
 256,     0,    4,        23,          0,      0.778
 256,     0,    4,         0,          0,       0.78
 256,     4,    4,        23,          0,       0.79
 256,     4,    4,         0,          0,       0.79
2048,     0,  512,        23,          0,      0.971
 256,     5,   64,        23,          0,      0.817
2048,     0,  512,         0,          0,      0.969
 256,     5,   64,         0,          0,      0.822
 256,     0,    5,        23,          0,       0.78
 256,     0,    5,         0,          0,       0.77
 256,     5,    5,        23,          0,      0.791
 256,     5,    5,         0,          0,      0.791
2048,     0, 1024,        23,          0,      1.007
 256,     6,   64,        23,          0,      0.812
2048,     0, 1024,         0,          0,      1.002
 256,     6,   64,         0,          0,      0.811
 256,     0,    6,        23,          0,      0.773
 256,     0,    6,         0,          0,      0.774
 256,     6,    6,        23,          0,      0.791
 256,     6,    6,         0,          0,      0.791
2048,     0, 2048,        23,          0,      0.969
 256,     7,   64,        23,          0,      0.818
2048,     0, 2048,         0,          0,      0.959
 256,     7,   64,         0,          0,      0.816
 256,     0,    7,        23,          0,      0.773
 256,     0,    7,         0,          0,      0.776
 256,     7,    7,        23,          0,      0.791
 256,     7,    7,         0,          0,      0.798
 192,     1,   32,        23,          0,      0.647
 192,     1,   32,         0,          0,      0.643
 256,     1,   32,        23,          0,      0.803
 256,     1,   32,         0,          0,      0.808
 512,     1,   32,        23,          0,      0.838
 512,     1,   32,         0,          0,      0.834
 256,  4081,   32,        23,          0,      0.725
 192,     2,   64,        23,          0,      0.919
 192,     2,   64,         0,          0,      0.919
 512,     2,   64,        23,          0,      0.878
 512,     2,   64,         0,          0,      0.875
 256,  4081,   64,        23,          0,      0.645
 192,     3,   96,        23,          0,      0.919
 192,     3,   96,         0,          0,      0.934
 256,     3,   96,        23,          0,      0.829
 256,     3,   96,         0,          0,       0.83
 512,     3,   96,        23,          0,      0.883
 512,     3,   96,         0,          0,      0.886
 256,  4081,   96,        23,          0,      0.649
 192,     4,  128,        23,          0,      0.877
 192,     4,  128,         0,          0,      0.862
 256,     4,  128,        23,          0,      0.915
 256,     4,  128,         0,          0,      0.918
 512,     4,  128,        23,          0,      0.892
 512,     4,  128,         0,          0,       0.89
 256,  4081,  128,        23,          0,      0.927
 192,     5,  160,        23,          0,      1.164
 192,     5,  160,         0,          0,      1.157
 256,     5,  160,        23,          0,      0.928
 256,     5,  160,         0,          0,       0.93
 512,     5,  160,        23,          0,      0.857
 512,     5,  160,         0,          0,      0.864
 256,  4081,  160,        23,          0,       0.94
 192,     6,  192,        23,          0,      0.699
 192,     6,  192,         0,          0,      0.701
 256,     6,  192,        23,          0,      0.865
 256,     6,  192,         0,          0,      0.873
 512,     6,  192,        23,          0,      0.836
 512,     6,  192,         0,          0,      0.835
