Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.7552309594785345

Results For: memrchr
 len, align,  pos, seek_char, invert_pos,  New / Old
2048,     0,   32,        23,          0,      0.897
 256,     1,   64,        23,          0,      0.773
2048,     0,   32,         0,          0,      0.897
 256,     1,   64,         0,          0,      0.772
 256,  4081,   64,         0,          0,      0.647
 256,     0,    1,        23,          0,      0.773
 256,     0,    1,         0,          0,      0.773
 256,     1,    1,        23,          0,      0.799
 256,     1,    1,         0,          0,        0.8
2048,     0,   64,        23,          0,      0.905
 256,     2,   64,        23,          0,      0.773
2048,     0,   64,         0,          0,      0.904
 256,     2,   64,         0,          0,      0.772
 256,     0,    2,        23,          0,      0.772
 256,     0,    2,         0,          0,      0.773
 256,     2,    2,        23,          0,      0.799
 256,     2,    2,         0,          0,      0.796
2048,     0,  128,        23,          0,      0.926
 256,     3,   64,        23,          0,      0.772
2048,     0,  128,         0,          0,      0.925
 256,     3,   64,         0,          0,      0.772
 256,     0,    3,        23,          0,      0.772
 256,     0,    3,         0,          0,      0.772
 256,     3,    3,        23,          0,      0.796
 256,     3,    3,         0,          0,      0.797
2048,     0,  256,        23,          0,      0.927
 256,     4,   64,        23,          0,      0.764
2048,     0,  256,         0,          0,      0.929
 256,     4,   64,         0,          0,      0.767
 256,     0,    4,        23,          0,      0.772
 256,     0,    4,         0,          0,      0.773
 256,     4,    4,        23,          0,        0.8
 256,     4,    4,         0,          0,      0.798
2048,     0,  512,        23,          0,      0.957
 256,     5,   64,        23,          0,      0.773
2048,     0,  512,         0,          0,      0.956
 256,     5,   64,         0,          0,      0.773
 256,     0,    5,        23,          0,      0.774
 256,     0,    5,         0,          0,      0.773
 256,     5,    5,        23,          0,      0.798
 256,     5,    5,         0,          0,      0.797
2048,     0, 1024,        23,          0,      1.034
 256,     6,   64,        23,          0,      0.773
2048,     0, 1024,         0,          0,      1.034
 256,     6,   64,         0,          0,      0.773
 256,     0,    6,        23,          0,      0.774
 256,     0,    6,         0,          0,      0.773
 256,     6,    6,        23,          0,      0.799
 256,     6,    6,         0,          0,      0.798
2048,     0, 2048,        23,          0,      0.902
 256,     7,   64,        23,          0,      0.773
2048,     0, 2048,         0,          0,      0.901
 256,     7,   64,         0,          0,      0.773
 256,     0,    7,        23,          0,      0.774
