
Results For: strcasecmp
length, align1, align2, max_char
     1,      1,      1,      127, 0.942
     2,      2,      2,      127, 0.956
     3,      3,      3,      127, 0.938
     4,      4,      4,      127, 0.943
     5,      5,      5,      127, 0.933
     6,      6,      6,      127, 0.942
     7,      7,      7,      127, 0.942
     8,      0,      0,      127, 0.958
     9,      1,      1,      127, 0.956
    10,      2,      2,      127, 0.984
    11,      3,      3,      127, 0.953
    12,      4,      4,      127, 0.938
    13,      5,      5,      127, 0.975
    14,      6,      6,      127, 0.945
    15,      7,      7,      127, 0.947
     4,      0,      0,      127, 0.972
     4,      0,      0,      254, 0.939
     8,      0,      0,      254, 0.941
    16,      0,      0,      127, 0.968
    16,      0,      0,      254, 0.958
    32,      0,      0,      127, 0.944
    32,      0,      0,      254, 0.968
    64,      0,      0,      127, 0.949
    64,      0,      0,      254, 0.945
   128,      0,      0,      127,  0.97
   128,      0,      0,      254, 0.969
   256,      0,      0,      127,  0.98
   256,      0,      0,      254, 0.979
   512,      0,      0,      127, 0.965
   512,      0,      0,      254, 0.969
  1024,      0,      0,      127, 0.969
  1024,      0,      0,      254,  0.97
    16,      1,      2,      127, 0.953
    16,      2,      1,      254, 0.943
    32,      2,      4,      127, 0.926
    32,      4,      2,      254, 0.868
    64,      3,      6,      127,  0.88
    64,      6,      3,      254, 0.858
   128,      4,      0,      127, 0.895
   256,      5,      2,      127, 0.875
   256,      2,      5,      254, 0.876
   512,      6,      4,      127,  0.85
   512,      4,      6,      254, 0.838
  1024,      7,      6,      127, 0.902
  1024,      6,      7,      254, 0.902
