strchr-extra/sunil1//bench-strchr0.out
strchr-extra/sunil1//bench-strchr1.out
strchr-extra/sunil1//bench-strchr2.out
strchr-extra/sunil1//bench-strchr3.out
strchr-extra/sunil1//bench-strchr4.out
strchr-extra/sunil1//bench-strchr5.out
strchr-extra/sunil1//bench-strchr6.out
strchr-extra/sunil1//bench-strchr7.out
strchr-extra/sunil1//bench-strchr8.out
strchr-extra/sunil1//bench-strchr9.out
strchr-extra/strchr0//bench-strchr0.out
strchr-extra/strchr0//bench-strchr1.out
strchr-extra/strchr0//bench-strchr2.out
strchr-extra/strchr0//bench-strchr3.out
strchr-extra/strchr0//bench-strchr4.out
strchr-extra/strchr0//bench-strchr5.out
strchr-extra/strchr0//bench-strchr6.out
strchr-extra/strchr0//bench-strchr7.out
strchr-extra/strchr0//bench-strchr8.out
strchr-extra/strchr0//bench-strchr9.out

Results For: strchr
alignment,length ,max_char ,pos       ,rand ,rand-addr ,seek_char   ,sunil1      ,strchr0 ,sunil1/strchr0 
0        ,1      ,127      ,0         ,0    ,0         ,0           ,3.85        ,3.758   ,1.025          
0        ,1      ,127      ,0         ,0    ,0         ,23          ,3.938       ,3.642   ,1.081          
0        ,10     ,127      ,9         ,0    ,0         ,0           ,3.957       ,3.894   ,1.016          
0        ,10     ,127      ,9         ,0    ,0         ,23          ,3.885       ,3.902   ,0.995          
0        ,1024   ,127      ,1056      ,0    ,0         ,0           ,20.771      ,20.311  ,1.023          
0        ,1024   ,127      ,1088      ,0    ,0         ,0           ,20.404      ,20.465  ,0.997          
0        ,1024   ,127      ,1120      ,0    ,0         ,0           ,20.862      ,20.631  ,1.011          
0        ,1024   ,127      ,1152      ,0    ,0         ,0           ,20.854      ,20.425  ,1.021          
0        ,1024   ,127      ,1184      ,0    ,0         ,0           ,20.442      ,20.625  ,0.991          
0        ,1024   ,127      ,1216      ,0    ,0         ,0           ,20.765      ,20.339  ,1.021          
0        ,1024   ,127      ,1248      ,0    ,0         ,0           ,21.214      ,20.349  ,1.043          
0        ,1024   ,127      ,1280      ,0    ,0         ,0           ,20.864      ,20.233  ,1.031          
0        ,1024   ,127      ,1312      ,0    ,0         ,0           ,20.583      ,20.213  ,1.018          
0        ,1024   ,127      ,1344      ,0    ,0         ,0           ,20.787      ,20.214  ,1.028          
0        ,1056   ,127      ,1024      ,0    ,0         ,0           ,20.666      ,20.62   ,1.002          
0        ,1088   ,127      ,1024      ,0    ,0         ,0           ,20.869      ,20.169  ,1.035          
0        ,11     ,127      ,10        ,0    ,0         ,0           ,3.946       ,3.921   ,1.006          
0        ,11     ,127      ,10        ,0    ,0         ,23          ,3.85        ,3.922   ,0.981          
0        ,112    ,127      ,16        ,0    ,0         ,0           ,4.029       ,3.926   ,1.026          
0        ,1120   ,127      ,1024      ,0    ,0         ,0           ,20.779      ,20.053  ,1.036          
0        ,1152   ,127      ,1024      ,0    ,0         ,0           ,20.957      ,20.02   ,1.047          
0        ,1184   ,127      ,1024      ,0    ,0         ,0           ,21.039      ,20.641  ,1.019          
0        ,12     ,127      ,11        ,0    ,0         ,0           ,3.889       ,3.782   ,1.028          
0        ,12     ,127      ,11        ,0    ,0         ,23          ,3.985       ,3.936   ,1.012          
0        ,1216   ,127      ,1024      ,0    ,0         ,0           ,20.785      ,20.072  ,1.036          
0        ,1248   ,127      ,1024      ,0    ,0         ,0           ,20.827      ,20.335  ,1.024          
0        ,126    ,127      ,127       ,0    ,0         ,0           ,5.208       ,4.427   ,1.176          
0        ,127    ,127      ,126       ,0    ,0         ,0           ,5.241       ,4.537   ,1.155          
0        ,128    ,127      ,160       ,0    ,0         ,0           ,6.234       ,5.727   ,1.088          
0        ,128    ,127      ,192       ,0    ,0         ,0           ,6.213       ,5.703   ,1.089          
0        ,128    ,127      ,224       ,0    ,0         ,0           ,6.286       ,5.738   ,1.095          
0        ,128    ,127      ,256       ,0    ,0         ,0           ,6.302       ,5.709   ,1.104          
0        ,128    ,127      ,288       ,0    ,0         ,0           ,6.302       ,5.687   ,1.108          
0        ,128    ,127      ,32        ,0    ,0         ,0           ,4.163       ,3.922   ,1.061          
0        ,128    ,127      ,320       ,0    ,0         ,0           ,6.207       ,5.743   ,1.081          
0        ,128    ,127      ,352       ,0    ,0         ,0           ,6.336       ,5.748   ,1.102          
0        ,128    ,127      ,384       ,0    ,0         ,0           ,6.263       ,5.707   ,1.098          
0        ,128    ,127      ,416       ,0    ,0         ,0           ,6.34        ,5.78    ,1.097          
0        ,128    ,127      ,448       ,0    ,0         ,0           ,6.17        ,5.727   ,1.077          
0        ,128    ,127      ,64        ,0    ,0         ,0           ,5.306       ,4.682   ,1.133          
0        ,1280   ,127      ,1024      ,0    ,0         ,0           ,20.372      ,20.328  ,1.002          
0        ,13     ,127      ,12        ,0    ,0         ,0           ,3.848       ,3.827   ,1.005          
0        ,13     ,127      ,12        ,0    ,0         ,23          ,3.973       ,3.921   ,1.014          
0        ,1312   ,127      ,1024      ,0    ,0         ,0           ,21.388      ,20.114  ,1.063          
0        ,1344   ,127      ,1024      ,0    ,0         ,0           ,20.974      ,20.495  ,1.023          
0        ,14     ,127      ,13        ,0    ,0         ,0           ,3.974       ,3.889   ,1.022          
0        ,14     ,127      ,13        ,0    ,0         ,23          ,3.994       ,3.919   ,1.019          
0        ,144    ,127      ,16        ,0    ,0         ,0           ,3.976       ,3.899   ,1.02           
0        ,15     ,127      ,14        ,0    ,0         ,0           ,3.964       ,3.882   ,1.021          
0        ,15     ,127      ,14        ,0    ,0         ,23          ,3.999       ,3.957   ,1.01           
0        ,158    ,127      ,159       ,0    ,0         ,0           ,6.273       ,5.759   ,1.089          
0        ,159    ,127      ,158       ,0    ,0         ,0           ,6.251       ,5.632   ,1.11           
0        ,16     ,127      ,112       ,0    ,0         ,0           ,3.931       ,3.939   ,0.998          
0        ,16     ,127      ,144       ,0    ,0         ,0           ,3.958       ,3.867   ,1.024          
0        ,16     ,127      ,15        ,0    ,0         ,0           ,3.924       ,3.909   ,1.004          
0        ,16     ,127      ,15        ,0    ,0         ,23          ,4.016       ,3.895   ,1.031          
0        ,16     ,127      ,176       ,0    ,0         ,0           ,4.044       ,3.952   ,1.023          
0        ,16     ,127      ,208       ,0    ,0         ,0           ,4.031       ,3.946   ,1.021          
0        ,16     ,127      ,240       ,0    ,0         ,0           ,4.004       ,3.972   ,1.008          
0        ,16     ,127      ,272       ,0    ,0         ,0           ,3.964       ,3.968   ,0.999          
0        ,16     ,127      ,304       ,0    ,0         ,0           ,3.982       ,3.919   ,1.016          
0        ,16     ,127      ,336       ,0    ,0         ,0           ,3.955       ,4.017   ,0.985          
0        ,16     ,127      ,48        ,0    ,0         ,0           ,3.903       ,3.958   ,0.986          
0        ,16     ,127      ,80        ,0    ,0         ,0           ,3.973       ,3.961   ,1.003          
0        ,160    ,127      ,128       ,0    ,0         ,0           ,6.269       ,5.885   ,1.065          
0        ,160    ,127      ,32        ,0    ,0         ,0           ,4.005       ,3.875   ,1.033          
0        ,160    ,127      ,64        ,0    ,0         ,0           ,5.193       ,4.589   ,1.132          
0        ,17     ,127      ,16        ,0    ,0         ,0           ,3.975       ,3.919   ,1.014          
0        ,17     ,127      ,16        ,0    ,0         ,23          ,4.005       ,3.911   ,1.024          
0        ,176    ,127      ,16        ,0    ,0         ,0           ,3.958       ,3.881   ,1.02           
0        ,18     ,127      ,17        ,0    ,0         ,0           ,3.954       ,3.905   ,1.012          
0        ,18     ,127      ,17        ,0    ,0         ,23          ,4.012       ,3.92    ,1.023          
0        ,19     ,127      ,18        ,0    ,0         ,0           ,3.915       ,3.924   ,0.998          
0        ,19     ,127      ,18        ,0    ,0         ,23          ,4.012       ,3.946   ,1.017          
0        ,190    ,127      ,191       ,0    ,0         ,0           ,6.245       ,5.628   ,1.11           
0        ,191    ,127      ,190       ,0    ,0         ,0           ,6.267       ,5.578   ,1.123          
0        ,192    ,127      ,128       ,0    ,0         ,0           ,6.357       ,5.806   ,1.095          
0        ,192    ,127      ,32        ,0    ,0         ,0           ,3.977       ,3.924   ,1.014          
0        ,192    ,127      ,64        ,0    ,0         ,0           ,5.32        ,4.509   ,1.18           
0        ,2      ,127      ,1         ,0    ,0         ,0           ,3.857       ,3.848   ,1.002          
0        ,2      ,127      ,1         ,0    ,0         ,23          ,3.94        ,3.856   ,1.022          
0        ,20     ,127      ,19        ,0    ,0         ,0           ,3.933       ,3.868   ,1.017          
0        ,20     ,127      ,19        ,0    ,0         ,23          ,3.965       ,3.91    ,1.014          
0        ,2048   ,127      ,1024      ,0    ,0         ,0           ,20.984      ,20.176  ,1.04           
0        ,2048   ,127      ,1024      ,0    ,0         ,23          ,20.739      ,20.881  ,0.993          
0        ,2048   ,127      ,128       ,0    ,0         ,0           ,6.235       ,6.025   ,1.035          
