Results For: strchrnul
alignment,length ,max_char ,pos  ,rand ,rand-addr ,seek_char   ,__strchrnul_evex ,__strchrnul_evex512 
0        ,1      ,127      ,0    ,0    ,0         ,0           ,3.356            ,3.696               ,0.908               
0        ,1      ,127      ,0    ,0    ,0         ,23          ,3.367            ,3.556               ,0.947               
0        ,10     ,127      ,9    ,0    ,0         ,0           ,3.35             ,3.749               ,0.894               
0        ,10     ,127      ,9    ,0    ,0         ,23          ,3.394            ,3.846               ,0.882               
0        ,1024   ,127      ,1056 ,0    ,0         ,0           ,30.409           ,20.468              ,1.486               
0        ,1024   ,127      ,1088 ,0    ,0         ,0           ,29.808           ,20.696              ,1.44                
0        ,1024   ,127      ,1120 ,0    ,0         ,0           ,29.78            ,20.293              ,1.467               
0        ,1024   ,127      ,1152 ,0    ,0         ,0           ,30.221           ,20.222              ,1.495               
0        ,1024   ,127      ,1184 ,0    ,0         ,0           ,29.482           ,20.653              ,1.427               
0        ,1024   ,127      ,1216 ,0    ,0         ,0           ,29.345           ,20.843              ,1.408               
0        ,1024   ,127      ,1248 ,0    ,0         ,0           ,30.053           ,20.266              ,1.483               
0        ,1024   ,127      ,1280 ,0    ,0         ,0           ,30.14            ,20.393              ,1.478               
0        ,1024   ,127      ,1312 ,0    ,0         ,0           ,29.886           ,20.467              ,1.46                
0        ,1024   ,127      ,1344 ,0    ,0         ,0           ,29.384           ,20.508              ,1.433               
0        ,1056   ,127      ,1024 ,0    ,0         ,0           ,29.555           ,20.438              ,1.446               
0        ,1088   ,127      ,1024 ,0    ,0         ,0           ,29.522           ,20.429              ,1.445               
0        ,11     ,127      ,10   ,0    ,0         ,0           ,3.345            ,3.684               ,0.908               
0        ,11     ,127      ,10   ,0    ,0         ,23          ,3.4              ,3.857               ,0.882               
0        ,112    ,127      ,16   ,0    ,0         ,0           ,3.419            ,3.79                ,0.902               
0        ,1120   ,127      ,1024 ,0    ,0         ,0           ,29.902           ,20.366              ,1.468               
0        ,1152   ,127      ,1024 ,0    ,0         ,0           ,30.312           ,20.35               ,1.489               
0        ,1184   ,127      ,1024 ,0    ,0         ,0           ,29.565           ,20.671              ,1.43                
0        ,12     ,127      ,11   ,0    ,0         ,0           ,3.33             ,3.718               ,0.896               
0        ,12     ,127      ,11   ,0    ,0         ,23          ,3.414            ,3.803               ,0.898               
0        ,1216   ,127      ,1024 ,0    ,0         ,0           ,29.6             ,20.508              ,1.443               
0        ,1248   ,127      ,1024 ,0    ,0         ,0           ,30.388           ,20.236              ,1.502               
0        ,126    ,127      ,127  ,0    ,0         ,0           ,5.818            ,5.642               ,1.031               
0        ,127    ,127      ,126  ,0    ,0         ,0           ,5.893            ,5.599               ,1.052               
0        ,128    ,127      ,160  ,0    ,0         ,0           ,6.967            ,6.224               ,1.119               
0        ,128    ,127      ,192  ,0    ,0         ,0           ,6.942            ,6.231               ,1.114               
0        ,128    ,127      ,224  ,0    ,0         ,0           ,7.009            ,6.327               ,1.108               
0        ,128    ,127      ,256  ,0    ,0         ,0           ,6.948            ,6.298               ,1.103               
0        ,128    ,127      ,288  ,0    ,0         ,0           ,6.915            ,6.214               ,1.113               
0        ,128    ,127      ,32   ,0    ,0         ,0           ,5.402            ,4.027               ,1.341               
0        ,128    ,127      ,320  ,0    ,0         ,0           ,6.935            ,6.34                ,1.094               
0        ,128    ,127      ,352  ,0    ,0         ,0           ,6.965            ,6.273               ,1.11                
0        ,128    ,127      ,384  ,0    ,0         ,0           ,6.952            ,6.244               ,1.113               
0        ,128    ,127      ,416  ,0    ,0         ,0           ,6.947            ,6.263               ,1.109               
0        ,128    ,127      ,448  ,0    ,0         ,0           ,7.016            ,6.281               ,1.117               
0        ,128    ,127      ,64   ,0    ,0         ,0           ,5.211            ,5.707               ,0.913               
0        ,1280   ,127      ,1024 ,0    ,0         ,0           ,30.783           ,20.52               ,1.5                 
0        ,13     ,127      ,12   ,0    ,0         ,0           ,3.322            ,3.683               ,0.902               
0        ,13     ,127      ,12   ,0    ,0         ,23          ,3.41             ,3.846               ,0.887               
0        ,1312   ,127      ,1024 ,0    ,0         ,0           ,29.827           ,20.623              ,1.446               
0        ,1344   ,127      ,1024 ,0    ,0         ,0           ,29.98            ,20.241              ,1.481               
0        ,14     ,127      ,13   ,0    ,0         ,0           ,3.338            ,3.744               ,0.891               
0        ,14     ,127      ,13   ,0    ,0         ,23          ,3.415            ,3.884               ,0.879               
0        ,144    ,127      ,16   ,0    ,0         ,0           ,3.429            ,3.841               ,0.893               
0        ,15     ,127      ,14   ,0    ,0         ,0           ,3.325            ,3.749               ,0.887               
0        ,15     ,127      ,14   ,0    ,0         ,23          ,3.424            ,3.938               ,0.87                
0        ,158    ,127      ,159  ,0    ,0         ,0           ,6.941            ,6.3                 ,1.102               
0        ,159    ,127      ,158  ,0    ,0         ,0           ,7.015            ,6.248               ,1.123               
0        ,16     ,127      ,112  ,0    ,0         ,0           ,3.434            ,3.851               ,0.892               
0        ,16     ,127      ,144  ,0    ,0         ,0           ,3.437            ,3.934               ,0.874               
0        ,16     ,127      ,15   ,0    ,0         ,0           ,3.303            ,3.799               ,0.869               
0        ,16     ,127      ,15   ,0    ,0         ,23          ,3.398            ,3.807               ,0.892               
0        ,16     ,127      ,176  ,0    ,0         ,0           ,3.435            ,3.874               ,0.887               
0        ,16     ,127      ,208  ,0    ,0         ,0           ,3.452            ,3.899               ,0.885               
0        ,16     ,127      ,240  ,0    ,0         ,0           ,3.429            ,3.862               ,0.888               
0        ,16     ,127      ,272  ,0    ,0         ,0           ,3.465            ,3.97                ,0.873               
0        ,16     ,127      ,304  ,0    ,0         ,0           ,3.445            ,3.892               ,0.885               
0        ,16     ,127      ,336  ,0    ,0         ,0           ,3.461            ,3.837               ,0.902               
0        ,16     ,127      ,48   ,0    ,0         ,0           ,3.373            ,3.751               ,0.899               
0        ,16     ,127      ,80   ,0    ,0         ,0           ,3.419            ,3.8                 ,0.9                 
0        ,160    ,127      ,128  ,0    ,0         ,0           ,6.93             ,6.232               ,1.112               
0        ,160    ,127      ,32   ,0    ,0         ,0           ,5.398            ,4.031               ,1.339               
0        ,160    ,127      ,64   ,0    ,0         ,0           ,5.189            ,5.712               ,0.909               
0        ,17     ,127      ,16   ,0    ,0         ,0           ,3.317            ,3.735               ,0.888               
0        ,17     ,127      ,16   ,0    ,0         ,23          ,3.422            ,3.848               ,0.889               
0        ,176    ,127      ,16   ,0    ,0         ,0           ,3.446            ,3.877               ,0.889               
0        ,18     ,127      ,17   ,0    ,0         ,0           ,3.312            ,3.822               ,0.867               
0        ,18     ,127      ,17   ,0    ,0         ,23          ,3.401            ,3.876               ,0.877               
0        ,19     ,127      ,18   ,0    ,0         ,0           ,3.31             ,3.788               ,0.874               
0        ,19     ,127      ,18   ,0    ,0         ,23          ,3.392            ,3.874               ,0.875               
0        ,190    ,127      ,191  ,0    ,0         ,0           ,10.854           ,6.257               ,1.735               
0        ,191    ,127      ,190  ,0    ,0         ,0           ,10.794           ,6.222               ,1.735               
0        ,192    ,127      ,128  ,0    ,0         ,0           ,6.94             ,6.199               ,1.119               
0        ,192    ,127      ,32   ,0    ,0         ,0           ,5.38             ,3.925               ,1.371               
0        ,192    ,127      ,64   ,0    ,0         ,0           ,5.168            ,5.706               ,0.906               
0        ,2      ,127      ,1    ,0    ,0         ,0           ,3.358            ,3.683               ,0.912               
0        ,2      ,127      ,1    ,0    ,0         ,23          ,3.452            ,3.814               ,0.905               
0        ,20     ,127      ,19   ,0    ,0         ,0           ,3.308            ,3.786               ,0.874               
0        ,20     ,127      ,19   ,0    ,0         ,23          ,3.407            ,3.847               ,0.886               
0        ,2048   ,127      ,1024 ,0    ,0         ,0           ,29.831           ,20.422              ,1.461               
0        ,2048   ,127      ,1024 ,0    ,0         ,23          ,29.952           ,20.688              ,1.448               
0        ,2048   ,127      ,128  ,0    ,0         ,0           ,6.925            ,6.237               ,1.11                
0        ,2048   ,127      ,128  ,0    ,0         ,23          ,7.132            ,6.301               ,1.132               
0        ,2048   ,127      ,2048 ,0    ,0         ,0           ,49.459           ,33.78               ,1.464               
0        ,2048   ,127      ,2048 ,0    ,0         ,23          ,49.577           ,33.888              ,1.463               
0        ,2048   ,127      ,2080 ,0    ,0         ,0           ,52.261           ,33.438              ,1.563               
0        ,2048   ,127      ,2112 ,0    ,0         ,0           ,50.55            ,33.562              ,1.506               
0        ,2048   ,127      ,2144 ,0    ,0         ,0           ,52.561           ,34.425              ,1.527               
0        ,2048   ,127      ,2176 ,0    ,0         ,0           ,49.691           ,33.655              ,1.476               
0        ,2048   ,127      ,2208 ,0    ,0         ,0           ,49.682           ,33.476              ,1.484               
0        ,2048   ,127      ,2240 ,0    ,0         ,0           ,50.124           ,33.346              ,1.503               
0        ,2048   ,127      ,2272 ,0    ,0         ,0           ,50.222           ,33.138              ,1.516               
0        ,2048   ,127      ,2304 ,0    ,0         ,0           ,49.808           ,33.886              ,1.47                
0        ,2048   ,127      ,2336 ,0    ,0         ,0           ,50.269           ,33.498              ,1.501               
0        ,2048   ,127      ,2368 ,0    ,0         ,0           ,51.142           ,32.926              ,1.553               
0        ,2048   ,127      ,256  ,0    ,0         ,0           ,12.958           ,7.598               ,1.705               
0        ,2048   ,127      ,256  ,0    ,0         ,23          ,13.211           ,7.699               ,1.716               
0        ,2048   ,127      ,32   ,0    ,0         ,0           ,5.138            ,3.781               ,1.359               
0        ,2048   ,127      ,32   ,0    ,0         ,23          ,5.304            ,3.848               ,1.379               
0        ,2048   ,127      ,512  ,0    ,0         ,0           ,20.04            ,13.881              ,1.444               
0        ,2048   ,127      ,512  ,0    ,0         ,23          ,19.788           ,14.053              ,1.408               
0        ,2048   ,127      ,64   ,0    ,0         ,0           ,5.246            ,5.707               ,0.919               
0        ,2048   ,127      ,64   ,0    ,0         ,23          ,5.241            ,5.789               ,0.905               
0        ,208    ,127      ,16   ,0    ,0         ,0           ,3.462            ,3.877               ,0.893               
0        ,2080   ,127      ,2048 ,0    ,0         ,0           ,50.38            ,34.022              ,1.481               
0        ,21     ,127      ,20   ,0    ,0         ,0           ,3.329            ,3.857               ,0.863               
0        ,21     ,127      ,20   ,0    ,0         ,23          ,3.416            ,3.923               ,0.871               
0        ,2112   ,127      ,2048 ,0    ,0         ,0           ,50.288           ,33.561              ,1.498               
0        ,2144   ,127      ,2048 ,0    ,0         ,0           ,52.094           ,34.189              ,1.524               
0        ,2176   ,127      ,2048 ,0    ,0         ,0           ,50.601           ,33.18               ,1.525               
0        ,22     ,127      ,21   ,0    ,0         ,0           ,3.301            ,3.822               ,0.864               
0        ,22     ,127      ,21   ,0    ,0         ,23          ,3.387            ,3.858               ,0.878               
0        ,2208   ,127      ,2048 ,0    ,0         ,0           ,48.925           ,33.577              ,1.457               
0        ,222    ,127      ,223  ,0    ,0         ,0           ,12.247           ,7.235               ,1.693               
0        ,223    ,127      ,222  ,0    ,0         ,0           ,12.309           ,7.18                ,1.714               
0        ,224    ,127      ,128  ,0    ,0         ,0           ,7.0              ,6.294               ,1.112               
0        ,224    ,127      ,32   ,0    ,0         ,0           ,5.151            ,3.886               ,1.326               
0        ,224    ,127      ,64   ,0    ,0         ,0           ,5.161            ,5.686               ,0.908               
