
Results For: strcmp
length, align1, align2
     1,      1,      1, 0.974
     2,      2,      2, 0.964
     3,      3,      3, 0.963
     4,      4,      4, 0.963
     5,      5,      5, 0.966
     6,      6,      6, 0.965
     7,      7,      7, 0.965
     8,      8,      8, 0.962
     9,      9,      9, 0.965
    10,     10,     10, 0.964
    11,     11,     11, 0.965
    12,     12,     12, 0.965
    13,     13,     13,  0.96
    14,     14,     14, 0.964
    15,     15,     15, 0.963
    16,     16,     16, 0.964
    17,     17,     17, 0.967
    18,     18,     18, 0.972
    19,     19,     19, 0.978
    20,     20,     20, 0.971
    21,     21,     21, 0.973
    22,     22,     22,  0.98
    23,     23,     23, 0.972
    24,     24,     24, 0.975
    25,     25,     25,  0.89
    26,     26,     26, 0.869
    27,     27,     27, 0.869
    28,     28,     28, 0.871
    29,     29,     29, 0.869
    30,     30,     30, 0.861
    31,     31,     31,  0.86
     1,      0,      0, 0.965
     1,   2048,   2047, 0.898
     1,   2047,   2048, 0.816
     1,   4095,      0, 0.817
     1,   4080,      0, 0.965
     1,   4088,   4080, 0.998
     1,   4064,      0, 0.964
     1,   4048,      0, 0.963
     1,   4072,   4048, 0.959
     1,   4032,      0, 0.964
     1,   4016,      0, 0.964
     1,   4056,   4016, 0.961
     1,   4000,      0, 0.964
     1,   3984,      0, 0.964
     1,   4040,   3984, 0.889
     2,      0,      0, 0.974
     2,   2048,   2047, 0.882
     2,   2047,   2048, 0.815
     2,   4094,      0, 0.813
     2,   4080,      0, 0.966
     2,   4088,   4080, 0.998
     2,   4064,      0, 0.966
     2,   4048,      0, 0.968
     2,   4072,   4048, 0.971
     2,   4032,      0, 0.965
     2,   4016,      0, 0.966
     2,   4056,   4016, 1.013
     2,   4000,      0, 0.967
     2,   3984,      0, 0.968
     2,   4040,   3984, 1.014
     3,      0,      0, 0.975
     3,   2048,   2047, 0.855
     3,   2047,   2048, 0.816
     3,   4093,      0, 0.825
     3,   4080,      0, 0.967
     3,   4088,   4080,   1.0
     3,   4064,      0, 0.967
     3,   4048,      0, 0.966
     3,   4072,   4048, 0.988
     3,   4032,      0, 0.965
     3,   4016,      0,  0.97
     3,   4056,   4016, 0.993
     3,   4000,      0, 0.966
     3,   3984,      0, 0.965
     3,   4040,   3984, 0.987
     4,      0,      0, 0.964
     4,   2048,   2047, 0.892
     4,   2047,   2048, 0.816
     4,   4092,      0, 0.812
     4,   4080,      0, 0.968
     4,   4088,   4080, 1.001
     4,   4064,      0, 0.962
     4,   4048,      0, 0.973
     4,   4072,   4048, 0.986
     4,   4032,      0, 0.965
     4,   4016,      0, 0.962
     4,   4056,   4016, 0.989
     4,   4000,      0, 0.964
     4,   3984,      0, 0.965
     4,   4040,   3984, 0.974
     5,      0,      0, 0.966
     5,   2048,   2047, 0.878
     5,   2047,   2048, 0.817
     5,   4091,      0, 0.811
     5,   4080,      0, 0.962
     5,   4088,   4080, 0.999
     5,   4064,      0, 0.967
     5,   4048,      0, 0.963
     5,   4072,   4048,  0.95
     5,   4032,      0, 0.965
     5,   4016,      0,  0.97
     5,   4056,   4016, 0.945
     5,   4000,      0, 0.961
     5,   3984,      0, 0.961
     5,   4040,   3984, 0.925
     6,      0,      0, 0.966
     6,   2048,   2047, 0.864
     6,   2047,   2048, 0.814
     6,   4090,      0, 0.818
     6,   4080,      0, 0.969
     6,   4088,   4080, 0.999
     6,   4064,      0, 0.959
     6,   4048,      0, 0.968
     6,   4072,   4048, 0.985
     6,   4032,      0, 0.967
     6,   4016,      0, 0.964
     6,   4056,   4016, 0.998
     6,   4000,      0, 0.965
     6,   3984,      0, 0.962
     6,   4040,   3984, 0.998
     7,      0,      0,  0.96
     7,   2048,   2047, 0.871
     7,   2047,   2048, 0.818
     7,   4089,      0, 0.816
     7,   4080,      0, 0.962
     7,   4088,   4080, 0.999
     7,   4064,      0,  0.97
     7,   4048,      0, 0.963
     7,   4072,   4048, 0.976
     7,   4032,      0, 0.968
     7,   4016,      0, 0.964
     7,   4056,   4016, 1.005
     7,   4000,      0, 0.963
     7,   3984,      0, 0.965
     7,   4040,   3984, 1.004
     8,      0,      0, 0.962
     8,   2048,   2047,  0.87
     8,   2047,   2048, 0.819
     8,   4088,      0, 0.825
     8,   4080,      0, 0.962
     8,   4064,      0,  0.96
     8,   4048,      0, 0.961
     8,   4072,   4048, 0.959
     8,   4032,      0, 0.964
     8,   4016,      0, 0.961
     8,   4056,   4016, 0.943
     8,   4000,      0,  0.96
     8,   3984,      0, 0.961
     8,   4040,   3984, 0.922
     9,      0,      0, 0.954
     9,   2048,   2047, 0.863
     9,   2047,   2048, 0.813
     9,   4087,      0, 0.813
     9,   4080,      0, 0.962
     9,   4088,   4080, 0.891
     9,   4064,      0,  0.96
     9,   4048,      0, 0.958
     9,   4072,   4048, 0.929
     9,   4032,      0, 0.962
     9,   4016,      0, 0.961
     9,   4056,   4016, 0.957
     9,   4000,      0, 0.963
     9,   3984,      0, 0.963
     9,   4040,   3984, 0.958
    10,      0,      0, 0.956
    10,   2048,   2047, 0.865
    10,   2047,   2048, 0.813
    10,   4086,      0, 0.818
    10,   4080,      0, 0.961
    10,   4088,   4080,  0.88
    10,   4064,      0, 0.962
    10,   4048,      0, 0.961
    10,   4072,   4048, 0.944
    10,   4032,      0, 0.961
    10,   4016,      0, 0.962
    10,   4056,   4016,  0.93
    10,   4000,      0, 0.962
    10,   3984,      0, 0.962
    10,   4040,   3984, 0.928
    11,      0,      0, 0.958
    11,   2048,   2047, 0.855
    11,   2047,   2048, 0.816
    11,   4085,      0, 0.816
    11,   4080,      0, 0.963
    11,   4088,   4080, 0.884
    11,   4064,      0, 0.961
    11,   4048,      0,  0.96
    11,   4072,   4048, 0.946
    11,   4032,      0, 0.963
    11,   4016,      0, 0.962
    11,   4056,   4016, 0.947
    11,   4000,      0, 0.962
    11,   3984,      0, 0.963
    11,   4040,   3984, 0.914
    12,      0,      0, 0.955
    12,   2048,   2047, 0.885
    12,   2047,   2048, 0.823
    12,   4084,      0, 0.821
    12,   4080,      0, 0.962
    12,   4088,   4080, 0.889
    12,   4064,      0, 0.961
    12,   4048,      0, 0.961
    12,   4072,   4048, 0.905
    12,   4032,      0, 0.962
    12,   4016,      0, 0.962
    12,   4056,   4016, 0.893
    12,   4000,      0, 0.963
    12,   3984,      0, 0.962
    12,   4040,   3984, 0.915
    13,      0,      0, 0.955
    13,   2048,   2047, 0.884
    13,   2047,   2048, 0.817
    13,   4083,      0, 0.815
    13,   4080,      0, 0.962
    13,   4088,   4080, 0.876
    13,   4064,      0, 0.962
    13,   4048,      0, 0.962
    13,   4072,   4048, 0.895
    13,   4032,      0, 0.962
    13,   4016,      0, 0.962
    13,   4056,   4016, 0.927
    13,   4000,      0, 0.962
    13,   3984,      0, 0.963
    13,   4040,   3984,  0.91
    14,      0,      0, 0.955
    14,   2048,   2047, 0.869
    14,   2047,   2048, 0.817
    14,   4082,      0, 0.814
    14,   4080,      0, 0.962
    14,   4088,   4080, 0.873
    14,   4064,      0, 0.962
    14,   4048,      0, 0.958
    14,   4072,   4048, 0.933
    14,   4032,      0, 0.962
    14,   4016,      0, 0.964
    14,   4056,   4016,  0.95
    14,   4000,      0, 0.962
    14,   3984,      0, 0.961
    14,   4040,   3984, 0.922
    15,      0,      0, 0.956
    15,   2048,   2047, 0.877
    15,   2047,   2048, 0.813
    15,   4081,      0, 0.815
    15,   4080,      0, 0.963
    15,   4088,   4080, 0.871
    15,   4064,      0, 0.961
    15,   4048,      0, 0.962
    15,   4072,   4048, 0.933
    15,   4032,      0, 0.961
    15,   4016,      0, 0.961
    15,   4056,   4016,  0.94
    15,   4000,      0, 0.961
    15,   3984,      0, 0.963
    15,   4040,   3984, 0.911
    16,      0,      0, 0.964
    16,   2048,   2047, 0.888
    16,   2047,   2048, 0.814
    16,   4080,      0, 0.971
    16,   4088,   4080,  0.86
    16,   4064,      0, 0.972
    16,   4048,      0, 0.973
    16,   4072,   4048, 0.928
    16,   4032,      0, 0.972
    16,   4016,      0, 0.972
    16,   4056,   4016, 0.932
    16,   4000,      0, 0.971
    16,   3984,      0, 0.971
    16,   4040,   3984, 0.923
    17,      0,      0, 0.972
    17,   2048,   2047, 0.847
    17,   2047,   2048, 0.784
    17,   4079,      0, 0.802
    17,   4080,      0,  0.97
    17,   4088,   4080, 0.877
    17,   4064,      0, 0.972
    17,   4048,      0, 0.972
    17,   4072,   4048, 0.924
    17,   4032,      0, 0.973
    17,   4016,      0, 0.965
    17,   4056,   4016, 0.918
    17,   4000,      0, 0.972
    17,   3984,      0, 0.993
    17,   4040,   3984, 0.923
    18,      0,      0, 0.975
    18,   2048,   2047, 0.868
    18,   2047,   2048, 0.791
    18,   4078,      0, 0.798
    18,   4080,      0, 0.971
    18,   4088,   4080, 0.866
    18,   4064,      0, 0.971
    18,   4048,      0,  0.97
    18,   4072,   4048, 0.921
    18,   4032,      0, 0.971
    18,   4016,      0, 0.977
    18,   4056,   4016,  0.92
    18,   4000,      0, 0.972
    18,   3984,      0, 0.974
    18,   4040,   3984, 0.922
    19,      0,      0, 0.974
    19,   2048,   2047, 0.855
    19,   2047,   2048, 0.787
    19,   4077,      0, 0.798
    19,   4080,      0,  0.97
    19,   4088,   4080, 0.869
    19,   4064,      0, 0.971
    19,   4048,      0, 0.971
    19,   4072,   4048,  0.92
    19,   4032,      0, 0.971
    19,   4016,      0, 0.973
    19,   4056,   4016, 0.917
    19,   4000,      0,  0.97
    19,   3984,      0, 0.979
    19,   4040,   3984, 0.917
    20,      0,      0, 0.976
    20,   2048,   2047,  0.84
    20,   2047,   2048, 0.785
    20,   4076,      0, 0.803
    20,   4080,      0,  0.97
    20,   4088,   4080, 0.867
    20,   4064,      0, 0.971
    20,   4048,      0, 0.971
    20,   4072,   4048, 0.924
    20,   4032,      0,  0.97
    20,   4016,      0, 0.989
    20,   4056,   4016, 0.917
    20,   4000,      0, 0.971
    20,   3984,      0, 1.001
    20,   4040,   3984,  0.92
    21,      0,      0, 0.977
    21,   2048,   2047, 0.845
    21,   2047,   2048, 0.781
    21,   4075,      0, 0.799
    21,   4080,      0, 0.971
    21,   4088,   4080, 0.864
    21,   4064,      0, 0.972
    21,   4048,      0, 0.972
    21,   4072,   4048, 0.919
    21,   4032,      0, 0.972
    21,   4016,      0, 0.981
    21,   4056,   4016, 0.918
    21,   4000,      0, 0.971
