
Results For: stpcpy
align1,align2 ,len  ,max_char ,new    ,old    ,new/old 
0     ,0      ,0    ,127      ,4.379  ,4.642  ,0.943   
0     ,0      ,1    ,127      ,5.316  ,5.15   ,1.032   
0     ,0      ,10   ,127      ,5.73   ,7.749  ,0.739   
0     ,0      ,1024 ,127      ,24.764 ,24.525 ,1.01    
0     ,0      ,11   ,127      ,5.717  ,7.805  ,0.732   
0     ,0      ,12   ,127      ,5.769  ,7.742  ,0.745   
0     ,0      ,128  ,127      ,8.901  ,8.086  ,1.101   
0     ,0      ,13   ,127      ,5.731  ,7.747  ,0.74    
0     ,0      ,14   ,127      ,5.718  ,7.727  ,0.74    
0     ,0      ,15   ,127      ,5.3    ,6.843  ,0.775   
0     ,0      ,16   ,127      ,5.817  ,7.922  ,0.734   
0     ,0      ,2    ,127      ,5.312  ,5.053  ,1.051   
0     ,0      ,256  ,127      ,12.567 ,12.308 ,1.021   
0     ,0      ,3    ,127      ,5.703  ,5.065  ,1.126   
0     ,0      ,32   ,127      ,5.875  ,6.076  ,0.967   
0     ,0      ,4    ,127      ,5.845  ,7.678  ,0.761   
0     ,0      ,5    ,127      ,5.876  ,7.559  ,0.777   
0     ,0      ,512  ,127      ,17.907 ,16.024 ,1.118   
0     ,0      ,6    ,127      ,5.768  ,7.559  ,0.763   
0     ,0      ,64   ,127      ,7.833  ,6.749  ,1.161   
0     ,0      ,7    ,127      ,5.501  ,6.716  ,0.819   
0     ,0      ,8    ,127      ,5.773  ,7.87   ,0.734   
0     ,0      ,9    ,127      ,5.687  ,7.767  ,0.732   
0     ,1      ,1    ,127      ,5.355  ,5.257  ,1.019   
0     ,1      ,9    ,127      ,5.74   ,7.753  ,0.74    
0     ,2      ,10   ,127      ,5.721  ,7.741  ,0.739   
0     ,2      ,2    ,127      ,5.371  ,5.211  ,1.031   
0     ,3      ,11   ,127      ,5.704  ,7.768  ,0.734   
0     ,3      ,3    ,127      ,5.735  ,4.989  ,1.15    
0     ,4      ,100  ,127      ,8.677  ,11.795 ,0.736   
0     ,4      ,104  ,127      ,8.656  ,11.846 ,0.731   
0     ,4      ,108  ,127      ,8.719  ,10.889 ,0.801   
0     ,4      ,112  ,127      ,8.713  ,11.752 ,0.741   
0     ,4      ,116  ,127      ,8.731  ,10.911 ,0.8     
0     ,4      ,12   ,127      ,5.704  ,7.509  ,0.76    
0     ,4      ,120  ,127      ,8.756  ,10.887 ,0.804   
0     ,4      ,124  ,127      ,8.641  ,10.644 ,0.812   
