
Results For: stpncpy
align1,align2 ,len  ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,127      ,1024 ,24.25  ,24.247 ,1.0     
0     ,0      ,1024 ,127      ,1056 ,27.076 ,28.985 ,0.934   
0     ,0      ,1024 ,127      ,1088 ,24.453 ,31.405 ,0.779   
0     ,0      ,1024 ,127      ,512  ,15.576 ,16.903 ,0.921   
0     ,0      ,1024 ,127      ,960  ,23.076 ,26.427 ,0.873   
0     ,0      ,1024 ,127      ,992  ,24.139 ,26.484 ,0.911   
0     ,0      ,1056 ,127      ,1024 ,24.381 ,24.199 ,1.008   
0     ,0      ,1088 ,127      ,1024 ,24.564 ,24.24  ,1.013   
0     ,0      ,128  ,127      ,128  ,7.122  ,8.822  ,0.807   
0     ,0      ,128  ,127      ,160  ,9.886  ,12.721 ,0.777   
0     ,0      ,128  ,127      ,192  ,8.269  ,13.377 ,0.618   
0     ,0      ,128  ,127      ,256  ,8.867  ,13.955 ,0.635   
0     ,0      ,128  ,127      ,64   ,5.34   ,6.008  ,0.889   
0     ,0      ,128  ,127      ,96   ,6.05   ,8.217  ,0.736   
0     ,0      ,16   ,127      ,32   ,4.85   ,9.816  ,0.494   
0     ,0      ,160  ,127      ,128  ,7.137  ,8.888  ,0.803   
0     ,0      ,192  ,127      ,128  ,7.172  ,8.835  ,0.812   
0     ,0      ,192  ,127      ,256  ,10.087 ,15.055 ,0.67    
0     ,0      ,2048 ,127      ,1024 ,24.103 ,24.164 ,0.997   
0     ,0      ,224  ,127      ,256  ,11.698 ,15.462 ,0.757   
0     ,0      ,256  ,127      ,128  ,7.067  ,8.93   ,0.791   
0     ,0      ,256  ,127      ,192  ,9.026  ,11.227 ,0.804   
0     ,0      ,256  ,127      ,224  ,9.638  ,11.999 ,0.803   
0     ,0      ,256  ,127      ,256  ,10.653 ,13.534 ,0.787   
0     ,0      ,256  ,127      ,288  ,12.466 ,20.038 ,0.622   
0     ,0      ,256  ,127      ,320  ,11.745 ,19.641 ,0.598   
0     ,0      ,256  ,127      ,512  ,14.248 ,20.251 ,0.704   
0     ,0      ,288  ,127      ,256  ,10.65  ,13.549 ,0.786   
0     ,0      ,32   ,127      ,16   ,4.686  ,5.804  ,0.807   
0     ,0      ,32   ,127      ,64   ,7.414  ,8.945  ,0.829   
0     ,0      ,320  ,127      ,256  ,10.65  ,13.534 ,0.787   
0     ,0      ,448  ,127      ,512  ,15.105 ,22.939 ,0.659   
0     ,0      ,480  ,127      ,512  ,17.202 ,21.655 ,0.794   
0     ,0      ,512  ,127      ,1024 ,21.301 ,25.223 ,0.844   
0     ,0      ,512  ,127      ,256  ,10.557 ,13.338 ,0.791   
0     ,0      ,512  ,127      ,448  ,14.085 ,18.135 ,0.777   
0     ,0      ,512  ,127      ,480  ,15.301 ,18.768 ,0.815   
0     ,0      ,512  ,127      ,512  ,15.419 ,17.062 ,0.904   
0     ,0      ,512  ,127      ,544  ,18.692 ,21.38  ,0.874   
0     ,0      ,512  ,127      ,576  ,16.083 ,23.448 ,0.686   
0     ,0      ,544  ,127      ,512  ,15.361 ,17.064 ,0.9     
0     ,0      ,576  ,127      ,512  ,15.464 ,17.08  ,0.905   
0     ,0      ,64   ,127      ,128  ,6.964  ,11.326 ,0.615   
0     ,0      ,64   ,127      ,32   ,4.037  ,5.707  ,0.707   
0     ,0      ,8    ,127      ,16   ,6.02   ,10.227 ,0.589   
0     ,0      ,96   ,127      ,128  ,8.704  ,11.725 ,0.742   
0     ,0      ,960  ,127      ,1024 ,23.778 ,30.148 ,0.789   
0     ,0      ,992  ,127      ,1024 ,25.995 ,28.082 ,0.926   
0     ,4      ,16   ,127      ,16   ,4.788  ,7.005  ,0.683   
0     ,4      ,32   ,127      ,16   ,4.733  ,5.761  ,0.822   
1     ,0      ,1024 ,127      ,1024 ,35.191 ,30.072 ,1.17    
1     ,0      ,1024 ,127      ,1056 ,37.101 ,36.838 ,1.007   
1     ,0      ,1024 ,127      ,1088 ,37.117 ,31.777 ,1.168   
1     ,0      ,1024 ,127      ,960  ,33.073 ,31.909 ,1.036   
1     ,0      ,1024 ,127      ,992  ,34.947 ,33.804 ,1.034   
1     ,0      ,1056 ,127      ,1024 ,35.133 ,33.464 ,1.05    
1     ,0      ,1088 ,127      ,1024 ,35.08  ,33.433 ,1.049   
1     ,0      ,128  ,127      ,128  ,9.27   ,12.125 ,0.764   
1     ,0      ,128  ,127      ,160  ,9.178  ,12.498 ,0.734   
1     ,0      ,128  ,127      ,192  ,9.092  ,14.85  ,0.612   
1     ,0      ,128  ,127      ,64   ,7.871  ,7.751  ,1.015   
1     ,0      ,128  ,127      ,96   ,7.695  ,10.11  ,0.761   
1     ,0      ,160  ,127      ,128  ,9.219  ,11.129 ,0.828   
1     ,0      ,192  ,127      ,128  ,9.2    ,11.062 ,0.832   
1     ,0      ,192  ,127      ,256  ,10.645 ,16.71  ,0.637   
1     ,0      ,224  ,127      ,256  ,12.81  ,16.396 ,0.781   
1     ,0      ,256  ,127      ,192  ,10.58  ,14.611 ,0.724   
1     ,0      ,256  ,127      ,224  ,10.889 ,15.345 ,0.71    
1     ,0      ,256  ,127      ,256  ,12.118 ,17.82  ,0.68    
1     ,0      ,256  ,127      ,288  ,15.665 ,19.059 ,0.822   
1     ,0      ,256  ,127      ,320  ,13.03  ,20.488 ,0.636   
1     ,0      ,288  ,127      ,256  ,12.077 ,17.319 ,0.697   
1     ,0      ,320  ,127      ,256  ,12.124 ,17.363 ,0.698   
1     ,0      ,448  ,127      ,512  ,19.049 ,23.58  ,0.808   
1     ,0      ,480  ,127      ,512  ,19.529 ,21.614 ,0.904   
1     ,0      ,512  ,127      ,448  ,18.087 ,19.583 ,0.924   
1     ,0      ,512  ,127      ,480  ,18.618 ,20.043 ,0.929   
1     ,0      ,512  ,127      ,512  ,19.319 ,20.638 ,0.936   
1     ,0      ,512  ,127      ,544  ,22.701 ,21.646 ,1.049   
1     ,0      ,512  ,127      ,576  ,20.756 ,23.968 ,0.866   
1     ,0      ,544  ,127      ,512  ,19.31  ,20.033 ,0.964   
1     ,0      ,576  ,127      ,512  ,19.345 ,20.034 ,0.966   
1     ,0      ,64   ,127      ,128  ,7.532  ,12.095 ,0.623   
1     ,0      ,96   ,127      ,128  ,9.137  ,11.547 ,0.791   
1     ,0      ,960  ,127      ,1024 ,35.159 ,30.682 ,1.146   
1     ,0      ,992  ,127      ,1024 ,35.908 ,35.193 ,1.02    
1     ,1      ,16   ,127      ,16   ,4.663  ,7.06   ,0.66    
1     ,2      ,16   ,127      ,16   ,4.816  ,7.063  ,0.682   
1     ,6      ,128  ,127      ,256  ,11.421 ,15.897 ,0.718   
1     ,6      ,2048 ,127      ,1024 ,36.397 ,35.714 ,1.019   
1     ,6      ,512  ,127      ,1024 ,28.827 ,28.145 ,1.024   
2     ,1      ,16   ,127      ,16   ,4.701  ,7.031  ,0.669   
2     ,2      ,16   ,127      ,16   ,4.626  ,6.949  ,0.666   
2     ,3      ,64   ,127      ,32   ,4.102  ,5.919  ,0.693   
2     ,4      ,1024 ,127      ,512  ,19.738 ,21.932 ,0.9     
2     ,4      ,16   ,127      ,16   ,4.767  ,6.988  ,0.682   
2     ,4      ,256  ,127      ,512  ,18.42  ,22.224 ,0.829   
2     ,4      ,64   ,127      ,128  ,9.04   ,13.057 ,0.692   
2     ,5      ,16   ,127      ,16   ,4.786  ,6.993  ,0.684   
2     ,7      ,4    ,127      ,2    ,6.054  ,6.708  ,0.903   
3     ,2      ,128  ,127      ,256  ,10.206 ,14.959 ,0.682   
3     ,2      ,32   ,127      ,64   ,8.784  ,8.849  ,0.993   
3     ,2      ,512  ,127      ,256  ,12.884 ,17.856 ,0.722   
3     ,3      ,16   ,127      ,16   ,4.655  ,6.959  ,0.669   
