
Results For: stpncpy
align1,align2 ,len  ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,127      ,1024 ,22.229 ,25.229 ,0.881   
0     ,0      ,1024 ,127      ,1056 ,26.593 ,31.402 ,0.847   
0     ,0      ,1024 ,127      ,1088 ,21.722 ,31.37  ,0.692   
0     ,0      ,1024 ,127      ,512  ,15.87  ,16.394 ,0.968   
0     ,0      ,1024 ,127      ,960  ,21.728 ,27.895 ,0.779   
0     ,0      ,1024 ,127      ,992  ,22.177 ,28.092 ,0.789   
0     ,0      ,1056 ,127      ,1024 ,22.18  ,25.279 ,0.877   
0     ,0      ,1088 ,127      ,1024 ,22.148 ,25.199 ,0.879   
0     ,0      ,128  ,127      ,128  ,6.765  ,9.132  ,0.741   
0     ,0      ,128  ,127      ,160  ,9.779  ,12.715 ,0.769   
0     ,0      ,128  ,127      ,192  ,8.288  ,13.041 ,0.636   
0     ,0      ,128  ,127      ,256  ,8.612  ,13.612 ,0.633   
0     ,0      ,128  ,127      ,64   ,5.172  ,6.604  ,0.783   
0     ,0      ,128  ,127      ,96   ,6.017  ,8.074  ,0.745   
0     ,0      ,16   ,127      ,32   ,5.768  ,11.506 ,0.501   
0     ,0      ,160  ,127      ,128  ,6.785  ,8.868  ,0.765   
0     ,0      ,192  ,127      ,128  ,6.79   ,8.902  ,0.763   
0     ,0      ,192  ,127      ,256  ,9.694  ,14.98  ,0.647   
0     ,0      ,2048 ,127      ,1024 ,22.925 ,25.241 ,0.908   
0     ,0      ,224  ,127      ,256  ,11.127 ,15.606 ,0.713   
0     ,0      ,256  ,127      ,128  ,6.695  ,8.889  ,0.753   
0     ,0      ,256  ,127      ,192  ,8.517  ,10.719 ,0.795   
0     ,0      ,256  ,127      ,224  ,9.126  ,11.794 ,0.774   
0     ,0      ,256  ,127      ,256  ,10.27  ,12.718 ,0.808   
0     ,0      ,256  ,127      ,288  ,12.202 ,19.344 ,0.631   
0     ,0      ,256  ,127      ,320  ,12.423 ,18.912 ,0.657   
0     ,0      ,256  ,127      ,512  ,14.468 ,19.671 ,0.736   
0     ,0      ,288  ,127      ,256  ,10.147 ,12.706 ,0.799   
0     ,0      ,32   ,127      ,16   ,4.807  ,5.788  ,0.831   
0     ,0      ,32   ,127      ,64   ,7.243  ,9.456  ,0.766   
0     ,0      ,320  ,127      ,256  ,10.246 ,12.737 ,0.804   
0     ,0      ,448  ,127      ,512  ,15.38  ,21.393 ,0.719   
0     ,0      ,480  ,127      ,512  ,18.151 ,20.988 ,0.865   
0     ,0      ,512  ,127      ,1024 ,20.031 ,24.738 ,0.81    
0     ,0      ,512  ,127      ,256  ,9.741  ,12.558 ,0.776   
0     ,0      ,512  ,127      ,448  ,14.537 ,18.65  ,0.779   
0     ,0      ,512  ,127      ,480  ,15.807 ,18.78  ,0.842   
0     ,0      ,512  ,127      ,512  ,15.824 ,16.644 ,0.951   
0     ,0      ,512  ,127      ,544  ,19.819 ,22.634 ,0.876   
0     ,0      ,512  ,127      ,576  ,16.199 ,22.316 ,0.726   
0     ,0      ,544  ,127      ,512  ,15.873 ,16.65  ,0.953   
0     ,0      ,576  ,127      ,512  ,15.803 ,16.707 ,0.946   
0     ,0      ,64   ,127      ,128  ,6.721  ,11.488 ,0.585   
0     ,0      ,64   ,127      ,32   ,4.625  ,6.306  ,0.733   
0     ,0      ,8    ,127      ,16   ,5.919  ,11.198 ,0.529   
0     ,0      ,96   ,127      ,128  ,8.763  ,11.612 ,0.755   
0     ,0      ,960  ,127      ,1024 ,22.376 ,30.193 ,0.741   
0     ,0      ,992  ,127      ,1024 ,25.0   ,29.606 ,0.844   
0     ,4      ,16   ,127      ,16   ,4.961  ,6.996  ,0.709   
0     ,4      ,32   ,127      ,16   ,4.902  ,5.744  ,0.853   
1     ,0      ,1024 ,127      ,1024 ,34.958 ,30.686 ,1.139   
1     ,0      ,1024 ,127      ,1056 ,36.793 ,31.499 ,1.168   
1     ,0      ,1024 ,127      ,1088 ,37.397 ,31.842 ,1.174   
1     ,0      ,1024 ,127      ,960  ,33.015 ,28.094 ,1.175   
1     ,0      ,1024 ,127      ,992  ,35.089 ,28.645 ,1.225   
1     ,0      ,1056 ,127      ,1024 ,35.045 ,29.752 ,1.178   
1     ,0      ,1088 ,127      ,1024 ,34.809 ,29.791 ,1.168   
1     ,0      ,128  ,127      ,128  ,9.183  ,11.46  ,0.801   
1     ,0      ,128  ,127      ,160  ,9.134  ,12.762 ,0.716   
