
Results For: strcat
align1,align2 ,len1 ,len2 ,max_char ,new    ,old    ,new/old 
0     ,0      ,0    ,0    ,127      ,18.575 ,18.248 ,1.018   
0     ,0      ,1    ,1    ,127      ,18.397 ,17.597 ,1.046   
0     ,0      ,10   ,10   ,127      ,18.524 ,18.186 ,1.019   
0     ,0      ,1024 ,1024 ,127      ,38.458 ,42.557 ,0.904   
0     ,0      ,1024 ,256  ,127      ,36.25  ,36.38  ,0.996   
0     ,0      ,1024 ,31   ,127      ,50.578 ,49.955 ,1.012   
0     ,0      ,11   ,11   ,127      ,18.544 ,18.197 ,1.019   
0     ,0      ,12   ,12   ,127      ,18.554 ,18.185 ,1.02    
0     ,0      ,128  ,128  ,127      ,24.393 ,23.406 ,1.042   
0     ,0      ,128  ,31   ,127      ,24.121 ,25.183 ,0.958   
0     ,0      ,128  ,32   ,127      ,20.552 ,23.683 ,0.868   
0     ,0      ,1280 ,31   ,127      ,58.635 ,57.896 ,1.013   
0     ,0      ,13   ,13   ,127      ,18.558 ,18.196 ,1.02    
0     ,0      ,14   ,14   ,127      ,18.568 ,18.171 ,1.022   
0     ,0      ,15   ,15   ,127      ,18.559 ,18.174 ,1.021   
0     ,0      ,1536 ,31   ,127      ,61.467 ,60.813 ,1.011   
0     ,0      ,16   ,16   ,127      ,18.348 ,18.099 ,1.014   
0     ,0      ,16   ,4    ,127      ,18.387 ,18.283 ,1.006   
0     ,0      ,160  ,31   ,127      ,25.869 ,26.676 ,0.97    
0     ,0      ,1792 ,31   ,127      ,66.99  ,66.97  ,1.0     
0     ,0      ,192  ,31   ,127      ,26.108 ,27.11  ,0.963   
0     ,0      ,2    ,2    ,127      ,18.542 ,18.131 ,1.023   
0     ,0      ,224  ,31   ,127      ,27.748 ,28.413 ,0.977   
0     ,0      ,256  ,256  ,127      ,26.368 ,26.965 ,0.978   
0     ,0      ,256  ,31   ,127      ,27.7   ,28.749 ,0.964   
0     ,0      ,256  ,64   ,127      ,25.784 ,27.403 ,0.941   
0     ,0      ,3    ,3    ,127      ,18.6   ,17.617 ,1.056   
0     ,0      ,32   ,31   ,127      ,19.298 ,18.862 ,1.023   
0     ,0      ,32   ,32   ,127      ,22.193 ,19.926 ,1.114   
0     ,0      ,32   ,8    ,127      ,19.458 ,19.017 ,1.023   
0     ,0      ,320  ,31   ,127      ,29.959 ,30.744 ,0.974   
0     ,0      ,384  ,31   ,127      ,30.861 ,32.202 ,0.958   
0     ,0      ,4    ,4    ,127      ,18.624 ,19.169 ,0.972   
0     ,0      ,448  ,31   ,127      ,32.767 ,33.557 ,0.976   
0     ,0      ,5    ,5    ,127      ,18.618 ,19.113 ,0.974   
0     ,0      ,512  ,128  ,127      ,29.925 ,29.865 ,1.002   
0     ,0      ,512  ,31   ,127      ,34.4   ,35.279 ,0.975   
0     ,0      ,512  ,512  ,127      ,31.71  ,29.277 ,1.083   
0     ,0      ,6    ,6    ,127      ,18.573 ,19.176 ,0.969   
0     ,0      ,64   ,16   ,127      ,24.711 ,24.773 ,0.998   
0     ,0      ,64   ,31   ,127      ,22.655 ,24.809 ,0.913   
0     ,0      ,64   ,64   ,127      ,22.804 ,22.764 ,1.002   
0     ,0      ,640  ,31   ,127      ,37.36  ,38.287 ,0.976   
0     ,0      ,7    ,7    ,127      ,18.571 ,19.082 ,0.973   
0     ,0      ,768  ,31   ,127      ,40.628 ,41.524 ,0.978   
0     ,0      ,8    ,8    ,127      ,18.454 ,18.129 ,1.018   
0     ,0      ,896  ,31   ,127      ,45.368 ,45.308 ,1.001   
0     ,0      ,9    ,9    ,127      ,18.454 ,18.118 ,1.019   
0     ,0      ,96   ,31   ,127      ,24.178 ,24.905 ,0.971   
0     ,1      ,1    ,1    ,127      ,18.359 ,17.562 ,1.045   
0     ,1      ,9    ,9    ,127      ,18.515 ,18.08  ,1.024   
0     ,2      ,10   ,10   ,127      ,18.531 ,18.123 ,1.023   
0     ,2      ,2    ,2    ,127      ,18.5   ,18.121 ,1.021   
0     ,3      ,11   ,11   ,127      ,18.619 ,18.141 ,1.026   
0     ,3      ,3    ,3    ,127      ,18.641 ,17.597 ,1.059   
0     ,4      ,12   ,12   ,127      ,18.5   ,18.152 ,1.019   
0     ,4      ,128  ,1    ,127      ,26.184 ,25.184 ,1.04    
0     ,4      ,4    ,4    ,127      ,18.702 ,18.097 ,1.033   
0     ,5      ,13   ,13   ,127      ,18.539 ,18.206 ,1.018   
0     ,5      ,5    ,5    ,127      ,18.631 ,18.144 ,1.027   
0     ,6      ,14   ,14   ,127      ,18.533 ,18.129 ,1.022   
0     ,6      ,6    ,6    ,127      ,18.624 ,18.111 ,1.028   
0     ,7      ,15   ,15   ,127      ,18.537 ,18.151 ,1.021   
0     ,7      ,7    ,7    ,127      ,18.65  ,18.117 ,1.029   
1     ,0      ,1    ,1    ,127      ,18.466 ,17.643 ,1.047   
1     ,0      ,1024 ,31   ,127      ,50.516 ,50.177 ,1.007   
1     ,0      ,128  ,31   ,127      ,24.097 ,25.103 ,0.96    
1     ,0      ,1280 ,31   ,127      ,58.759 ,57.254 ,1.026   
1     ,0      ,1536 ,31   ,127      ,61.229 ,60.684 ,1.009   
1     ,0      ,160  ,31   ,127      ,25.77  ,26.678 ,0.966   
1     ,0      ,1792 ,31   ,127      ,66.719 ,67.017 ,0.996   
1     ,0      ,192  ,31   ,127      ,25.983 ,27.133 ,0.958   
1     ,0      ,224  ,31   ,127      ,27.717 ,28.426 ,0.975   
1     ,0      ,256  ,31   ,127      ,27.696 ,28.724 ,0.964   
1     ,0      ,32   ,31   ,127      ,19.634 ,19.224 ,1.021   
1     ,0      ,320  ,31   ,127      ,29.986 ,30.812 ,0.973   
1     ,0      ,384  ,31   ,127      ,30.893 ,32.171 ,0.96    
1     ,0      ,448  ,31   ,127      ,32.679 ,33.119 ,0.987   
1     ,0      ,512  ,31   ,127      ,34.341 ,35.173 ,0.976   
1     ,0      ,64   ,31   ,127      ,22.71  ,24.622 ,0.922   
1     ,0      ,640  ,31   ,127      ,37.281 ,38.117 ,0.978   
1     ,0      ,768  ,31   ,127      ,40.658 ,41.532 ,0.979   
1     ,0      ,896  ,31   ,127      ,45.406 ,45.254 ,1.003   
1     ,0      ,9    ,9    ,127      ,18.571 ,18.189 ,1.021   
1     ,0      ,96   ,31   ,127      ,24.098 ,25.416 ,0.948   
1     ,1      ,16   ,10   ,127      ,18.552 ,18.415 ,1.007   
1     ,2      ,16   ,1    ,127      ,18.943 ,18.783 ,1.009   
1     ,6      ,1024 ,1024 ,127      ,54.266 ,50.083 ,1.084   
1     ,6      ,1024 ,256  ,127      ,54.04  ,52.769 ,1.024   
2     ,0      ,10   ,10   ,127      ,18.556 ,18.216 ,1.019   
2     ,0      ,2    ,2    ,127      ,18.377 ,18.131 ,1.014   
2     ,1      ,16   ,1    ,127      ,18.836 ,18.495 ,1.018   
2     ,2      ,32   ,10   ,127      ,19.44  ,18.935 ,1.027   
2     ,4      ,32   ,1    ,127      ,19.519 ,18.957 ,1.03    
2     ,4      ,512  ,128  ,127      ,37.714 ,38.146 ,0.989   
2     ,4      ,512  ,512  ,127      ,37.177 ,37.436 ,0.993   
2     ,5      ,256  ,1    ,127      ,29.699 ,30.057 ,0.988   
3     ,0      ,11   ,11   ,127      ,18.5   ,18.188 ,1.017   
3     ,0      ,3    ,3    ,127      ,18.617 ,17.615 ,1.057   
3     ,2      ,256  ,256  ,127      ,30.178 ,30.992 ,0.974   
3     ,2      ,256  ,64   ,127      ,29.201 ,31.286 ,0.933   
3     ,3      ,64   ,10   ,127      ,24.501 ,23.245 ,1.054   
3     ,6      ,64   ,1    ,127      ,24.465 ,23.349 ,1.048   
4     ,0      ,12   ,12   ,127      ,18.391 ,18.107 ,1.016   
4     ,0      ,128  ,1    ,127      ,24.935 ,26.656 ,0.935   
4     ,0      ,128  ,128  ,127      ,25.919 ,26.377 ,0.983   
4     ,0      ,128  ,32   ,127      ,23.827 ,27.879 ,0.855   
4     ,0      ,4    ,4    ,127      ,18.598 ,19.068 ,0.975   
4     ,2      ,32   ,1    ,127      ,19.01  ,18.852 ,1.008   
4     ,4      ,128  ,10   ,127      ,26.251 ,27.235 ,0.964   
4     ,6      ,512  ,1    ,127      ,36.793 ,38.164 ,0.964   
5     ,0      ,13   ,13   ,127      ,18.502 ,18.082 ,1.023   
5     ,0      ,5    ,5    ,127      ,18.515 ,19.024 ,0.973   
5     ,2      ,256  ,1    ,127      ,29.461 ,27.933 ,1.055   
5     ,5      ,256  ,10   ,127      ,29.773 ,30.621 ,0.972   
5     ,6      ,64   ,16   ,127      ,24.517 ,25.447 ,0.963   
5     ,6      ,64   ,64   ,127      ,23.839 ,25.481 ,0.936   
6     ,0      ,14   ,14   ,127      ,18.335 ,18.138 ,1.011   
6     ,0      ,6    ,6    ,127      ,18.602 ,19.105 ,0.974   
6     ,3      ,64   ,1    ,127      ,23.523 ,23.509 ,1.001   
6     ,4      ,32   ,32   ,127      ,22.378 ,21.508 ,1.04    
6     ,4      ,32   ,8    ,127      ,19.403 ,18.939 ,1.024   
6     ,4      ,512  ,1    ,127      ,36.114 ,34.725 ,1.04    
6     ,6      ,512  ,10   ,127      ,36.507 ,37.356 ,0.977   
6     ,7      ,1024 ,1    ,127      ,52.878 ,52.719 ,1.003   
7     ,0      ,15   ,15   ,127      ,18.508 ,18.136 ,1.021   
7     ,0      ,7    ,7    ,127      ,18.58  ,18.468 ,1.006   
7     ,2      ,16   ,16   ,127      ,18.317 ,18.138 ,1.01    
7     ,2      ,16   ,4    ,127      ,18.124 ,18.224 ,0.995   
7     ,6      ,1024 ,1    ,127      ,34.317 ,35.161 ,0.976   
7     ,7      ,1024 ,10   ,127      ,52.828 ,52.417 ,1.008   
0.9983089305193152
