
Results For: strcat
align1,align2 ,len1 ,len2 ,max_char ,new    ,old    ,new/old 
0     ,0      ,0    ,0    ,127      ,19.611 ,19.069 ,1.028   
0     ,0      ,1    ,1    ,127      ,19.081 ,18.194 ,1.049   
0     ,0      ,10   ,10   ,127      ,18.805 ,18.877 ,0.996   
0     ,0      ,1024 ,1024 ,127      ,41.822 ,45.335 ,0.922   
0     ,0      ,1024 ,256  ,127      ,37.966 ,37.328 ,1.017   
0     ,0      ,1024 ,31   ,127      ,51.323 ,50.935 ,1.008   
0     ,0      ,11   ,11   ,127      ,18.837 ,18.922 ,0.995   
0     ,0      ,12   ,12   ,127      ,18.925 ,18.886 ,1.002   
0     ,0      ,128  ,128  ,127      ,24.096 ,23.923 ,1.007   
0     ,0      ,128  ,31   ,127      ,25.118 ,26.086 ,0.963   
0     ,0      ,128  ,32   ,127      ,21.169 ,24.477 ,0.865   
0     ,0      ,1280 ,31   ,127      ,60.622 ,58.733 ,1.032   
0     ,0      ,13   ,13   ,127      ,18.879 ,18.856 ,1.001   
0     ,0      ,14   ,14   ,127      ,18.94  ,18.821 ,1.006   
0     ,0      ,15   ,15   ,127      ,18.858 ,18.885 ,0.999   
0     ,0      ,1536 ,31   ,127      ,61.78  ,61.922 ,0.998   
0     ,0      ,16   ,16   ,127      ,19.096 ,18.707 ,1.021   
0     ,0      ,16   ,4    ,127      ,19.293 ,18.963 ,1.017   
0     ,0      ,160  ,31   ,127      ,27.499 ,27.688 ,0.993   
0     ,0      ,1792 ,31   ,127      ,67.127 ,67.866 ,0.989   
0     ,0      ,192  ,31   ,127      ,28.195 ,27.805 ,1.014   
0     ,0      ,2    ,2    ,127      ,19.176 ,18.837 ,1.018   
0     ,0      ,224  ,31   ,127      ,28.945 ,29.049 ,0.996   
0     ,0      ,256  ,256  ,127      ,26.783 ,28.145 ,0.952   
0     ,0      ,256  ,31   ,127      ,28.447 ,29.676 ,0.959   
0     ,0      ,256  ,64   ,127      ,26.267 ,28.079 ,0.935   
0     ,0      ,3    ,3    ,127      ,18.879 ,18.128 ,1.041   
0     ,0      ,32   ,31   ,127      ,19.776 ,19.39  ,1.02    
0     ,0      ,32   ,32   ,127      ,22.959 ,20.153 ,1.139   
0     ,0      ,32   ,8    ,127      ,19.891 ,19.523 ,1.019   
0     ,0      ,320  ,31   ,127      ,29.827 ,31.518 ,0.946   
0     ,0      ,384  ,31   ,127      ,31.838 ,32.922 ,0.967   
0     ,0      ,4    ,4    ,127      ,18.916 ,19.769 ,0.957   
0     ,0      ,448  ,31   ,127      ,33.279 ,35.069 ,0.949   
0     ,0      ,5    ,5    ,127      ,18.957 ,19.851 ,0.955   
0     ,0      ,512  ,128  ,127      ,29.833 ,30.292 ,0.985   
0     ,0      ,512  ,31   ,127      ,35.336 ,36.548 ,0.967   
0     ,0      ,512  ,512  ,127      ,35.878 ,30.541 ,1.175   
0     ,0      ,6    ,6    ,127      ,18.928 ,19.744 ,0.959   
0     ,0      ,64   ,16   ,127      ,25.366 ,24.164 ,1.05    
0     ,0      ,64   ,31   ,127      ,23.216 ,24.148 ,0.961   
0     ,0      ,64   ,64   ,127      ,23.364 ,23.355 ,1.0     
0     ,0      ,640  ,31   ,127      ,37.987 ,39.166 ,0.97    
0     ,0      ,7    ,7    ,127      ,18.954 ,19.789 ,0.958   
0     ,0      ,768  ,31   ,127      ,41.139 ,42.253 ,0.974   
0     ,0      ,8    ,8    ,127      ,18.816 ,18.831 ,0.999   
0     ,0      ,896  ,31   ,127      ,46.282 ,45.879 ,1.009   
0     ,0      ,9    ,9    ,127      ,18.812 ,18.773 ,1.002   
0     ,0      ,96   ,31   ,127      ,24.539 ,25.671 ,0.956   
0     ,1      ,1    ,1    ,127      ,19.298 ,18.04  ,1.07    
0     ,1      ,9    ,9    ,127      ,18.807 ,18.738 ,1.004   
0     ,2      ,10   ,10   ,127      ,18.872 ,18.859 ,1.001   
0     ,2      ,2    ,2    ,127      ,19.203 ,18.867 ,1.018   
0     ,3      ,11   ,11   ,127      ,18.946 ,18.81  ,1.007   
0     ,3      ,3    ,3    ,127      ,18.978 ,18.157 ,1.045   
0     ,4      ,12   ,12   ,127      ,18.871 ,18.85  ,1.001   
0     ,4      ,128  ,1    ,127      ,27.167 ,25.94  ,1.047   
0     ,4      ,4    ,4    ,127      ,18.976 ,18.826 ,1.008   
0     ,5      ,13   ,13   ,127      ,18.857 ,18.891 ,0.998   
0     ,5      ,5    ,5    ,127      ,19.031 ,18.784 ,1.013   
0     ,6      ,14   ,14   ,127      ,18.83  ,18.738 ,1.005   
0     ,6      ,6    ,6    ,127      ,19.072 ,18.762 ,1.017   
0     ,7      ,15   ,15   ,127      ,18.901 ,18.727 ,1.009   
0     ,7      ,7    ,7    ,127      ,18.997 ,18.749 ,1.013   
1     ,0      ,1    ,1    ,127      ,19.26  ,18.226 ,1.057   
1     ,0      ,1024 ,31   ,127      ,51.369 ,51.12  ,1.005   
1     ,0      ,128  ,31   ,127      ,24.945 ,26.163 ,0.953   
1     ,0      ,1280 ,31   ,127      ,60.613 ,56.458 ,1.074   
1     ,0      ,1536 ,31   ,127      ,61.645 ,61.77  ,0.998   
1     ,0      ,160  ,31   ,127      ,27.373 ,27.661 ,0.99    
1     ,0      ,1792 ,31   ,127      ,67.106 ,67.797 ,0.99    
1     ,0      ,192  ,31   ,127      ,28.206 ,27.627 ,1.021   
1     ,0      ,224  ,31   ,127      ,28.855 ,29.241 ,0.987   
1     ,0      ,256  ,31   ,127      ,28.36  ,29.426 ,0.964   
1     ,0      ,32   ,31   ,127      ,20.172 ,19.87  ,1.015   
1     ,0      ,320  ,31   ,127      ,29.892 ,31.623 ,0.945   
1     ,0      ,384  ,31   ,127      ,31.707 ,32.896 ,0.964   
