
Results For: strcpy
align1,align2 ,len  ,max_char ,new    ,old    ,new/old 
0     ,0      ,0    ,127      ,3.806  ,4.425  ,0.86    
0     ,0      ,1    ,127      ,4.701  ,5.061  ,0.929   
0     ,0      ,10   ,127      ,5.213  ,7.826  ,0.666   
0     ,0      ,1024 ,127      ,24.724 ,24.206 ,1.021   
0     ,0      ,11   ,127      ,5.217  ,7.806  ,0.668   
0     ,0      ,12   ,127      ,5.226  ,7.93   ,0.659   
0     ,0      ,128  ,127      ,8.466  ,7.944  ,1.066   
0     ,0      ,13   ,127      ,5.241  ,7.816  ,0.671   
0     ,0      ,14   ,127      ,5.229  ,7.847  ,0.666   
0     ,0      ,15   ,127      ,4.97   ,6.674  ,0.745   
0     ,0      ,16   ,127      ,5.371  ,8.168  ,0.658   
0     ,0      ,2    ,127      ,4.698  ,4.994  ,0.941   
0     ,0      ,256  ,127      ,12.575 ,12.575 ,1.0     
0     ,0      ,3    ,127      ,5.204  ,4.874  ,1.068   
0     ,0      ,32   ,127      ,5.364  ,5.74   ,0.934   
0     ,0      ,4    ,127      ,5.294  ,7.539  ,0.702   
0     ,0      ,5    ,127      ,5.234  ,7.413  ,0.706   
0     ,0      ,512  ,127      ,17.663 ,16.342 ,1.081   
0     ,0      ,6    ,127      ,5.241  ,7.484  ,0.7     
0     ,0      ,64   ,127      ,7.42   ,6.798  ,1.091   
0     ,0      ,7    ,127      ,4.921  ,6.589  ,0.747   
0     ,0      ,8    ,127      ,5.304  ,8.007  ,0.662   
0     ,0      ,9    ,127      ,5.197  ,7.744  ,0.671   
0     ,1      ,1    ,127      ,4.726  ,5.137  ,0.92    
0     ,1      ,9    ,127      ,5.197  ,7.848  ,0.662   
0     ,2      ,10   ,127      ,5.255  ,7.778  ,0.676   
0     ,2      ,2    ,127      ,4.722  ,5.101  ,0.926   
0     ,3      ,11   ,127      ,5.221  ,7.78   ,0.671   
0     ,3      ,3    ,127      ,5.198  ,4.916  ,1.057   
0     ,4      ,100  ,127      ,8.233  ,11.566 ,0.712   
0     ,4      ,104  ,127      ,8.198  ,11.558 ,0.709   
0     ,4      ,108  ,127      ,8.217  ,10.631 ,0.773   
0     ,4      ,112  ,127      ,8.236  ,11.623 ,0.709   
0     ,4      ,116  ,127      ,8.328  ,10.872 ,0.766   
0     ,4      ,12   ,127      ,5.237  ,7.334  ,0.714   
0     ,4      ,120  ,127      ,8.254  ,10.769 ,0.766   
0     ,4      ,124  ,127      ,8.241  ,10.628 ,0.775   
0     ,4      ,128  ,127      ,10.058 ,9.16   ,1.098   
0     ,4      ,132  ,127      ,9.464  ,12.904 ,0.733   
0     ,4      ,136  ,127      ,9.506  ,12.345 ,0.77    
0     ,4      ,140  ,127      ,9.505  ,10.872 ,0.874   
0     ,4      ,144  ,127      ,9.458  ,12.343 ,0.766   
0     ,4      ,148  ,127      ,9.482  ,10.989 ,0.863   
0     ,4      ,152  ,127      ,9.487  ,10.967 ,0.865   
0     ,4      ,156  ,127      ,9.362  ,10.917 ,0.858   
