
Results For: strcpy
align1,align2 ,len  ,max_char ,new    ,old    ,new/old 
0     ,0      ,0    ,127      ,3.277  ,4.49   ,0.73    
0     ,0      ,1    ,127      ,4.555  ,4.986  ,0.914   
0     ,0      ,10   ,127      ,5.022  ,7.437  ,0.675   
0     ,0      ,1024 ,127      ,24.672 ,25.029 ,0.986   
0     ,0      ,11   ,127      ,5.053  ,7.462  ,0.677   
0     ,0      ,12   ,127      ,5.01   ,7.458  ,0.672   
0     ,0      ,128  ,127      ,8.508  ,8.035  ,1.059   
0     ,0      ,13   ,127      ,5.034  ,7.472  ,0.674   
0     ,0      ,14   ,127      ,5.048  ,7.488  ,0.674   
0     ,0      ,15   ,127      ,4.816  ,6.692  ,0.72    
0     ,0      ,16   ,127      ,5.173  ,7.78   ,0.665   
0     ,0      ,2    ,127      ,4.538  ,4.807  ,0.944   
0     ,0      ,256  ,127      ,12.591 ,13.463 ,0.935   
0     ,0      ,3    ,127      ,4.914  ,4.335  ,1.134   
0     ,0      ,32   ,127      ,5.482  ,5.573  ,0.984   
0     ,0      ,4    ,127      ,5.028  ,7.564  ,0.665   
0     ,0      ,5    ,127      ,4.934  ,7.439  ,0.663   
0     ,0      ,512  ,127      ,17.511 ,17.167 ,1.02    
0     ,0      ,6    ,127      ,4.964  ,7.434  ,0.668   
0     ,0      ,64   ,127      ,7.38   ,6.464  ,1.142   
0     ,0      ,7    ,127      ,4.694  ,6.506  ,0.721   
0     ,0      ,8    ,127      ,5.1    ,7.604  ,0.671   
0     ,0      ,9    ,127      ,5.007  ,7.422  ,0.675   
0     ,1      ,1    ,127      ,4.592  ,5.058  ,0.908   
0     ,1      ,9    ,127      ,5.002  ,7.423  ,0.674   
0     ,2      ,10   ,127      ,5.014  ,7.438  ,0.674   
0     ,2      ,2    ,127      ,4.573  ,4.801  ,0.953   
0     ,3      ,11   ,127      ,5.071  ,7.488  ,0.677   
0     ,3      ,3    ,127      ,4.925  ,4.392  ,1.122   
0     ,4      ,100  ,127      ,8.201  ,11.605 ,0.707   
0     ,4      ,104  ,127      ,8.164  ,11.559 ,0.706   
0     ,4      ,108  ,127      ,8.179  ,11.001 ,0.743   
0     ,4      ,112  ,127      ,8.201  ,11.577 ,0.708   
0     ,4      ,116  ,127      ,8.236  ,11.023 ,0.747   
0     ,4      ,12   ,127      ,5.023  ,7.51   ,0.669   
0     ,4      ,120  ,127      ,8.222  ,10.979 ,0.749   
0     ,4      ,124  ,127      ,7.912  ,11.066 ,0.715   
0     ,4      ,128  ,127      ,10.027 ,9.741  ,1.029   
0     ,4      ,132  ,127      ,9.513  ,12.864 ,0.74    
0     ,4      ,136  ,127      ,9.534  ,12.563 ,0.759   
0     ,4      ,140  ,127      ,9.559  ,10.985 ,0.87    
0     ,4      ,144  ,127      ,9.51   ,12.486 ,0.762   
0     ,4      ,148  ,127      ,9.534  ,11.022 ,0.865   
0     ,4      ,152  ,127      ,9.538  ,10.992 ,0.868   
0     ,4      ,156  ,127      ,9.427  ,11.024 ,0.855   
0     ,4      ,16   ,127      ,5.257  ,7.875  ,0.668   
0     ,4      ,160  ,127      ,14.089 ,11.144 ,1.264   
0     ,4      ,164  ,127      ,13.25  ,13.431 ,0.987   
0     ,4      ,168  ,127      ,13.3   ,12.968 ,1.026   
0     ,4      ,172  ,127      ,13.334 ,11.766 ,1.133   
0     ,4      ,176  ,127      ,13.329 ,13.129 ,1.015   
0     ,4      ,180  ,127      ,13.266 ,11.699 ,1.134   
0     ,4      ,184  ,127      ,13.332 ,11.737 ,1.136   
0     ,4      ,188  ,127      ,12.662 ,12.935 ,0.979   
0     ,4      ,192  ,127      ,14.823 ,11.507 ,1.288   
0     ,4      ,196  ,127      ,12.475 ,14.1   ,0.885   
0     ,4      ,20   ,127      ,5.427  ,7.846  ,0.692   
0     ,4      ,200  ,127      ,12.466 ,13.419 ,0.929   
0     ,4      ,204  ,127      ,12.526 ,11.636 ,1.077   
0     ,4      ,208  ,127      ,12.499 ,13.577 ,0.921   
0     ,4      ,212  ,127      ,12.586 ,11.612 ,1.084   
0     ,4      ,216  ,127      ,12.632 ,11.604 ,1.089   
0     ,4      ,220  ,127      ,12.342 ,11.575 ,1.066   
0     ,4      ,224  ,127      ,13.12  ,11.511 ,1.14    
0     ,4      ,228  ,127      ,12.282 ,13.598 ,0.903   
0     ,4      ,232  ,127      ,12.276 ,13.613 ,0.902   
0     ,4      ,236  ,127      ,12.308 ,12.053 ,1.021   
0     ,4      ,24   ,127      ,5.231  ,7.777  ,0.673   
0     ,4      ,240  ,127      ,12.363 ,13.571 ,0.911   
0     ,4      ,244  ,127      ,12.37  ,12.156 ,1.018   
0     ,4      ,248  ,127      ,12.365 ,12.106 ,1.021   
0     ,4      ,252  ,127      ,12.391 ,12.129 ,1.022   
0     ,4      ,256  ,127      ,17.072 ,16.982 ,1.005   
0     ,4      ,260  ,127      ,16.081 ,18.574 ,0.866   
0     ,4      ,264  ,127      ,16.013 ,17.998 ,0.89    
0     ,4      ,268  ,127      ,16.051 ,17.473 ,0.919   
0     ,4      ,272  ,127      ,16.048 ,17.691 ,0.907   
0     ,4      ,276  ,127      ,16.09  ,17.156 ,0.938   
0     ,4      ,28   ,127      ,5.244  ,7.699  ,0.681   
0     ,4      ,280  ,127      ,16.097 ,17.246 ,0.933   
0     ,4      ,284  ,127      ,16.092 ,17.192 ,0.936   
0     ,4      ,288  ,127      ,16.535 ,18.169 ,0.91    
0     ,4      ,292  ,127      ,15.571 ,19.063 ,0.817   
0     ,4      ,296  ,127      ,15.53  ,18.87  ,0.823   
0     ,4      ,300  ,127      ,15.527 ,17.606 ,0.882   
0     ,4      ,304  ,127      ,15.538 ,18.523 ,0.839   
0     ,4      ,308  ,127      ,15.532 ,17.434 ,0.891   
0     ,4      ,312  ,127      ,15.455 ,17.555 ,0.88    
0     ,4      ,316  ,127      ,15.982 ,17.966 ,0.89    
0     ,4      ,32   ,127      ,6.352  ,5.746  ,1.105   
0     ,4      ,320  ,127      ,18.125 ,18.566 ,0.976   
0     ,4      ,324  ,127      ,17.118 ,19.474 ,0.879   
0     ,4      ,328  ,127      ,17.008 ,19.233 ,0.884   
0     ,4      ,332  ,127      ,17.043 ,18.266 ,0.933   
0     ,4      ,336  ,127      ,17.216 ,19.163 ,0.898   
0     ,4      ,340  ,127      ,17.079 ,17.867 ,0.956   
0     ,4      ,344  ,127      ,17.11  ,17.953 ,0.953   
0     ,4      ,348  ,127      ,16.486 ,17.973 ,0.917   
0     ,4      ,352  ,127      ,17.614 ,19.514 ,0.903   
0     ,4      ,356  ,127      ,16.164 ,19.897 ,0.812   
0     ,4      ,36   ,127      ,6.334  ,8.284  ,0.765   
0     ,4      ,360  ,127      ,16.173 ,19.431 ,0.832   
0     ,4      ,364  ,127      ,16.115 ,18.409 ,0.875   
0     ,4      ,368  ,127      ,16.188 ,19.515 ,0.83    
0     ,4      ,372  ,127      ,16.115 ,18.337 ,0.879   
0     ,4      ,376  ,127      ,16.173 ,18.358 ,0.881   
0     ,4      ,380  ,127      ,15.97  ,18.626 ,0.857   
0     ,4      ,384  ,127      ,21.258 ,18.288 ,1.162   
0     ,4      ,388  ,127      ,19.493 ,20.574 ,0.947   
0     ,4      ,392  ,127      ,19.496 ,20.049 ,0.972   
0     ,4      ,396  ,127      ,19.493 ,19.322 ,1.009   
0     ,4      ,4    ,127      ,4.766  ,5.94   ,0.802   
0     ,4      ,40   ,127      ,6.334  ,8.895  ,0.712   
0     ,4      ,400  ,127      ,19.442 ,20.675 ,0.94    
0     ,4      ,404  ,127      ,19.509 ,19.355 ,1.008   
0     ,4      ,408  ,127      ,19.282 ,18.803 ,1.025   
0     ,4      ,412  ,127      ,18.948 ,18.743 ,1.011   
0     ,4      ,416  ,127      ,19.884 ,19.705 ,1.009   
0     ,4      ,420  ,127      ,19.093 ,21.112 ,0.904   
0     ,4      ,424  ,127      ,19.133 ,20.555 ,0.931   
0     ,4      ,428  ,127      ,19.178 ,19.288 ,0.994   
0     ,4      ,432  ,127      ,19.18  ,20.558 ,0.933   
0     ,4      ,436  ,127      ,19.135 ,19.256 ,0.994   
0     ,4      ,44   ,127      ,6.344  ,8.214  ,0.772   
0     ,4      ,440  ,127      ,19.13  ,19.272 ,0.993   
0     ,4      ,444  ,127      ,19.184 ,19.462 ,0.986   
0     ,4      ,448  ,127      ,22.006 ,20.321 ,1.083   
0     ,4      ,452  ,127      ,20.52  ,21.651 ,0.948   
0     ,4      ,456  ,127      ,20.52  ,21.029 ,0.976   
0     ,4      ,460  ,127      ,20.522 ,19.805 ,1.036   
0     ,4      ,464  ,127      ,20.518 ,21.276 ,0.964   
0     ,4      ,468  ,127      ,20.599 ,19.809 ,1.04    
0     ,4      ,472  ,127      ,20.476 ,19.879 ,1.03    
0     ,4      ,476  ,127      ,20.029 ,19.941 ,1.004   
0     ,4      ,48   ,127      ,6.364  ,8.986  ,0.708   
0     ,4      ,480  ,127      ,20.821 ,20.744 ,1.004   
0     ,4      ,484  ,127      ,19.83  ,21.985 ,0.902   
0     ,4      ,488  ,127      ,19.871 ,21.271 ,0.934   
0     ,4      ,492  ,127      ,19.949 ,20.291 ,0.983   
0     ,4      ,496  ,127      ,19.897 ,21.413 ,0.929   
0     ,4      ,500  ,127      ,19.935 ,20.284 ,0.983   
0     ,4      ,504  ,127      ,19.866 ,20.322 ,0.978   
