
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,1024 ,127      ,1024 ,37.78  ,41.538 ,0.91    
0     ,0      ,1024 ,1024 ,127      ,1056 ,40.024 ,46.738 ,0.856   
0     ,0      ,1024 ,1024 ,127      ,1088 ,39.983 ,46.432 ,0.861   
0     ,0      ,1024 ,1024 ,127      ,128  ,36.496 ,25.1   ,1.454   
0     ,0      ,1024 ,1024 ,127      ,2    ,18.597 ,20.89  ,0.89    
0     ,0      ,1024 ,1024 ,127      ,2048 ,39.091 ,44.716 ,0.874   
0     ,0      ,1024 ,1024 ,127      ,32   ,18.642 ,22.859 ,0.816   
0     ,0      ,1024 ,1024 ,127      ,512  ,31.491 ,31.789 ,0.991   
0     ,0      ,1024 ,1024 ,127      ,8    ,19.202 ,20.844 ,0.921   
0     ,0      ,1024 ,1024 ,127      ,960  ,36.714 ,43.85  ,0.837   
0     ,0      ,1024 ,1024 ,127      ,992  ,37.557 ,44.432 ,0.845   
0     ,0      ,1024 ,1056 ,127      ,1024 ,38.371 ,41.125 ,0.933   
0     ,0      ,1024 ,1088 ,127      ,1024 ,38.35  ,40.963 ,0.936   
0     ,0      ,1024 ,256  ,127      ,128  ,21.309 ,23.16  ,0.92    
0     ,0      ,1024 ,256  ,127      ,2    ,19.36  ,19.643 ,0.986   
0     ,0      ,1024 ,256  ,127      ,2048 ,38.217 ,37.853 ,1.01    
0     ,0      ,1024 ,256  ,127      ,32   ,19.488 ,19.681 ,0.99    
0     ,0      ,1024 ,256  ,127      ,512  ,27.69  ,29.644 ,0.934   
0     ,0      ,1024 ,256  ,127      ,8    ,19.198 ,19.785 ,0.97    
0     ,0      ,1024 ,960  ,127      ,1024 ,38.141 ,42.11  ,0.906   
0     ,0      ,1024 ,992  ,127      ,1024 ,38.67  ,41.55  ,0.931   
0     ,0      ,128  ,128  ,127      ,128  ,19.875 ,22.218 ,0.895   
