
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,1024 ,127      ,1024 ,41.556 ,45.587 ,0.912   
0     ,0      ,1024 ,1024 ,127      ,1056 ,42.548 ,49.242 ,0.864   
0     ,0      ,1024 ,1024 ,127      ,1088 ,42.088 ,48.199 ,0.873   
0     ,0      ,1024 ,1024 ,127      ,128  ,23.005 ,25.579 ,0.899   
0     ,0      ,1024 ,1024 ,127      ,2    ,18.664 ,21.227 ,0.879   
0     ,0      ,1024 ,1024 ,127      ,2048 ,42.755 ,46.664 ,0.916   
0     ,0      ,1024 ,1024 ,127      ,32   ,18.687 ,20.896 ,0.894   
0     ,0      ,1024 ,1024 ,127      ,512  ,30.633 ,34.074 ,0.899   
0     ,0      ,1024 ,1024 ,127      ,8    ,18.668 ,20.792 ,0.898   
0     ,0      ,1024 ,1024 ,127      ,960  ,39.432 ,47.19  ,0.836   
0     ,0      ,1024 ,1024 ,127      ,992  ,39.853 ,46.615 ,0.855   
0     ,0      ,1024 ,1056 ,127      ,1024 ,41.739 ,45.891 ,0.91    
0     ,0      ,1024 ,1088 ,127      ,1024 ,41.898 ,46.486 ,0.901   
0     ,0      ,1024 ,256  ,127      ,128  ,21.272 ,23.293 ,0.913   
0     ,0      ,1024 ,256  ,127      ,2    ,19.075 ,20.111 ,0.949   
0     ,0      ,1024 ,256  ,127      ,2048 ,39.867 ,40.68  ,0.98    
0     ,0      ,1024 ,256  ,127      ,32   ,19.179 ,21.361 ,0.898   
0     ,0      ,1024 ,256  ,127      ,512  ,28.972 ,30.214 ,0.959   
0     ,0      ,1024 ,256  ,127      ,8    ,18.907 ,20.788 ,0.909   
0     ,0      ,1024 ,960  ,127      ,1024 ,40.647 ,45.212 ,0.899   
0     ,0      ,1024 ,992  ,127      ,1024 ,40.69  ,45.446 ,0.895   
0     ,0      ,128  ,128  ,127      ,128  ,20.545 ,22.825 ,0.9     
0     ,0      ,128  ,128  ,127      ,160  ,24.798 ,24.139 ,1.027   
0     ,0      ,128  ,128  ,127      ,192  ,24.644 ,23.956 ,1.029   
0     ,0      ,128  ,128  ,127      ,2    ,18.953 ,19.604 ,0.967   
0     ,0      ,128  ,128  ,127      ,2048 ,23.957 ,23.195 ,1.033   
0     ,0      ,128  ,128  ,127      ,32   ,18.129 ,19.631 ,0.923   
0     ,0      ,128  ,128  ,127      ,512  ,24.042 ,23.15  ,1.039   
