
Results For: strncpy
align1,align2 ,len  ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,127      ,1024 ,24.295 ,24.065 ,1.01    
0     ,0      ,1024 ,127      ,1056 ,27.761 ,28.922 ,0.96    
0     ,0      ,1024 ,127      ,1088 ,25.311 ,31.188 ,0.812   
0     ,0      ,1024 ,127      ,512  ,15.142 ,16.246 ,0.932   
0     ,0      ,1024 ,127      ,960  ,22.712 ,26.372 ,0.861   
0     ,0      ,1024 ,127      ,992  ,23.761 ,26.363 ,0.901   
0     ,0      ,1056 ,127      ,1024 ,24.177 ,24.09  ,1.004   
0     ,0      ,1088 ,127      ,1024 ,24.344 ,24.076 ,1.011   
0     ,0      ,128  ,127      ,128  ,6.791  ,9.642  ,0.704   
0     ,0      ,128  ,127      ,160  ,9.846  ,12.92  ,0.762   
0     ,0      ,128  ,127      ,192  ,8.378  ,13.275 ,0.631   
0     ,0      ,128  ,127      ,256  ,8.989  ,13.42  ,0.67    
0     ,0      ,128  ,127      ,64   ,5.357  ,7.699  ,0.696   
0     ,0      ,128  ,127      ,96   ,6.083  ,8.512  ,0.715   
0     ,0      ,16   ,127      ,32   ,4.832  ,8.904  ,0.543   
0     ,0      ,160  ,127      ,128  ,6.836  ,9.499  ,0.72    
0     ,0      ,192  ,127      ,128  ,6.752  ,9.53   ,0.708   
0     ,0      ,192  ,127      ,256  ,10.355 ,14.638 ,0.707   
0     ,0      ,2048 ,127      ,1024 ,24.287 ,24.004 ,1.012   
0     ,0      ,224  ,127      ,256  ,11.326 ,15.255 ,0.742   
0     ,0      ,256  ,127      ,128  ,7.021  ,9.457  ,0.742   
0     ,0      ,256  ,127      ,192  ,8.764  ,11.079 ,0.791   
0     ,0      ,256  ,127      ,224  ,9.242  ,11.628 ,0.795   
0     ,0      ,256  ,127      ,256  ,10.724 ,13.132 ,0.817   
0     ,0      ,256  ,127      ,288  ,12.363 ,19.785 ,0.625   
0     ,0      ,256  ,127      ,320  ,11.655 ,19.698 ,0.592   
0     ,0      ,256  ,127      ,512  ,14.867 ,20.001 ,0.743   
0     ,0      ,288  ,127      ,256  ,10.656 ,13.063 ,0.816   
0     ,0      ,32   ,127      ,16   ,5.273  ,6.362  ,0.829   
0     ,0      ,32   ,127      ,64   ,7.325  ,9.174  ,0.799   
0     ,0      ,320  ,127      ,256  ,11.157 ,12.922 ,0.863   
0     ,0      ,448  ,127      ,512  ,15.218 ,22.307 ,0.682   
0     ,0      ,480  ,127      ,512  ,17.2   ,21.552 ,0.798   
0     ,0      ,512  ,127      ,1024 ,21.314 ,24.988 ,0.853   
0     ,0      ,512  ,127      ,256  ,10.347 ,12.751 ,0.811   
0     ,0      ,512  ,127      ,448  ,14.183 ,18.25  ,0.777   
0     ,0      ,512  ,127      ,480  ,14.922 ,18.745 ,0.796   
0     ,0      ,512  ,127      ,512  ,15.492 ,16.375 ,0.946   
0     ,0      ,512  ,127      ,544  ,18.694 ,21.391 ,0.874   
0     ,0      ,512  ,127      ,576  ,16.125 ,22.459 ,0.718   
