
Results For: strncpy
align1,align2 ,len  ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,127      ,1024 ,21.513 ,25.232 ,0.853   
0     ,0      ,1024 ,127      ,1056 ,26.616 ,30.953 ,0.86    
0     ,0      ,1024 ,127      ,1088 ,21.934 ,32.255 ,0.68    
0     ,0      ,1024 ,127      ,512  ,15.751 ,16.326 ,0.965   
0     ,0      ,1024 ,127      ,960  ,20.822 ,27.566 ,0.755   
0     ,0      ,1024 ,127      ,992  ,21.187 ,27.991 ,0.757   
0     ,0      ,1056 ,127      ,1024 ,21.519 ,25.302 ,0.85    
0     ,0      ,1088 ,127      ,1024 ,21.477 ,25.253 ,0.85    
0     ,0      ,128  ,127      ,128  ,6.502  ,8.596  ,0.756   
0     ,0      ,128  ,127      ,160  ,9.83   ,11.842 ,0.83    
0     ,0      ,128  ,127      ,192  ,8.471  ,13.038 ,0.65    
0     ,0      ,128  ,127      ,256  ,8.833  ,13.505 ,0.654   
0     ,0      ,128  ,127      ,64   ,5.934  ,5.929  ,1.001   
0     ,0      ,128  ,127      ,96   ,6.37   ,7.578  ,0.841   
0     ,0      ,16   ,127      ,32   ,5.804  ,9.419  ,0.616   
0     ,0      ,160  ,127      ,128  ,6.524  ,8.642  ,0.755   
0     ,0      ,192  ,127      ,128  ,6.516  ,8.504  ,0.766   
0     ,0      ,192  ,127      ,256  ,9.714  ,14.922 ,0.651   
0     ,0      ,2048 ,127      ,1024 ,21.487 ,25.15  ,0.854   
0     ,0      ,224  ,127      ,256  ,11.116 ,14.543 ,0.764   
0     ,0      ,256  ,127      ,128  ,6.472  ,8.284  ,0.781   
0     ,0      ,256  ,127      ,192  ,9.777  ,10.468 ,0.934   
0     ,0      ,256  ,127      ,224  ,9.511  ,11.37  ,0.837   
0     ,0      ,256  ,127      ,256  ,10.156 ,12.224 ,0.831   
0     ,0      ,256  ,127      ,288  ,12.148 ,19.04  ,0.638   
0     ,0      ,256  ,127      ,320  ,12.056 ,18.797 ,0.641   
0     ,0      ,256  ,127      ,512  ,15.02  ,19.404 ,0.774   
0     ,0      ,288  ,127      ,256  ,10.189 ,12.217 ,0.834   
0     ,0      ,32   ,127      ,16   ,5.272  ,5.796  ,0.91    
0     ,0      ,32   ,127      ,64   ,7.352  ,8.269  ,0.889   
0     ,0      ,320  ,127      ,256  ,10.151 ,12.281 ,0.827   
0     ,0      ,448  ,127      ,512  ,15.228 ,21.853 ,0.697   
0     ,0      ,480  ,127      ,512  ,17.412 ,21.064 ,0.827   
0     ,0      ,512  ,127      ,1024 ,20.555 ,24.327 ,0.845   
0     ,0      ,512  ,127      ,256  ,9.89   ,12.176 ,0.812   
0     ,0      ,512  ,127      ,448  ,14.464 ,18.228 ,0.793   
0     ,0      ,512  ,127      ,480  ,15.125 ,18.676 ,0.81    
0     ,0      ,512  ,127      ,512  ,15.746 ,16.382 ,0.961   
0     ,0      ,512  ,127      ,544  ,19.381 ,21.941 ,0.883   
0     ,0      ,512  ,127      ,576  ,16.507 ,23.017 ,0.717   
0     ,0      ,544  ,127      ,512  ,15.738 ,16.38  ,0.961   
0     ,0      ,576  ,127      ,512  ,15.787 ,16.404 ,0.962   
0     ,0      ,64   ,127      ,128  ,6.812  ,11.437 ,0.596   
0     ,0      ,64   ,127      ,32   ,4.57   ,5.782  ,0.79    
0     ,0      ,8    ,127      ,16   ,6.03   ,10.369 ,0.582   
0     ,0      ,96   ,127      ,128  ,8.547  ,10.85  ,0.788   
0     ,0      ,960  ,127      ,1024 ,20.746 ,30.96  ,0.67    
0     ,0      ,992  ,127      ,1024 ,25.338 ,29.483 ,0.859   
0     ,4      ,16   ,127      ,16   ,5.2    ,5.864  ,0.887   
0     ,4      ,32   ,127      ,16   ,5.212  ,5.711  ,0.913   
1     ,0      ,1024 ,127      ,1024 ,35.326 ,30.446 ,1.16    
1     ,0      ,1024 ,127      ,1056 ,36.992 ,30.797 ,1.201   
1     ,0      ,1024 ,127      ,1088 ,37.358 ,32.456 ,1.151   
1     ,0      ,1024 ,127      ,960  ,33.248 ,28.038 ,1.186   
1     ,0      ,1024 ,127      ,992  ,35.065 ,28.468 ,1.232   
1     ,0      ,1056 ,127      ,1024 ,35.325 ,29.934 ,1.18    
1     ,0      ,1088 ,127      ,1024 ,35.26  ,29.819 ,1.182   
1     ,0      ,128  ,127      ,128  ,9.147  ,11.133 ,0.822   
1     ,0      ,128  ,127      ,160  ,9.332  ,11.822 ,0.789   
1     ,0      ,128  ,127      ,192  ,9.209  ,13.732 ,0.671   
1     ,0      ,128  ,127      ,64   ,7.693  ,8.037  ,0.957   
1     ,0      ,128  ,127      ,96   ,7.162  ,9.482  ,0.755   
1     ,0      ,160  ,127      ,128  ,9.08   ,10.385 ,0.874   
1     ,0      ,192  ,127      ,128  ,9.042  ,10.302 ,0.878   
1     ,0      ,192  ,127      ,256  ,10.339 ,16.124 ,0.641   
1     ,0      ,224  ,127      ,256  ,12.624 ,15.18  ,0.832   
1     ,0      ,256  ,127      ,192  ,10.632 ,12.634 ,0.842   
1     ,0      ,256  ,127      ,224  ,10.642 ,13.614 ,0.782   
1     ,0      ,256  ,127      ,256  ,12.316 ,17.112 ,0.72    
1     ,0      ,256  ,127      ,288  ,16.089 ,18.024 ,0.893   
1     ,0      ,256  ,127      ,320  ,13.899 ,19.709 ,0.705   
1     ,0      ,288  ,127      ,256  ,12.2   ,16.422 ,0.743   
1     ,0      ,320  ,127      ,256  ,12.26  ,16.438 ,0.746   
1     ,0      ,448  ,127      ,512  ,19.044 ,21.941 ,0.868   
1     ,0      ,480  ,127      ,512  ,19.944 ,21.631 ,0.922   
1     ,0      ,512  ,127      ,448  ,17.958 ,19.541 ,0.919   
1     ,0      ,512  ,127      ,480  ,18.632 ,19.697 ,0.946   
1     ,0      ,512  ,127      ,512  ,19.709 ,21.11  ,0.934   
1     ,0      ,512  ,127      ,544  ,23.318 ,21.497 ,1.085   
1     ,0      ,512  ,127      ,576  ,20.815 ,23.227 ,0.896   
1     ,0      ,544  ,127      ,512  ,19.748 ,20.602 ,0.959   
1     ,0      ,576  ,127      ,512  ,19.635 ,20.572 ,0.954   
1     ,0      ,64   ,127      ,128  ,7.317  ,11.65  ,0.628   
1     ,0      ,96   ,127      ,128  ,9.139  ,10.623 ,0.86    
1     ,0      ,960  ,127      ,1024 ,35.295 ,30.308 ,1.165   
1     ,0      ,992  ,127      ,1024 ,35.97  ,29.528 ,1.218   
1     ,1      ,16   ,127      ,16   ,5.253  ,6.177  ,0.85    
1     ,2      ,16   ,127      ,16   ,5.211  ,5.814  ,0.896   
1     ,6      ,128  ,127      ,256  ,11.022 ,14.662 ,0.752   
1     ,6      ,2048 ,127      ,1024 ,36.614 ,30.719 ,1.192   
1     ,6      ,512  ,127      ,1024 ,27.376 ,24.792 ,1.104   
2     ,1      ,16   ,127      ,16   ,5.218  ,6.394  ,0.816   
2     ,2      ,16   ,127      ,16   ,5.17   ,5.775  ,0.895   
2     ,3      ,64   ,127      ,32   ,4.815  ,5.97   ,0.807   
2     ,4      ,1024 ,127      ,512  ,21.107 ,22.298 ,0.947   
2     ,4      ,16   ,127      ,16   ,5.198  ,5.809  ,0.895   
2     ,4      ,256  ,127      ,512  ,19.012 ,21.091 ,0.901   
2     ,4      ,64   ,127      ,128  ,8.535  ,11.952 ,0.714   
2     ,5      ,16   ,127      ,16   ,5.208  ,5.777  ,0.901   
2     ,7      ,4    ,127      ,2    ,5.872  ,6.315  ,0.93    
3     ,2      ,128  ,127      ,256  ,10.07  ,13.695 ,0.735   
3     ,2      ,32   ,127      ,64   ,8.721  ,8.373  ,1.041   
3     ,2      ,512  ,127      ,256  ,13.119 ,17.087 ,0.768   
3     ,3      ,16   ,127      ,16   ,5.206  ,5.767  ,0.903   
3     ,6      ,16   ,127      ,16   ,5.234  ,5.828  ,0.898   
4     ,0      ,16   ,127      ,16   ,5.226  ,6.37   ,0.82    
4     ,0      ,16   ,127      ,32   ,5.815  ,9.646  ,0.603   
4     ,0      ,256  ,127      ,128  ,9.1    ,10.992 ,0.828   
4     ,0      ,64   ,127      ,128  ,7.324  ,11.614 ,0.631   
4     ,2      ,128  ,127      ,64   ,8.194  ,8.893  ,0.921   
4     ,2      ,16   ,127      ,16   ,5.211  ,6.379  ,0.817   
4     ,4      ,16   ,127      ,16   ,5.201  ,5.781  ,0.9     
4     ,6      ,16   ,127      ,16   ,5.308  ,5.831  ,0.91    
4     ,6      ,8    ,127      ,4    ,5.054  ,6.9    ,0.733   
5     ,2      ,16   ,127      ,16   ,5.229  ,6.35   ,0.823   
5     ,5      ,16   ,127      ,16   ,5.215  ,5.801  ,0.899   
5     ,6      ,128  ,127      ,64   ,9.307  ,8.863  ,1.05    
5     ,6      ,32   ,127      ,64   ,8.123  ,10.225 ,0.794   
5     ,6      ,8    ,127      ,16   ,6.0    ,10.041 ,0.598   
6     ,1      ,256  ,127      ,128  ,9.586  ,10.485 ,0.914   
6     ,3      ,16   ,127      ,16   ,5.213  ,6.365  ,0.819   
6     ,4      ,16   ,127      ,16   ,5.239  ,6.384  ,0.821   
6     ,4      ,16   ,127      ,32   ,5.829  ,9.694  ,0.601   
6     ,4      ,4    ,127      ,8    ,5.901  ,11.025 ,0.535   
6     ,4      ,64   ,127      ,32   ,4.647  ,6.388  ,0.727   
6     ,5      ,16   ,127      ,8    ,5.032  ,6.304  ,0.798   
