
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_evex ,__wcpcpy_generic 
0     ,0      ,0    ,1273       ,3.963         ,9.332            ,0.425 
0     ,0      ,0    ,2147483647 ,3.96          ,9.29             ,0.426 
0     ,0      ,1    ,1273       ,3.895         ,9.248            ,0.421 
0     ,0      ,1    ,2147483647 ,4.079         ,9.283            ,0.439 
0     ,1      ,1    ,1273       ,3.9           ,9.187            ,0.425 
1     ,0      ,1    ,2147483647 ,2.896         ,9.253            ,0.313 
0     ,0      ,2    ,1273       ,5.309         ,9.174            ,0.579 
0     ,0      ,2    ,2147483647 ,5.371         ,9.232            ,0.582 
0     ,2      ,2    ,1273       ,4.478         ,9.276            ,0.483 
2     ,0      ,2    ,2147483647 ,2.929         ,9.23             ,0.317 
0     ,0      ,3    ,1273       ,5.068         ,9.234            ,0.549 
0     ,0      ,3    ,2147483647 ,5.071         ,9.238            ,0.549 
0     ,3      ,3    ,1273       ,4.54          ,9.266            ,0.49  
3     ,0      ,3    ,2147483647 ,2.941         ,9.329            ,0.315 
0     ,0      ,4    ,1273       ,5.298         ,9.118            ,0.581 
0     ,0      ,4    ,2147483647 ,5.36          ,9.211            ,0.582 
0     ,4      ,4    ,1273       ,4.591         ,9.107            ,0.504 
4     ,0      ,4    ,2147483647 ,2.929         ,9.191            ,0.319 
0     ,0      ,5    ,1273       ,5.337         ,9.189            ,0.581 
0     ,0      ,5    ,2147483647 ,5.339         ,9.218            ,0.579 
0     ,5      ,5    ,1273       ,4.604         ,9.167            ,0.502 
5     ,0      ,5    ,2147483647 ,2.911         ,9.169            ,0.317 
0     ,0      ,6    ,1273       ,5.318         ,9.168            ,0.58  
0     ,0      ,6    ,2147483647 ,5.329         ,9.168            ,0.581 
0     ,6      ,6    ,1273       ,4.586         ,9.17             ,0.5   
6     ,0      ,6    ,2147483647 ,2.931         ,9.167            ,0.32  
0     ,0      ,7    ,1273       ,4.932         ,8.639            ,0.571 
0     ,0      ,7    ,2147483647 ,4.941         ,8.546            ,0.578 
0     ,7      ,7    ,1273       ,4.586         ,8.581            ,0.534 
7     ,0      ,7    ,2147483647 ,2.93          ,8.556            ,0.342 
0     ,0      ,8    ,1273       ,5.608         ,9.093            ,0.617 
0     ,0      ,8    ,2147483647 ,5.671         ,9.175            ,0.618 
0     ,0      ,9    ,1273       ,5.641         ,9.17             ,0.615 
0     ,0      ,9    ,2147483647 ,5.651         ,9.169            ,0.616 
0     ,1      ,9    ,1273       ,6.756         ,9.172            ,0.737 
1     ,0      ,9    ,2147483647 ,5.658         ,9.147            ,0.619 
0     ,0      ,10   ,1273       ,5.638         ,9.127            ,0.618 
0     ,0      ,10   ,2147483647 ,5.634         ,9.126            ,0.617 
0     ,2      ,10   ,1273       ,6.722         ,9.128            ,0.736 
2     ,0      ,10   ,2147483647 ,5.61          ,9.106            ,0.616 
0     ,0      ,11   ,1273       ,5.616         ,9.133            ,0.615 
0     ,0      ,11   ,2147483647 ,5.602         ,9.085            ,0.617 
0     ,3      ,11   ,1273       ,6.703         ,9.087            ,0.738 
3     ,0      ,11   ,2147483647 ,5.648         ,9.085            ,0.622 
0     ,0      ,12   ,1273       ,5.603         ,9.085            ,0.617 
0     ,0      ,12   ,2147483647 ,5.593         ,9.085            ,0.616 
0     ,4      ,12   ,1273       ,6.63          ,9.088            ,0.73  
4     ,0      ,12   ,2147483647 ,7.447         ,9.088            ,0.819 
