
Results For: wcpncpy
align1,align2 ,len  ,max_char   ,n    ,__wcpncpy_avx2 ,__wcpncpy_generic 
1     ,1      ,16   ,1273       ,16   ,8.522          ,10.804            ,0.789 
1     ,1      ,16   ,2147483647 ,16   ,8.458          ,10.786            ,0.784 
1     ,2      ,16   ,1273       ,16   ,9.224          ,11.401            ,0.809 
2     ,1      ,16   ,2147483647 ,16   ,8.803          ,11.32             ,0.778 
7     ,2      ,2    ,1273       ,4    ,5.855          ,12.665            ,0.462 
2     ,7      ,4    ,1273       ,2    ,5.479          ,10.641            ,0.515 
7     ,2      ,2    ,2147483647 ,4    ,5.888          ,12.702            ,0.463 
2     ,7      ,4    ,2147483647 ,2    ,5.298          ,10.583            ,0.501 
2     ,2      ,16   ,1273       ,16   ,8.695          ,11.419            ,0.762 
2     ,2      ,16   ,2147483647 ,16   ,8.749          ,11.257            ,0.777 
2     ,4      ,16   ,1273       ,16   ,9.349          ,11.285            ,0.828 
4     ,2      ,16   ,2147483647 ,16   ,8.94           ,11.339            ,0.788 
6     ,4      ,4    ,1273       ,8    ,6.127          ,13.586            ,0.451 
4     ,6      ,8    ,1273       ,4    ,5.448          ,10.644            ,0.512 
6     ,4      ,4    ,2147483647 ,8    ,5.989          ,13.451            ,0.445 
4     ,6      ,8    ,2147483647 ,4    ,5.359          ,10.576            ,0.507 
3     ,3      ,16   ,1273       ,16   ,8.725          ,11.24             ,0.776 
3     ,3      ,16   ,2147483647 ,16   ,8.703          ,11.214            ,0.776 
3     ,6      ,16   ,1273       ,16   ,9.33           ,11.193            ,0.834 
6     ,3      ,16   ,2147483647 ,16   ,8.383          ,11.35             ,0.739 
5     ,6      ,8    ,1273       ,16   ,9.73           ,13.545            ,0.718 
6     ,5      ,16   ,1273       ,8    ,4.759          ,9.823             ,0.484 
5     ,6      ,8    ,2147483647 ,16   ,9.723          ,13.501            ,0.72  
6     ,5      ,16   ,2147483647 ,8    ,4.758          ,9.833             ,0.484 
4     ,4      ,16   ,1273       ,16   ,8.743          ,11.098            ,0.788 
4     ,4      ,16   ,2147483647 ,16   ,8.769          ,11.162            ,0.786 
4     ,0      ,16   ,1273       ,16   ,7.487          ,10.594            ,0.707 
0     ,4      ,16   ,2147483647 ,16   ,7.074          ,10.296            ,0.687 
4     ,0      ,16   ,1273       ,32   ,8.392          ,16.159            ,0.519 
0     ,4      ,32   ,1273       ,16   ,7.017          ,10.038            ,0.699 
4     ,0      ,16   ,2147483647 ,32   ,8.395          ,16.142            ,0.52  
0     ,4      ,32   ,2147483647 ,16   ,7.027          ,10.424            ,0.674 
5     ,5      ,16   ,1273       ,16   ,8.761          ,11.319            ,0.774 
5     ,5      ,16   ,2147483647 ,16   ,8.767          ,11.287            ,0.777 
5     ,2      ,16   ,1273       ,16   ,8.604          ,11.614            ,0.741 
2     ,5      ,16   ,2147483647 ,16   ,9.554          ,11.36             ,0.841 
3     ,2      ,32   ,1273       ,64   ,11.403         ,18.681            ,0.61  
2     ,3      ,64   ,1273       ,32   ,10.775         ,12.868            ,0.837 
3     ,2      ,32   ,2147483647 ,64   ,11.389         ,18.921            ,0.602 
2     ,3      ,64   ,2147483647 ,32   ,10.869         ,13.18             ,0.825 
6     ,6      ,16   ,1273       ,16   ,8.829          ,11.387            ,0.775 
6     ,6      ,16   ,2147483647 ,16   ,8.822          ,11.481            ,0.768 
6     ,4      ,16   ,1273       ,16   ,8.407          ,11.508            ,0.731 
4     ,6      ,16   ,2147483647 ,16   ,9.56           ,11.448            ,0.835 
2     ,4      ,64   ,1273       ,128  ,19.013         ,28.116            ,0.676 
4     ,2      ,128  ,1273       ,64   ,13.679         ,19.39             ,0.705 
2     ,4      ,64   ,2147483647 ,128  ,18.941         ,28.062            ,0.675 
4     ,2      ,128  ,2147483647 ,64   ,13.44          ,19.093            ,0.704 
7     ,7      ,16   ,1273       ,16   ,8.829          ,11.385            ,0.775 
7     ,7      ,16   ,2147483647 ,16   ,8.872          ,11.289            ,0.786 
7     ,6      ,16   ,1273       ,16   ,8.429          ,11.471            ,0.735 
6     ,7      ,16   ,2147483647 ,16   ,9.559          ,11.34             ,0.843 
1     ,6      ,128  ,1273       ,256  ,28.116         ,42.178            ,0.667 
6     ,1      ,256  ,1273       ,128  ,19.625         ,28.616            ,0.686 
1     ,6      ,128  ,2147483647 ,256  ,28.156         ,42.352            ,0.665 
6     ,1      ,256  ,2147483647 ,128  ,19.583         ,28.629            ,0.684 
0     ,0      ,8    ,1273       ,16   ,8.763          ,13.608            ,0.644 
0     ,0      ,32   ,1273       ,16   ,6.146          ,10.077            ,0.61  
7     ,2      ,8    ,1273       ,16   ,10.543         ,13.731            ,0.768 
7     ,2      ,32   ,1273       ,16   ,8.385          ,10.758            ,0.779 
0     ,0      ,16   ,1273       ,32   ,7.915          ,16.211            ,0.488 
0     ,0      ,64   ,1273       ,32   ,7.767          ,13.228            ,0.587 
6     ,4      ,16   ,1273       ,32   ,8.957          ,16.134            ,0.555 
6     ,4      ,64   ,1273       ,32   ,9.712          ,13.447            ,0.722 
0     ,0      ,32   ,1273       ,64   ,9.963          ,18.934            ,0.526 
0     ,0      ,128  ,1273       ,64   ,11.364         ,15.684            ,0.725 
5     ,6      ,32   ,1273       ,64   ,12.337         ,18.407            ,0.67  
5     ,6      ,128  ,1273       ,64   ,14.263         ,20.448            ,0.698 
0     ,0      ,64   ,1273       ,128  ,16.297         ,25.29             ,0.644 
0     ,0      ,256  ,1273       ,128  ,16.233         ,22.942            ,0.708 
4     ,0      ,64   ,1273       ,128  ,17.558         ,25.814            ,0.68  
4     ,0      ,256  ,1273       ,128  ,19.365         ,26.806            ,0.722 
0     ,0      ,128  ,1273       ,256  ,21.388         ,38.138            ,0.561 
0     ,0      ,512  ,1273       ,256  ,25.039         ,37.753            ,0.663 
3     ,2      ,128  ,1273       ,256  ,28.225         ,37.681            ,0.749 
3     ,2      ,512  ,1273       ,256  ,36.027         ,40.486            ,0.89  
0     ,0      ,256  ,1273       ,512  ,33.074         ,60.326            ,0.548 
0     ,0      ,1024 ,1273       ,512  ,44.502         ,60.851            ,0.731 
2     ,4      ,256  ,1273       ,512  ,43.913         ,69.318            ,0.634 
2     ,4      ,1024 ,1273       ,512  ,57.887         ,72.989            ,0.793 
0     ,0      ,512  ,1273       ,1024 ,63.773         ,100.23            ,0.636 
1     ,6      ,512  ,1273       ,1024 ,94.965         ,116.395           ,0.816 
1     ,0      ,128  ,1273       ,64   ,12.394         ,15.442            ,0.803 
1     ,0      ,64   ,1273       ,128  ,17.283         ,25.795            ,0.67  
1     ,0      ,128  ,1273       ,96   ,16.401         ,23.384            ,0.701 
0     ,0      ,128  ,1273       ,96   ,14.504         ,20.757            ,0.699 
1     ,0      ,96   ,1273       ,128  ,18.915         ,29.31             ,0.645 
0     ,0      ,96   ,1273       ,128  ,15.107         ,29.09             ,0.519 
1     ,0      ,128  ,1273       ,128  ,19.162         ,28.503            ,0.672 
0     ,0      ,128  ,1273       ,128  ,16.394         ,23.314            ,0.703 
1     ,0      ,128  ,1273       ,160  ,23.065         ,33.274            ,0.693 
0     ,0      ,128  ,1273       ,160  ,17.058         ,34.227            ,0.498 
1     ,0      ,160  ,1273       ,128  ,19.059         ,26.696            ,0.714 
0     ,0      ,160  ,1273       ,128  ,16.249         ,22.891            ,0.71  
1     ,0      ,128  ,1273       ,192  ,25.198         ,34.695            ,0.726 
0     ,0      ,128  ,1273       ,192  ,19.38          ,35.698            ,0.543 
1     ,0      ,192  ,1273       ,128  ,19.013         ,26.61             ,0.714 
0     ,0      ,192  ,1273       ,128  ,16.506         ,23.174            ,0.712 
1     ,0      ,256  ,1273       ,192  ,26.665         ,33.074            ,0.806 
0     ,0      ,256  ,1273       ,192  ,20.898         ,31.214            ,0.669 
1     ,0      ,192  ,1273       ,256  ,33.952         ,40.114            ,0.846 
0     ,0      ,192  ,1273       ,256  ,22.998         ,42.795            ,0.537 
1     ,0      ,256  ,1273       ,224  ,30.424         ,35.03             ,0.869 
0     ,0      ,256  ,1273       ,224  ,23.003         ,35.032            ,0.657 
1     ,0      ,224  ,1273       ,256  ,34.921         ,41.395            ,0.844 
0     ,0      ,224  ,1273       ,256  ,23.808         ,46.267            ,0.515 
1     ,0      ,256  ,1273       ,256  ,34.645         ,43.41             ,0.798 
0     ,0      ,256  ,1273       ,256  ,25.273         ,37.796            ,0.669 
1     ,0      ,256  ,1273       ,288  ,38.848         ,43.856            ,0.886 
0     ,0      ,256  ,1273       ,288  ,25.818         ,49.702            ,0.519 
1     ,0      ,288  ,1273       ,256  ,34.37          ,39.423            ,0.872 
0     ,0      ,288  ,1273       ,256  ,25.443         ,38.108            ,0.668 
1     ,0      ,256  ,1273       ,320  ,42.037         ,44.639            ,0.942 
0     ,0      ,256  ,1273       ,320  ,27.428         ,51.428            ,0.533 
1     ,0      ,320  ,1273       ,256  ,34.343         ,39.263            ,0.875 
0     ,0      ,320  ,1273       ,256  ,25.306         ,37.776            ,0.67  
1     ,0      ,512  ,1273       ,448  ,53.668         ,61.268            ,0.876 
0     ,0      ,512  ,1273       ,448  ,39.582         ,54.987            ,0.72  
1     ,0      ,448  ,1273       ,512  ,54.718         ,65.261            ,0.838 
0     ,0      ,448  ,1273       ,512  ,41.553         ,69.016            ,0.602 
1     ,0      ,512  ,1273       ,480  ,52.269         ,64.125            ,0.815 
0     ,0      ,512  ,1273       ,480  ,42.357         ,57.919            ,0.731 
1     ,0      ,480  ,1273       ,512  ,55.909         ,68.106            ,0.821 
0     ,0      ,480  ,1273       ,512  ,42.902         ,70.065            ,0.612 
1     ,0      ,512  ,1273       ,512  ,56.048         ,71.648            ,0.782 
0     ,0      ,512  ,1273       ,512  ,44.76          ,60.86             ,0.735 
1     ,0      ,512  ,1273       ,544  ,59.059         ,71.304            ,0.828 
0     ,0      ,512  ,1273       ,544  ,45.196         ,72.248            ,0.626 
1     ,0      ,544  ,1273       ,512  ,56.309         ,69.2              ,0.814 
0     ,0      ,544  ,1273       ,512  ,44.937         ,60.749            ,0.74  
1     ,0      ,512  ,1273       ,576  ,62.324         ,72.01             ,0.865 
0     ,0      ,512  ,1273       ,576  ,46.587         ,73.653            ,0.633 
1     ,0      ,576  ,1273       ,512  ,55.521         ,68.817            ,0.807 
0     ,0      ,576  ,1273       ,512  ,44.935         ,60.884            ,0.738 
1     ,0      ,1024 ,1273       ,960  ,103.076        ,115.544           ,0.892 
0     ,0      ,1024 ,1273       ,960  ,84.667         ,103.293           ,0.82  
1     ,0      ,960  ,1273       ,1024 ,106.765        ,118.265           ,0.903 
0     ,0      ,960  ,1273       ,1024 ,94.65          ,108.884           ,0.869 
1     ,0      ,1024 ,1273       ,992  ,104.536        ,120.891           ,0.865 
0     ,0      ,1024 ,1273       ,992  ,86.827         ,103.885           ,0.836 
1     ,0      ,992  ,1273       ,1024 ,107.62         ,120.812           ,0.891 
0     ,0      ,992  ,1273       ,1024 ,88.22          ,108.969           ,0.81  
1     ,0      ,1024 ,1273       ,1024 ,123.733        ,125.177           ,0.988 
0     ,0      ,1024 ,1273       ,1024 ,88.907         ,105.728           ,0.841 
1     ,0      ,1024 ,1273       ,1056 ,131.836        ,124.533           ,1.059 
0     ,0      ,1024 ,1273       ,1056 ,90.354         ,116.485           ,0.776 
1     ,0      ,1056 ,1273       ,1024 ,123.196        ,124.737           ,0.988 
0     ,0      ,1056 ,1273       ,1024 ,88.926         ,106.287           ,0.837 
1     ,0      ,1024 ,1273       ,1088 ,136.265        ,129.789           ,1.05  
0     ,0      ,1024 ,1273       ,1088 ,99.414         ,124.345           ,0.8   
1     ,0      ,1088 ,1273       ,1024 ,124.334        ,124.121           ,1.002 
0     ,0      ,1088 ,1273       ,1024 ,90.316         ,107.49            ,0.84  
0.7111929718653566
