
Results For: wcpncpy
align1,align2 ,len  ,max_char   ,n    ,__wcpncpy_evex ,__wcpncpy_generic 
1     ,1      ,16   ,1273       ,16   ,8.139          ,10.804            ,0.753 
1     ,1      ,16   ,2147483647 ,16   ,8.099          ,10.786            ,0.751 
1     ,2      ,16   ,1273       ,16   ,9.159          ,11.401            ,0.803 
2     ,1      ,16   ,2147483647 ,16   ,8.588          ,11.32             ,0.759 
7     ,2      ,2    ,1273       ,4    ,5.811          ,12.665            ,0.459 
2     ,7      ,4    ,1273       ,2    ,5.121          ,10.641            ,0.481 
7     ,2      ,2    ,2147483647 ,4    ,5.675          ,12.702            ,0.447 
2     ,7      ,4    ,2147483647 ,2    ,5.157          ,10.583            ,0.487 
2     ,2      ,16   ,1273       ,16   ,8.344          ,11.419            ,0.731 
2     ,2      ,16   ,2147483647 ,16   ,8.383          ,11.257            ,0.745 
2     ,4      ,16   ,1273       ,16   ,9.151          ,11.285            ,0.811 
4     ,2      ,16   ,2147483647 ,16   ,8.459          ,11.339            ,0.746 
6     ,4      ,4    ,1273       ,8    ,6.813          ,13.586            ,0.501 
4     ,6      ,8    ,1273       ,4    ,5.241          ,10.644            ,0.492 
6     ,4      ,4    ,2147483647 ,8    ,6.784          ,13.451            ,0.504 
4     ,6      ,8    ,2147483647 ,4    ,5.257          ,10.576            ,0.497 
3     ,3      ,16   ,1273       ,16   ,8.379          ,11.24             ,0.745 
3     ,3      ,16   ,2147483647 ,16   ,8.363          ,11.214            ,0.746 
3     ,6      ,16   ,1273       ,16   ,9.122          ,11.193            ,0.815 
6     ,3      ,16   ,2147483647 ,16   ,7.704          ,11.35             ,0.679 
5     ,6      ,8    ,1273       ,16   ,9.088          ,13.545            ,0.671 
6     ,5      ,16   ,1273       ,8    ,4.906          ,9.823             ,0.499 
5     ,6      ,8    ,2147483647 ,16   ,9.053          ,13.501            ,0.671 
6     ,5      ,16   ,2147483647 ,8    ,4.854          ,9.833             ,0.494 
4     ,4      ,16   ,1273       ,16   ,8.401          ,11.098            ,0.757 
4     ,4      ,16   ,2147483647 ,16   ,8.421          ,11.162            ,0.754 
4     ,0      ,16   ,1273       ,16   ,6.969          ,10.594            ,0.658 
0     ,4      ,16   ,2147483647 ,16   ,6.593          ,10.296            ,0.64  
4     ,0      ,16   ,1273       ,32   ,8.27           ,16.159            ,0.512 
0     ,4      ,32   ,1273       ,16   ,6.591          ,10.038            ,0.657 
4     ,0      ,16   ,2147483647 ,32   ,8.262          ,16.142            ,0.512 
0     ,4      ,32   ,2147483647 ,16   ,6.568          ,10.424            ,0.63  
5     ,5      ,16   ,1273       ,16   ,8.408          ,11.319            ,0.743 
5     ,5      ,16   ,2147483647 ,16   ,8.42           ,11.287            ,0.746 
5     ,2      ,16   ,1273       ,16   ,7.742          ,11.614            ,0.667 
2     ,5      ,16   ,2147483647 ,16   ,9.197          ,11.36             ,0.81  
3     ,2      ,32   ,1273       ,64   ,11.272         ,18.681            ,0.603 
2     ,3      ,64   ,1273       ,32   ,10.371         ,12.868            ,0.806 
3     ,2      ,32   ,2147483647 ,64   ,11.183         ,18.921            ,0.591 
2     ,3      ,64   ,2147483647 ,32   ,10.435         ,13.18             ,0.792 
6     ,6      ,16   ,1273       ,16   ,8.479          ,11.387            ,0.745 
6     ,6      ,16   ,2147483647 ,16   ,8.434          ,11.481            ,0.735 
6     ,4      ,16   ,1273       ,16   ,7.744          ,11.508            ,0.673 
4     ,6      ,16   ,2147483647 ,16   ,9.285          ,11.448            ,0.811 
2     ,4      ,64   ,1273       ,128  ,19.192         ,28.116            ,0.683 
4     ,2      ,128  ,1273       ,64   ,12.793         ,19.39             ,0.66  
2     ,4      ,64   ,2147483647 ,128  ,19.235         ,28.062            ,0.685 
4     ,2      ,128  ,2147483647 ,64   ,12.689         ,19.093            ,0.665 
7     ,7      ,16   ,1273       ,16   ,8.453          ,11.385            ,0.742 
7     ,7      ,16   ,2147483647 ,16   ,8.506          ,11.289            ,0.754 
7     ,6      ,16   ,1273       ,16   ,7.754          ,11.471            ,0.676 
6     ,7      ,16   ,2147483647 ,16   ,9.241          ,11.34             ,0.815 
1     ,6      ,128  ,1273       ,256  ,27.663         ,42.178            ,0.656 
6     ,1      ,256  ,1273       ,128  ,19.791         ,28.616            ,0.692 
1     ,6      ,128  ,2147483647 ,256  ,27.651         ,42.352            ,0.653 
6     ,1      ,256  ,2147483647 ,128  ,19.683         ,28.629            ,0.688 
0     ,0      ,8    ,1273       ,16   ,8.452          ,13.608            ,0.621 
0     ,0      ,32   ,1273       ,16   ,5.73           ,10.077            ,0.569 
7     ,2      ,8    ,1273       ,16   ,9.755          ,13.731            ,0.71  
7     ,2      ,32   ,1273       ,16   ,7.715          ,10.758            ,0.717 
0     ,0      ,16   ,1273       ,32   ,7.813          ,16.211            ,0.482 
0     ,0      ,64   ,1273       ,32   ,7.736          ,13.228            ,0.585 
6     ,4      ,16   ,1273       ,32   ,8.963          ,16.134            ,0.556 
6     ,4      ,64   ,1273       ,32   ,9.046          ,13.447            ,0.673 
0     ,0      ,32   ,1273       ,64   ,9.669          ,18.934            ,0.511 
0     ,0      ,128  ,1273       ,64   ,10.488         ,15.684            ,0.669 
5     ,6      ,32   ,1273       ,64   ,12.263         ,18.407            ,0.666 
5     ,6      ,128  ,1273       ,64   ,13.6           ,20.448            ,0.665 
0     ,0      ,64   ,1273       ,128  ,15.625         ,25.29             ,0.618 
0     ,0      ,256  ,1273       ,128  ,16.517         ,22.942            ,0.72  
4     ,0      ,64   ,1273       ,128  ,17.568         ,25.814            ,0.681 
4     ,0      ,256  ,1273       ,128  ,19.629         ,26.806            ,0.732 
0     ,0      ,128  ,1273       ,256  ,20.383         ,38.138            ,0.534 
0     ,0      ,512  ,1273       ,256  ,24.533         ,37.753            ,0.65  
3     ,2      ,128  ,1273       ,256  ,27.689         ,37.681            ,0.735 
3     ,2      ,512  ,1273       ,256  ,36.223         ,40.486            ,0.895 
0     ,0      ,256  ,1273       ,512  ,31.635         ,60.326            ,0.524 
0     ,0      ,1024 ,1273       ,512  ,43.138         ,60.851            ,0.709 
2     ,4      ,256  ,1273       ,512  ,44.219         ,69.318            ,0.638 
2     ,4      ,1024 ,1273       ,512  ,57.193         ,72.989            ,0.784 
0     ,0      ,512  ,1273       ,1024 ,63.611         ,100.23            ,0.635 
1     ,6      ,512  ,1273       ,1024 ,95.244         ,116.395           ,0.818 
1     ,0      ,128  ,1273       ,64   ,11.392         ,15.442            ,0.738 
1     ,0      ,64   ,1273       ,128  ,17.252         ,25.795            ,0.669 
1     ,0      ,128  ,1273       ,96   ,18.276         ,23.384            ,0.782 
0     ,0      ,128  ,1273       ,96   ,14.658         ,20.757            ,0.706 
1     ,0      ,96   ,1273       ,128  ,17.945         ,29.31             ,0.612 
0     ,0      ,96   ,1273       ,128  ,15.11          ,29.09             ,0.519 
1     ,0      ,128  ,1273       ,128  ,19.781         ,28.503            ,0.694 
0     ,0      ,128  ,1273       ,128  ,16.537         ,23.314            ,0.709 
