
Results For: wcscat
align1,align2 ,len1 ,len2 ,max_char   ,__wcscat_avx2 ,__wcscat_generic 
0     ,0      ,0    ,0    ,1273       ,19.033        ,19.155           ,0.994 
0     ,0      ,0    ,0    ,2147483647 ,18.726        ,18.915           ,0.99  
0     ,0      ,1    ,1    ,1273       ,18.588        ,19.023           ,0.977 
0     ,0      ,1    ,1    ,2147483647 ,18.466        ,19.035           ,0.97  
0     ,1      ,1    ,1    ,1273       ,18.481        ,19.372           ,0.954 
1     ,0      ,1    ,1    ,2147483647 ,18.479        ,19.055           ,0.97  
0     ,0      ,2    ,2    ,1273       ,18.709        ,19.419           ,0.963 
0     ,0      ,2    ,2    ,2147483647 ,18.759        ,19.324           ,0.971 
0     ,2      ,2    ,2    ,1273       ,18.733        ,19.352           ,0.968 
2     ,0      ,2    ,2    ,2147483647 ,18.749        ,19.291           ,0.972 
0     ,0      ,3    ,3    ,1273       ,18.748        ,19.245           ,0.974 
0     ,0      ,3    ,3    ,2147483647 ,18.792        ,19.294           ,0.974 
0     ,3      ,3    ,3    ,1273       ,18.635        ,18.573           ,1.003 
3     ,0      ,3    ,3    ,2147483647 ,18.542        ,19.02            ,0.975 
0     ,0      ,4    ,4    ,1273       ,18.217        ,19.191           ,0.949 
0     ,0      ,4    ,4    ,2147483647 ,18.224        ,19.098           ,0.954 
0     ,4      ,4    ,4    ,1273       ,17.432        ,18.485           ,0.943 
4     ,0      ,4    ,4    ,2147483647 ,18.29         ,19.038           ,0.961 
0     ,0      ,5    ,5    ,1273       ,18.224        ,18.896           ,0.964 
0     ,0      ,5    ,5    ,2147483647 ,18.253        ,18.943           ,0.964 
0     ,5      ,5    ,5    ,1273       ,17.49         ,18.543           ,0.943 
5     ,0      ,5    ,5    ,2147483647 ,18.349        ,18.915           ,0.97  
0     ,0      ,6    ,6    ,1273       ,18.117        ,18.542           ,0.977 
0     ,0      ,6    ,6    ,2147483647 ,18.224        ,18.598           ,0.98  
0     ,6      ,6    ,6    ,1273       ,21.127        ,21.531           ,0.981 
6     ,0      ,6    ,6    ,2147483647 ,18.293        ,18.455           ,0.991 
0     ,0      ,7    ,7    ,1273       ,18.235        ,18.535           ,0.984 
0     ,0      ,7    ,7    ,2147483647 ,18.264        ,18.58            ,0.983 
0     ,7      ,7    ,7    ,1273       ,20.147        ,20.753           ,0.971 
7     ,0      ,7    ,7    ,2147483647 ,18.42         ,18.671           ,0.987 
0     ,0      ,8    ,8    ,1273       ,22.281        ,23.36            ,0.954 
0     ,0      ,8    ,8    ,2147483647 ,22.251        ,23.304           ,0.955 
0     ,0      ,9    ,9    ,1273       ,22.099        ,23.224           ,0.952 
0     ,0      ,9    ,9    ,2147483647 ,22.194        ,23.315           ,0.952 
0     ,1      ,9    ,9    ,1273       ,22.302        ,23.357           ,0.955 
1     ,0      ,9    ,9    ,2147483647 ,22.167        ,23.308           ,0.951 
0     ,0      ,10   ,10   ,1273       ,22.227        ,23.394           ,0.95  
0     ,0      ,10   ,10   ,2147483647 ,22.431        ,23.394           ,0.959 
0     ,2      ,10   ,10   ,1273       ,22.253        ,23.371           ,0.952 
2     ,0      ,10   ,10   ,2147483647 ,22.245        ,23.332           ,0.953 
0     ,0      ,11   ,11   ,1273       ,22.295        ,23.34            ,0.955 
0     ,0      ,11   ,11   ,2147483647 ,22.25         ,23.334           ,0.954 
0     ,3      ,11   ,11   ,1273       ,20.264        ,21.309           ,0.951 
3     ,0      ,11   ,11   ,2147483647 ,22.333        ,23.262           ,0.96  
0     ,0      ,12   ,12   ,1273       ,20.137        ,21.618           ,0.931 
0     ,0      ,12   ,12   ,2147483647 ,20.175        ,21.356           ,0.945 
0     ,4      ,12   ,12   ,1273       ,18.268        ,20.503           ,0.891 
4     ,0      ,12   ,12   ,2147483647 ,21.874        ,22.915           ,0.955 
0     ,0      ,13   ,13   ,1273       ,20.239        ,21.302           ,0.95  
