
Results For: wcscat
align1,align2 ,len1 ,len2 ,max_char   ,__wcscat_evex ,__wcscat_generic 
0     ,0      ,0    ,0    ,1273       ,19.719        ,19.155           ,1.029 
0     ,0      ,0    ,0    ,2147483647 ,19.45         ,18.915           ,1.028 
0     ,0      ,1    ,1    ,1273       ,19.023        ,19.023           ,1.0   
0     ,0      ,1    ,1    ,2147483647 ,18.972        ,19.035           ,0.997 
0     ,1      ,1    ,1    ,1273       ,19.046        ,19.372           ,0.983 
1     ,0      ,1    ,1    ,2147483647 ,19.039        ,19.055           ,0.999 
0     ,0      ,2    ,2    ,1273       ,19.123        ,19.419           ,0.985 
0     ,0      ,2    ,2    ,2147483647 ,19.148        ,19.324           ,0.991 
0     ,2      ,2    ,2    ,1273       ,19.035        ,19.352           ,0.984 
2     ,0      ,2    ,2    ,2147483647 ,19.064        ,19.291           ,0.988 
0     ,0      ,3    ,3    ,1273       ,19.028        ,19.245           ,0.989 
0     ,0      ,3    ,3    ,2147483647 ,19.042        ,19.294           ,0.987 
0     ,3      ,3    ,3    ,1273       ,18.953        ,18.573           ,1.02  
3     ,0      ,3    ,3    ,2147483647 ,18.952        ,19.02            ,0.996 
0     ,0      ,4    ,4    ,1273       ,18.752        ,19.191           ,0.977 
0     ,0      ,4    ,4    ,2147483647 ,18.783        ,19.098           ,0.983 
0     ,4      ,4    ,4    ,1273       ,17.995        ,18.485           ,0.973 
4     ,0      ,4    ,4    ,2147483647 ,18.834        ,19.038           ,0.989 
0     ,0      ,5    ,5    ,1273       ,18.659        ,18.896           ,0.987 
0     ,0      ,5    ,5    ,2147483647 ,18.717        ,18.943           ,0.988 
0     ,5      ,5    ,5    ,1273       ,18.039        ,18.543           ,0.973 
5     ,0      ,5    ,5    ,2147483647 ,18.823        ,18.915           ,0.995 
0     ,0      ,6    ,6    ,1273       ,18.649        ,18.542           ,1.006 
0     ,0      ,6    ,6    ,2147483647 ,18.757        ,18.598           ,1.009 
0     ,6      ,6    ,6    ,1273       ,21.779        ,21.531           ,1.012 
6     ,0      ,6    ,6    ,2147483647 ,18.721        ,18.455           ,1.014 
0     ,0      ,7    ,7    ,1273       ,18.673        ,18.535           ,1.007 
0     ,0      ,7    ,7    ,2147483647 ,18.781        ,18.58            ,1.011 
0     ,7      ,7    ,7    ,1273       ,20.77         ,20.753           ,1.001 
7     ,0      ,7    ,7    ,2147483647 ,18.964        ,18.671           ,1.016 
0     ,0      ,8    ,8    ,1273       ,22.814        ,23.36            ,0.977 
0     ,0      ,8    ,8    ,2147483647 ,22.836        ,23.304           ,0.98  
0     ,0      ,9    ,9    ,1273       ,22.86         ,23.224           ,0.984 
0     ,0      ,9    ,9    ,2147483647 ,22.806        ,23.315           ,0.978 
0     ,1      ,9    ,9    ,1273       ,22.74         ,23.357           ,0.974 
1     ,0      ,9    ,9    ,2147483647 ,22.795        ,23.308           ,0.978 
0     ,0      ,10   ,10   ,1273       ,22.938        ,23.394           ,0.981 
0     ,0      ,10   ,10   ,2147483647 ,22.884        ,23.394           ,0.978 
0     ,2      ,10   ,10   ,1273       ,22.87         ,23.371           ,0.979 
2     ,0      ,10   ,10   ,2147483647 ,22.87         ,23.332           ,0.98  
0     ,0      ,11   ,11   ,1273       ,22.868        ,23.34            ,0.98  
0     ,0      ,11   ,11   ,2147483647 ,22.887        ,23.334           ,0.981 
0     ,3      ,11   ,11   ,1273       ,20.707        ,21.309           ,0.972 
3     ,0      ,11   ,11   ,2147483647 ,22.86         ,23.262           ,0.983 
0     ,0      ,12   ,12   ,1273       ,20.676        ,21.618           ,0.956 
0     ,0      ,12   ,12   ,2147483647 ,20.871        ,21.356           ,0.977 
0     ,4      ,12   ,12   ,1273       ,18.82         ,20.503           ,0.918 
4     ,0      ,12   ,12   ,2147483647 ,22.496        ,22.915           ,0.982 
0     ,0      ,13   ,13   ,1273       ,20.687        ,21.302           ,0.971 
0     ,0      ,13   ,13   ,2147483647 ,20.628        ,21.263           ,0.97  
0     ,5      ,13   ,13   ,1273       ,18.735        ,20.271           ,0.924 
5     ,0      ,13   ,13   ,2147483647 ,22.507        ,22.966           ,0.98  
0     ,0      ,14   ,14   ,1273       ,20.739        ,21.403           ,0.969 
0     ,0      ,14   ,14   ,2147483647 ,20.761        ,21.305           ,0.974 
0     ,6      ,14   ,14   ,1273       ,23.027        ,23.391           ,0.984 
6     ,0      ,14   ,14   ,2147483647 ,22.504        ,22.811           ,0.987 
0     ,0      ,15   ,15   ,1273       ,20.787        ,21.389           ,0.972 
0     ,0      ,15   ,15   ,2147483647 ,20.732        ,21.374           ,0.97  
0     ,7      ,15   ,15   ,1273       ,22.984        ,23.36            ,0.984 
7     ,0      ,15   ,15   ,2147483647 ,22.333        ,22.934           ,0.974 
0     ,0      ,16   ,16   ,1273       ,23.006        ,23.555           ,0.977 
7     ,2      ,16   ,16   ,1273       ,23.021        ,23.46            ,0.981 
0     ,0      ,16   ,4    ,1273       ,24.732        ,23.97            ,1.032 
7     ,2      ,16   ,4    ,1273       ,23.266        ,22.869           ,1.017 
0     ,0      ,32   ,32   ,1273       ,23.618        ,24.227           ,0.975 
6     ,4      ,32   ,32   ,1273       ,24.987        ,25.348           ,0.986 
0     ,0      ,32   ,8    ,1273       ,20.585        ,21.216           ,0.97  
6     ,4      ,32   ,8    ,1273       ,23.994        ,24.404           ,0.983 
0     ,0      ,64   ,64   ,1273       ,26.146        ,27.786           ,0.941 
5     ,6      ,64   ,64   ,1273       ,30.21         ,31.412           ,0.962 
0     ,0      ,64   ,16   ,1273       ,26.054        ,26.626           ,0.978 
5     ,6      ,64   ,16   ,1273       ,29.679        ,30.435           ,0.975 
0     ,0      ,128  ,128  ,1273       ,34.87         ,31.14            ,1.12  
4     ,0      ,128  ,128  ,1273       ,37.635        ,38.246           ,0.984 
0     ,0      ,128  ,32   ,1273       ,29.685        ,30.121           ,0.986 
4     ,0      ,128  ,32   ,1273       ,37.762        ,37.202           ,1.015 
0     ,0      ,256  ,256  ,1273       ,41.566        ,41.04            ,1.013 
3     ,2      ,256  ,256  ,1273       ,53.817        ,54.247           ,0.992 
0     ,0      ,256  ,64   ,1273       ,38.811        ,44.318           ,0.876 
3     ,2      ,256  ,64   ,1273       ,55.126        ,54.804           ,1.006 
0     ,0      ,512  ,512  ,1273       ,75.89         ,68.381           ,1.11  
2     ,4      ,512  ,512  ,1273       ,109.808       ,109.039          ,1.007 
0     ,0      ,512  ,128  ,1273       ,61.477        ,63.004           ,0.976 
2     ,4      ,512  ,128  ,1273       ,80.347        ,80.144           ,1.003 
0     ,0      ,1024 ,256  ,1273       ,95.92         ,116.715          ,0.822 
1     ,6      ,1024 ,256  ,1273       ,162.082       ,172.121          ,0.942 
1     ,2      ,16   ,1    ,1273       ,25.689        ,24.633           ,1.043 
2     ,1      ,16   ,1    ,2147483647 ,23.925        ,23.403           ,1.022 
1     ,1      ,16   ,10   ,1273       ,22.422        ,22.885           ,0.98  
1     ,1      ,16   ,10   ,2147483647 ,22.583        ,23.084           ,0.978 
2     ,4      ,32   ,1    ,1273       ,26.377        ,25.472           ,1.036 
4     ,2      ,32   ,1    ,2147483647 ,25.028        ,24.314           ,1.029 
2     ,2      ,32   ,10   ,1273       ,23.899        ,24.521           ,0.975 
2     ,2      ,32   ,10   ,2147483647 ,23.956        ,24.516           ,0.977 
3     ,6      ,64   ,1    ,1273       ,27.481        ,27.401           ,1.003 
6     ,3      ,64   ,1    ,2147483647 ,29.69         ,29.18            ,1.017 
3     ,3      ,64   ,10   ,1273       ,28.499        ,29.292           ,0.973 
3     ,3      ,64   ,10   ,2147483647 ,28.542        ,29.251           ,0.976 
4     ,0      ,128  ,1    ,1273       ,36.132        ,36.109           ,1.001 
0     ,4      ,128  ,1    ,2147483647 ,36.633        ,36.471           ,1.004 
4     ,4      ,128  ,10   ,1273       ,35.465        ,36.556           ,0.97  
4     ,4      ,128  ,10   ,2147483647 ,35.633        ,36.563           ,0.975 
5     ,2      ,256  ,1    ,1273       ,53.36         ,52.456           ,1.017 
2     ,5      ,256  ,1    ,2147483647 ,53.388        ,52.488           ,1.017 
5     ,5      ,256  ,10   ,1273       ,52.375        ,52.618           ,0.995 
5     ,5      ,256  ,10   ,2147483647 ,52.267        ,52.713           ,0.992 
6     ,4      ,512  ,1    ,1273       ,75.897        ,74.745           ,1.015 
4     ,6      ,512  ,1    ,2147483647 ,73.257        ,72.735           ,1.007 
6     ,6      ,512  ,10   ,1273       ,76.753        ,77.275           ,0.993 
