
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_avx2 ,__wcscpy_ssse3 
0     ,0      ,0    ,1273       ,3.604         ,3.295          ,1.094 
0     ,0      ,0    ,2147483647 ,3.595         ,3.291          ,1.092 
0     ,0      ,1    ,1273       ,3.633         ,3.582          ,1.014 
0     ,0      ,1    ,2147483647 ,3.587         ,3.567          ,1.006 
0     ,1      ,1    ,1273       ,3.629         ,3.329          ,1.09  
1     ,0      ,1    ,2147483647 ,3.292         ,3.289          ,1.001 
0     ,0      ,2    ,1273       ,5.252         ,4.709          ,1.115 
0     ,0      ,2    ,2147483647 ,5.199         ,4.651          ,1.118 
0     ,2      ,2    ,1273       ,4.444         ,3.602          ,1.234 
2     ,0      ,2    ,2147483647 ,3.29          ,3.471          ,0.948 
0     ,0      ,3    ,1273       ,4.903         ,5.472          ,0.896 
0     ,0      ,3    ,2147483647 ,4.903         ,5.471          ,0.896 
0     ,3      ,3    ,1273       ,4.372         ,4.377          ,0.999 
3     ,0      ,3    ,2147483647 ,3.287         ,4.373          ,0.752 
0     ,0      ,4    ,1273       ,5.253         ,6.593          ,0.797 
0     ,0      ,4    ,2147483647 ,5.272         ,6.503          ,0.811 
0     ,4      ,4    ,1273       ,4.937         ,6.125          ,0.806 
4     ,0      ,4    ,2147483647 ,3.298         ,4.983          ,0.662 
0     ,0      ,5    ,1273       ,5.2           ,6.604          ,0.787 
0     ,0      ,5    ,2147483647 ,5.203         ,6.526          ,0.797 
0     ,5      ,5    ,1273       ,4.878         ,5.958          ,0.819 
5     ,0      ,5    ,2147483647 ,3.302         ,4.957          ,0.666 
0     ,0      ,6    ,1273       ,5.204         ,6.96           ,0.748 
0     ,0      ,6    ,2147483647 ,5.209         ,6.946          ,0.75  
0     ,6      ,6    ,1273       ,4.042         ,5.055          ,0.8   
6     ,0      ,6    ,2147483647 ,3.31          ,6.885          ,0.481 
0     ,0      ,7    ,1273       ,4.927         ,6.955          ,0.708 
0     ,0      ,7    ,2147483647 ,4.928         ,7.043          ,0.7   
0     ,7      ,7    ,1273       ,4.059         ,4.913          ,0.826 
7     ,0      ,7    ,2147483647 ,3.33          ,7.147          ,0.466 
0     ,0      ,8    ,1273       ,5.257         ,7.648          ,0.687 
0     ,0      ,8    ,2147483647 ,5.243         ,7.581          ,0.692 
0     ,0      ,9    ,1273       ,5.227         ,7.592          ,0.688 
0     ,0      ,9    ,2147483647 ,5.229         ,7.59           ,0.689 
0     ,1      ,9    ,1273       ,6.337         ,10.095         ,0.628 
1     ,0      ,9    ,2147483647 ,5.229         ,10.017         ,0.522 
0     ,0      ,10   ,1273       ,5.224         ,8.0            ,0.653 
0     ,0      ,10   ,2147483647 ,5.221         ,7.994          ,0.653 
0     ,2      ,10   ,1273       ,6.418         ,9.58           ,0.67  
2     ,0      ,10   ,2147483647 ,5.223         ,9.61           ,0.544 
0     ,0      ,11   ,1273       ,5.212         ,7.939          ,0.656 
0     ,0      ,11   ,2147483647 ,5.242         ,7.927          ,0.661 
0     ,3      ,11   ,1273       ,6.319         ,11.279         ,0.56  
3     ,0      ,11   ,2147483647 ,5.264         ,10.402         ,0.506 
0     ,0      ,12   ,1273       ,5.248         ,8.401          ,0.625 
0     ,0      ,12   ,2147483647 ,5.234         ,8.474          ,0.618 
0     ,4      ,12   ,1273       ,5.983         ,7.773          ,0.77  
4     ,0      ,12   ,2147483647 ,7.258         ,8.401          ,0.864 
0     ,0      ,13   ,1273       ,5.238         ,8.433          ,0.621 
