
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_evex ,__wcscpy_ssse3 
0     ,0      ,0    ,1273       ,3.595         ,3.295          ,1.091 
0     ,0      ,0    ,2147483647 ,3.547         ,3.291          ,1.078 
0     ,0      ,1    ,1273       ,3.592         ,3.582          ,1.003 
0     ,0      ,1    ,2147483647 ,3.542         ,3.567          ,0.993 
0     ,1      ,1    ,1273       ,3.582         ,3.329          ,1.076 
1     ,0      ,1    ,2147483647 ,3.291         ,3.289          ,1.001 
0     ,0      ,2    ,1273       ,5.076         ,4.709          ,1.078 
0     ,0      ,2    ,2147483647 ,4.998         ,4.651          ,1.075 
0     ,2      ,2    ,1273       ,4.407         ,3.602          ,1.223 
2     ,0      ,2    ,2147483647 ,3.288         ,3.471          ,0.947 
0     ,0      ,3    ,1273       ,4.775         ,5.472          ,0.873 
0     ,0      ,3    ,2147483647 ,4.764         ,5.471          ,0.871 
0     ,3      ,3    ,1273       ,4.352         ,4.377          ,0.994 
3     ,0      ,3    ,2147483647 ,3.284         ,4.373          ,0.751 
0     ,0      ,4    ,1273       ,5.091         ,6.593          ,0.772 
0     ,0      ,4    ,2147483647 ,5.004         ,6.503          ,0.77  
0     ,4      ,4    ,1273       ,4.729         ,6.125          ,0.772 
4     ,0      ,4    ,2147483647 ,3.29          ,4.983          ,0.66  
0     ,0      ,5    ,1273       ,5.007         ,6.604          ,0.758 
0     ,0      ,5    ,2147483647 ,5.017         ,6.526          ,0.769 
0     ,5      ,5    ,1273       ,4.676         ,5.958          ,0.785 
5     ,0      ,5    ,2147483647 ,3.298         ,4.957          ,0.665 
0     ,0      ,6    ,1273       ,5.015         ,6.96           ,0.721 
0     ,0      ,6    ,2147483647 ,5.046         ,6.946          ,0.726 
0     ,6      ,6    ,1273       ,4.398         ,5.055          ,0.87  
6     ,0      ,6    ,2147483647 ,3.307         ,6.885          ,0.48  
0     ,0      ,7    ,1273       ,4.573         ,6.955          ,0.658 
0     ,0      ,7    ,2147483647 ,4.574         ,7.043          ,0.649 
0     ,7      ,7    ,1273       ,4.421         ,4.913          ,0.9   
7     ,0      ,7    ,2147483647 ,3.332         ,7.147          ,0.466 
0     ,0      ,8    ,1273       ,5.428         ,7.648          ,0.71  
0     ,0      ,8    ,2147483647 ,5.394         ,7.581          ,0.712 
0     ,0      ,9    ,1273       ,5.39          ,7.592          ,0.71  
0     ,0      ,9    ,2147483647 ,5.404         ,7.59           ,0.712 
0     ,1      ,9    ,1273       ,6.178         ,10.095         ,0.612 
1     ,0      ,9    ,2147483647 ,5.389         ,10.017         ,0.538 
0     ,0      ,10   ,1273       ,5.391         ,8.0            ,0.674 
0     ,0      ,10   ,2147483647 ,5.404         ,7.994          ,0.676 
0     ,2      ,10   ,1273       ,6.179         ,9.58           ,0.645 
2     ,0      ,10   ,2147483647 ,5.404         ,9.61           ,0.562 
0     ,0      ,11   ,1273       ,5.383         ,7.939          ,0.678 
0     ,0      ,11   ,2147483647 ,5.384         ,7.927          ,0.679 
0     ,3      ,11   ,1273       ,6.164         ,11.279         ,0.546 
3     ,0      ,11   ,2147483647 ,5.59          ,10.402         ,0.537 
0     ,0      ,12   ,1273       ,5.388         ,8.401          ,0.641 
0     ,0      ,12   ,2147483647 ,5.443         ,8.474          ,0.642 
