
Results For: wcsncat
align1,align2 ,len1 ,len2 ,max_char   ,n    ,__wcsncat_avx2 ,__wcsncat_generic 
0     ,2      ,2    ,2    ,1273       ,2    ,19.822         ,21.406            ,0.926 
0     ,0      ,4    ,4    ,1273       ,2    ,19.711         ,21.27             ,0.927 
4     ,0      ,4    ,4    ,2147483647 ,2    ,19.531         ,21.171            ,0.923 
0     ,0      ,8    ,8    ,1273       ,2    ,18.515         ,21.688            ,0.854 
0     ,0      ,16   ,16   ,1273       ,2    ,18.337         ,21.434            ,0.856 
7     ,2      ,16   ,16   ,1273       ,2    ,18.325         ,21.458            ,0.854 
0     ,0      ,16   ,4    ,1273       ,2    ,19.038         ,20.707            ,0.919 
7     ,2      ,16   ,4    ,1273       ,2    ,18.933         ,21.206            ,0.893 
0     ,0      ,32   ,32   ,1273       ,2    ,18.272         ,21.353            ,0.856 
6     ,4      ,32   ,32   ,1273       ,2    ,18.136         ,21.092            ,0.86  
0     ,0      ,32   ,8    ,1273       ,2    ,18.283         ,21.38             ,0.855 
6     ,4      ,32   ,8    ,1273       ,2    ,18.058         ,20.833            ,0.867 
0     ,0      ,64   ,64   ,1273       ,2    ,19.082         ,20.877            ,0.914 
5     ,6      ,64   ,64   ,1273       ,2    ,19.027         ,21.163            ,0.899 
0     ,0      ,64   ,16   ,1273       ,2    ,18.092         ,20.856            ,0.867 
5     ,6      ,64   ,16   ,1273       ,2    ,18.073         ,20.99             ,0.861 
0     ,0      ,128  ,128  ,1273       ,2    ,19.04          ,21.163            ,0.9   
4     ,0      ,128  ,128  ,1273       ,2    ,19.142         ,21.229            ,0.902 
0     ,0      ,128  ,32   ,1273       ,2    ,18.244         ,20.962            ,0.87  
4     ,0      ,128  ,32   ,1273       ,2    ,18.233         ,20.982            ,0.869 
0     ,0      ,256  ,256  ,1273       ,2    ,18.649         ,23.722            ,0.786 
3     ,2      ,256  ,256  ,1273       ,2    ,18.81          ,23.307            ,0.807 
0     ,0      ,256  ,64   ,1273       ,2    ,19.412         ,21.227            ,0.915 
3     ,2      ,256  ,64   ,1273       ,2    ,19.239         ,21.262            ,0.905 
0     ,0      ,512  ,512  ,1273       ,2    ,26.903         ,32.906            ,0.818 
2     ,4      ,512  ,512  ,1273       ,2    ,27.179         ,32.687            ,0.831 
0     ,0      ,512  ,128  ,1273       ,2    ,19.668         ,21.935            ,0.897 
2     ,4      ,512  ,128  ,1273       ,2    ,19.84          ,22.217            ,0.893 
0     ,0      ,1024 ,256  ,1273       ,2    ,19.616         ,24.026            ,0.816 
1     ,6      ,1024 ,256  ,1273       ,2    ,19.667         ,24.374            ,0.807 
1     ,2      ,16   ,1    ,1273       ,2    ,19.909         ,21.46             ,0.928 
2     ,1      ,16   ,1    ,2147483647 ,2    ,19.757         ,21.299            ,0.928 
1     ,1      ,16   ,10   ,1273       ,2    ,18.796         ,21.863            ,0.86  
2     ,4      ,32   ,1    ,1273       ,2    ,19.491         ,20.908            ,0.932 
4     ,2      ,32   ,1    ,2147483647 ,2    ,19.196         ,21.189            ,0.906 
2     ,2      ,32   ,10   ,1273       ,2    ,18.451         ,21.328            ,0.865 
3     ,6      ,64   ,1    ,1273       ,2    ,19.088         ,20.629            ,0.925 
6     ,3      ,64   ,1    ,2147483647 ,2    ,18.657         ,20.726            ,0.9   
3     ,3      ,64   ,10   ,1273       ,2    ,18.188         ,20.997            ,0.866 
4     ,0      ,128  ,1    ,1273       ,2    ,18.533         ,20.177            ,0.919 
0     ,4      ,128  ,1    ,2147483647 ,2    ,18.864         ,20.256            ,0.931 
4     ,4      ,128  ,10   ,1273       ,2    ,17.994         ,20.963            ,0.858 
5     ,2      ,256  ,1    ,1273       ,2    ,18.533         ,20.577            ,0.901 
2     ,5      ,256  ,1    ,2147483647 ,2    ,18.736         ,20.145            ,0.93  
5     ,5      ,256  ,10   ,1273       ,2    ,18.4           ,24.279            ,0.758 
6     ,4      ,512  ,1    ,1273       ,2    ,18.495         ,20.358            ,0.908 
4     ,6      ,512  ,1    ,2147483647 ,2    ,18.526         ,19.946            ,0.929 
6     ,6      ,512  ,10   ,1273       ,2    ,17.684         ,20.404            ,0.867 
7     ,6      ,1024 ,1    ,1273       ,2    ,18.475         ,19.958            ,0.926 
6     ,7      ,1024 ,1    ,2147483647 ,2    ,17.771         ,19.859            ,0.895 
7     ,7      ,1024 ,10   ,1273       ,2    ,17.742         ,20.404            ,0.87  
0     ,2      ,2    ,2    ,1273       ,8    ,18.421         ,19.825            ,0.929 
0     ,0      ,4    ,4    ,1273       ,8    ,18.484         ,19.821            ,0.933 
4     ,0      ,4    ,4    ,2147483647 ,8    ,18.506         ,19.887            ,0.931 
0     ,0      ,8    ,8    ,1273       ,8    ,17.682         ,20.686            ,0.855 
0     ,0      ,16   ,16   ,1273       ,8    ,17.734         ,20.442            ,0.868 
7     ,2      ,16   ,16   ,1273       ,8    ,17.78          ,20.484            ,0.868 
0     ,0      ,16   ,4    ,1273       ,8    ,18.563         ,19.999            ,0.928 
7     ,2      ,16   ,4    ,1273       ,8    ,18.351         ,20.374            ,0.901 
0     ,0      ,32   ,32   ,1273       ,8    ,17.752         ,20.536            ,0.864 
6     ,4      ,32   ,32   ,1273       ,8    ,17.765         ,20.526            ,0.865 
0     ,0      ,32   ,8    ,1273       ,8    ,17.727         ,20.74             ,0.855 
6     ,4      ,32   ,8    ,1273       ,8    ,18.307         ,24.233            ,0.755 
0     ,0      ,64   ,64   ,1273       ,8    ,18.453         ,20.947            ,0.881 
5     ,6      ,64   ,64   ,1273       ,8    ,18.857         ,20.958            ,0.9   
0     ,0      ,64   ,16   ,1273       ,8    ,17.989         ,20.746            ,0.867 
5     ,6      ,64   ,16   ,1273       ,8    ,17.988         ,20.761            ,0.866 
0     ,0      ,128  ,128  ,1273       ,8    ,18.656         ,21.436            ,0.87  
4     ,0      ,128  ,128  ,1273       ,8    ,18.562         ,21.56             ,0.861 
0     ,0      ,128  ,32   ,1273       ,8    ,18.088         ,20.905            ,0.865 
4     ,0      ,128  ,32   ,1273       ,8    ,18.062         ,20.873            ,0.865 
0     ,0      ,256  ,256  ,1273       ,8    ,19.473         ,24.159            ,0.806 
3     ,2      ,256  ,256  ,1273       ,8    ,20.682         ,23.808            ,0.869 
0     ,0      ,256  ,64   ,1273       ,8    ,19.36          ,21.789            ,0.889 
3     ,2      ,256  ,64   ,1273       ,8    ,19.632         ,21.848            ,0.899 
0     ,0      ,512  ,512  ,1273       ,8    ,27.051         ,32.558            ,0.831 
2     ,4      ,512  ,512  ,1273       ,8    ,27.24          ,33.224            ,0.82  
0     ,0      ,512  ,128  ,1273       ,8    ,19.371         ,22.445            ,0.863 
2     ,4      ,512  ,128  ,1273       ,8    ,20.179         ,22.502            ,0.897 
0     ,0      ,1024 ,256  ,1273       ,8    ,20.215         ,24.878            ,0.813 
1     ,6      ,1024 ,256  ,1273       ,8    ,21.539         ,24.754            ,0.87  
1     ,2      ,16   ,1    ,1273       ,8    ,20.025         ,21.521            ,0.93  
2     ,1      ,16   ,1    ,2147483647 ,8    ,19.853         ,21.432            ,0.926 
1     ,1      ,16   ,10   ,1273       ,8    ,22.852         ,25.668            ,0.89  
2     ,4      ,32   ,1    ,1273       ,8    ,19.648         ,20.986            ,0.936 
4     ,2      ,32   ,1    ,2147483647 ,8    ,19.096         ,21.202            ,0.901 
2     ,2      ,32   ,10   ,1273       ,8    ,19.049         ,25.002            ,0.762 
3     ,6      ,64   ,1    ,1273       ,8    ,19.042         ,20.528            ,0.928 
6     ,3      ,64   ,1    ,2147483647 ,8    ,18.732         ,20.736            ,0.903 
3     ,3      ,64   ,10   ,1273       ,8    ,20.715         ,24.535            ,0.844 
4     ,0      ,128  ,1    ,1273       ,8    ,18.614         ,20.638            ,0.902 
0     ,4      ,128  ,1    ,2147483647 ,8    ,18.705         ,20.191            ,0.926 
4     ,4      ,128  ,10   ,1273       ,8    ,20.594         ,24.317            ,0.847 
5     ,2      ,256  ,1    ,1273       ,8    ,18.454         ,20.461            ,0.902 
2     ,5      ,256  ,1    ,2147483647 ,8    ,18.695         ,20.058            ,0.932 
5     ,5      ,256  ,10   ,1273       ,8    ,20.363         ,24.174            ,0.842 
6     ,4      ,512  ,1    ,1273       ,8    ,18.226         ,20.242            ,0.9   
4     ,6      ,512  ,1    ,2147483647 ,8    ,18.521         ,19.913            ,0.93  
6     ,6      ,512  ,10   ,1273       ,8    ,17.646         ,20.377            ,0.866 
7     ,6      ,1024 ,1    ,1273       ,8    ,18.629         ,19.938            ,0.934 
