
Results For: wcsncat
align1,align2 ,len1 ,len2 ,max_char   ,n    ,__wcsncat_evex ,__wcsncat_generic 
0     ,2      ,2    ,2    ,1273       ,2    ,20.455         ,21.406            ,0.956 
0     ,0      ,4    ,4    ,1273       ,2    ,20.296         ,21.27             ,0.954 
4     ,0      ,4    ,4    ,2147483647 ,2    ,20.055         ,21.171            ,0.947 
0     ,0      ,8    ,8    ,1273       ,2    ,19.075         ,21.688            ,0.88  
0     ,0      ,16   ,16   ,1273       ,2    ,18.979         ,21.434            ,0.885 
7     ,2      ,16   ,16   ,1273       ,2    ,18.864         ,21.458            ,0.879 
0     ,0      ,16   ,4    ,1273       ,2    ,19.608         ,20.707            ,0.947 
7     ,2      ,16   ,4    ,1273       ,2    ,19.528         ,21.206            ,0.921 
0     ,0      ,32   ,32   ,1273       ,2    ,18.935         ,21.353            ,0.887 
6     ,4      ,32   ,32   ,1273       ,2    ,18.872         ,21.092            ,0.895 
0     ,0      ,32   ,8    ,1273       ,2    ,18.895         ,21.38             ,0.884 
6     ,4      ,32   ,8    ,1273       ,2    ,18.722         ,20.833            ,0.899 
0     ,0      ,64   ,64   ,1273       ,2    ,18.653         ,20.877            ,0.893 
5     ,6      ,64   ,64   ,1273       ,2    ,18.583         ,21.163            ,0.878 
0     ,0      ,64   ,16   ,1273       ,2    ,18.644         ,20.856            ,0.894 
5     ,6      ,64   ,16   ,1273       ,2    ,18.625         ,20.99             ,0.887 
0     ,0      ,128  ,128  ,1273       ,2    ,18.544         ,21.163            ,0.876 
4     ,0      ,128  ,128  ,1273       ,2    ,18.625         ,21.229            ,0.877 
0     ,0      ,128  ,32   ,1273       ,2    ,18.854         ,20.962            ,0.899 
4     ,0      ,128  ,32   ,1273       ,2    ,18.725         ,20.982            ,0.892 
0     ,0      ,256  ,256  ,1273       ,2    ,18.74          ,23.722            ,0.79  
3     ,2      ,256  ,256  ,1273       ,2    ,18.685         ,23.307            ,0.802 
0     ,0      ,256  ,64   ,1273       ,2    ,18.987         ,21.227            ,0.894 
3     ,2      ,256  ,64   ,1273       ,2    ,19.099         ,21.262            ,0.898 
0     ,0      ,512  ,512  ,1273       ,2    ,34.539         ,32.906            ,1.05  
2     ,4      ,512  ,512  ,1273       ,2    ,32.157         ,32.687            ,0.984 
0     ,0      ,512  ,128  ,1273       ,2    ,19.21          ,21.935            ,0.876 
2     ,4      ,512  ,128  ,1273       ,2    ,19.42          ,22.217            ,0.874 
0     ,0      ,1024 ,256  ,1273       ,2    ,19.728         ,24.026            ,0.821 
1     ,6      ,1024 ,256  ,1273       ,2    ,19.638         ,24.374            ,0.806 
1     ,2      ,16   ,1    ,1273       ,2    ,20.335         ,21.46             ,0.948 
2     ,1      ,16   ,1    ,2147483647 ,2    ,20.289         ,21.299            ,0.953 
1     ,1      ,16   ,10   ,1273       ,2    ,19.383         ,21.863            ,0.887 
2     ,4      ,32   ,1    ,1273       ,2    ,20.089         ,20.908            ,0.961 
4     ,2      ,32   ,1    ,2147483647 ,2    ,19.839         ,21.189            ,0.936 
2     ,2      ,32   ,10   ,1273       ,2    ,18.998         ,21.328            ,0.891 
3     ,6      ,64   ,1    ,1273       ,2    ,19.751         ,20.629            ,0.957 
6     ,3      ,64   ,1    ,2147483647 ,2    ,19.204         ,20.726            ,0.927 
3     ,3      ,64   ,10   ,1273       ,2    ,18.656         ,20.997            ,0.889 
4     ,0      ,128  ,1    ,1273       ,2    ,19.153         ,20.177            ,0.949 
0     ,4      ,128  ,1    ,2147483647 ,2    ,19.379         ,20.256            ,0.957 
4     ,4      ,128  ,10   ,1273       ,2    ,18.533         ,20.963            ,0.884 
5     ,2      ,256  ,1    ,1273       ,2    ,19.078         ,20.577            ,0.927 
2     ,5      ,256  ,1    ,2147483647 ,2    ,19.307         ,20.145            ,0.958 
5     ,5      ,256  ,10   ,1273       ,2    ,23.337         ,24.279            ,0.961 
6     ,4      ,512  ,1    ,1273       ,2    ,18.944         ,20.358            ,0.931 
4     ,6      ,512  ,1    ,2147483647 ,2    ,19.077         ,19.946            ,0.956 
6     ,6      ,512  ,10   ,1273       ,2    ,18.229         ,20.404            ,0.893 
7     ,6      ,1024 ,1    ,1273       ,2    ,19.102         ,19.958            ,0.957 
6     ,7      ,1024 ,1    ,2147483647 ,2    ,18.289         ,19.859            ,0.921 
7     ,7      ,1024 ,10   ,1273       ,2    ,18.257         ,20.404            ,0.895 
0     ,2      ,2    ,2    ,1273       ,8    ,18.884         ,19.825            ,0.953 
0     ,0      ,4    ,4    ,1273       ,8    ,18.832         ,19.821            ,0.95  
4     ,0      ,4    ,4    ,2147483647 ,8    ,18.941         ,19.887            ,0.952 
0     ,0      ,8    ,8    ,1273       ,8    ,18.184         ,20.686            ,0.879 
0     ,0      ,16   ,16   ,1273       ,8    ,18.312         ,20.442            ,0.896 
7     ,2      ,16   ,16   ,1273       ,8    ,18.394         ,20.484            ,0.898 
0     ,0      ,16   ,4    ,1273       ,8    ,19.25          ,19.999            ,0.963 
7     ,2      ,16   ,4    ,1273       ,8    ,19.067         ,20.374            ,0.936 
0     ,0      ,32   ,32   ,1273       ,8    ,18.412         ,20.536            ,0.897 
6     ,4      ,32   ,32   ,1273       ,8    ,18.437         ,20.526            ,0.898 
0     ,0      ,32   ,8    ,1273       ,8    ,18.267         ,20.74             ,0.881 
6     ,4      ,32   ,8    ,1273       ,8    ,18.865         ,24.233            ,0.778 
0     ,0      ,64   ,64   ,1273       ,8    ,18.343         ,20.947            ,0.876 
5     ,6      ,64   ,64   ,1273       ,8    ,18.63          ,20.958            ,0.889 
0     ,0      ,64   ,16   ,1273       ,8    ,18.587         ,20.746            ,0.896 
5     ,6      ,64   ,16   ,1273       ,8    ,18.612         ,20.761            ,0.896 
0     ,0      ,128  ,128  ,1273       ,8    ,18.517         ,21.436            ,0.864 
4     ,0      ,128  ,128  ,1273       ,8    ,18.552         ,21.56             ,0.86  
0     ,0      ,128  ,32   ,1273       ,8    ,18.812         ,20.905            ,0.9   
4     ,0      ,128  ,32   ,1273       ,8    ,18.723         ,20.873            ,0.897 
0     ,0      ,256  ,256  ,1273       ,8    ,18.806         ,24.159            ,0.778 
3     ,2      ,256  ,256  ,1273       ,8    ,21.002         ,23.808            ,0.882 
0     ,0      ,256  ,64   ,1273       ,8    ,19.388         ,21.789            ,0.89  
3     ,2      ,256  ,64   ,1273       ,8    ,19.479         ,21.848            ,0.892 
0     ,0      ,512  ,512  ,1273       ,8    ,42.696         ,32.558            ,1.311 
2     ,4      ,512  ,512  ,1273       ,8    ,32.142         ,33.224            ,0.967 
0     ,0      ,512  ,128  ,1273       ,8    ,19.446         ,22.445            ,0.866 
2     ,4      ,512  ,128  ,1273       ,8    ,19.975         ,22.502            ,0.888 
0     ,0      ,1024 ,256  ,1273       ,8    ,19.56          ,24.878            ,0.786 
1     ,6      ,1024 ,256  ,1273       ,8    ,21.858         ,24.754            ,0.883 
1     ,2      ,16   ,1    ,1273       ,8    ,20.596         ,21.521            ,0.957 
2     ,1      ,16   ,1    ,2147483647 ,8    ,20.663         ,21.432            ,0.964 
1     ,1      ,16   ,10   ,1273       ,8    ,23.5           ,25.668            ,0.916 
2     ,4      ,32   ,1    ,1273       ,8    ,20.3           ,20.986            ,0.967 
4     ,2      ,32   ,1    ,2147483647 ,8    ,19.848         ,21.202            ,0.936 
2     ,2      ,32   ,10   ,1273       ,8    ,19.596         ,25.002            ,0.784 
3     ,6      ,64   ,1    ,1273       ,8    ,19.716         ,20.528            ,0.96  
6     ,3      ,64   ,1    ,2147483647 ,8    ,19.492         ,20.736            ,0.94  
3     ,3      ,64   ,10   ,1273       ,8    ,21.262         ,24.535            ,0.867 
4     ,0      ,128  ,1    ,1273       ,8    ,19.352         ,20.638            ,0.938 
0     ,4      ,128  ,1    ,2147483647 ,8    ,19.403         ,20.191            ,0.961 
4     ,4      ,128  ,10   ,1273       ,8    ,21.19          ,24.317            ,0.871 
5     ,2      ,256  ,1    ,1273       ,8    ,19.155         ,20.461            ,0.936 
2     ,5      ,256  ,1    ,2147483647 ,8    ,19.299         ,20.058            ,0.962 
5     ,5      ,256  ,10   ,1273       ,8    ,20.904         ,24.174            ,0.865 
6     ,4      ,512  ,1    ,1273       ,8    ,19.006         ,20.242            ,0.939 
4     ,6      ,512  ,1    ,2147483647 ,8    ,19.13          ,19.913            ,0.961 
6     ,6      ,512  ,10   ,1273       ,8    ,18.266         ,20.377            ,0.896 
7     ,6      ,1024 ,1    ,1273       ,8    ,19.131         ,19.938            ,0.96  
6     ,7      ,1024 ,1    ,2147483647 ,8    ,18.302         ,19.887            ,0.92  
7     ,7      ,1024 ,10   ,1273       ,8    ,18.276         ,20.365            ,0.897 
0     ,2      ,2    ,2    ,1273       ,32   ,18.915         ,19.77             ,0.957 
0     ,0      ,4    ,4    ,1273       ,32   ,18.852         ,19.777            ,0.953 
4     ,0      ,4    ,4    ,2147483647 ,32   ,18.877         ,19.895            ,0.949 
0     ,0      ,8    ,8    ,1273       ,32   ,24.261         ,20.577            ,1.179 
0     ,0      ,16   ,16   ,1273       ,32   ,24.318         ,20.449            ,1.189 
7     ,2      ,16   ,16   ,1273       ,32   ,24.355         ,22.711            ,1.072 
0     ,0      ,16   ,4    ,1273       ,32   ,26.193         ,22.139            ,1.183 
7     ,2      ,16   ,4    ,1273       ,32   ,24.716         ,22.689            ,1.089 
0     ,0      ,32   ,32   ,1273       ,32   ,20.651         ,21.59             ,0.957 
6     ,4      ,32   ,32   ,1273       ,32   ,26.461         ,22.876            ,1.157 
0     ,0      ,32   ,8    ,1273       ,32   ,21.517         ,22.969            ,0.937 
6     ,4      ,32   ,8    ,1273       ,32   ,25.372         ,25.874            ,0.981 
0     ,0      ,64   ,64   ,1273       ,32   ,21.298         ,22.259            ,0.957 
5     ,6      ,64   ,64   ,1273       ,32   ,27.896         ,23.795            ,1.172 
0     ,0      ,64   ,16   ,1273       ,32   ,21.81          ,22.263            ,0.98  
5     ,6      ,64   ,16   ,1273       ,32   ,27.996         ,23.638            ,1.184 
0     ,0      ,128  ,128  ,1273       ,32   ,21.718         ,22.461            ,0.967 
4     ,0      ,128  ,128  ,1273       ,32   ,26.158         ,22.828            ,1.146 
0     ,0      ,128  ,32   ,1273       ,32   ,21.277         ,22.359            ,0.952 
4     ,0      ,128  ,32   ,1273       ,32   ,26.25          ,22.485            ,1.167 
0     ,0      ,256  ,256  ,1273       ,32   ,22.631         ,27.372            ,0.827 
3     ,2      ,256  ,256  ,1273       ,32   ,29.144         ,27.112            ,1.075 
0     ,0      ,256  ,64   ,1273       ,32   ,21.95          ,22.969            ,0.956 
3     ,2      ,256  ,64   ,1273       ,32   ,26.764         ,24.536            ,1.091 
