
Results For: wcsncpy
align1,align2 ,len  ,max_char   ,n    ,__wcsncpy_avx2 ,__wcsncpy_generic 
1     ,1      ,16   ,1273       ,16   ,9.073          ,10.532            ,0.861 
1     ,1      ,16   ,2147483647 ,16   ,9.124          ,10.654            ,0.856 
1     ,2      ,16   ,1273       ,16   ,9.861          ,10.691            ,0.922 
2     ,1      ,16   ,2147483647 ,16   ,9.573          ,10.71             ,0.894 
7     ,2      ,2    ,1273       ,4    ,5.278          ,12.941            ,0.408 
2     ,7      ,4    ,1273       ,2    ,5.235          ,9.875             ,0.53  
7     ,2      ,2    ,2147483647 ,4    ,5.335          ,12.884            ,0.414 
2     ,7      ,4    ,2147483647 ,2    ,5.233          ,9.907             ,0.528 
2     ,2      ,16   ,1273       ,16   ,9.33           ,10.999            ,0.848 
2     ,2      ,16   ,2147483647 ,16   ,9.37           ,10.813            ,0.866 
2     ,4      ,16   ,1273       ,16   ,10.14          ,11.03             ,0.919 
4     ,2      ,16   ,2147483647 ,16   ,9.747          ,11.05             ,0.882 
6     ,4      ,4    ,1273       ,8    ,5.817          ,13.384            ,0.435 
4     ,6      ,8    ,1273       ,4    ,5.783          ,9.958             ,0.581 
6     ,4      ,4    ,2147483647 ,8    ,5.791          ,13.465            ,0.43  
4     ,6      ,8    ,2147483647 ,4    ,5.796          ,10.013            ,0.579 
3     ,3      ,16   ,1273       ,16   ,9.494          ,11.137            ,0.853 
3     ,3      ,16   ,2147483647 ,16   ,9.464          ,11.088            ,0.854 
3     ,6      ,16   ,1273       ,16   ,10.241         ,11.153            ,0.918 
6     ,3      ,16   ,2147483647 ,16   ,8.547          ,11.121            ,0.769 
5     ,6      ,8    ,1273       ,16   ,9.25           ,13.951            ,0.663 
6     ,5      ,16   ,1273       ,8    ,5.141          ,9.43              ,0.545 
5     ,6      ,8    ,2147483647 ,16   ,9.272          ,14.188            ,0.653 
6     ,5      ,16   ,2147483647 ,8    ,5.14           ,9.479             ,0.542 
4     ,4      ,16   ,1273       ,16   ,9.449          ,11.205            ,0.843 
4     ,4      ,16   ,2147483647 ,16   ,9.425          ,10.94             ,0.862 
4     ,0      ,16   ,1273       ,16   ,7.379          ,10.668            ,0.692 
0     ,4      ,16   ,2147483647 ,16   ,6.653          ,10.454            ,0.636 
4     ,0      ,16   ,1273       ,32   ,8.649          ,16.485            ,0.525 
0     ,4      ,32   ,1273       ,16   ,6.626          ,10.6              ,0.625 
4     ,0      ,16   ,2147483647 ,32   ,8.585          ,16.191            ,0.53  
0     ,4      ,32   ,2147483647 ,16   ,6.607          ,10.494            ,0.63  
5     ,5      ,16   ,1273       ,16   ,9.425          ,10.768            ,0.875 
5     ,5      ,16   ,2147483647 ,16   ,9.454          ,11.032            ,0.857 
5     ,2      ,16   ,1273       ,16   ,8.51           ,10.929            ,0.779 
2     ,5      ,16   ,2147483647 ,16   ,10.251         ,11.07             ,0.926 
3     ,2      ,32   ,1273       ,64   ,11.685         ,18.856            ,0.62  
2     ,3      ,64   ,1273       ,32   ,12.018         ,12.772            ,0.941 
3     ,2      ,32   ,2147483647 ,64   ,11.703         ,18.926            ,0.618 
2     ,3      ,64   ,2147483647 ,32   ,12.069         ,12.792            ,0.943 
6     ,6      ,16   ,1273       ,16   ,9.516          ,11.148            ,0.854 
6     ,6      ,16   ,2147483647 ,16   ,9.522          ,11.005            ,0.865 
6     ,4      ,16   ,1273       ,16   ,8.616          ,11.087            ,0.777 
4     ,6      ,16   ,2147483647 ,16   ,10.294         ,11.059            ,0.931 
2     ,4      ,64   ,1273       ,128  ,21.266         ,26.768            ,0.794 
4     ,2      ,128  ,1273       ,64   ,13.724         ,19.579            ,0.701 
2     ,4      ,64   ,2147483647 ,128  ,21.351         ,26.819            ,0.796 
4     ,2      ,128  ,2147483647 ,64   ,13.742         ,19.595            ,0.701 
7     ,7      ,16   ,1273       ,16   ,9.504          ,11.162            ,0.851 
7     ,7      ,16   ,2147483647 ,16   ,9.505          ,11.211            ,0.848 
7     ,6      ,16   ,1273       ,16   ,8.603          ,11.087            ,0.776 
6     ,7      ,16   ,2147483647 ,16   ,10.3           ,11.126            ,0.926 
1     ,6      ,128  ,1273       ,256  ,33.318         ,48.193            ,0.691 
6     ,1      ,256  ,1273       ,128  ,20.616         ,27.397            ,0.752 
1     ,6      ,128  ,2147483647 ,256  ,32.378         ,46.826            ,0.691 
6     ,1      ,256  ,2147483647 ,128  ,20.571         ,27.31             ,0.753 
0     ,0      ,8    ,1273       ,16   ,8.556          ,14.627            ,0.585 
0     ,0      ,32   ,1273       ,16   ,6.439          ,10.65             ,0.605 
7     ,2      ,8    ,1273       ,16   ,10.215         ,15.338            ,0.666 
7     ,2      ,32   ,1273       ,16   ,8.538          ,11.122            ,0.768 
0     ,0      ,16   ,1273       ,32   ,8.116          ,15.813            ,0.513 
0     ,0      ,64   ,1273       ,32   ,7.585          ,12.797            ,0.593 
6     ,4      ,16   ,1273       ,32   ,9.632          ,16.452            ,0.585 
6     ,4      ,64   ,1273       ,32   ,9.805          ,12.97             ,0.756 
0     ,0      ,32   ,1273       ,64   ,9.965          ,17.978            ,0.554 
0     ,0      ,128  ,1273       ,64   ,10.626         ,15.906            ,0.668 
5     ,6      ,32   ,1273       ,64   ,14.049         ,18.511            ,0.759 
5     ,6      ,128  ,1273       ,64   ,16.587         ,19.507            ,0.85  
0     ,0      ,64   ,1273       ,128  ,15.94          ,24.259            ,0.657 
0     ,0      ,256  ,1273       ,128  ,15.802         ,23.366            ,0.676 
4     ,0      ,64   ,1273       ,128  ,17.684         ,24.612            ,0.719 
4     ,0      ,256  ,1273       ,128  ,19.943         ,26.363            ,0.756 
0     ,0      ,128  ,1273       ,256  ,22.212         ,42.056            ,0.528 
0     ,0      ,512  ,1273       ,256  ,24.031         ,37.463            ,0.641 
3     ,2      ,128  ,1273       ,256  ,30.022         ,46.0              ,0.653 
3     ,2      ,512  ,1273       ,256  ,37.813         ,39.889            ,0.948 
0     ,0      ,256  ,1273       ,512  ,31.551         ,62.892            ,0.502 
0     ,0      ,1024 ,1273       ,512  ,40.408         ,60.422            ,0.669 
2     ,4      ,256  ,1273       ,512  ,50.514         ,67.56             ,0.748 
2     ,4      ,1024 ,1273       ,512  ,65.984         ,71.684            ,0.92  
0     ,0      ,512  ,1273       ,1024 ,61.016         ,104.621           ,0.583 
1     ,6      ,512  ,1273       ,1024 ,106.185        ,123.553           ,0.859 
1     ,0      ,128  ,1273       ,64   ,12.001         ,15.998            ,0.75  
1     ,0      ,64   ,1273       ,128  ,17.435         ,24.268            ,0.718 
1     ,0      ,128  ,1273       ,96   ,18.275         ,22.335            ,0.818 
0     ,0      ,128  ,1273       ,96   ,14.104         ,20.998            ,0.672 
1     ,0      ,96   ,1273       ,128  ,19.697         ,27.953            ,0.705 
0     ,0      ,96   ,1273       ,128  ,15.557         ,27.614            ,0.563 
1     ,0      ,128  ,1273       ,128  ,20.618         ,27.391            ,0.753 
0     ,0      ,128  ,1273       ,128  ,15.856         ,23.315            ,0.68  
1     ,0      ,128  ,1273       ,160  ,23.458         ,32.255            ,0.727 
0     ,0      ,128  ,1273       ,160  ,17.227         ,31.816            ,0.541 
1     ,0      ,160  ,1273       ,128  ,21.638         ,26.1              ,0.829 
0     ,0      ,160  ,1273       ,128  ,15.798         ,23.299            ,0.678 
1     ,0      ,128  ,1273       ,192  ,25.868         ,35.895            ,0.721 
0     ,0      ,128  ,1273       ,192  ,19.467         ,37.192            ,0.523 
1     ,0      ,192  ,1273       ,128  ,20.328         ,25.965            ,0.783 
0     ,0      ,192  ,1273       ,128  ,15.811         ,23.245            ,0.68  
1     ,0      ,256  ,1273       ,192  ,28.114         ,32.803            ,0.857 
0     ,0      ,256  ,1273       ,192  ,19.988         ,30.353            ,0.659 
1     ,0      ,192  ,1273       ,256  ,33.986         ,44.017            ,0.772 
0     ,0      ,192  ,1273       ,256  ,22.475         ,44.378            ,0.506 
1     ,0      ,256  ,1273       ,224  ,31.775         ,35.729            ,0.889 
0     ,0      ,256  ,1273       ,224  ,22.207         ,34.097            ,0.651 
1     ,0      ,224  ,1273       ,256  ,35.632         ,45.169            ,0.789 
0     ,0      ,224  ,1273       ,256  ,22.709         ,45.625            ,0.498 
1     ,0      ,256  ,1273       ,256  ,36.301         ,42.736            ,0.849 
0     ,0      ,256  ,1273       ,256  ,23.971         ,37.554            ,0.638 
1     ,0      ,256  ,1273       ,288  ,40.02          ,47.926            ,0.835 
0     ,0      ,256  ,1273       ,288  ,25.222         ,48.03             ,0.525 
1     ,0      ,288  ,1273       ,256  ,36.552         ,39.526            ,0.925 
0     ,0      ,288  ,1273       ,256  ,24.058         ,37.621            ,0.639 
1     ,0      ,256  ,1273       ,320  ,43.146         ,49.089            ,0.879 
0     ,0      ,256  ,1273       ,320  ,26.661         ,49.16             ,0.542 
1     ,0      ,320  ,1273       ,256  ,36.156         ,38.584            ,0.937 
0     ,0      ,320  ,1273       ,256  ,23.983         ,37.639            ,0.637 
1     ,0      ,512  ,1273       ,448  ,54.788         ,58.791            ,0.932 
0     ,0      ,512  ,1273       ,448  ,37.077         ,55.163            ,0.672 
1     ,0      ,448  ,1273       ,512  ,56.052         ,67.841            ,0.826 
0     ,0      ,448  ,1273       ,512  ,39.792         ,66.881            ,0.595 
1     ,0      ,512  ,1273       ,480  ,54.418         ,62.181            ,0.875 
0     ,0      ,512  ,1273       ,480  ,39.268         ,57.748            ,0.68  
1     ,0      ,480  ,1273       ,512  ,57.151         ,69.9              ,0.818 
0     ,0      ,480  ,1273       ,512  ,40.631         ,67.882            ,0.599 
1     ,0      ,512  ,1273       ,512  ,57.972         ,69.883            ,0.83  
0     ,0      ,512  ,1273       ,512  ,41.535         ,60.548            ,0.686 
1     ,0      ,512  ,1273       ,544  ,60.324         ,73.213            ,0.824 
0     ,0      ,512  ,1273       ,544  ,42.882         ,70.781            ,0.606 
1     ,0      ,544  ,1273       ,512  ,57.744         ,66.541            ,0.868 
0     ,0      ,544  ,1273       ,512  ,41.568         ,60.475            ,0.687 
1     ,0      ,512  ,1273       ,576  ,62.319         ,74.356            ,0.838 
0     ,0      ,512  ,1273       ,576  ,44.32          ,71.974            ,0.616 
1     ,0      ,576  ,1273       ,512  ,57.92          ,66.945            ,0.865 
0     ,0      ,576  ,1273       ,512  ,41.74          ,60.633            ,0.688 
1     ,0      ,1024 ,1273       ,960  ,103.39         ,109.603           ,0.943 
0     ,0      ,1024 ,1273       ,960  ,81.778         ,99.437            ,0.822 
1     ,0      ,960  ,1273       ,1024 ,107.476        ,116.097           ,0.926 
0     ,0      ,960  ,1273       ,1024 ,91.443         ,103.248           ,0.886 
1     ,0      ,1024 ,1273       ,992  ,106.43         ,111.018           ,0.959 
0     ,0      ,1024 ,1273       ,992  ,84.283         ,105.45            ,0.799 
1     ,0      ,992  ,1273       ,1024 ,108.614        ,121.306           ,0.895 
0     ,0      ,992  ,1273       ,1024 ,85.453         ,104.87            ,0.815 
1     ,0      ,1024 ,1273       ,1024 ,123.514        ,122.647           ,1.007 
0     ,0      ,1024 ,1273       ,1024 ,86.188         ,105.384           ,0.818 
1     ,0      ,1024 ,1273       ,1056 ,132.734        ,121.728           ,1.09  
0     ,0      ,1024 ,1273       ,1056 ,88.228         ,108.781           ,0.811 
1     ,0      ,1056 ,1273       ,1024 ,123.624        ,113.767           ,1.087 
0     ,0      ,1056 ,1273       ,1024 ,86.046         ,106.904           ,0.805 
1     ,0      ,1024 ,1273       ,1088 ,135.016        ,122.077           ,1.106 
0     ,0      ,1024 ,1273       ,1088 ,95.086         ,108.439           ,0.877 
1     ,0      ,1088 ,1273       ,1024 ,123.562        ,112.882           ,1.095 
0     ,0      ,1088 ,1273       ,1024 ,85.771         ,107.297           ,0.799 
0.7301545784599733
