
Results For: wcsncpy
align1,align2 ,len  ,max_char   ,n    ,__wcsncpy_evex ,__wcsncpy_generic 
1     ,1      ,16   ,1273       ,16   ,8.976          ,10.532            ,0.852 
1     ,1      ,16   ,2147483647 ,16   ,8.98           ,10.654            ,0.843 
1     ,2      ,16   ,1273       ,16   ,9.758          ,10.691            ,0.913 
2     ,1      ,16   ,2147483647 ,16   ,9.461          ,10.71             ,0.883 
7     ,2      ,2    ,1273       ,4    ,5.438          ,12.941            ,0.42  
2     ,7      ,4    ,1273       ,2    ,5.171          ,9.875             ,0.524 
7     ,2      ,2    ,2147483647 ,4    ,5.092          ,12.884            ,0.395 
2     ,7      ,4    ,2147483647 ,2    ,5.147          ,9.907             ,0.52  
2     ,2      ,16   ,1273       ,16   ,9.198          ,10.999            ,0.836 
2     ,2      ,16   ,2147483647 ,16   ,9.293          ,10.813            ,0.859 
2     ,4      ,16   ,1273       ,16   ,10.053         ,11.03             ,0.911 
4     ,2      ,16   ,2147483647 ,16   ,9.683          ,11.05             ,0.876 
6     ,4      ,4    ,1273       ,8    ,6.726          ,13.384            ,0.503 
4     ,6      ,8    ,1273       ,4    ,5.226          ,9.958             ,0.525 
6     ,4      ,4    ,2147483647 ,8    ,6.725          ,13.465            ,0.499 
4     ,6      ,8    ,2147483647 ,4    ,5.237          ,10.013            ,0.523 
3     ,3      ,16   ,1273       ,16   ,9.356          ,11.137            ,0.84  
3     ,3      ,16   ,2147483647 ,16   ,9.316          ,11.088            ,0.84  
3     ,6      ,16   ,1273       ,16   ,10.147         ,11.153            ,0.91  
6     ,3      ,16   ,2147483647 ,16   ,8.528          ,11.121            ,0.767 
5     ,6      ,8    ,1273       ,16   ,9.548          ,13.951            ,0.684 
6     ,5      ,16   ,1273       ,8    ,5.219          ,9.43              ,0.553 
5     ,6      ,8    ,2147483647 ,16   ,9.584          ,14.188            ,0.675 
6     ,5      ,16   ,2147483647 ,8    ,5.224          ,9.479             ,0.551 
4     ,4      ,16   ,1273       ,16   ,9.32           ,11.205            ,0.832 
4     ,4      ,16   ,2147483647 ,16   ,9.294          ,10.94             ,0.85  
4     ,0      ,16   ,1273       ,16   ,7.288          ,10.668            ,0.683 
0     ,4      ,16   ,2147483647 ,16   ,6.804          ,10.454            ,0.651 
4     ,0      ,16   ,1273       ,32   ,8.379          ,16.485            ,0.508 
0     ,4      ,32   ,1273       ,16   ,6.791          ,10.6              ,0.641 
4     ,0      ,16   ,2147483647 ,32   ,8.379          ,16.191            ,0.518 
0     ,4      ,32   ,2147483647 ,16   ,6.775          ,10.494            ,0.646 
5     ,5      ,16   ,1273       ,16   ,9.276          ,10.768            ,0.861 
5     ,5      ,16   ,2147483647 ,16   ,9.294          ,11.032            ,0.842 
5     ,2      ,16   ,1273       ,16   ,8.509          ,10.929            ,0.779 
2     ,5      ,16   ,2147483647 ,16   ,10.159         ,11.07             ,0.918 
3     ,2      ,32   ,1273       ,64   ,11.741         ,18.856            ,0.623 
2     ,3      ,64   ,1273       ,32   ,11.991         ,12.772            ,0.939 
3     ,2      ,32   ,2147483647 ,64   ,11.705         ,18.926            ,0.618 
2     ,3      ,64   ,2147483647 ,32   ,12.021         ,12.792            ,0.94  
6     ,6      ,16   ,1273       ,16   ,9.34           ,11.148            ,0.838 
6     ,6      ,16   ,2147483647 ,16   ,9.378          ,11.005            ,0.852 
6     ,4      ,16   ,1273       ,16   ,8.574          ,11.087            ,0.773 
4     ,6      ,16   ,2147483647 ,16   ,10.224         ,11.059            ,0.924 
2     ,4      ,64   ,1273       ,128  ,21.81          ,26.768            ,0.815 
4     ,2      ,128  ,1273       ,64   ,13.668         ,19.579            ,0.698 
2     ,4      ,64   ,2147483647 ,128  ,21.901         ,26.819            ,0.817 
4     ,2      ,128  ,2147483647 ,64   ,13.769         ,19.595            ,0.703 
7     ,7      ,16   ,1273       ,16   ,9.377          ,11.162            ,0.84  
7     ,7      ,16   ,2147483647 ,16   ,9.376          ,11.211            ,0.836 
7     ,6      ,16   ,1273       ,16   ,8.569          ,11.087            ,0.773 
6     ,7      ,16   ,2147483647 ,16   ,10.233         ,11.126            ,0.92  
1     ,6      ,128  ,1273       ,256  ,31.91          ,48.193            ,0.662 
