                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	9.95703	83.0508	77.6562
String 00000, offset 7:	17.7969	11.4766	59.5273
String 00000, offset 14:	19.5938	11.3438	55.3828
String 00000, offset 21:	23.4648	11.3359	51.8008
String 00000, offset 28:	28.9688	12.8789	45.8477
String 00000, offset 35:	55.7383	13.1562	69.6172
String 00000, offset 42:	60.4375	12.9336	65.7188
String 00000, offset 49:	57.9336	12.4023	61.1016
String 00000, offset 56:	61.8086	12.3867	53.9102
String 00000, offset 63:	65.5859	12.375	78.4961
String 00000, offset 70:	69.7578	13.3867	72.3594
String 00000, offset 77:	73.9258	12.6406	67.9062
String 00000, offset 84:	78.2031	12.9766	88.9688
String 00000, offset 91:	82.1484	12.7305	86.4258
String 00000, offset 98:	86.625	13.7539	81.8398
String 00000, offset 105:	90.8477	14.3672	101.379
String 00000, offset 112:	94.7422	13.3242	103.211
String 00000, offset 119:	99.0195	13.2305	119.855
String 00112233, offset 0:	14.207	11.6836	40.2539
String 00112233, offset 7:	22.2266	11.2812	41.5859
String 00112233, offset 14:	24.0977	11.1992	42.7656
String 00112233, offset 21:	28.2148	11.3906	44.4023
String 00112233, offset 28:	40.9453	11.4844	44.6055
String 00112233, offset 35:	52.668	13.0938	45.957
String 00112233, offset 42:	60.168	12.1406	47.207
String 00112233, offset 49:	64.5742	12.6641	49.9727
String 00112233, offset 56:	68.625	13.0391	50.5547
String 00112233, offset 63:	72.8242	12.9922	50.8281
String 00112233, offset 70:	76.9219	13.1172	53.8477
String 00112233, offset 77:	81.2617	13.0391	56.2773
String 00112233, offset 84:	85.0977	12.3633	54.4727
String 00112233, offset 91:	89.7109	12.3945	55.0586
String 00112233, offset 98:	93.5312	13.2109	59.4961
String 00112233, offset 105:	97.9922	13.2031	63.582
String 00112233, offset 112:	102.027	13.1719	65.6172
String 00112233, offset 119:	106.055	13.0039	66.6875
String 0123456789, offset 0:	16.8867	11.3359	41.5195
String 0123456789, offset 7:	24.7617	11.3047	43.4727
String 0123456789, offset 14:	26.3711	11.3438	45.6719
String 0123456789, offset 21:	41.7227	11.2891	47.6992
String 0123456789, offset 28:	54.3711	11.3281	47.0273
String 0123456789, offset 35:	58.6172	13.0938	46.3594
String 0123456789, offset 42:	62.4414	12.7109	48.4062
String 0123456789, offset 49:	66.8281	12.3867	50.7344
String 0123456789, offset 56:	70.7891	12.9492	53.1562
String 0123456789, offset 63:	75.2734	12.3945	53.1406
String 0123456789, offset 70:	79.1016	12.8945	53.7109
String 0123456789, offset 77:	83.6289	12.4844	60.793
String 0123456789, offset 84:	87.5586	13.0039	56.5781
String 0123456789, offset 91:	91.8281	12.9961	58.1562
String 0123456789, offset 98:	96.0312	14.3125	56.25
String 0123456789, offset 105:	100.004	13.6172	58.4883
String 0123456789, offset 112:	104.523	13.6562	60.7617
String 0123456789, offset 119:	108.445	13.0391	59.0352
String 0000111100001111, offset 0:	24.2031	11.3672	50.3516
String 0000111100001111, offset 7:	31.6211	11.3281	50.3711
String 0000111100001111, offset 14:	33.6016	11.3867	66.2891
String 0000111100001111, offset 21:	38.832	12.5938	59.7539
String 0000111100001111, offset 28:	61.1367	11.7188	61.7578
String 0000111100001111, offset 35:	65.3867	12.8477	57.2344
String 0000111100001111, offset 42:	69.793	12.5234	58.8516
String 0000111100001111, offset 49:	67.1094	13.0312	55.8125
String 0000111100001111, offset 56:	78.168	13.0547	65.8711
String 0000111100001111, offset 63:	82.0352	13.3633	58.1484
String 0000111100001111, offset 70:	86.4492	13.0703	70.8711
String 0000111100001111, offset 77:	90.543	12.9648	67.6523
String 0000111100001111, offset 84:	94.6094	13.0156	69.832
String 0000111100001111, offset 91:	99.0742	13.5586	62.4023
String 0000111100001111, offset 98:	103.004	13.1719	69.793
String 0000111100001111, offset 105:	107.172	13.0156	59.4336
String 0000111100001111, offset 112:	111.734	13.4688	62.25
String 0000111100001111, offset 119:	115.629	13.6133	81.7266
String 00000111110000022222, offset 0:	28.8359	11.168	54.4883
String 00000111110000022222, offset 7:	36.7852	11.3633	62.5977
String 00000111110000022222, offset 14:	38.6289	11.3281	55.543
String 00000111110000022222, offset 21:	43.1133	11.3906	63.7695
String 00000111110000022222, offset 28:	49.4531	11.207	58.0234
String 00000111110000022222, offset 35:	52.0391	12.9492	63.2031
String 00000111110000022222, offset 42:	55.8047	12.5234	62.8867
String 00000111110000022222, offset 49:	60.7773	12.457	63.7461
String 00000111110000022222, offset 56:	66.0547	12.4531	76.8477
String 00000111110000022222, offset 63:	68.4609	12.3633	66.9766
String 00000111110000022222, offset 70:	73.793	13.4258	75.0273
String 00000111110000022222, offset 77:	80.2656	13.6797	67.4805
String 00000111110000022222, offset 84:	83.0742	12.7695	75.5977
String 00000111110000022222, offset 91:	88.5312	12.9648	66.4766
String 00000111110000022222, offset 98:	90.7461	14.3203	72.7734
String 00000111110000022222, offset 105:	94.2227	13.3711	65.5156
String 00000111110000022222, offset 112:	99.332	13.6016	75.4961
String 00000111110000022222, offset 119:	104.691	13.6562	68.4883
String 012345678901234567890, offset 0:	30.4805	11.3359	55.7852
String 012345678901234567890, offset 7:	47.0586	11.2266	56.1133
String 012345678901234567890, offset 14:	40.3281	11.9531	61.6172
String 012345678901234567890, offset 21:	45.1367	29.4727	66.4492
String 012345678901234567890, offset 28:	55.5352	12.8594	65.918
String 012345678901234567890, offset 35:	59.8828	15.1289	82.7578
String 012345678901234567890, offset 42:	56.8828	12.5234	63.0742
String 012345678901234567890, offset 49:	62.4414	13.0469	60.5938
String 012345678901234567890, offset 56:	66.043	12.4375	94.0938
String 012345678901234567890, offset 63:	70.0312	12.4883	64.4531
String 012345678901234567890, offset 70:	73.4141	12.8633	64.1758
String 012345678901234567890, offset 77:	79.4219	12.6172	67.4141
String 012345678901234567890, offset 84:	83.6484	13.543	64.7148
String 012345678901234567890, offset 91:	90.1953	12.3789	71.0352
String 012345678901234567890, offset 98:	91.6523	13.75	68.8008
String 012345678901234567890, offset 105:	95.6875	13.1328	69.0859
String 012345678901234567890, offset 112:	98.75	13.0938	71.0195
String 012345678901234567890, offset 119:	105.262	13.0312	73.4844
String abc0, offset 0:	8.19531	14.9219	43.0352
String abc0, offset 7:	23.4531	18.043	61.0547
String abc0, offset 14:	33.6758	19.7852	75.875
String abc0, offset 21:	26.9375	13.8945	52.3594
String abc0, offset 28:	30.4492	12.7812	56.3047
String abc0, offset 35:	38.7031	14.875	61.3086
String abc0, offset 42:	59.6602	14.3438	61.0977
String abc0, offset 49:	64.4375	14.3047	64.6094
String abc0, offset 56:	70.0391	14.9297	67.5898
String abc0, offset 63:	73.7852	14.2344	96.0156
String abc0, offset 70:	78.418	14.7266	74.3008
String abc0, offset 77:	83.7305	14.4609	78.8711
String abc0, offset 84:	88.1914	14.9883	81.2227
String abc0, offset 91:	92.9688	14.1719	98.3008
String abc0, offset 98:	98	15.7969	125.828
String abc0, offset 105:	102.875	16.5078	124.922
String abc0, offset 112:	107.473	15.6562	132.762
String abc0, offset 119:	113.992	15.0078	135.195
String aaaa0, offset 0:	11.1055	13.9023	41.8789
String aaaa0, offset 7:	19.9062	13.7344	60.0547
