                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	70.7812	31.625	344.156	112.531
Length   64/  1, alignment  0/ 9, fail :	68.0625	13.5	17.9375	11.3438
Length   64/  2, alignment  1/ 3, found:	83.5	174.25	15.9688	57.2812
Length   64/  2, alignment  0/ 9, fail :	71.6875	44.0938	31.3125	50.1875
Length   64/  3, alignment  1/ 3, found:	68.125	304.75	15.7188	113.688
Length   64/  3, alignment  0/ 9, fail :	52.9688	73.9688	102.969	120.906
Length   64/  4, alignment  1/ 3, found:	66.2812	123.312	20.4062	108.688
Length   64/  4, alignment  0/ 9, fail :	62.4688	124.188	25.1562	90.125
Length   64/  5, alignment  1/ 3, found:	63.5	141.188	21.7188	94.4375
Length   64/  5, alignment  0/ 9, fail :	64.3125	112.5	25.4062	97.3125
Length   64/  6, alignment  1/ 3, found:	73.6562	249.25	27.125	100.875
Length   64/  6, alignment  0/ 9, fail :	69.7812	251.625	32.5	95.9375
Length   64/  7, alignment  1/ 3, found:	70.9062	250.938	30.5938	89.7812
Length   64/  7, alignment  0/ 9, fail :	71.6562	241.062	38.1562	87.8438
Length   64/  8, alignment  1/ 3, found:	75.2188	199.031	24.8125	88.2188
Length   64/  8, alignment  0/ 9, fail :	75.7812	207.031	36.75	83.1875
Length   64/  9, alignment  1/ 3, found:	90.5625	118.75	28.4375	94.375
Length   64/  9, alignment  0/ 9, fail :	86.75	105.562	24.0312	86.375
Length   64/ 10, alignment  1/ 3, found:	74.4375	27.0312	26.3125	32.5
Length   64/ 10, alignment  0/ 9, fail :	74.875	14.7812	23.4375	14.375
Length   64/ 11, alignment  1/ 3, found:	61.875	121.562	24.2188	89.1562
Length   64/ 11, alignment  0/ 9, fail :	64	101.906	23.6562	81.75
Length   64/ 12, alignment  1/ 3, found:	79.5625	146.75	25.3438	93.6562
Length   64/ 12, alignment  0/ 9, fail :	57.3438	111.781	23.375	88.5312
Length   64/ 13, alignment  1/ 3, found:	64	195.531	22.0625	115.25
Length   64/ 13, alignment  0/ 9, fail :	59.8438	180.875	23.4688	109.438
Length   64/ 14, alignment  1/ 3, found:	82.3125	201.125	23.0625	108.25
Length   64/ 14, alignment  0/ 9, fail :	77.625	197.312	23.5625	99.5625
Length   64/ 15, alignment  1/ 3, found:	62.5	245.281	23.4688	95.0938
Length   64/ 15, alignment  0/ 9, fail :	55.7188	238.531	23.9062	93.0312
Length   64/ 16, alignment  1/ 3, found:	62.2188	249	24.3125	90.3125
Length   64/ 16, alignment  0/ 9, fail :	70.2188	225.719	26.8125	85.2812
Length   96/  1, alignment  1/ 3, found:	94.625	20.3438	20.0938	17.7188
Length   96/  1, alignment  0/ 9, fail :	92.8125	17.625	19.7812	14.6562
Length   96/  2, alignment  1/ 3, found:	91.6875	194.781	30.8438	155.906
Length   96/  2, alignment  0/ 9, fail :	115.594	179.562	26.875	143.625
Length   96/  3, alignment  1/ 3, found:	92.4688	98.7812	31.875	162.906
Length   96/  3, alignment  0/ 9, fail :	89.3438	81.875	29.7188	151.844
Length   96/  4, alignment  1/ 3, found:	113.812	100.438	26.9375	146.062
Length   96/  4, alignment  0/ 9, fail :	82.9375	83.4688	23.3438	125.469
Length   96/  5, alignment  1/ 3, found:	78.5312	202.406	35.5	103.219
Length   96/  5, alignment  0/ 9, fail :	78.75	192.25	27.625	98.5625
Length   96/  6, alignment  1/ 3, found:	119.625	316.656	31.4375	102.656
Length   96/  6, alignment  0/ 9, fail :	107.844	317.281	23.25	98.7812
Length   96/  7, alignment  1/ 3, found:	94.3438	300.25	29.9688	96.9375
Length   96/  7, alignment  0/ 9, fail :	100.312	259.438	23.5625	90.0312
Length   96/  8, alignment  1/ 3, found:	97.0312	25.9375	29.8438	29.0312
Length   96/  8, alignment  0/ 9, fail :	94.1562	16.0312	23.6562	15.0938
Length   96/  9, alignment  1/ 3, found:	124.031	114.625	35.3125	89.9688
Length   96/  9, alignment  0/ 9, fail :	118.75	96.75	27.25	90.5
Length   96/ 10, alignment  1/ 3, found:	84.2188	244.594	31.8125	113.438
Length   96/ 10, alignment  0/ 9, fail :	86.0938	258.25	23.375	104
Length   96/ 11, alignment  1/ 3, found:	103.875	293.25	36.9688	94.875
Length   96/ 11, alignment  0/ 9, fail :	91.8438	290.781	26.625	89.0312
Length   96/ 12, alignment  1/ 3, found:	82.25	294.594	36.1562	89.3125
Length   96/ 12, alignment  0/ 9, fail :	97.9688	291.312	24.9688	92
Length   96/ 13, alignment  1/ 3, found:	93.2812	25.0938	33.9688	25.7812
Length   96/ 13, alignment  0/ 9, fail :	93.1562	14.9375	23.5312	16.1562
Length   96/ 14, alignment  1/ 3, found:	86.5625	284.406	42	89.8125
Length   96/ 14, alignment  0/ 9, fail :	77.4375	280.844	28.0312	85.9062
Length   96/ 15, alignment  1/ 3, found:	94.1875	155.312	36.4375	96.1875
Length   96/ 15, alignment  0/ 9, fail :	151.688	129.719	23.7812	101.062
Length   96/ 16, alignment  1/ 3, found:	95.6875	25.2812	36.75	24.9688
Length   96/ 16, alignment  0/ 9, fail :	93.875	14.4688	24.3438	15.7188
Length  128/  1, alignment  1/ 3, found:	113.562	19.5	24.3438	16.375
Length  128/  1, alignment  0/ 9, fail :	115.188	17.25	23.6875	16.1875
Length  128/  2, alignment  1/ 3, found:	136.5	109.25	31.625	218.188
Length  128/  2, alignment  0/ 9, fail :	127.25	86.0625	32.6875	204.781
Length  128/  3, alignment  1/ 3, found:	163.625	195.469	27.4375	209.625
Length  128/  3, alignment  0/ 9, fail :	128.562	170.562	30.4062	200.656
Length  128/  4, alignment  1/ 3, found:	118.625	120.781	38.6875	141.375
Length  128/  4, alignment  0/ 9, fail :	120.219	97.7188	44.4375	133.969
Length  128/  5, alignment  1/ 3, found:	123.594	395.5	34.3438	139.156
Length  128/  5, alignment  0/ 9, fail :	114.312	396	41.375	124.625
Length  128/  6, alignment  1/ 3, found:	119.75	134.781	36.8125	106.719
Length  128/  6, alignment  0/ 9, fail :	112.156	122.625	42.5	102.531
Length  128/  7, alignment  1/ 3, found:	123.625	86	36.375	82.875
Length  128/  7, alignment  0/ 9, fail :	119.969	69.625	39.0312	78.625
Length  128/  8, alignment  1/ 3, found:	167.125	187.5	37.2812	99.1875
