
Results For: strncasecmp
length, align1, align2, max_char,    n
     1,      1,      1,      127,    0, 0.866
     1,      1,      1,      127,    1, 0.727
     1,      1,      1,      127,    2, 0.923
     2,      2,      2,      127,    1,  0.83
     2,      2,      2,      127,    2,   0.9
     2,      2,      2,      127,    3, 0.919
     3,      3,      3,      127,    2, 0.938
     3,      3,      3,      127,    3, 0.922
     3,      3,      3,      127,    4, 0.917
     4,      4,      4,      127,    3, 0.902
     4,      4,      4,      127,    4, 0.918
     4,      4,      4,      127,    5, 0.919
     5,      5,      5,      127,    4,  0.94
     5,      5,      5,      127,    5, 0.939
     5,      5,      5,      127,    6, 0.922
     6,      6,      6,      127,    5, 0.908
     6,      6,      6,      127,    6, 0.933
     6,      6,      6,      127,    7, 0.922
     7,      7,      7,      127,    6, 0.908
     7,      7,      7,      127,    7, 0.911
     7,      7,      7,      127,    8, 0.917
     8,      0,      0,      127,    7,  0.91
     8,      0,      0,      127,    8, 0.918
     8,      0,      0,      127,    9,  0.92
     9,      1,      1,      127,    8, 0.903
     9,      1,      1,      127,    9, 0.921
     9,      1,      1,      127,   10, 0.919
    10,      2,      2,      127,    9, 0.919
    10,      2,      2,      127,   10, 0.912
    10,      2,      2,      127,   11, 0.917
    11,      3,      3,      127,   10, 0.925
    11,      3,      3,      127,   11,  0.93
    11,      3,      3,      127,   12, 0.918
    12,      4,      4,      127,   11, 0.933
    12,      4,      4,      127,   12, 0.922
    12,      4,      4,      127,   13, 0.918
    13,      5,      5,      127,   12, 0.924
    13,      5,      5,      127,   13, 0.903
    13,      5,      5,      127,   14, 0.917
    14,      6,      6,      127,   13, 0.916
    14,      6,      6,      127,   14, 0.927
    14,      6,      6,      127,   15, 0.917
    15,      7,      7,      127,   14, 0.927
    15,      7,      7,      127,   15, 0.921
    15,      7,      7,      127,   16, 0.918
     4,      0,      0,      127,    3, 0.907
     4,      0,      0,      254,    4, 0.934
     4,      0,      0,      127,    5, 0.944
     4,      0,      0,      254,    5, 0.939
     4,      0,      0,      127,    4, 0.927
     4,      0,      0,      127,   14, 0.924
     4,      0,      0,      254,   14, 0.927
     8,      0,      0,      254,    8, 0.928
     8,      0,      0,      254,    9, 0.934
     8,      0,      0,      127,   18,  0.92
     8,      0,      0,      254,   18,  0.92
    16,      0,      0,      127,   15, 0.937
    16,      0,      0,      254,   16, 0.913
    16,      0,      0,      127,   17, 0.973
    16,      0,      0,      254,   17, 0.975
    16,      0,      0,      127,   16, 0.922
    16,      0,      0,      127,   26, 0.925
    16,      0,      0,      254,   26, 0.918
    32,      0,      0,      127,   31,  0.95
    32,      0,      0,      254,   32, 0.977
    32,      0,      0,      127,   33, 0.911
    32,      0,      0,      254,   33, 0.909
    32,      0,      0,      127,   32, 0.979
    32,      0,      0,      127,   42, 0.977
    32,      0,      0,      254,   42, 0.974
    64,      0,      0,      127,   63,  0.97
    64,      0,      0,      254,   64, 0.969
    64,      0,      0,      127,   65, 0.932
    64,      0,      0,      254,   65, 0.926
    64,      0,      0,      127,   64, 0.957
    64,      0,      0,      127,   74, 0.956
    64,      0,      0,      254,   74, 0.959
   128,      0,      0,      127,  127, 0.985
   128,      0,      0,      254,  128, 0.986
   128,      0,      0,      127,  129, 0.954
   128,      0,      0,      254,  129, 0.951
   128,      0,      0,      127,  128, 0.983
   128,      0,      0,      127,  138, 0.979
   128,      0,      0,      254,  138, 0.982
   256,      0,      0,      127,  255, 0.964
   256,      0,      0,      254,  256, 0.966
   256,      0,      0,      127,  257, 0.935
   256,      0,      0,      254,  257, 0.937
   256,      0,      0,      127,  256, 0.973
   256,      0,      0,      127,  266, 0.974
   256,      0,      0,      254,  266, 0.973
   512,      0,      0,      127,  511, 0.929
   512,      0,      0,      254,  512, 0.932
   512,      0,      0,      127,  513, 0.914
   512,      0,      0,      254,  513, 0.914
   512,      0,      0,      127,  512, 0.934
   512,      0,      0,      127,  522, 0.932
   512,      0,      0,      254,  522, 0.932
  1024,      0,      0,      127, 1023, 0.923
  1024,      0,      0,      254, 1024,  0.92
  1024,      0,      0,      127, 1025, 0.965
  1024,      0,      0,      254, 1025, 0.967
  1024,      0,      0,      127, 1024, 0.954
  1024,      0,      0,      127, 1034, 0.951
  1024,      0,      0,      254, 1034,  0.96
    16,      1,      2,      127,   15, 0.895
    16,      1,      2,      127,   16,   0.9
    16,      1,      2,      127,  116, 0.917
    16,      2,      1,      254,   15, 0.923
    16,      2,      1,      254,   16, 0.932
    16,      2,      1,      254,  116, 0.917
