
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,1024 ,127      ,1024 ,35.209 ,41.538 ,0.848   
0     ,0      ,1024 ,1024 ,127      ,1056 ,36.31  ,46.738 ,0.777   
0     ,0      ,1024 ,1024 ,127      ,1088 ,36.271 ,46.432 ,0.781   
0     ,0      ,1024 ,1024 ,127      ,128  ,28.391 ,25.1   ,1.131   
0     ,0      ,1024 ,1024 ,127      ,2    ,17.82  ,20.89  ,0.853   
0     ,0      ,1024 ,1024 ,127      ,2048 ,36.323 ,44.716 ,0.812   
0     ,0      ,1024 ,1024 ,127      ,32   ,21.803 ,22.859 ,0.954   
0     ,0      ,1024 ,1024 ,127      ,512  ,28.526 ,31.789 ,0.897   
0     ,0      ,1024 ,1024 ,127      ,8    ,17.958 ,20.844 ,0.862   
0     ,0      ,1024 ,1024 ,127      ,960  ,34.244 ,43.85  ,0.781   
0     ,0      ,1024 ,1024 ,127      ,992  ,34.201 ,44.432 ,0.77    
0     ,0      ,1024 ,1056 ,127      ,1024 ,35.513 ,41.125 ,0.864   
0     ,0      ,1024 ,1088 ,127      ,1024 ,35.632 ,40.963 ,0.87    
0     ,0      ,1024 ,256  ,127      ,128  ,20.826 ,23.16  ,0.899   
0     ,0      ,1024 ,256  ,127      ,2    ,18.616 ,19.643 ,0.948   
0     ,0      ,1024 ,256  ,127      ,2048 ,35.055 ,37.853 ,0.926   
0     ,0      ,1024 ,256  ,127      ,32   ,18.334 ,19.681 ,0.932   
0     ,0      ,1024 ,256  ,127      ,512  ,27.618 ,29.644 ,0.932   
0     ,0      ,1024 ,256  ,127      ,8    ,18.449 ,19.785 ,0.933   
0     ,0      ,1024 ,960  ,127      ,1024 ,35.003 ,42.11  ,0.831   
0     ,0      ,1024 ,992  ,127      ,1024 ,34.687 ,41.55  ,0.835   
0     ,0      ,128  ,128  ,127      ,128  ,19.906 ,22.218 ,0.896   
0     ,0      ,128  ,128  ,127      ,160  ,21.337 ,23.008 ,0.927   
0     ,0      ,128  ,128  ,127      ,192  ,20.884 ,23.237 ,0.899   
0     ,0      ,128  ,128  ,127      ,2    ,17.216 ,18.864 ,0.913   
0     ,0      ,128  ,128  ,127      ,2048 ,20.966 ,22.645 ,0.926   
0     ,0      ,128  ,128  ,127      ,32   ,17.501 ,18.957 ,0.923   
0     ,0      ,128  ,128  ,127      ,512  ,20.928 ,22.531 ,0.929   
0     ,0      ,128  ,128  ,127      ,64   ,18.416 ,20.816 ,0.885   
0     ,0      ,128  ,128  ,127      ,8    ,17.405 ,18.713 ,0.93    
0     ,0      ,128  ,128  ,127      ,96   ,18.891 ,21.571 ,0.876   
0     ,0      ,128  ,160  ,127      ,128  ,21.013 ,22.526 ,0.933   
0     ,0      ,128  ,192  ,127      ,128  ,20.831 ,22.459 ,0.928   
0     ,0      ,128  ,32   ,127      ,128  ,20.097 ,22.676 ,0.886   
0     ,0      ,128  ,32   ,127      ,2    ,17.213 ,18.749 ,0.918   
0     ,0      ,128  ,32   ,127      ,2048 ,20.569 ,22.842 ,0.9     
0     ,0      ,128  ,32   ,127      ,32   ,17.821 ,19.365 ,0.92    
0     ,0      ,128  ,32   ,127      ,512  ,20.471 ,22.858 ,0.896   
0     ,0      ,128  ,32   ,127      ,8    ,17.425 ,18.987 ,0.918   
0     ,0      ,128  ,64   ,127      ,128  ,20.721 ,23.021 ,0.9     
0     ,0      ,128  ,96   ,127      ,128  ,20.157 ,22.938 ,0.879   
0     ,0      ,16   ,16   ,127      ,128  ,18.263 ,18.365 ,0.994   
0     ,0      ,16   ,16   ,127      ,2    ,18.325 ,19.118 ,0.958   
0     ,0      ,16   ,16   ,127      ,2048 ,18.271 ,18.684 ,0.978   
0     ,0      ,16   ,16   ,127      ,32   ,18.292 ,18.173 ,1.007   
0     ,0      ,16   ,16   ,127      ,512  ,18.284 ,18.464 ,0.99    
0     ,0      ,16   ,16   ,127      ,8    ,18.192 ,18.201 ,1.0     
0     ,0      ,16   ,4    ,127      ,128  ,18.296 ,18.243 ,1.003   
0     ,0      ,16   ,4    ,127      ,2    ,18.543 ,18.908 ,0.981   
0     ,0      ,16   ,4    ,127      ,2048 ,18.325 ,18.623 ,0.984   
0     ,0      ,16   ,4    ,127      ,32   ,18.307 ,18.235 ,1.004   
0     ,0      ,16   ,4    ,127      ,512  ,18.257 ,18.422 ,0.991   
0     ,0      ,16   ,4    ,127      ,8    ,18.231 ,18.237 ,1.0     
0     ,0      ,256  ,192  ,127      ,256  ,23.466 ,25.565 ,0.918   
0     ,0      ,256  ,224  ,127      ,256  ,23.038 ,25.817 ,0.892   
0     ,0      ,256  ,256  ,127      ,128  ,20.737 ,22.212 ,0.934   
0     ,0      ,256  ,256  ,127      ,192  ,21.687 ,23.665 ,0.916   
0     ,0      ,256  ,256  ,127      ,2    ,18.624 ,18.831 ,0.989   
0     ,0      ,256  ,256  ,127      ,2048 ,24.715 ,25.89  ,0.955   
0     ,0      ,256  ,256  ,127      ,224  ,21.964 ,24.479 ,0.897   
0     ,0      ,256  ,256  ,127      ,256  ,23.31  ,25.366 ,0.919   
0     ,0      ,256  ,256  ,127      ,288  ,24.947 ,27.491 ,0.907   
0     ,0      ,256  ,256  ,127      ,32   ,18.285 ,18.965 ,0.964   
0     ,0      ,256  ,256  ,127      ,320  ,25.147 ,27.564 ,0.912   
0     ,0      ,256  ,256  ,127      ,512  ,24.743 ,25.997 ,0.952   
0     ,0      ,256  ,256  ,127      ,8    ,18.511 ,18.795 ,0.985   
0     ,0      ,256  ,288  ,127      ,256  ,22.989 ,25.573 ,0.899   
0     ,0      ,256  ,320  ,127      ,256  ,23.282 ,25.763 ,0.904   
0     ,0      ,256  ,64   ,127      ,128  ,20.698 ,22.973 ,0.901   
0     ,0      ,256  ,64   ,127      ,2    ,17.207 ,18.925 ,0.909   
0     ,0      ,256  ,64   ,127      ,2048 ,23.976 ,26.551 ,0.903   
0     ,0      ,256  ,64   ,127      ,32   ,17.358 ,19.019 ,0.913   
0     ,0      ,256  ,64   ,127      ,512  ,23.893 ,26.719 ,0.894   
0     ,0      ,256  ,64   ,127      ,8    ,17.317 ,19.677 ,0.88    
0     ,0      ,32   ,32   ,127      ,128  ,19.443 ,19.921 ,0.976   
0     ,0      ,32   ,32   ,127      ,2    ,17.201 ,19.414 ,0.886   
0     ,0      ,32   ,32   ,127      ,2048 ,19.436 ,20.243 ,0.96    
0     ,0      ,32   ,32   ,127      ,32   ,17.841 ,19.272 ,0.926   
0     ,0      ,32   ,32   ,127      ,512  ,19.421 ,20.041 ,0.969   
0     ,0      ,32   ,32   ,127      ,8    ,17.433 ,18.825 ,0.926   
0     ,0      ,32   ,8    ,127      ,128  ,20.176 ,18.968 ,1.064   
0     ,0      ,32   ,8    ,127      ,2    ,18.036 ,18.46  ,0.977   
0     ,0      ,32   ,8    ,127      ,2048 ,20.164 ,19.119 ,1.055   
0     ,0      ,32   ,8    ,127      ,32   ,18.109 ,18.109 ,1.0     
0     ,0      ,32   ,8    ,127      ,512  ,20.156 ,18.976 ,1.062   
0     ,0      ,32   ,8    ,127      ,8    ,18.174 ,18.181 ,1.0     
0     ,0      ,4    ,4    ,127      ,128  ,18.668 ,18.769 ,0.995   
