
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,1024 ,1024 ,127      ,1024 ,37.992 ,45.587 ,0.833   
0     ,0      ,1024 ,1024 ,127      ,1056 ,39.025 ,49.242 ,0.793   
0     ,0      ,1024 ,1024 ,127      ,1088 ,38.904 ,48.199 ,0.807   
0     ,0      ,1024 ,1024 ,127      ,128  ,22.799 ,25.579 ,0.891   
0     ,0      ,1024 ,1024 ,127      ,2    ,17.833 ,21.227 ,0.84    
0     ,0      ,1024 ,1024 ,127      ,2048 ,38.429 ,46.664 ,0.824   
0     ,0      ,1024 ,1024 ,127      ,32   ,20.366 ,20.896 ,0.975   
0     ,0      ,1024 ,1024 ,127      ,512  ,27.448 ,34.074 ,0.806   
0     ,0      ,1024 ,1024 ,127      ,8    ,17.952 ,20.792 ,0.863   
0     ,0      ,1024 ,1024 ,127      ,960  ,35.981 ,47.19  ,0.762   
0     ,0      ,1024 ,1024 ,127      ,992  ,36.748 ,46.615 ,0.788   
0     ,0      ,1024 ,1056 ,127      ,1024 ,37.77  ,45.891 ,0.823   
0     ,0      ,1024 ,1088 ,127      ,1024 ,38.735 ,46.486 ,0.833   
0     ,0      ,1024 ,256  ,127      ,128  ,20.754 ,23.293 ,0.891   
0     ,0      ,1024 ,256  ,127      ,2    ,17.862 ,20.111 ,0.888   
0     ,0      ,1024 ,256  ,127      ,2048 ,36.28  ,40.68  ,0.892   
0     ,0      ,1024 ,256  ,127      ,32   ,18.215 ,21.361 ,0.853   
0     ,0      ,1024 ,256  ,127      ,512  ,28.667 ,30.214 ,0.949   
0     ,0      ,1024 ,256  ,127      ,8    ,18.082 ,20.788 ,0.87    
0     ,0      ,1024 ,960  ,127      ,1024 ,37.682 ,45.212 ,0.833   
0     ,0      ,1024 ,992  ,127      ,1024 ,37.746 ,45.446 ,0.831   
0     ,0      ,128  ,128  ,127      ,128  ,20.598 ,22.825 ,0.902   
0     ,0      ,128  ,128  ,127      ,160  ,21.61  ,24.139 ,0.895   
0     ,0      ,128  ,128  ,127      ,192  ,21.976 ,23.956 ,0.917   
0     ,0      ,128  ,128  ,127      ,2    ,18.003 ,19.604 ,0.918   
0     ,0      ,128  ,128  ,127      ,2048 ,21.967 ,23.195 ,0.947   
0     ,0      ,128  ,128  ,127      ,32   ,17.853 ,19.631 ,0.909   
0     ,0      ,128  ,128  ,127      ,512  ,21.946 ,23.15  ,0.948   
0     ,0      ,128  ,128  ,127      ,64   ,19.322 ,21.434 ,0.901   
0     ,0      ,128  ,128  ,127      ,8    ,18.149 ,19.259 ,0.942   
0     ,0      ,128  ,128  ,127      ,96   ,19.567 ,22.159 ,0.883   
0     ,0      ,128  ,160  ,127      ,128  ,21.389 ,23.209 ,0.922   
0     ,0      ,128  ,192  ,127      ,128  ,20.896 ,23.741 ,0.88    
0     ,0      ,128  ,32   ,127      ,128  ,20.759 ,23.288 ,0.891   
0     ,0      ,128  ,32   ,127      ,2    ,17.824 ,19.268 ,0.925   
0     ,0      ,128  ,32   ,127      ,2048 ,21.109 ,23.472 ,0.899   
0     ,0      ,128  ,32   ,127      ,32   ,18.412 ,19.921 ,0.924   
0     ,0      ,128  ,32   ,127      ,512  ,21.128 ,23.458 ,0.901   
0     ,0      ,128  ,32   ,127      ,8    ,17.876 ,19.305 ,0.926   
0     ,0      ,128  ,64   ,127      ,128  ,21.425 ,23.67  ,0.905   
0     ,0      ,128  ,96   ,127      ,128  ,20.761 ,23.528 ,0.882   
0     ,0      ,16   ,16   ,127      ,128  ,18.741 ,18.94  ,0.989   
0     ,0      ,16   ,16   ,127      ,2    ,18.906 ,19.696 ,0.96    
0     ,0      ,16   ,16   ,127      ,2048 ,18.725 ,19.303 ,0.97    
0     ,0      ,16   ,16   ,127      ,32   ,18.735 ,18.698 ,1.002   
0     ,0      ,16   ,16   ,127      ,512  ,18.727 ,18.987 ,0.986   
0     ,0      ,16   ,16   ,127      ,8    ,18.67  ,18.724 ,0.997   
0     ,0      ,16   ,4    ,127      ,128  ,18.737 ,18.818 ,0.996   
0     ,0      ,16   ,4    ,127      ,2    ,19.158 ,19.501 ,0.982   
0     ,0      ,16   ,4    ,127      ,2048 ,18.754 ,19.194 ,0.977   
0     ,0      ,16   ,4    ,127      ,32   ,18.736 ,18.866 ,0.993   
0     ,0      ,16   ,4    ,127      ,512  ,18.727 ,18.966 ,0.987   
0     ,0      ,16   ,4    ,127      ,8    ,18.647 ,18.734 ,0.995   
0     ,0      ,256  ,192  ,127      ,256  ,23.728 ,26.242 ,0.904   
0     ,0      ,256  ,224  ,127      ,256  ,24.142 ,26.662 ,0.905   
0     ,0      ,256  ,256  ,127      ,128  ,20.661 ,22.73  ,0.909   
0     ,0      ,256  ,256  ,127      ,192  ,21.473 ,24.244 ,0.886   
0     ,0      ,256  ,256  ,127      ,2    ,17.838 ,19.283 ,0.925   
0     ,0      ,256  ,256  ,127      ,2048 ,24.836 ,26.589 ,0.934   
0     ,0      ,256  ,256  ,127      ,224  ,22.201 ,25.239 ,0.88    
0     ,0      ,256  ,256  ,127      ,256  ,23.299 ,26.145 ,0.891   
0     ,0      ,256  ,256  ,127      ,288  ,24.568 ,28.013 ,0.877   
0     ,0      ,256  ,256  ,127      ,32   ,18.168 ,20.528 ,0.885   
0     ,0      ,256  ,256  ,127      ,320  ,24.787 ,28.14  ,0.881   
0     ,0      ,256  ,256  ,127      ,512  ,24.843 ,26.708 ,0.93    
0     ,0      ,256  ,256  ,127      ,8    ,18.069 ,19.844 ,0.911   
0     ,0      ,256  ,288  ,127      ,256  ,24.094 ,26.333 ,0.915   
0     ,0      ,256  ,320  ,127      ,256  ,23.273 ,26.243 ,0.887   
0     ,0      ,256  ,64   ,127      ,128  ,21.373 ,23.52  ,0.909   
0     ,0      ,256  ,64   ,127      ,2    ,17.991 ,19.405 ,0.927   
0     ,0      ,256  ,64   ,127      ,2048 ,24.475 ,27.448 ,0.892   
0     ,0      ,256  ,64   ,127      ,32   ,17.91  ,19.54  ,0.917   
0     ,0      ,256  ,64   ,127      ,512  ,24.427 ,27.238 ,0.897   
0     ,0      ,256  ,64   ,127      ,8    ,17.821 ,19.71  ,0.904   
0     ,0      ,32   ,32   ,127      ,128  ,19.873 ,20.679 ,0.961   
0     ,0      ,32   ,32   ,127      ,2    ,17.844 ,19.958 ,0.894   
0     ,0      ,32   ,32   ,127      ,2048 ,19.872 ,21.092 ,0.942   
0     ,0      ,32   ,32   ,127      ,32   ,18.416 ,19.808 ,0.93    
0     ,0      ,32   ,32   ,127      ,512  ,19.872 ,20.753 ,0.958   
0     ,0      ,32   ,32   ,127      ,8    ,17.928 ,19.231 ,0.932   
0     ,0      ,32   ,8    ,127      ,128  ,20.73  ,19.522 ,1.062   
0     ,0      ,32   ,8    ,127      ,2    ,18.605 ,19.094 ,0.974   
0     ,0      ,32   ,8    ,127      ,2048 ,20.736 ,19.515 ,1.063   
0     ,0      ,32   ,8    ,127      ,32   ,18.777 ,18.66  ,1.006   
0     ,0      ,32   ,8    ,127      ,512  ,20.729 ,19.469 ,1.065   
0     ,0      ,32   ,8    ,127      ,8    ,18.633 ,18.734 ,0.995   
