
Results For: strncmp
len,align1,align2,strlen
1,0,0,8,1.2
1,1,1,8,1.204
1,2,1,8,1.203
2,0,0,8,0.974
2,2,2,8,0.987
2,4,2,8,0.939
3,0,0,8,0.982
3,3,3,8,0.982
3,6,3,8,0.952
4,0,0,8,0.972
4,4,4,8,0.988
4,8,4,8,0.924
5,0,0,8,0.985
5,5,5,8,0.987
5,10,5,8,0.924
6,0,0,8,0.984
6,6,6,8,0.997
6,12,6,8,0.946
7,0,0,8,0.982
7,7,7,8,0.983
7,14,7,8,0.939
8,0,0,8,1.001
8,8,8,8,0.998
8,16,8,8,0.948
9,0,0,8,0.949
9,9,9,8,0.947
9,18,9,8,0.937
10,0,0,8,0.951
10,10,10,8,0.949
10,20,10,8,0.896
11,0,0,8,0.95
11,11,11,8,0.948
11,22,11,8,0.919
12,0,0,8,0.951
12,12,12,8,0.952
12,24,12,8,0.934
13,0,0,8,0.944
13,13,13,8,0.948
13,26,13,8,0.924
14,0,0,8,0.949
14,14,14,8,0.945
14,28,14,8,0.917
15,0,0,8,0.948
15,15,15,8,0.953
15,30,15,8,0.913
1,0,0,1,1.2
1,1,0,1,1.2
1,2048,2047,1,1.199
1,2047,2048,1,1.202
1,4095,0,1,1.2
1,4080,0,1,1.201
1,4088,4080,1,1.2
1,4064,0,1,1.2
1,4048,0,1,1.2
1,4072,4048,1,1.203
1,4032,0,1,1.2
1,4016,0,1,1.2
1,4056,4016,1,1.2
1,4000,0,1,1.2
1,3984,0,1,1.201
1,4040,3984,1,1.2
2,0,0,2,1.138
2,2,0,2,1.06
2,2048,2047,2,0.909
2,2047,2048,2,0.838
2,4094,0,2,1.042
2,4080,0,2,1.09
2,4088,4080,2,1.033
2,4064,0,2,1.123
2,4048,0,2,1.122
2,4072,4048,2,1.01
2,4032,0,2,1.083
2,4016,0,2,1.08
2,4056,4016,2,1.059
2,4000,0,2,1.139
2,3984,0,2,1.125
2,4040,3984,2,1.039
3,0,0,3,1.133
3,3,0,3,1.066
3,2048,2047,3,0.892
3,2047,2048,3,0.841
3,4093,0,3,1.042
3,4080,0,3,1.082
3,4088,4080,3,1.041
3,4064,0,3,1.135
3,4048,0,3,1.117
3,4072,4048,3,1.023
3,4032,0,3,1.073
3,4016,0,3,1.1
3,4056,4016,3,1.003
3,4000,0,3,1.13
3,3984,0,3,1.118
3,4040,3984,3,1.026
4,0,0,4,1.126
4,4,0,4,1.033
4,2048,2047,4,0.906
4,2047,2048,4,0.839
4,4092,0,4,1.019
4,4080,0,4,1.048
4,4088,4080,4,1.036
4,4064,0,4,1.119
4,4048,0,4,1.125
4,4072,4048,4,1.04
4,4032,0,4,1.109
4,4016,0,4,1.086
4,4056,4016,4,1.002
4,4000,0,4,1.107
4,3984,0,4,1.129
4,4040,3984,4,1.02
5,0,0,5,1.124
5,5,0,5,1.041
5,2048,2047,5,0.903
5,2047,2048,5,0.853
5,4091,0,5,1.083
5,4080,0,5,1.086
5,4088,4080,5,1.038
5,4064,0,5,1.067
5,4048,0,5,1.096
5,4072,4048,5,1.009
5,4032,0,5,1.081
5,4016,0,5,1.082
5,4056,4016,5,1.022
5,4000,0,5,1.072
5,3984,0,5,1.093
5,4040,3984,5,1.042
6,0,0,6,1.122
6,6,0,6,1.036
6,2048,2047,6,0.901
6,2047,2048,6,0.842
6,4090,0,6,1.039
6,4080,0,6,1.079
6,4088,4080,6,1.03
6,4064,0,6,1.118
6,4048,0,6,1.127
6,4072,4048,6,1.02
6,4032,0,6,1.109
6,4016,0,6,1.128
6,4056,4016,6,1.075
6,4000,0,6,1.116
6,3984,0,6,1.094
6,4040,3984,6,1.053
7,0,0,7,1.132
7,7,0,7,1.046
7,2048,2047,7,0.901
7,2047,2048,7,0.843
7,4089,0,7,1.051
7,4080,0,7,1.087
7,4088,4080,7,1.015
7,4064,0,7,1.117
7,4048,0,7,1.108
7,4072,4048,7,1.016
7,4032,0,7,1.066
7,4016,0,7,1.128
7,4056,4016,7,1.022
7,4000,0,7,1.097
7,3984,0,7,1.088
7,4040,3984,7,1.029
8,2048,2047,8,0.929
8,2047,2048,8,0.84
8,4088,0,8,1.0
8,4080,0,8,1.094
8,4064,0,8,1.135
8,4048,0,8,1.13
8,4072,4048,8,1.011
8,4032,0,8,1.07
8,4016,0,8,1.073
8,4056,4016,8,1.021
8,4000,0,8,1.099
8,3984,0,8,1.087
8,4040,3984,8,1.016
9,0,0,9,1.141
9,9,0,9,1.013
9,2048,2047,9,0.916
9,2047,2048,9,0.849
