spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen0.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen1.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen2.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen3.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen4.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen5.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen6.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen7.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen8.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen9.out
spr-runs/run5-256/bench-master-0//bench-strnlen0.out
spr-runs/run5-256/bench-master-0//bench-strnlen1.out
spr-runs/run5-256/bench-master-0//bench-strnlen2.out
spr-runs/run5-256/bench-master-0//bench-strnlen3.out
spr-runs/run5-256/bench-master-0//bench-strnlen4.out
spr-runs/run5-256/bench-master-0//bench-strnlen5.out
spr-runs/run5-256/bench-master-0//bench-strnlen6.out
spr-runs/run5-256/bench-master-0//bench-strnlen7.out
spr-runs/run5-256/bench-master-0//bench-strnlen8.out
spr-runs/run5-256/bench-master-0//bench-strnlen9.out

Results For: strlen-sunil-0//bench-strnlen
align,len  ,max_char ,maxlen ,bench-strlen-sunil-0 ,bench-master-0 ,bench-strlen-sunil-0/bench-master-0 
0    ,1    ,127      ,0      ,5.298                ,5.278          ,1.004                               
0    ,1    ,127      ,1      ,5.201                ,5.081          ,1.024                               
0    ,1    ,127      ,128    ,5.193                ,4.884          ,1.063                               
0    ,1    ,127      ,2      ,5.202                ,5.13           ,1.014                               
0    ,1    ,127      ,5000   ,5.04                 ,4.579          ,1.101                               
0    ,1024 ,127      ,1024   ,18.472               ,18.679         ,0.989                               
0    ,1024 ,127      ,1056   ,22.483               ,22.186         ,1.013                               
0    ,1024 ,127      ,1088   ,22.184               ,22.184         ,1.0                                 
0    ,1024 ,127      ,1120   ,22.189               ,22.193         ,1.0                                 
0    ,1024 ,127      ,1152   ,22.173               ,22.183         ,1.0                                 
0    ,1024 ,127      ,1184   ,22.183               ,22.209         ,0.999                               
0    ,1024 ,127      ,1216   ,22.169               ,22.19          ,0.999                               
0    ,1024 ,127      ,1248   ,22.184               ,22.189         ,1.0                                 
0    ,1024 ,127      ,1280   ,22.243               ,22.181         ,1.003                               
0    ,1024 ,127      ,1312   ,22.179               ,22.188         ,1.0                                 
0    ,1024 ,127      ,1344   ,22.178               ,22.195         ,0.999                               
0    ,1024 ,127      ,1376   ,22.179               ,22.184         ,1.0                                 
0    ,1024 ,127      ,1408   ,22.232               ,22.174         ,1.003                               
0    ,1024 ,127      ,1440   ,22.185               ,22.19          ,1.0                                 
0    ,1024 ,127      ,1472   ,22.183               ,22.197         ,0.999                               
0    ,1024 ,127      ,1504   ,22.181               ,22.204         ,0.999                               
0    ,1024 ,127      ,1536   ,22.186               ,22.203         ,0.999                               
0    ,1024 ,127      ,1568   ,22.176               ,22.183         ,1.0                                 
0    ,1024 ,127      ,1600   ,22.183               ,22.177         ,1.0                                 
0    ,1024 ,127      ,1632   ,22.258               ,22.191         ,1.003                               
0    ,1024 ,127      ,1664   ,22.181               ,22.198         ,0.999                               
0    ,1024 ,127      ,1696   ,22.398               ,22.18          ,1.01                                
0    ,1024 ,127      ,1728   ,22.183               ,22.238         ,0.998                               
0    ,1024 ,127      ,320    ,10.521               ,10.563         ,0.996                               
0    ,1024 ,127      ,352    ,13.206               ,13.205         ,1.0                                 
0    ,1024 ,127      ,384    ,13.2                 ,13.204         ,1.0                                 
0    ,1024 ,127      ,416    ,13.202               ,13.202         ,1.0                                 
0    ,1024 ,127      ,448    ,13.202               ,13.481         ,0.979                               
0    ,1024 ,127      ,480    ,13.206               ,13.247         ,0.997                               
0    ,1024 ,127      ,5000   ,22.247               ,22.184         ,1.003                               
0    ,1024 ,127      ,512    ,13.215               ,13.275         ,0.995                               
0    ,1024 ,127      ,544    ,15.845               ,15.862         ,0.999                               
0    ,1024 ,127      ,576    ,15.996               ,15.853         ,1.009                               
0    ,1024 ,127      ,608    ,15.854               ,15.874         ,0.999                               
0    ,1024 ,127      ,640    ,15.839               ,16.235         ,0.976                               
0    ,1024 ,127      ,672    ,15.895               ,15.835         ,1.004                               
0    ,1024 ,127      ,704    ,15.846               ,16.018         ,0.989                               
0    ,1024 ,127      ,736    ,15.848               ,15.869         ,0.999                               
0    ,1024 ,127      ,768    ,15.836               ,15.839         ,1.0                                 
0    ,1024 ,127      ,800    ,18.492               ,18.971         ,0.975                               
0    ,1024 ,127      ,832    ,18.538               ,19.253         ,0.963                               
0    ,1024 ,127      ,864    ,18.478               ,18.915         ,0.977                               
0    ,1024 ,127      ,896    ,18.489               ,18.912         ,0.978                               
0    ,1024 ,127      ,928    ,18.486               ,18.986         ,0.974                               
0    ,1024 ,127      ,960    ,18.48                ,18.912         ,0.977                               
0    ,1024 ,127      ,992    ,18.49                ,18.994         ,0.973                               
0    ,1056 ,127      ,1024   ,18.478               ,19.173         ,0.964                               
0    ,1056 ,127      ,512    ,13.289               ,13.2           ,1.007                               
0    ,1088 ,127      ,1024   ,18.476               ,18.871         ,0.979                               
0    ,1088 ,127      ,512    ,13.26                ,13.201         ,1.004                               
0    ,112  ,127      ,16     ,5.181                ,7.082          ,0.732                               
0    ,1120 ,127      ,1024   ,18.484               ,18.938         ,0.976                               
0    ,1120 ,127      ,512    ,13.252               ,13.197         ,1.004                               
0    ,1152 ,127      ,1024   ,18.55                ,18.832         ,0.985                               
0    ,1152 ,127      ,512    ,13.206               ,13.197         ,1.001                               
0    ,1184 ,127      ,1024   ,18.539               ,19.175         ,0.967                               
0    ,1184 ,127      ,512    ,13.251               ,13.194         ,1.004                               
0    ,1216 ,127      ,1024   ,18.482               ,18.876         ,0.979                               
0    ,1216 ,127      ,512    ,13.248               ,13.219         ,1.002                               
0    ,1248 ,127      ,1024   ,18.483               ,19.335         ,0.956                               
0    ,128  ,127      ,1      ,5.233                ,6.841          ,0.765                               
0    ,128  ,127      ,128    ,7.733                ,6.818          ,1.134                               
0    ,128  ,127      ,160    ,7.797                ,8.191          ,0.952                               
0    ,128  ,127      ,192    ,7.673                ,8.245          ,0.931                               
0    ,128  ,127      ,224    ,7.847                ,8.324          ,0.943                               
0    ,128  ,127      ,256    ,7.839                ,8.464          ,0.926                               
0    ,128  ,127      ,288    ,7.921                ,8.353          ,0.948                               
0    ,128  ,127      ,32     ,5.113                ,6.848          ,0.747                               
0    ,128  ,127      ,320    ,7.765                ,8.363          ,0.928                               
