                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.2485	5.82068	7.03113	5.63306	6.07568
Length    0, alignments in bytes  0/ 0:	10.9792	6.17639	6.18726	5.49365	5.495
Length    0, alignments in bytes  0/ 0:	10.972	5.49817	6.17041	5.49548	5.48132
Length    0, alignments in bytes  0/ 0:	10.9728	5.6593	6.1814	5.48376	5.4917
Length    1, alignments in bytes  0/ 0:	10.7478	6.17224	6.86548	5.49487	5.49463
Length    1, alignments in bytes  0/ 0:	10.7557	6.1864	6.86084	5.49072	5.50159
Length    1, alignments in bytes  0/ 1:	10.6785	6.17163	6.86658	5.49524	5.48853
Length    1, alignments in bytes  1/ 0:	10.287	6.18701	6.8551	5.48975	5.07385
Length    2, alignments in bytes  0/ 0:	10.2872	6.86584	6.87122	6.6001	6.86829
Length    2, alignments in bytes  0/ 0:	10.2886	6.87292	6.86365	6.60046	6.8728
Length    2, alignments in bytes  0/ 2:	10.2888	6.92371	6.85693	6.59253	6.86328
Length    2, alignments in bytes  2/ 0:	10.2931	6.85486	6.86206	5.48828	6.21265
Length    3, alignments in bytes  0/ 0:	10.9828	6.18604	6.86084	5.495	6.89819
Length    3, alignments in bytes  0/ 0:	10.976	6.17432	6.86707	5.49719	6.87671
Length    3, alignments in bytes  0/ 3:	12.5723	6.17395	6.86548	5.48804	6.86511
Length    3, alignments in bytes  3/ 0:	10.9725	6.17883	6.85339	5.4906	8.92798
Length    4, alignments in bytes  0/ 0:	10.9724	8.57642	8.53638	6.28284	8.92664
Length    4, alignments in bytes  0/ 0:	10.9723	8.57751	8.5376	6.2821	8.91833
Length    4, alignments in bytes  0/ 4:	10.9723	6.49573	6.86865	6.27515	8.92029
Length    4, alignments in bytes  4/ 0:	10.9757	6.19446	6.85938	5.48706	8.94946
Length    5, alignments in bytes  0/ 0:	10.972	8.57605	8.53516	7.09717	9.90747
Length    5, alignments in bytes  0/ 0:	10.9725	8.56921	8.53394	7.10889	9.8938
Length    5, alignments in bytes  0/ 5:	10.9716	6.49817	6.85583	6.26196	8.92175
Length    5, alignments in bytes  5/ 0:	10.9717	6.16968	6.85559	6.17737	8.94653
Length    6, alignments in bytes  0/ 0:	10.9724	8.57166	8.521	7.854	12.3533
Length    6, alignments in bytes  0/ 0:	10.9728	8.57495	8.5304	7.87988	12.3419
Length    6, alignments in bytes  0/ 6:	10.9707	6.50146	6.85693	6.13953	12.3414
Length    6, alignments in bytes  6/ 0:	10.9752	6.17883	6.85803	5.48425	8.95789
Length    7, alignments in bytes  0/ 0:	10.9761	7.54553	7.39319	5.48828	12.3541
Length    7, alignments in bytes  0/ 0:	10.9773	7.54077	7.41028	5.4917	12.3521
Length    7, alignments in bytes  0/ 7:	10.9717	6.48645	6.86255	5.49048	12.3469
Length    7, alignments in bytes  7/ 0:	10.9713	6.17285	6.8551	5.49292	10.3022
Length    8, alignments in bytes  0/ 0:	10.972	8.74585	8.60889	6.27478	6.19202
Length    8, alignments in bytes  0/ 0:	10.9728	8.73914	8.59998	6.28308	6.18555
Length    8, alignments in bytes  0/ 0:	10.972	8.74084	8.60107	6.27112	6.18555
Length    8, alignments in bytes  0/ 0:	10.9741	8.73926	8.599	6.27649	6.18225
Length    9, alignments in bytes  0/ 0:	10.9728	8.72742	8.59302	7.10522	6.87146
Length    9, alignments in bytes  0/ 0:	10.9701	8.75293	8.60291	7.09729	6.35095
Length    9, alignments in bytes  0/ 1:	10.9708	8.7616	8.59558	7.52441	7.13953
Length    9, alignments in bytes  1/ 0:	10.9843	8.72815	8.61853	7.46948	14.4502
Length   10, alignments in bytes  0/ 0:	10.9712	8.74805	8.60461	7.87219	7.55713
Length   10, alignments in bytes  0/ 0:	10.9716	8.73608	8.59998	7.8667	7.55591
Length   10, alignments in bytes  0/ 2:	10.9711	8.74536	8.59192	7.71936	8.04895
Length   10, alignments in bytes  2/ 0:	10.9708	8.73096	8.61255	7.62	14.8606
Length   11, alignments in bytes  0/ 0:	10.9694	8.75842	9.04553	7.18457	8.17688
Length   11, alignments in bytes  0/ 0:	10.9738	8.73486	8.59851	7.20361	8.17249
Length   11, alignments in bytes  0/ 3:	10.9855	8.74731	8.58984	7.71753	8.94421
Length   11, alignments in bytes  3/ 0:	10.9713	8.745	8.62463	7.61707	15.7789
Length   12, alignments in bytes  0/ 0:	10.9711	8.73608	8.59802	7.86902	9.6062
Length   12, alignments in bytes  0/ 0:	10.9713	8.72729	8.59802	7.87671	9.60962
Length   12, alignments in bytes  0/ 4:	10.9723	8.44312	8.27747	7.91223	9.59912
Length   12, alignments in bytes  4/ 0:	10.985	8.44873	8.22571	7.62952	11.6539
Length   13, alignments in bytes  0/ 0:	10.9718	8.75378	8.59326	7.87378	11.9731
Length   13, alignments in bytes  0/ 0:	10.972	8.71509	8.59631	7.87378	12.0028
Length   13, alignments in bytes  0/ 5:	10.9718	8.42188	8.2854	7.92322	10.5996
Length   13, alignments in bytes  5/ 0:	10.9845	8.41138	8.23218	7.61694	12.6577
Length   14, alignments in bytes  0/ 0:	10.9718	8.75659	8.59155	7.86182	13.3031
Length   14, alignments in bytes  0/ 0:	10.972	8.72827	8.59778	7.87341	13.2563
Length   14, alignments in bytes  0/ 6:	10.9723	8.43176	8.26208	7.9209	13.0127
Length   14, alignments in bytes  6/ 0:	10.9711	8.45874	8.24683	7.61926	12.9476
Length   15, alignments in bytes  0/ 0:	10.9766	7.62109	7.72412	5.50012	13.035
Length   15, alignments in bytes  0/ 0:	10.9991	7.62598	7.70105	5.48792	13.041
Length   15, alignments in bytes  0/ 7:	10.9711	8.51184	8.28223	5.49268	13.0229
Length   15, alignments in bytes  7/ 0:	10.9706	8.44519	8.2439	5.48254	12.6608
Length   16, alignments in bytes  0/ 0:	10.972	8.72937	8.60962	6.18542	6.97437
Length   16, alignments in bytes  7/ 2:	10.9709	8.72498	8.61035	6.18103	13.7769
Length   32, alignments in bytes  0/ 0:	10.9825	6.8739	6.88782	7.56323	10.1787
Length   32, alignments in bytes  6/ 4:	10.7446	6.69775	6.70483	11.177	15.6462
Length   64, alignments in bytes  0/ 0:	12.7682	7.47864	8.25464	8.78638	15.0145
Length   64, alignments in bytes  5/ 6:	15.1443	13.6238	13.9863	12.215	24.6517
Length  128, alignments in bytes  0/ 0:	16.6265	9.4292	10.3463	13.5623	25.4883
Length  128, alignments in bytes  4/ 0:	19.7565	10.6177	12.0909	14.9647	32.7311
Length  256, alignments in bytes  0/ 0:	22.6447	15.366	17.2944	18.1183	51.429
Length  256, alignments in bytes  3/ 2:	24.4808	14.8845	17.9044	19.4857	57.8623
Length  512, alignments in bytes  0/ 0:	29.8961	18.9812	21.2974	27.8295	103.282
Length  512, alignments in bytes  2/ 4:	34.2296	22.4204	24.115	28.2799	147.785
Length 1024, alignments in bytes  0/ 0:	52.4296	28.4513	28.8013	51.4175	231.735
Length 1024, alignments in bytes  1/ 6:	66.8048	40.4457	35.6481	55.2003	310.24
Length   16, alignments in bytes  1/ 2:	14.0283	8.72229	8.62073	6.18408	17.6392
Length   16, alignments in bytes  2/ 1:	10.9713	8.74707	8.61414	6.18213	15.6138
Length   16, alignments in bytes  1/ 1:	10.9733	8.71716	8.60815	6.17908	15.1058
Length   16, alignments in bytes  1/ 1:	10.9711	8.72717	8.61731	6.17834	15.8021
Length   32, alignments in bytes  2/ 4:	12.3556	8.27295	8.40271	10.3527	21.5511
Length   32, alignments in bytes  4/ 2:	12.3409	6.87195	6.86584	11.3129	16.9363
Length   32, alignments in bytes  2/ 2:	12.3444	6.86353	6.90027	173.754	16.6311
Length   32, alignments in bytes  2/ 2:	13.5955	7.75879	6.86328	9.91125	16.4324
Length   64, alignments in bytes  3/ 6:	15.4965	9.88623	9.99182	11.0631	28.5168
Length   64, alignments in bytes  6/ 3:	15.4333	11.572	11.6649	12.6871	20.1022
Length   64, alignments in bytes  3/ 3:	15.1906	8.62476	9.09399	9.72498	21.5492
Length   64, alignments in bytes  3/ 3:	15.1949	8.63306	9.07776	9.78821	21.5405
Length  128, alignments in bytes  4/ 0:	19.2521	10.6399	12.0698	15.2021	33.6682
Length  128, alignments in bytes  0/ 4:	20.7407	12.1915	12.7997	14.5793	35.3832
Length  128, alignments in bytes  4/ 4:	20.4338	14.344	13.1078	15.0437	32.8242
Length  128, alignments in bytes  4/ 4:	19.9612	14.038	12.7728	14.4392	32.8873
Length  256, alignments in bytes  5/ 2:	24.4373	15.3799	19.5034	20.4072	57.7587
Length  256, alignments in bytes  2/ 5:	25.4376	17.266	20.6868	20.4435	79.0933
Length  256, alignments in bytes  5/ 5:	24.5648	14.8633	17.7587	18.4531	57.0354
Length  256, alignments in bytes  5/ 5:	24.6002	14.911	17.8612	18.4606	58.2233
Length  512, alignments in bytes  6/ 4:	33.7582	24.7607	23.583	28.2625	136.918
Length  512, alignments in bytes  4/ 6:	34.3151	28.5558	27.2374	28.1448	146.754
Length  512, alignments in bytes  6/ 6:	34.3643	20.3197	23.087	31.5565	135.68
Length  512, alignments in bytes  6/ 6:	32.162	20.3153	22.603	30.1729	133.613
Length 1024, alignments in bytes  7/ 6:	50.6237	40.2739	36.5653	52.1176	236.619
Length 1024, alignments in bytes  6/ 7:	65.2576	40.4756	35.7183	48.1882	305.446
Length 1024, alignments in bytes  7/ 7:	63.1869	28.0686	28.7275	50.1947	229.72
Length 1024, alignments in bytes  7/ 7:	56.136	27.4033	28.0208	46.6768	225.294
Length   16, alignments in bytes  0/ 4:	15.988	8.60193	8.40442	6.02075	9.078
Length   16, alignments in bytes  4/ 0:	10.7117	8.52673	8.41504	6.0271	15.0225
Length   16, alignments in bytes  4/ 4:	10.7119	8.54956	8.42249	6.02039	14.7631
Length   16, alignments in bytes  2/ 2:	10.7094	8.4978	8.40869	6.03003	15.1786
Length   16, alignments in bytes  2/ 6:	10.7097	8.53015	8.41821	6.03259	17.9285
Length   16, alignments in bytes  6/ 2:	10.709	9.08862	8.61902	6.17981	14.9861
Length   16, alignments in bytes  1/ 7:	10.9718	8.72498	8.61536	6.17859	19.0178
Length   16, alignments in bytes  7/ 1:	10.9711	8.73816	8.60144	6.17969	13.5321
Length   16, alignments in bytes  3/ 4:	10.9706	8.72034	8.625	6.17444	15.4656
Length   16, alignments in bytes  4/ 3:	10.97	8.72156	8.61609	6.16919	14.5514
Length   16, alignments in bytes  5/ 7:	10.9701	8.76562	8.61292	6.16907	15.822
Length   16, alignments in bytes  7/ 5:	10.9708	8.75195	8.61975	6.1709	13.9512
Length   20, alignments in bytes  0/ 4:	10.9718	8.72742	8.59875	7.9668	11.5231
Length   20, alignments in bytes  4/ 0:	10.9712	8.72314	8.6217	6.35938	13.9841
Length   20, alignments in bytes  4/ 4:	10.9706	8.74634	8.61279	7.24915	13.2766
Length   20, alignments in bytes  2/ 2:	10.9711	8.74658	8.60889	7.24646	19.8933
Length   20, alignments in bytes  2/ 6:	10.9705	8.71533	8.62793	7.94067	20.1409
Length   20, alignments in bytes  6/ 2:	10.9708	8.72522	8.62024	6.35388	13.3875
Length   20, alignments in bytes  1/ 7:	10.9713	8.73657	8.6178	7.95496	20.9274
Length   20, alignments in bytes  7/ 1:	10.9703	8.76562	8.60669	7.41089	13.1385
Length   20, alignments in bytes  3/ 4:	10.9706	8.69543	8.61279	8.41663	17.8335
Length   20, alignments in bytes  4/ 3:	10.9713	8.74255	8.62964	7.62866	13.837
Length   20, alignments in bytes  5/ 7:	10.9716	8.70972	8.61487	8.40674	14.9875
Length   20, alignments in bytes  7/ 5:	10.9706	8.71704	8.61877	7.63464	13.0303
Length   24, alignments in bytes  0/ 4:	10.7097	8.71289	8.39429	8.22327	10.803
Length   24, alignments in bytes  4/ 0:	10.7102	8.54724	8.41333	7.45312	16.1123
Length   24, alignments in bytes  4/ 4:	10.71	8.50171	8.422	7.06946	15.3414
Length   24, alignments in bytes  2/ 2:	10.7101	8.51086	8.41968	7.0636	16.0907
Length   24, alignments in bytes  2/ 6:	10.7102	8.55371	8.41284	8.20935	20.0192
Length   24, alignments in bytes  6/ 2:	12.0629	8.53943	8.41113	7.45715	15.8865
Length   24, alignments in bytes  1/ 7:	10.7095	8.51379	8.40881	8.21777	19.946
Length   24, alignments in bytes  7/ 1:	10.7095	8.51428	8.41211	7.45215	14.4503
Length   24, alignments in bytes  3/ 4:	10.71	8.51208	8.40833	8.20813	16.7893
