                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.4467	7.32882	8.02783	6.67811	10.9825
Length   16, n   16, alignment  1/ 1:	12.4827	7.53878	8.3069	6.87022	11.1938
Length   16, n   16, alignment  1/ 2:	12.3773	7.56009	8.24828	11.4373	12.4483
Length   16, n   16, alignment  2/ 1:	12.689	7.59522	8.24651	7.01327	11.4512
Length    2, n    4, alignment  7/ 2:	13.8603	11.957	12.305	11.0665	14.4334
Length    4, n    2, alignment  2/ 7:	11.945	8.22374	8.22374	6.86649	11.2583
Length    2, n    4, alignment  7/ 2:	13.8233	11.6791	10.9888	10.9649	13.5455
Length    4, n    2, alignment  2/ 7:	11.8025	8.22381	8.22358	6.85854	12.2301
Length   16, n   16, alignment  2/ 2:	12.4882	7.56024	8.4321	6.94077	11.2648
Length   16, n   16, alignment  2/ 2:	12.6673	7.74408	8.43463	6.92122	11.1335
Length   16, n   16, alignment  2/ 4:	12.5261	7.73193	8.44647	6.94348	11.1987
Length   16, n   16, alignment  4/ 2:	12.6938	7.58209	8.36777	7.03033	11.1857
Length    4, n    8, alignment  6/ 4:	14.239	12.1994	12.2441	11.0501	14.1255
Length    8, n    4, alignment  4/ 6:	12.4914	7.69478	8.38067	6.8582	11.4067
Length    4, n    8, alignment  6/ 4:	14.2672	12.195	12.0904	10.9698	13.9499
Length    8, n    4, alignment  4/ 6:	12.8106	8.42933	8.43453	6.96602	11.2687
Length   16, n   16, alignment  3/ 3:	12.7461	7.72668	8.41668	6.85296	11.2575
Length   16, n   16, alignment  3/ 3:	12.9507	7.73216	8.27081	6.85295	11.1618
Length   16, n   16, alignment  3/ 6:	12.6438	7.6802	8.22351	6.8577	11.5822
Length   16, n   16, alignment  6/ 3:	12.7826	7.5383	8.29986	7.02931	11.3079
Length    8, n   16, alignment  5/ 6:	14.1258	11.2578	11.165	10.9703	14.5024
Length   16, n    8, alignment  6/ 5:	12.4542	8.42927	9.15109	6.85311	11.28
Length    8, n   16, alignment  5/ 6:	14.4754	11.2618	11.0678	10.9697	13.7765
Length   16, n    8, alignment  6/ 5:	12.7053	8.26736	9.14079	7.0244	11.3286
Length   16, n   16, alignment  4/ 4:	12.6123	7.54327	8.22351	6.95065	11.3471
Length   16, n   16, alignment  4/ 4:	12.8628	7.73182	8.40092	6.85294	11.086
Length   16, n   16, alignment  4/ 0:	12.6876	7.71556	8.44651	7.03963	11.3996
Length   16, n   16, alignment  0/ 4:	12.8494	7.72675	8.27583	6.85294	11.2911
Length   16, n   32, alignment  4/ 0:	14.9152	10.7933	11.8164	11.8438	14.1319
Length   32, n   16, alignment  0/ 4:	12.7928	7.02444	7.22223	7.02444	11.1454
Length   16, n   32, alignment  4/ 0:	14.591	11.2202	16.9258	11.674	14.1423
