                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.6998	21.784	22.4972	20.1015	13.123
Length    0/   0, alignment  0/ 0:	22.3739	21.0732	21.919	19.4305	12.7559
Length    0/   0, alignment  0/ 0:	21.9741	20.6045	21.4964	20.0307	12.6861
Length    0/   0, alignment  0/ 0:	21.8538	20.6044	21.4965	19.4525	12.6921
Length    1/   1, alignment  0/ 0:	21.8881	20.6046	21.369	19.5079	13.7367
Length    1/   1, alignment  0/ 0:	21.8866	33.6119	23.1201	19.6417	13.8186
Length    1/   1, alignment  0/ 1:	21.9317	20.6043	21.2287	19.4534	7.49414
Length    1/   1, alignment  1/ 0:	21.9578	20.6042	21.3357	19.4968	13.7363
Length    2/   2, alignment  0/ 0:	22.0436	21.229	21.8539	20.1133	14.575
Length    2/   2, alignment  0/ 0:	22.7789	21.2293	21.9232	20.1681	14.4114
Length    2/   2, alignment  0/ 2:	22.0371	21.2287	21.9371	20.1147	9.05486
Length    2/   2, alignment  2/ 0:	21.8535	21.2289	21.8909	20.1053	14.4145
Length    3/   3, alignment  0/ 0:	22.4197	20.6612	21.2289	19.4402	14.5363
Length    3/   3, alignment  0/ 0:	22.2405	20.6045	21.2287	19.4362	14.5362
Length    3/   3, alignment  0/ 3:	22.1428	20.6043	21.2287	19.4937	10.6734
Length    3/   3, alignment  3/ 0:	21.853	20.6046	21.2291	19.4423	16.3142
Length    4/   4, alignment  0/ 0:	22.958	21.2707	22.0764	20.5113	16.3998
Length    4/   4, alignment  0/ 0:	22.0734	21.2711	22.098	20.0777	16.3999
Length    4/   4, alignment  0/ 4:	22.9578	21.2483	22.0762	20.046	13.7379
Length    4/   4, alignment  4/ 0:	21.8534	21.3074	22.0763	20.3747	17.976
Length    5/   5, alignment  0/ 0:	22.1753	21.7537	22.4515	20.1301	17.2206
Length    5/   5, alignment  0/ 0:	22.7753	21.2701	22.0762	20.1324	17.2313
Length    5/   5, alignment  0/ 5:	22.9081	21.2388	22.0933	20.1329	14.9892
Length    5/   5, alignment  5/ 0:	22.0182	21.5647	22.0763	20.1392	17.7569
Length    6/   6, alignment  0/ 0:	22.05	21.263	22.0762	20.0689	17.8101
Length    6/   6, alignment  0/ 0:	22.4587	21.7508	22.5779	20.416	17.801
Length    6/   6, alignment  0/ 6:	22.0557	21.2289	22.0762	20.1362	17.0658
Length    6/   6, alignment  6/ 0:	22.2311	21.258	22.0935	20.1295	18.4043
Length    7/   7, alignment  0/ 0:	22.5498	21.7707	22.5685	19.4622	17.4752
Length    7/   7, alignment  0/ 0:	22.3402	21.7466	22.1201	19.4789	17.4152
Length    7/   7, alignment  0/ 7:	23.0269	21.7113	22.1694	19.4807	17.6535
Length    7/   7, alignment  7/ 0:	22.1878	21.2313	22.0946	19.507	18.2922
Length    8/   8, alignment  0/ 0:	22.2343	21.2292	22.11	20.0595	14.9871
Length    8/   8, alignment  0/ 0:	22.2783	21.2474	21.9874	20.0373	14.9866
Length    8/   8, alignment  0/ 0:	22.1393	21.2288	21.9417	20.053	15.0024
