                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	12.5752	6.0896	6.0155	5.93018	5.93274
Length    0, alignments in bytes  0/ 0:	11.2634	6.07043	6.02588	5.92957	5.92712
Length    0, alignments in bytes  0/ 0:	11.6252	6.03845	5.44763	5.36255	5.35657
Length    0, alignments in bytes  0/ 0:	10.0852	6.02515	6.03625	5.34961	5.36096
Length    1, alignments in bytes  0/ 0:	10.4443	6.0304	5.44592	5.35754	5.36694
Length    1, alignments in bytes  0/ 0:	10.3557	6.70947	5.43079	5.37146	5.35864
Length    1, alignments in bytes  0/ 1:	9.95996	6.03699	6.02783	5.35535	5.35876
Length    1, alignments in bytes  1/ 0:	9.70947	5.41943	6.03235	5.35034	5.04028
Length    2, alignments in bytes  0/ 0:	9.88831	6.15857	6.17859	6.41833	6.70935
Length    2, alignments in bytes  0/ 0:	9.72278	6.16626	6.60144	5.99182	6.25952
Length    2, alignments in bytes  0/ 2:	8.9978	5.67822	5.71057	5.98926	6.25562
Length    2, alignments in bytes  2/ 0:	9.04797	5.61975	5.00659	4.99487	6.27124
Length    3, alignments in bytes  0/ 0:	9.65369	4.4303	5.01501	4.99756	6.26721
Length    3, alignments in bytes  0/ 0:	9.5105	5.00525	5.0116	5.00281	6.25916
Length    3, alignments in bytes  0/ 3:	9.38892	4.42322	5.00806	4.99731	6.2522
Length    3, alignments in bytes  3/ 0:	9.59631	5.62659	5.00037	5.00159	8.12744
Length    4, alignments in bytes  0/ 0:	9.427	7.81604	7.82227	5.73523	8.13464
Length    4, alignments in bytes  0/ 0:	9.38892	7.81775	7.81958	5.73035	8.12952
Length    4, alignments in bytes  0/ 4:	9.38025	5.91504	5.95874	5.73877	8.12146
Length    4, alignments in bytes  4/ 0:	9.36926	5.00403	4.9989	5.00366	7.82959
Length    5, alignments in bytes  0/ 0:	9.58997	7.80762	7.81067	6.49353	8.90759
Length    5, alignments in bytes  0/ 0:	9.59045	7.80542	7.81409	6.49377	8.90991
Length    5, alignments in bytes  0/ 5:	9.69727	5.90356	5.97168	5.68823	8.12329
Length    5, alignments in bytes  5/ 0:	9.37305	5.00305	4.99695	5.00415	10.3236
Length    6, alignments in bytes  0/ 0:	13.8774	8.57495	8.26257	7.17224	11.2505
Length    6, alignments in bytes  0/ 0:	9.65222	7.81409	7.81628	7.17273	11.2516
Length    6, alignments in bytes  0/ 6:	9.39722	5.90857	5.96179	5.5769	11.8964
Length    6, alignments in bytes  6/ 0:	9.58276	5.1189	5.10986	5.11902	10.2347
