                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	25.5763	23.416	23.7778	21.1039	24.4721
Length    4/   4, alignment  0/ 0, N    2:	24.6225	22.869	23.0893	21.8258	24.8607
Length    4/   4, alignment  4/ 0, N    2:	24.7614	22.7088	22.3507	20.6394	24.0264
Length    8/   8, alignment  0/ 0, N    2:	23.6326	22.35	22.5645	20.6195	23.9709
Length    8/   8, alignment  0/ 0, N    2:	23.9333	22.3508	22.3494	20.7454	24.1542
Length   16/  16, alignment  0/ 0, N    2:	23.9722	22.3501	22.5645	21.1357	23.6313
Length   16/  16, alignment  7/ 2, N    2:	24.1985	22.0378	21.8531	22.0464	23.1032
Length   16/   4, alignment  0/ 0, N    2:	23.4958	21.8528	22.1045	20.6236	23.9078
Length   16/   4, alignment  7/ 2, N    2:	23.1484	21.8536	21.8533	66.1818	24.3542
Length   32/  32, alignment  0/ 0, N    2:	23.8455	23.5403	24.6732	20.503	23.3146
Length   32/  32, alignment  6/ 4, N    2:	23.309	23.2232	23.6859	20.651	23.7316
Length   32/   8, alignment  0/ 0, N    2:	23.4218	21.5417	21.8799	19.9919	23.4041
Length   32/   8, alignment  6/ 4, N    2:	23.1952	21.3335	21.854	19.9989	23.4795
Length   64/  64, alignment  0/ 0, N    2:	23.8505	22.2214	22.641	20.7161	23.8416
Length   64/  64, alignment  5/ 6, N    2:	23.8476	21.9575	22.4798	20.7381	23.8464
Length   64/  16, alignment  0/ 0, N    2:	23.5686	21.2314	21.856	20.6422	23.4976
Length   64/  16, alignment  5/ 6, N    2:	23.4155	21.2296	21.9626	22.0278	23.5021
Length  128/ 128, alignment  0/ 0, N    2:	23.9231	21.9042	22.9268	20.6526	24.0419
Length  128/ 128, alignment  4/ 0, N    2:	24.4725	22.3999	23.3832	21.0795	24.4547
Length  128/  32, alignment  0/ 0, N    2:	24.3842	22.3511	23.8235	21.0757	24.3837
Length  128/  32, alignment  4/ 0, N    2:	24.3323	22.4031	22.9881	21.7219	24.5476
Length  256/ 256, alignment  0/ 0, N    2:	26.8783	21.8556	22.4792	20.6105	26.7927
Length  256/ 256, alignment  3/ 2, N    2:	26.9971	22.0876	22.6676	21.0755	27.6239
Length  256/  64, alignment  0/ 0, N    2:	25.4113	22.5169	22.9919	21.1914	24.4818
Length  256/  64, alignment  3/ 2, N    2:	24.4717	22.5968	22.9884	21.3413	24.4515
Length  512/ 512, alignment  0/ 0, N    2:	27.9893	22.9701	22.9932	24.5168	28.0616
Length  512/ 512, alignment  2/ 4, N    2:	28.0113	22.3523	23.4236	25.0624	28.6842
Length  512/ 128, alignment  0/ 0, N    2:	26.06	22.9226	24.1549	21.5923	26.574
Length  512/ 128, alignment  2/ 4, N    2:	25.7174	23.4678	24.0851	22.0839	25.517
Length 1024/1024, alignment  0/ 0, N    2:	32.1967	26.7377	27.3576	36.7473	31.4397
Length 1024/1024, alignment  1/ 6, N    2:	31.4889	26.4764	28.1855	37.6118	33.126
Length 1024/ 256, alignment  0/ 0, N    2:	28.9283	23.6149	24.5533	22.0781	28.6488
Length 1024/ 256, alignment  1/ 6, N    2:	28.9519	23.415	24.0849	22.08	29.1315
Length   16/   1, alignment  1/ 2, N    2:	25.515	23.4178	23.7532	21.4352	25.2537
Length   16/   1, alignment  2/ 1, N    2:	25.2523	22.7458	23.6385	21.456	25.0786
Length   16/  10, alignment  1/ 1, N    2:	24.5827	22.8702	23.0879	20.9832	24.8755
Length   32/   1, alignment  2/ 4, N    2:	24.7676	22.3284	22.8727	20.9275	24.278
Length   32/   1, alignment  4/ 2, N    2:	24.2174	21.7256	22.3494	20.4356	23.7789
Length   32/  10, alignment  2/ 2, N    2:	23.6452	21.7135	22.3503	20.4667	24.9002
Length   64/   1, alignment  3/ 6, N    2:	24.114	21.7119	22.3518	20.497	23.7591
Length   64/   1, alignment  6/ 3, N    2:	23.629	22.3491	22.3522	20.4339	23.7435
