                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	22.9222	7.06364	7.18776	5.93074	22.7601
Length   16, n   16, alignment  1/ 1:	22.2048	7.02435	7.02435	5.91216	26.3186
Length   16, n   16, alignment  1/ 2:	22.5893	6.8991	7.08715	5.94464	22.5784
Length   16, n   16, alignment  2/ 1:	22.4532	7.02982	7.16279	5.88559	22.7536
Length    2, n    4, alignment  7/ 2:	20.5371	10.4547	11.4563	10.4547	20.8329
Length    4, n    2, alignment  2/ 7:	20.0702	7.71344	7.84113	6.53796	20.1986
Length    2, n    4, alignment  7/ 2:	20.6693	10.5749	11.1537	10.4608	20.9409
Length    4, n    2, alignment  2/ 7:	20.0493	7.20506	7.84129	6.57796	20.4705
Length   16, n   16, alignment  2/ 2:	22.2831	7.02452	7.02443	5.96732	22.4993
Length   16, n   16, alignment  2/ 2:	22.4738	7.02437	7.0743	5.92848	22.5613
Length   16, n   16, alignment  2/ 4:	22.1745	7.02431	7.05773	5.88515	22.6219
Length   16, n   16, alignment  4/ 2:	22.1828	7.02434	7.06	5.97027	22.7357
Length    4, n    8, alignment  6/ 4:	25.6907	24.3905	25.472	11.7123	25.2131
Length    8, n    4, alignment  4/ 6:	24.1299	6.92	7.72353	6.46894	24.8758
Length    4, n    8, alignment  6/ 4:	25.6616	24.363	25.3659	10.0236	25.3939
Length    8, n    4, alignment  4/ 6:	24.219	7.06868	7.66301	6.51374	24.97
Length   16, n   16, alignment  3/ 3:	22.3433	7.02443	7.02876	5.93137	22.8613
Length   16, n   16, alignment  3/ 3:	22.2025	6.95684	7.03054	5.92786	22.7728
Length   16, n   16, alignment  3/ 6:	22.2483	7.02431	7.10871	5.93826	22.7919
Length   16, n   16, alignment  6/ 3:	22.3599	7.02429	7.05446	5.95996	22.9272
Length    8, n   16, alignment  5/ 6:	24.7385	22.6298	22.6079	9.94065	24.4592
Length   16, n    8, alignment  6/ 5:	21.8262	7.66303	7.17556	5.94644	22.6619
Length    8, n   16, alignment  5/ 6:	25.0228	22.6981	22.666	9.9682	24.6215
Length   16, n    8, alignment  6/ 5:	21.8345	7.66296	7.029	5.89995	22.4603
Length   16, n   16, alignment  4/ 4:	22.1193	6.93287	7.07347	5.84608	22.4612
Length   16, n   16, alignment  4/ 4:	22.2461	7.02435	7.06122	5.8808	22.6003
Length   16, n   16, alignment  4/ 0:	22.253	7.02427	7.02995	5.875	22.6357
Length   16, n   16, alignment  0/ 4:	22.2008	7.02428	7.05982	5.88076	22.8174
Length   16, n   32, alignment  4/ 0:	24.4364	23.0195	23.1786	9.97696	24.2662
Length   32, n   16, alignment  0/ 4:	22.3774	6.29952	6.47945	5.91113	22.71
Length   16, n   32, alignment  4/ 0:	24.3788	23.2137	23.2112	9.99758	24.1581
Length   32, n   16, alignment  0/ 4:	22.1419	6.38593	6.38582	5.9021	22.7275
Length   16, n   16, alignment  5/ 5:	22.249	7.02437	7.09067	5.88506	22.5988
Length   16, n   16, alignment  5/ 5:	22.2858	7.02432	7.02905	5.95085	22.694
Length   16, n   16, alignment  5/ 2:	22.1856	7.02429	7.02851	5.88017	22.7921
Length   16, n   16, alignment  2/ 5:	22.2535	7.02436	7.1793	5.88082	22.6848
Length   32, n   64, alignment  3/ 2:	29.088	11.3092	11.1296	18.672	29.4209
Length   64, n   32, alignment  2/ 3:	22.6356	7.02459	7.03218	7.08352	22.5787
Length   32, n   64, alignment  3/ 2:	29.3065	11.2785	11.1083	18.902	29.3947
Length   64, n   32, alignment  2/ 3:	22.629	7.02872	7.02439	7.20035	22.8164
Length   16, n   16, alignment  6/ 6:	22.3336	7.02434	7.02438	5.90333	22.6519
Length   16, n   16, alignment  6/ 6:	22.2921	7.0347	7.18764	5.88536	22.7804
Length   16, n   16, alignment  6/ 4:	22.3545	7.0243	7.11619	5.98827	22.6709
Length   16, n   16, alignment  4/ 6:	22.3217	7.0243	7.16633	5.88667	22.6311
Length   64, n  128, alignment  2/ 4:	23.5604	21.4836	21.8186	21.2196	23.7619
Length  128, n   64, alignment  4/ 2:	12.7536	9.67971	10.2274	12.2983	13.3468
Length   64, n  128, alignment  2/ 4:	24.3936	22.2257	22.0499	21.6267	23.4949
Length  128, n   64, alignment  4/ 2:	12.465	8.69674	10.198	12.3144	13.4905
Length   16, n   16, alignment  7/ 7:	23.5774	7.57583	7.35887	10.5577	23.0089
