                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.2498	5.64294	6.33093	5.63232	5.63269
Length    0, alignments in bytes  0/ 0:	11.2545	5.79443	6.34448	5.6311	5.63684
Length    0, alignments in bytes  0/ 0:	11.2489	5.80786	6.32239	5.63184	5.62378
Length    0, alignments in bytes  0/ 0:	11.2471	5.80188	6.33472	5.62195	5.63135
Length    1, alignments in bytes  0/ 0:	10.9453	6.33704	7.03064	5.63232	5.64124
Length    1, alignments in bytes  0/ 0:	10.9258	6.17761	6.87354	5.49146	5.50183
Length    1, alignments in bytes  0/ 1:	10.5028	6.18018	6.8551	5.49622	5.48669
Length    1, alignments in bytes  1/ 0:	10.2861	6.17517	6.86548	5.48083	5.11865
Length    2, alignments in bytes  0/ 0:	10.2894	6.85803	6.86511	6.61035	8.23779
Length    2, alignments in bytes  0/ 0:	10.2899	6.86804	6.87195	6.6073	8.23291
Length    2, alignments in bytes  0/ 2:	10.2881	6.86182	6.86475	6.60095	6.94299
Length    2, alignments in bytes  2/ 0:	10.2866	6.86621	6.85779	5.48572	6.24622
Length    3, alignments in bytes  0/ 0:	10.98	6.17517	6.86523	5.4939	6.87048
Length    3, alignments in bytes  0/ 0:	10.9822	6.18286	6.86877	5.49097	6.8728
Length    3, alignments in bytes  0/ 3:	10.9741	6.17981	6.85767	5.49585	6.86279
Length    3, alignments in bytes  3/ 0:	10.9725	6.1687	6.86365	5.48315	8.7207
Length    4, alignments in bytes  0/ 0:	10.9728	8.5769	8.53467	6.28625	8.91809
Length    4, alignments in bytes  0/ 0:	10.9733	8.573	8.54077	6.28015	8.92517
Length    4, alignments in bytes  0/ 4:	10.985	6.49878	6.8645	6.2843	8.91565
Length    4, alignments in bytes  4/ 0:	10.9701	6.16675	6.86206	5.49377	8.948
Length    5, alignments in bytes  0/ 0:	10.9733	8.56738	8.51782	7.11426	9.87329
Length    5, alignments in bytes  0/ 0:	10.9728	8.56934	8.52051	7.10193	9.86414
Length    5, alignments in bytes  0/ 5:	10.9718	6.50342	6.86731	6.18457	8.92029
Length    5, alignments in bytes  5/ 0:	11.0072	6.1781	6.85754	6.17212	8.94629
Length    6, alignments in bytes  0/ 0:	10.9734	8.57617	8.53418	7.87048	12.3516
Length    6, alignments in bytes  0/ 0:	10.9731	8.56909	8.52649	9.38245	12.3523
Length    6, alignments in bytes  0/ 6:	10.9717	6.48828	6.86377	6.13184	12.3374
Length    6, alignments in bytes  6/ 0:	10.9927	6.17358	6.85291	5.49988	8.94385
Length    7, alignments in bytes  0/ 0:	10.9807	7.5354	7.50916	5.4967	12.3562
Length    7, alignments in bytes  0/ 0:	10.9746	7.54468	7.37769	5.49744	12.3484
Length    7, alignments in bytes  0/ 7:	10.9729	6.50012	6.86255	5.48279	12.3439
Length    7, alignments in bytes  7/ 0:	10.9708	6.1731	6.86157	5.48242	11.702
Length    8, alignments in bytes  0/ 0:	10.9725	8.76733	8.61157	6.28357	7.55542
Length    8, alignments in bytes  0/ 0:	10.9713	8.75073	8.599	6.28333	7.56262
Length    8, alignments in bytes  0/ 0:	10.9854	8.73694	8.5979	6.28162	7.55688
Length    8, alignments in bytes  0/ 0:	10.9713	8.74609	8.59949	6.27856	7.54944
Length    9, alignments in bytes  0/ 0:	10.9718	8.73364	8.59863	7.09302	6.86877
Length    9, alignments in bytes  0/ 0:	10.9723	8.76501	8.60767	7.10657	6.34326
Length    9, alignments in bytes  0/ 1:	10.9708	8.74207	8.59558	7.54602	7.15027
Length    9, alignments in bytes  1/ 0:	10.9741	8.72302	8.62085	7.47522	14.4613
Length   10, alignments in bytes  0/ 0:	10.9993	8.73926	8.59473	7.87744	7.55957
Length   10, alignments in bytes  0/ 0:	10.9711	8.73657	8.59741	7.87646	7.55811
Length   10, alignments in bytes  0/ 2:	10.9708	8.75073	8.59399	7.71729	8.06458
Length   10, alignments in bytes  2/ 0:	10.9713	8.7428	8.62402	7.62317	15.7806
Length   11, alignments in bytes  0/ 0:	10.9712	8.74207	8.60339	7.19543	8.927
Length   11, alignments in bytes  0/ 0:	10.9716	8.80566	8.58594	7.18799	8.9314
Length   11, alignments in bytes  0/ 3:	10.9727	8.74426	8.60364	7.71924	8.96008
Length   11, alignments in bytes  3/ 0:	10.9733	8.72278	8.61035	7.61804	15.5547
Length   12, alignments in bytes  0/ 0:	10.9722	8.73621	8.59375	7.87476	9.60449
Length   12, alignments in bytes  0/ 0:	10.9701	8.75623	8.59656	7.86084	9.60669
Length   12, alignments in bytes  0/ 4:	10.973	8.4574	8.23254	7.9314	9.60547
Length   12, alignments in bytes  4/ 0:	10.9701	8.44312	8.23438	7.61487	11.6827
Length   13, alignments in bytes  0/ 0:	10.9862	8.73596	8.60693	7.90051	11.9438
Length   13, alignments in bytes  0/ 0:	10.9713	8.74915	8.60413	7.88464	11.9698
Length   13, alignments in bytes  0/ 5:	10.9706	8.46338	8.24451	7.91113	11.026
Length   13, alignments in bytes  5/ 0:	10.9723	8.45068	8.22375	7.62744	12.6677
Length   14, alignments in bytes  0/ 0:	10.9708	8.73364	8.60144	7.87671	13.2811
Length   14, alignments in bytes  0/ 0:	10.9703	8.79138	8.60693	7.89038	13.2937
Length   14, alignments in bytes  0/ 6:	10.9706	8.4292	8.23169	7.91479	13.0316
Length   14, alignments in bytes  6/ 0:	10.9713	8.41284	8.21155	7.62512	12.9642
Length   15, alignments in bytes  0/ 0:	10.9771	7.61389	7.75659	5.48865	13.0508
Length   15, alignments in bytes  0/ 0:	10.98	7.61426	7.61475	5.49817	13.0363
Length   15, alignments in bytes  0/ 7:	10.9713	8.53015	8.27966	5.49243	13.031
Length   15, alignments in bytes  7/ 0:	10.9744	8.13049	8.22339	5.49609	12.6425
Length   16, alignments in bytes  0/ 0:	10.972	8.73901	8.60535	6.18091	6.96021
Length   16, alignments in bytes  7/ 2:	10.9711	8.73914	8.62476	6.17932	13.8229
Length   32, alignments in bytes  0/ 0:	10.9821	6.90662	6.87732	7.56409	9.91833
Length   32, alignments in bytes  6/ 4:	11.0022	6.88391	6.86279	11.4609	16.0122
