                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.0816	7.36378	8.02791	6.69872	11.1121
Length   16, n   16, alignment  1/ 1:	12.625	7.53834	8.30627	6.87364	11.132
Length   16, n   16, alignment  1/ 2:	13.0085	7.72683	8.36757	6.85297	11.2766
Length   16, n   16, alignment  2/ 1:	12.9556	7.75336	8.4005	6.85294	11.2725
Length    2, n    4, alignment  7/ 2:	14.5628	11.9676	11.128	10.9648	14.9681
Length    4, n    2, alignment  2/ 7:	12.206	8.23125	8.22366	6.853	11.3432
Length    2, n    4, alignment  7/ 2:	13.8293	11.9199	12.0162	10.9873	14.0839
Length    4, n    2, alignment  2/ 7:	11.9226	8.31552	8.22359	6.86794	11.39
Length   16, n   16, alignment  2/ 2:	12.7413	7.74774	8.44485	7.04361	11.6731
Length   16, n   16, alignment  2/ 2:	12.7394	7.64711	8.39564	6.8529	11.4848
Length   16, n   16, alignment  2/ 4:	12.665	7.74402	8.44521	6.99607	11.1686
Length   16, n   16, alignment  4/ 2:	12.5732	7.78443	8.46613	7.03903	11.4375
Length    4, n    8, alignment  6/ 4:	14.6336	12.1958	12.1883	10.9651	14.4475
Length    8, n    4, alignment  4/ 6:	12.8333	7.76524	8.42921	7.02045	11.378
Length    4, n    8, alignment  6/ 4:	14.4903	12.1906	12.0942	10.9647	14.0755
Length    8, n    4, alignment  4/ 6:	12.9097	7.74457	8.43733	7.0244	11.4133
Length   16, n   16, alignment  3/ 3:	12.8535	7.75054	8.43671	7.02434	11.2871
Length   16, n   16, alignment  3/ 3:	12.8761	7.73469	8.29742	6.85297	11.4696
Length   16, n   16, alignment  3/ 6:	13.0077	7.75255	8.42921	7.02426	11.4467
Length   16, n   16, alignment  6/ 3:	12.8228	7.72675	8.43167	6.86013	11.4251
Length    8, n   16, alignment  5/ 6:	14.1693	11.2566	11.2495	11.1866	14.393
Length   16, n    8, alignment  6/ 5:	12.7647	8.42585	8.91673	7.00217	11.4973
Length    8, n   16, alignment  5/ 6:	14.2001	11.2644	11.2389	11.0627	14.4433
Length   16, n    8, alignment  6/ 5:	12.7602	8.42917	11.8902	7.35015	11.3646
Length   16, n   16, alignment  4/ 4:	12.7858	7.7641	8.42917	7.02433	11.5386
Length   16, n   16, alignment  4/ 4:	12.7943	7.80163	8.65777	7.07611	11.3727
Length   16, n   16, alignment  4/ 0:	13.0181	7.72678	8.50849	7.02428	11.4761
Length   16, n   16, alignment  0/ 4:	12.7647	7.77763	8.50291	7.02425	11.4435
Length   16, n   32, alignment  4/ 0:	15.1369	10.9016	11.9414	11.9559	14.806
Length   32, n   16, alignment  0/ 4:	13.0111	7.04032	7.02452	7.02445	11.2258
Length   16, n   32, alignment  4/ 0:	14.7732	10.8215	11.9572	11.665	14.2987
Length   32, n   16, alignment  0/ 4:	12.8712	7.07123	7.04186	7.02427	11.5062
Length   16, n   16, alignment  5/ 5:	12.7142	7.74415	8.42929	7.03223	11.4704
Length   16, n   16, alignment  5/ 5:	12.9502	7.72676	8.4393	7.0071	11.1561
Length   16, n   16, alignment  5/ 2:	12.8326	7.7645	8.46016	7.02426	11.6433
Length   16, n   16, alignment  2/ 5:	12.7802	7.73524	8.42904	7.02426	11.4093
Length   32, n   64, alignment  3/ 2:	17.3181	9.88152	11.9658	13.924	17.924
Length   64, n   32, alignment  2/ 3:	11.3981	7.7269	7.76602	7.75135	11.563
Length   32, n   64, alignment  3/ 2:	18.3961	10.1444	12.1905	13.8901	16.9056
Length   64, n   32, alignment  2/ 3:	11.5572	7.9512	7.92488	7.82924	11.7743
Length   16, n   16, alignment  6/ 6:	13.1083	7.9332	8.88248	7.23583	11.6164
Length   16, n   16, alignment  6/ 6:	12.9711	7.72665	8.42915	7.03433	11.6448
Length   16, n   16, alignment  6/ 4:	12.9367	7.76483	8.43823	7.02425	11.4607
Length   16, n   16, alignment  4/ 6:	12.9549	7.73542	8.42905	7.02425	11.2763
Length   64, n  128, alignment  2/ 4:	16.2506	14.8841	14.1829	16.6935	17.8629
Length  128, n   64, alignment  4/ 2:	14.4948	9.94584	10.5505	12.2305	14.1543
Length   64, n  128, alignment  2/ 4:	16.4378	15.166	14.101	16.6805	16.2725
Length  128, n   64, alignment  4/ 2:	14.1048	10.7634	10.736	12.2096	13.7901
Length   16, n   16, alignment  7/ 7:	13.3116	7.74391	8.42911	7.03212	11.6131
Length   16, n   16, alignment  7/ 7:	12.9458	7.72679	8.43679	7.02428	11.3545
Length   16, n   16, alignment  7/ 6:	12.7366	7.74365	8.43822	7.02422	11.6712
Length   16, n   16, alignment  6/ 7:	12.9395	7.75418	8.42905	7.02428	11.4691
Length  128, n  256, alignment  1/ 6:	21.2578	18.3982	17.5462	25.3391	20.6202
Length  256, n  128, alignment  6/ 1:	16.5757	13.9071	13.2188	20.3241	17.5869
Length  128, n  256, alignment  1/ 6:	21.2661	18.8295	17.4674	25.274	20.5799
Length  256, n  128, alignment  6/ 1:	17.0379	13.913	13.0577	19.7347	17.5181
Length    8, n   16, alignment  0/ 0:	14.6529	11.5271	11.5178	11.239	14.4434
Length   32, n   16, alignment  0/ 0:	12.7752	6.99479	7.02451	6.92171	11.7198
Length    8, n   16, alignment  7/ 2:	14.6031	11.6943	11.6058	10.9747	14.4572
Length   32, n   16, alignment  7/ 2:	12.9278	7.72681	7.73466	6.86663	11.4076
Length   16, n   32, alignment  0/ 0:	14.2633	10.0276	11.9414	11.949	14.4621
Length   64, n   32, alignment  0/ 0:	12.7272	7.61763	7.72065	7.72686	11.4859
Length   16, n   32, alignment  6/ 4:	14.7924	10.829	11.9415	11.9818	14.5439
Length   64, n   32, alignment  6/ 4:	11.5706	7.72669	7.75144	7.7267	11.4366
Length   32, n   64, alignment  0/ 0:	15.4236	9.98292	11.9583	13.2229	15.1904
Length  128, n   64, alignment  0/ 0:	13.7743	7.73616	7.72689	10.0232	12.2484
Length   32, n   64, alignment  5/ 6:	16.7767	11.8474	12.1716	14.4796	16.6974
Length  128, n   64, alignment  5/ 6:	14.176	10.5594	10.5373	13.0928	14.2537
Length   64, n  128, alignment  0/ 0:	16.7626	13.3241	12.6999	15.3782	16.0956
Length  256, n  128, alignment  0/ 0:	17.1718	11.5124	10.4298	14.4944	16.2992
Length   64, n  128, alignment  4/ 0:	16.7215	14.5365	14.7103	16.4304	17.0772
Length  256, n  128, alignment  4/ 0:	17.2563	13.6481	13.0111	19.1682	16.2639
Length  128, n  256, alignment  0/ 0:	20.4107	16.7259	16.2946	23.5322	20.2883
Length  512, n  256, alignment  0/ 0:	19.2353	15.4517	15.2209	19.232	19.366
Length  128, n  256, alignment  3/ 2:	22.1515	17.9638	16.9364	24.5422	20.6151
Length  512, n  256, alignment  3/ 2:	24.635	21.3442	20.9843	23.949	24.5424
Length  256, n  512, alignment  0/ 0:	27.5139	24.9278	23.5374	29.7662	29.2515
