                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.7604	22.0913	22.4965	20.3609	13.4012
Length    0/   0, alignment  0/ 0:	22.8695	21.5629	22.4962	20.3537	13.3714
Length    0/   0, alignment  0/ 0:	23.0627	21.5631	22.6798	20.3365	13.3815
Length    0/   0, alignment  0/ 0:	22.8695	21.7907	22.4964	20.3385	13.287
Length    1/   1, alignment  0/ 0:	22.89	21.5833	22.3454	20.3948	14.3904
Length    1/   1, alignment  0/ 0:	30.6799	22.3691	22.5299	20.484	14.4584
Length    1/   1, alignment  0/ 1:	23.1042	21.5629	22.216	20.4609	6.89061
Length    1/   1, alignment  1/ 0:	22.8698	21.5631	22.3554	20.4138	14.3756
Length    2/   2, alignment  0/ 0:	23.097	22.2556	22.8701	21.2847	15.0814
Length    2/   2, alignment  0/ 0:	23.3658	22.2677	22.8701	21.0425	15.0812
Length    2/   2, alignment  0/ 2:	23.21	22.2161	22.8694	21.0539	9.76431
Length    2/   2, alignment  2/ 0:	22.8695	22.2161	22.8695	21.0908	15.085
Length    3/   3, alignment  0/ 0:	23.1208	21.563	22.2918	20.4096	15.2129
Length    3/   3, alignment  0/ 0:	23.114	21.6045	22.4147	20.3695	15.2132
Length    3/   3, alignment  0/ 3:	23.0418	21.7076	22.2163	20.3458	11.1214
Length    3/   3, alignment  3/ 0:	22.8958	21.5627	22.4452	20.3512	17.1652
Length    4/   4, alignment  0/ 0:	23.241	22.2524	23.1038	21.1121	17.1621
Length    4/   4, alignment  0/ 0:	23.8868	22.2593	23.1253	21.0224	17.148
Length    4/   4, alignment  0/ 4:	23.2504	22.3039	23.1027	21.0165	14.3792
Length    4/   4, alignment  4/ 0:	23.4264	22.2536	23.1029	20.9824	18.561
Length    5/   5, alignment  0/ 0:	23.0388	22.2558	23.1029	21.189	18.0212
Length    5/   5, alignment  0/ 0:	23.1024	22.2538	23.1399	21.0476	18.0283
Length    5/   5, alignment  0/ 5:	23.1251	22.2532	23.1032	21.06	15.6865
Length    5/   5, alignment  5/ 0:	23.2678	22.2453	23.1029	21.0755	18.6065
Length    6/   6, alignment  0/ 0:	23.0371	22.2486	23.1028	21.0582	18.6203
Length    6/   6, alignment  0/ 0:	23.0972	22.2527	23.1283	21.0427	18.6596
Length    6/   6, alignment  0/ 6:	23.3524	22.234	23.1033	21.0445	17.6436
Length    6/   6, alignment  6/ 0:	23.0696	22.244	23.1026	21.0712	19.3745
Length    7/   7, alignment  0/ 0:	23.0428	22.2597	23.1027	20.356	18.4993
Length    7/   7, alignment  0/ 0:	23.3584	22.2591	23.0071	19.8866	18.1046
Length    7/   7, alignment  0/ 7:	22.5046	21.7294	22.5777	19.8846	17.9322
Length    7/   7, alignment  7/ 0:	22.9218	21.713	22.5782	19.9513	18.7711
Length    8/   8, alignment  0/ 0:	22.46	21.7114	22.4046	20.5524	15.3279
Length    8/   8, alignment  0/ 0:	22.6991	21.7117	22.6905	20.5296	15.3264
Length    8/   8, alignment  0/ 0:	22.7121	21.7315	22.5933	20.5256	15.3258
Length    8/   8, alignment  0/ 0:	22.6322	21.711	22.3928	20.5278	15.3257
Length    9/   9, alignment  0/ 0:	22.6301	21.9697	22.5719	20.5532	15.5988
Length    9/   9, alignment  0/ 0:	22.6745	21.7126	22.458	20.8755	15.3277
Length    9/   9, alignment  0/ 1:	22.7617	22.5527	23.2758	20.5822	15.9653
Length    9/   9, alignment  1/ 0:	22.7532	21.7643	22.5863	20.5754	21.3014
Length   10/  10, alignment  0/ 0:	22.6815	21.9708	22.6214	20.554	16.0717
