                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.6941	5.77039	5.72559	5.63428	5.62793
Length    0, alignments in bytes  0/ 0:	10.5505	6.34985	6.33215	5.62793	5.63269
Length    0, alignments in bytes  0/ 0:	10.6168	5.75415	5.72266	5.62488	5.62939
Length    0, alignments in bytes  0/ 0:	10.8043	6.17786	6.17017	5.49219	5.48181
Length    1, alignments in bytes  0/ 0:	10.6392	6.18201	6.18579	5.4845	5.52393
Length    1, alignments in bytes  0/ 0:	10.3745	6.17773	6.18433	5.49792	5.495
Length    1, alignments in bytes  0/ 1:	10.1963	6.86853	6.16968	5.4895	5.48657
Length    1, alignments in bytes  1/ 0:	9.77832	6.85522	6.18066	5.48083	5.13062
Length    2, alignments in bytes  0/ 0:	10.0934	6.31458	6.3219	6.56799	6.8678
Length    2, alignments in bytes  0/ 0:	9.94775	6.30396	6.33533	6.58484	6.87549
Length    2, alignments in bytes  0/ 2:	9.83936	5.82642	5.83032	6.13086	6.39246
Length    2, alignments in bytes  2/ 0:	9.09973	5.75745	5.75037	5.1145	6.40735
Length    3, alignments in bytes  0/ 0:	9.67651	4.52686	5.12781	5.11377	6.41162
Length    3, alignments in bytes  0/ 0:	9.72937	5.75354	5.12732	5.11292	6.41211
Length    3, alignments in bytes  0/ 3:	9.62927	5.11035	5.1239	5.10999	6.39648
Length    3, alignments in bytes  3/ 0:	9.63062	5.11597	5.11646	5.1123	8.31775
Length    4, alignments in bytes  0/ 0:	10.02	8.02271	7.99658	5.86279	7.68079
Length    4, alignments in bytes  0/ 0:	9.7666	7.99426	7.99512	5.86804	8.31885
Length    4, alignments in bytes  0/ 4:	9.59216	6.04968	6.09619	5.87451	8.30432
Length    4, alignments in bytes  4/ 0:	9.58191	5.10974	5.12036	5.10828	8.34082
Length    5, alignments in bytes  0/ 0:	9.94983	7.98743	7.99023	6.63501	9.14404
Length    5, alignments in bytes  0/ 0:	9.89832	7.99304	7.99048	6.6366	9.12097
Length    5, alignments in bytes  0/ 5:	9.59851	6.04297	6.09741	5.82971	8.32043
Length    5, alignments in bytes  5/ 0:	9.58142	5.10938	5.11841	5.10864	8.32874
