                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	25.6346	23.418	23.3921	21.1018	24.7339
Length    4/   4, alignment  0/ 0, N    2:	24.8708	22.8718	22.8694	21.0914	24.2764
Length    4/   4, alignment  4/ 0, N    2:	24.5795	22.8696	23.348	20.6447	24.015
Length    8/   8, alignment  0/ 0, N    2:	24.0697	22.3503	22.3493	20.5974	24.4901
Length    8/   8, alignment  0/ 0, N    2:	23.9458	22.3509	22.9443	20.614	24.24
Length   16/  16, alignment  0/ 0, N    2:	23.9877	22.3488	22.9457	21.1364	24.3447
Length   16/  16, alignment  7/ 2, N    2:	23.6346	22.3488	22.9465	22.5418	23.9908
Length   16/   4, alignment  0/ 0, N    2:	24.0737	22.3509	23.7961	20.4593	23.9542
Length   16/   4, alignment  7/ 2, N    2:	24.0099	22.35	22.6707	20.1044	23.4112
Length   32/  32, alignment  0/ 0, N    2:	23.8555	21.8544	22.481	20.6062	24.8165
Length   32/  32, alignment  6/ 4, N    2:	23.8203	21.9789	22.4774	20.6059	23.7833
Length   32/   8, alignment  0/ 0, N    2:	23.6041	21.2316	22.0518	67.3011	24.0272
Length   32/   8, alignment  6/ 4, N    2:	24.1768	22.4909	24.2061	21.6306	23.5589
Length   64/  64, alignment  0/ 0, N    2:	23.8526	21.9812	22.5371	21.8022	23.8468
Length   64/  64, alignment  5/ 6, N    2:	23.9307	22.0112	22.4781	20.803	23.9486
Length   64/  16, alignment  0/ 0, N    2:	23.6031	21.2298	22.0122	22.1583	24.1758
Length   64/  16, alignment  5/ 6, N    2:	24.0272	21.712	22.352	22.5309	24.1031
Length  128/ 128, alignment  0/ 0, N    2:	24.3396	22.1602	22.7066	20.6135	23.7898
Length  128/ 128, alignment  4/ 0, N    2:	23.7805	21.9047	22.9488	21.5114	24.8613
Length  128/  32, alignment  0/ 0, N    2:	23.9286	21.8547	22.7542	21.0743	24.3903
Length  128/  32, alignment  4/ 0, N    2:	24.3304	22.4775	22.9894	21.1529	24.3576
Length  256/ 256, alignment  0/ 0, N    2:	27.2825	22.3524	23.0786	21.0784	27.3076
Length  256/ 256, alignment  3/ 2, N    2:	27.32	22.3524	22.989	21.0754	27.5991
Length  256/  64, alignment  0/ 0, N    2:	24.3841	22.4569	22.9926	22.1847	24.6063
Length  256/  64, alignment  3/ 2, N    2:	24.4451	23.0031	23.9448	21.1922	24.3939
Length  512/ 512, alignment  0/ 0, N    2:	27.4388	22.356	23.0182	24.4905	28.8573
Length  512/ 512, alignment  2/ 4, N    2:	28.108	22.8708	23.525	24.9801	28.0473
Length  512/ 128, alignment  0/ 0, N    2:	25.5605	23.4268	24.1439	21.5712	24.9949
Length  512/ 128, alignment  2/ 4, N    2:	24.8645	22.9251	24.1545	21.5723	24.9892
Length 1024/1024, alignment  0/ 0, N    2:	28.2459	26.5046	26.926	36.6805	29.1512
Length 1024/1024, alignment  1/ 6, N    2:	28.2405	27.6473	27.109	37.5432	28.9633
Length 1024/ 256, alignment  0/ 0, N    2:	28.9257	23.9979	24.5802	22.2646	28.7008
Length 1024/ 256, alignment  1/ 6, N    2:	28.6229	24.6784	24.0838	22.1703	28.6266
Length   16/   1, alignment  1/ 2, N    2:	25.2971	23.416	23.6406	21.4782	25.0716
