                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.86	7.35893	7.35885	6.0278	11.7574
Length   16, n   16, alignment  1/ 1:	11.2674	7.53833	7.53828	6.17438	11.6036
Length   16, n   16, alignment  1/ 2:	11.18	7.5383	7.53821	6.24462	11.7371
Length   16, n   16, alignment  2/ 1:	11.234	7.58749	7.57088	6.16768	11.6551
Length    2, n    4, alignment  7/ 2:	14.5515	11.023	11.703	10.9076	13.7229
Length    4, n    2, alignment  2/ 7:	10.9604	7.53851	8.2825	6.78263	11.5503
Length    2, n    4, alignment  7/ 2:	13.4151	10.9789	11.6445	10.7516	13.6802
Length    4, n    2, alignment  2/ 7:	10.8567	7.43662	8.10777	6.73455	11.3895
Length   16, n   16, alignment  2/ 2:	11.2161	7.55595	7.55251	6.21535	11.7724
Length   16, n   16, alignment  2/ 2:	11.1298	7.53825	7.60033	6.16776	11.6499
Length   16, n   16, alignment  2/ 4:	11.1171	7.62258	7.75663	6.18903	11.6658
Length   16, n   16, alignment  4/ 2:	11.0567	7.53831	7.7182	6.28287	11.6653
Length    4, n    8, alignment  6/ 4:	14.0587	11.9526	11.9642	10.9782	14.7994
Length    8, n    4, alignment  4/ 6:	11.3338	7.5829	8.23213	6.85306	11.8243
Length    4, n    8, alignment  6/ 4:	13.9449	11.8572	11.963	10.797	14.7485
Length    8, n    4, alignment  4/ 6:	11.1521	7.59247	8.22366	6.85311	11.7494
Length   16, n   16, alignment  3/ 3:	10.9874	7.58324	7.56031	6.18276	11.7617
Length   16, n   16, alignment  3/ 3:	11.2375	7.72001	7.6458	6.16774	11.7264
Length   16, n   16, alignment  3/ 6:	11.2968	7.54293	7.53827	6.16767	11.7311
Length   16, n   16, alignment  6/ 3:	11.2319	7.66051	7.57238	6.17294	11.8958
Length    8, n   16, alignment  5/ 6:	14.2371	10.9648	10.1689	10.9651	14.7246
Length   16, n    8, alignment  6/ 5:	11.1198	8.25353	7.53838	6.17296	11.7166
Length    8, n   16, alignment  5/ 6:	14.1639	10.9649	10.1733	36.8605	13.6989
Length   16, n    8, alignment  6/ 5:	10.6035	8.0216	7.40558	6.07648	11.5679
Length   16, n   16, alignment  4/ 4:	10.918	7.42312	7.53825	6.17225	11.6902
Length   16, n   16, alignment  4/ 4:	11.2171	7.55555	7.53829	6.19365	11.7426
Length   16, n   16, alignment  4/ 0:	11.3091	7.64398	7.53824	6.21578	11.9039
Length   16, n   16, alignment  0/ 4:	11.2808	7.69643	7.73198	6.32789	11.6513
Length   16, n   32, alignment  4/ 0:	14.483	10.6339	10.5366	10.9695	14.9104
Length   32, n   16, alignment  0/ 4:	11.202	6.97172	6.88517	6.17281	11.9627
Length   16, n   32, alignment  4/ 0:	14.3175	10.7728	10.6478	10.9695	15.0853
Length   32, n   16, alignment  0/ 4:	11.0995	6.85318	6.85314	6.1722	11.6631
Length   16, n   16, alignment  5/ 5:	11.1222	7.55549	7.53836	6.17434	11.9169
Length   16, n   16, alignment  5/ 5:	11.2017	7.65212	7.74151	6.27128	11.6522
Length   16, n   16, alignment  5/ 2:	11.0454	7.5383	7.54375	6.16761	11.9177
Length   16, n   16, alignment  2/ 5:	11.5079	7.53826	7.58234	6.28494	11.7184
Length   32, n   64, alignment  3/ 2:	18.9448	10.3155	10.4383	12.5554	18.2944
Length   64, n   32, alignment  2/ 3:	10.4946	7.73209	7.67682	7.45605	10.5685
Length   32, n   64, alignment  3/ 2:	19.8825	9.89859	10.2857	12.764	18.1077
Length   64, n   32, alignment  2/ 3:	10.3871	7.74352	7.72709	7.58131	10.6104
Length   16, n   16, alignment  6/ 6:	11.1868	7.66903	7.73189	6.26827	11.6523
Length   16, n   16, alignment  6/ 6:	11.4933	7.68389	7.54325	6.16758	11.8281
Length   16, n   16, alignment  6/ 4:	11.4379	7.53823	7.57015	6.28781	11.8816
