strchr-extra/run1/sunil1//bench-strchr0.out
strchr-extra/run1/sunil1//bench-strchr1.out
strchr-extra/run1/sunil1//bench-strchr2.out
strchr-extra/run1/sunil1//bench-strchr3.out
strchr-extra/run1/sunil1//bench-strchr4.out
strchr-extra/run1/sunil1//bench-strchr5.out
strchr-extra/run1/sunil1//bench-strchr6.out
strchr-extra/run1/sunil1//bench-strchr7.out
strchr-extra/run1/sunil1//bench-strchr8.out
strchr-extra/run1/sunil1//bench-strchr9.out
strchr-extra/run1/strchr1//bench-strchr0.out
strchr-extra/run1/strchr1//bench-strchr1.out
strchr-extra/run1/strchr1//bench-strchr2.out
strchr-extra/run1/strchr1//bench-strchr3.out
strchr-extra/run1/strchr1//bench-strchr4.out
strchr-extra/run1/strchr1//bench-strchr5.out
strchr-extra/run1/strchr1//bench-strchr6.out
strchr-extra/run1/strchr1//bench-strchr7.out
strchr-extra/run1/strchr1//bench-strchr8.out
strchr-extra/run1/strchr1//bench-strchr9.out

Results For: strchr
alignment,length ,max_char ,pos       ,rand ,rand-addr ,seek_char   ,sunil1      ,strchr1 ,sunil1/strchr1 
0        ,1      ,127      ,0         ,0    ,0         ,0           ,3.85        ,3.601   ,1.069          
0        ,1      ,127      ,0         ,0    ,0         ,23          ,3.938       ,3.502   ,1.125          
0        ,10     ,127      ,9         ,0    ,0         ,0           ,3.957       ,3.815   ,1.037          
0        ,10     ,127      ,9         ,0    ,0         ,23          ,3.885       ,3.719   ,1.045          
0        ,1024   ,127      ,1056      ,0    ,0         ,0           ,20.771      ,20.243  ,1.026          
0        ,1024   ,127      ,1088      ,0    ,0         ,0           ,20.404      ,20.426  ,0.999          
0        ,1024   ,127      ,1120      ,0    ,0         ,0           ,20.862      ,20.361  ,1.025          
0        ,1024   ,127      ,1152      ,0    ,0         ,0           ,20.854      ,20.423  ,1.021          
0        ,1024   ,127      ,1184      ,0    ,0         ,0           ,20.442      ,20.313  ,1.006          
0        ,1024   ,127      ,1216      ,0    ,0         ,0           ,20.765      ,20.715  ,1.002          
0        ,1024   ,127      ,1248      ,0    ,0         ,0           ,21.214      ,20.517  ,1.034          
0        ,1024   ,127      ,1280      ,0    ,0         ,0           ,20.864      ,20.72   ,1.007          
0        ,1024   ,127      ,1312      ,0    ,0         ,0           ,20.583      ,22.246  ,0.925          
0        ,1024   ,127      ,1344      ,0    ,0         ,0           ,20.787      ,20.297  ,1.024          
0        ,1056   ,127      ,1024      ,0    ,0         ,0           ,20.666      ,20.374  ,1.014          
0        ,1088   ,127      ,1024      ,0    ,0         ,0           ,20.869      ,20.751  ,1.006          
0        ,11     ,127      ,10        ,0    ,0         ,0           ,3.946       ,3.756   ,1.051          
0        ,11     ,127      ,10        ,0    ,0         ,23          ,3.85        ,3.725   ,1.033          
0        ,112    ,127      ,16        ,0    ,0         ,0           ,4.029       ,3.765   ,1.07           
0        ,1120   ,127      ,1024      ,0    ,0         ,0           ,20.779      ,20.255  ,1.026          
0        ,1152   ,127      ,1024      ,0    ,0         ,0           ,20.957      ,20.491  ,1.023          
0        ,1184   ,127      ,1024      ,0    ,0         ,0           ,21.039      ,20.5    ,1.026          
0        ,12     ,127      ,11        ,0    ,0         ,0           ,3.889       ,3.602   ,1.08           
0        ,12     ,127      ,11        ,0    ,0         ,23          ,3.985       ,3.749   ,1.063          
0        ,1216   ,127      ,1024      ,0    ,0         ,0           ,20.785      ,20.419  ,1.018          
0        ,1248   ,127      ,1024      ,0    ,0         ,0           ,20.827      ,20.522  ,1.015          
0        ,126    ,127      ,127       ,0    ,0         ,0           ,5.208       ,4.422   ,1.178          
0        ,127    ,127      ,126       ,0    ,0         ,0           ,5.241       ,4.3     ,1.219          
0        ,128    ,127      ,160       ,0    ,0         ,0           ,6.234       ,5.623   ,1.109          
0        ,128    ,127      ,192       ,0    ,0         ,0           ,6.213       ,5.618   ,1.106          
0        ,128    ,127      ,224       ,0    ,0         ,0           ,6.286       ,5.608   ,1.121          
0        ,128    ,127      ,256       ,0    ,0         ,0           ,6.302       ,5.589   ,1.128          
0        ,128    ,127      ,288       ,0    ,0         ,0           ,6.302       ,5.7     ,1.106          
0        ,128    ,127      ,32        ,0    ,0         ,0           ,4.163       ,3.698   ,1.126          
0        ,128    ,127      ,320       ,0    ,0         ,0           ,6.207       ,5.629   ,1.103          
0        ,128    ,127      ,352       ,0    ,0         ,0           ,6.336       ,5.629   ,1.126          
0        ,128    ,127      ,384       ,0    ,0         ,0           ,6.263       ,5.603   ,1.118          
0        ,128    ,127      ,416       ,0    ,0         ,0           ,6.34        ,5.597   ,1.133          
0        ,128    ,127      ,448       ,0    ,0         ,0           ,6.17        ,5.623   ,1.097          
0        ,128    ,127      ,64        ,0    ,0         ,0           ,5.306       ,4.553   ,1.165          
0        ,1280   ,127      ,1024      ,0    ,0         ,0           ,20.372      ,20.414  ,0.998          
0        ,13     ,127      ,12        ,0    ,0         ,0           ,3.848       ,3.66    ,1.051          
0        ,13     ,127      ,12        ,0    ,0         ,23          ,3.973       ,3.655   ,1.087          
0        ,1312   ,127      ,1024      ,0    ,0         ,0           ,21.388      ,21.928  ,0.975          
0        ,1344   ,127      ,1024      ,0    ,0         ,0           ,20.974      ,20.488  ,1.024          
0        ,14     ,127      ,13        ,0    ,0         ,0           ,3.974       ,3.653   ,1.088          
0        ,14     ,127      ,13        ,0    ,0         ,23          ,3.994       ,3.739   ,1.068          
0        ,144    ,127      ,16        ,0    ,0         ,0           ,3.976       ,3.802   ,1.046          
0        ,15     ,127      ,14        ,0    ,0         ,0           ,3.964       ,3.651   ,1.086          
0        ,15     ,127      ,14        ,0    ,0         ,23          ,3.999       ,3.81    ,1.05           
0        ,158    ,127      ,159       ,0    ,0         ,0           ,6.273       ,5.612   ,1.118          
0        ,159    ,127      ,158       ,0    ,0         ,0           ,6.251       ,5.544   ,1.128          
0        ,16     ,127      ,112       ,0    ,0         ,0           ,3.931       ,3.697   ,1.063          
0        ,16     ,127      ,144       ,0    ,0         ,0           ,3.958       ,3.81    ,1.039          
0        ,16     ,127      ,15        ,0    ,0         ,0           ,3.924       ,3.569   ,1.099          
0        ,16     ,127      ,15        ,0    ,0         ,23          ,4.016       ,3.765   ,1.066          
0        ,16     ,127      ,176       ,0    ,0         ,0           ,4.044       ,3.686   ,1.097          
0        ,16     ,127      ,208       ,0    ,0         ,0           ,4.031       ,3.73    ,1.081          
0        ,16     ,127      ,240       ,0    ,0         ,0           ,4.004       ,3.714   ,1.078          
0        ,16     ,127      ,272       ,0    ,0         ,0           ,3.964       ,3.664   ,1.082          
0        ,16     ,127      ,304       ,0    ,0         ,0           ,3.982       ,3.706   ,1.075          
0        ,16     ,127      ,336       ,0    ,0         ,0           ,3.955       ,3.695   ,1.07           
0        ,16     ,127      ,48        ,0    ,0         ,0           ,3.903       ,3.647   ,1.07           
0        ,16     ,127      ,80        ,0    ,0         ,0           ,3.973       ,3.76    ,1.057          
0        ,160    ,127      ,128       ,0    ,0         ,0           ,6.269       ,5.607   ,1.118          
0        ,160    ,127      ,32        ,0    ,0         ,0           ,4.005       ,3.743   ,1.07           
0        ,160    ,127      ,64        ,0    ,0         ,0           ,5.193       ,4.421   ,1.175          
0        ,17     ,127      ,16        ,0    ,0         ,0           ,3.975       ,3.653   ,1.088          
0        ,17     ,127      ,16        ,0    ,0         ,23          ,4.005       ,3.73    ,1.074          
0        ,176    ,127      ,16        ,0    ,0         ,0           ,3.958       ,3.71    ,1.067          
0        ,18     ,127      ,17        ,0    ,0         ,0           ,3.954       ,3.618   ,1.093          
0        ,18     ,127      ,17        ,0    ,0         ,23          ,4.012       ,3.756   ,1.068          
0        ,19     ,127      ,18        ,0    ,0         ,0           ,3.915       ,3.695   ,1.06           
0        ,19     ,127      ,18        ,0    ,0         ,23          ,4.012       ,3.818   ,1.051          
0        ,190    ,127      ,191       ,0    ,0         ,0           ,6.245       ,5.638   ,1.108          
0        ,191    ,127      ,190       ,0    ,0         ,0           ,6.267       ,5.609   ,1.117          
0        ,192    ,127      ,128       ,0    ,0         ,0           ,6.357       ,5.703   ,1.115          
0        ,192    ,127      ,32        ,0    ,0         ,0           ,3.977       ,3.68    ,1.081          
0        ,192    ,127      ,64        ,0    ,0         ,0           ,5.32        ,4.393   ,1.211          
0        ,2      ,127      ,1         ,0    ,0         ,0           ,3.857       ,3.384   ,1.14           
0        ,2      ,127      ,1         ,0    ,0         ,23          ,3.94        ,3.597   ,1.095          
0        ,20     ,127      ,19        ,0    ,0         ,0           ,3.933       ,3.64    ,1.08           
0        ,20     ,127      ,19        ,0    ,0         ,23          ,3.965       ,3.763   ,1.054          
0        ,2048   ,127      ,1024      ,0    ,0         ,0           ,20.984      ,20.347  ,1.031          
0        ,2048   ,127      ,1024      ,0    ,0         ,23          ,20.739      ,20.604  ,1.007          
0        ,2048   ,127      ,128       ,0    ,0         ,0           ,6.235       ,5.52    ,1.13           
0        ,2048   ,127      ,128       ,0    ,0         ,23          ,6.763       ,5.689   ,1.189          
0        ,2048   ,127      ,2048      ,0    ,0         ,0           ,34.332      ,35.168  ,0.976          
0        ,2048   ,127      ,2048      ,0    ,0         ,23          ,34.203      ,35.262  ,0.97           
0        ,2048   ,127      ,2080      ,0    ,0         ,0           ,33.692      ,34.152  ,0.987          
0        ,2048   ,127      ,2112      ,0    ,0         ,0           ,33.595      ,34.302  ,0.979          
0        ,2048   ,127      ,2144      ,0    ,0         ,0           ,33.992      ,34.532  ,0.984          
0        ,2048   ,127      ,2176      ,0    ,0         ,0           ,34.595      ,33.973  ,1.018          
0        ,2048   ,127      ,2208      ,0    ,0         ,0           ,33.939      ,33.956  ,1.0            
0        ,2048   ,127      ,2240      ,0    ,0         ,0           ,33.717      ,34.323  ,0.982          
0        ,2048   ,127      ,2272      ,0    ,0         ,0           ,33.859      ,34.705  ,0.976          
0        ,2048   ,127      ,2304      ,0    ,0         ,0           ,33.65       ,34.386  ,0.979          
