Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9996456480425209

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
2048,     0,   32,        23,          0,     1.012
 256,     1,   64,        23,          0,     0.991
2048,     0,   32,         0,          0,     0.994
 256,     1,   64,         0,          0,     0.997
 256,  4081,   64,         0,          0,       1.0
2048,     0,   64,        23,          0,     0.992
 256,     2,   64,        23,          0,     0.999
2048,     0,   64,         0,          0,     0.993
 256,     2,   64,         0,          0,     0.998
2048,     0,  128,        23,          0,     0.992
 256,     3,   64,        23,          0,     1.002
2048,     0,  128,         0,          0,     0.995
 256,     3,   64,         0,          0,       1.0
2048,     0,  256,        23,          0,     0.998
 256,     4,   64,        23,          0,     0.988
2048,     0,  256,         0,          0,     0.996
 256,     4,   64,         0,          0,     1.001
2048,     0,  512,        23,          0,     0.996
 256,     5,   64,        23,          0,       1.0
2048,     0,  512,         0,          0,     0.994
 256,     5,   64,         0,          0,       1.0
2048,     0, 1024,        23,          0,     1.001
 256,     6,   64,        23,          0,     0.992
2048,     0, 1024,         0,          0,       1.0
 256,     6,   64,         0,          0,     1.013
2048,     0, 2048,        23,          0,       1.0
 256,     7,   64,        23,          0,     0.991
2048,     0, 2048,         0,          0,     1.001
 256,     7,   64,         0,          0,     1.004
 192,     1,   32,        23,          0,       1.0
 192,     1,   32,         0,          0,       1.0
 256,     1,   32,        23,          0,       1.0
 256,     1,   32,         0,          0,       1.0
 512,     1,   32,        23,          0,       1.0
 512,     1,   32,         0,          0,       1.0
 256,  4081,   32,        23,          0,       1.0
 192,     2,   64,        23,          0,      0.99
 192,     2,   64,         0,          0,     0.985
 512,     2,   64,        23,          0,     0.995
 512,     2,   64,         0,          0,     1.008
 256,  4081,   64,        23,          0,       1.0
 192,     3,   96,        23,          0,       1.0
 192,     3,   96,         0,          0,     0.984
 256,     3,   96,        23,          0,     1.007
 256,     3,   96,         0,          0,     0.998
 512,     3,   96,        23,          0,     0.998
 512,     3,   96,         0,          0,     1.002
 256,  4081,   96,        23,          0,     1.008
 192,     4,  128,        23,          0,     0.997
 192,     4,  128,         0,          0,     0.996
 256,     4,  128,        23,          0,     0.999
 256,     4,  128,         0,          0,     1.001
 512,     4,  128,        23,          0,     0.999
 512,     4,  128,         0,          0,     0.996
 256,  4081,  128,        23,          0,     0.999
 192,     5,  160,        23,          0,     0.998
 192,     5,  160,         0,          0,       1.0
 256,     5,  160,        23,          0,     0.999
 256,     5,  160,         0,          0,     0.999
 512,     5,  160,        23,          0,     0.999
 512,     5,  160,         0,          0,       1.0
 256,  4081,  160,        23,          0,     0.998
 192,     6,  192,        23,          0,       1.0
 192,     6,  192,         0,          0,       1.0
 256,     6,  192,        23,          0,     0.998
 256,     6,  192,         0,          0,     1.001
 512,     6,  192,        23,          0,     0.994
 512,     6,  192,         0,          0,     0.998
 256,  4081,  192,        23,          0,     1.008
 192,     7,  224,        23,          0,       1.0
 192,     7,  224,         0,          0,     1.001
 256,     7,  224,        23,          0,     1.001
 256,     7,  224,         0,          0,     1.001
 512,     7,  224,        23,          0,     0.999
 512,     7,  224,         0,          0,       1.0
 256,  4081,  224,        23,          0,     0.997
   2,     0,    1,        23,          0,     0.998
   2,     0,    1,         0,          0,     0.998
   2,     1,    1,        23,          0,     0.998
   2,     1,    1,         0,          0,     0.997
   0,     0,    1,        23,          0,     0.999
   0,     0,    1,         0,          0,     0.999
   0,     1,    1,        23,          0,     0.999
   0,     1,    1,         0,          0,     0.999
   2,  2048,    1,        23,          0,     0.997
   2,  2048,    1,         0,          0,     0.997
   2,  2049,    1,        23,          0,     0.997
   2,  2049,    1,         0,          0,     0.995
   0,  2048,    1,        23,          0,     0.994
   0,  2048,    1,         0,          0,     0.994
   0,  2049,    1,        23,          0,     0.995
   0,  2049,    1,         0,          0,     0.994
   0,  4081,    1,        23,          0,     0.996
   0,  4081,    1,         0,          0,     0.994
   2,  4081,    1,        23,          0,     0.997
   2,  4081,    1,         0,          0,     0.996
   3,     0,    2,        23,          0,     0.997
   3,     0,    2,         0,          0,     0.998
   3,     2,    2,        23,          0,     0.998
   3,     2,    2,         0,          0,     1.001
   1,     0,    2,        23,          0,     1.001
   1,     0,    2,         0,          0,     1.001
   1,     2,    2,        23,          0,       1.0
   1,     2,    2,         0,          0,     0.999
   3,  2048,    2,        23,          0,       1.0
   3,  2048,    2,         0,          0,       1.0
   3,  2050,    2,        23,          0,     0.998
   3,  2050,    2,         0,          0,       1.0
   1,  2048,    2,        23,          0,     1.002
   1,  2048,    2,         0,          0,     1.003
   1,  2050,    2,        23,          0,       1.0
   1,  2050,    2,         0,          0,     0.997
   1,  4081,    2,        23,          0,     1.003
   1,  4081,    2,         0,          0,     1.003
   3,  4081,    2,        23,          0,     0.995
   3,  4081,    2,         0,          0,     1.003
   4,     0,    3,        23,          0,       1.0
   4,     0,    3,         0,          0,     1.002
   4,     3,    3,        23,          0,     1.002
   4,     3,    3,         0,          0,     0.999
   2,     0,    3,        23,          0,     0.999
   2,     0,    3,         0,          0,     0.997
   2,     3,    3,        23,          0,     0.995
   2,     3,    3,         0,          0,     0.992
   4,  2048,    3,        23,          0,     0.996
   4,  2048,    3,         0,          0,       1.0
   4,  2051,    3,        23,          0,     1.001
   4,  2051,    3,         0,          0,     0.999
   2,  2048,    3,        23,          0,     1.001
   2,  2048,    3,         0,          0,     0.998
   2,  2051,    3,        23,          0,       1.0
   2,  2051,    3,         0,          0,     0.996
   2,  4081,    3,        23,          0,     0.993
   2,  4081,    3,         0,          0,     0.996
   4,  4081,    3,        23,          0,     0.997
   4,  4081,    3,         0,          0,     0.999
   5,     0,    4,        23,          0,     0.999
   5,     0,    4,         0,          0,     0.999
   5,     4,    4,        23,          0,       1.0
   5,     4,    4,         0,          0,       1.0
   3,     0,    4,        23,          0,     1.001
   3,     0,    4,         0,          0,     1.001
   3,     4,    4,        23,          0,     1.001
   3,     4,    4,         0,          0,     0.999
   5,  2048,    4,        23,          0,     0.998
   5,  2048,    4,         0,          0,     1.001
   5,  2052,    4,        23,          0,     1.001
   5,  2052,    4,         0,          0,       1.0
   3,  2048,    4,        23,          0,     0.999
   3,  2048,    4,         0,          0,       1.0
   3,  2052,    4,        23,          0,     0.999
