Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.8743388468654057

Results For: memrchr
 len, align,  pos, seek_char, invert_pos,  New / Old
2048,     0,   32,        23,          0,      0.993
 256,     1,   64,        23,          0,      0.903
2048,     0,   32,         0,          0,       0.89
 256,     1,   64,         0,          0,      0.904
 256,  4081,   64,         0,          0,      0.907
 256,     0,    1,        23,          0,       0.95
 256,     0,    1,         0,          0,       0.95
 256,     1,    1,        23,          0,      0.885
 256,     1,    1,         0,          0,      0.883
2048,     0,   64,        23,          0,        0.8
 256,     2,   64,        23,          0,      0.905
2048,     0,   64,         0,          0,      0.795
 256,     2,   64,         0,          0,      0.905
 256,     0,    2,        23,          0,      0.949
 256,     0,    2,         0,          0,      0.949
 256,     2,    2,        23,          0,      0.885
 256,     2,    2,         0,          0,      0.886
2048,     0,  128,        23,          0,      0.781
 256,     3,   64,        23,          0,      0.904
2048,     0,  128,         0,          0,      0.804
 256,     3,   64,         0,          0,      0.904
 256,     0,    3,        23,          0,      0.948
 256,     0,    3,         0,          0,      0.948
 256,     3,    3,        23,          0,      0.886
 256,     3,    3,         0,          0,      0.881
2048,     0,  256,        23,          0,      0.715
 256,     4,   64,        23,          0,      0.896
2048,     0,  256,         0,          0,      0.747
 256,     4,   64,         0,          0,      0.897
 256,     0,    4,        23,          0,      0.948
 256,     0,    4,         0,          0,       0.95
 256,     4,    4,        23,          0,      0.884
 256,     4,    4,         0,          0,      0.885
2048,     0,  512,        23,          0,       0.66
 256,     5,   64,        23,          0,      0.905
2048,     0,  512,         0,          0,      0.674
 256,     5,   64,         0,          0,      0.905
 256,     0,    5,        23,          0,      0.951
 256,     0,    5,         0,          0,       0.95
 256,     5,    5,        23,          0,      0.885
 256,     5,    5,         0,          0,      0.883
2048,     0, 1024,        23,          0,      0.952
 256,     6,   64,        23,          0,      0.905
2048,     0, 1024,         0,          0,      0.952
 256,     6,   64,         0,          0,      0.904
 256,     0,    6,        23,          0,       0.95
 256,     0,    6,         0,          0,       0.95
 256,     6,    6,        23,          0,      0.884
 256,     6,    6,         0,          0,      0.884
2048,     0, 2048,        23,          0,      0.843
 256,     7,   64,        23,          0,      0.904
2048,     0, 2048,         0,          0,      0.839
 256,     7,   64,         0,          0,      0.906
 256,     0,    7,        23,          0,      0.951
 256,     0,    7,         0,          0,      0.951
 256,     7,    7,        23,          0,      0.887
 256,     7,    7,         0,          0,      0.885
 192,     1,   32,        23,          0,      0.867
 192,     1,   32,         0,          0,      0.866
 256,     1,   32,        23,          0,      0.888
 256,     1,   32,         0,          0,      0.888
 512,     1,   32,        23,          0,      1.103
 512,     1,   32,         0,          0,      1.102
 256,  4081,   32,        23,          0,      0.924
 192,     2,   64,        23,          0,      1.081
 192,     2,   64,         0,          0,      1.081
 512,     2,   64,        23,          0,      1.131
 512,     2,   64,         0,          0,      1.129
 256,  4081,   64,        23,          0,      0.905
 192,     3,   96,        23,          0,      1.174
 192,     3,   96,         0,          0,      1.174
 256,     3,   96,        23,          0,       0.73
 256,     3,   96,         0,          0,       0.73
 512,     3,   96,        23,          0,      0.755
 512,     3,   96,         0,          0,      0.757
 256,  4081,   96,        23,          0,      0.835
 192,     4,  128,        23,          0,      0.898
 192,     4,  128,         0,          0,      0.895
 256,     4,  128,        23,          0,      1.081
 256,     4,  128,         0,          0,      1.082
 512,     4,  128,        23,          0,      1.088
 512,     4,  128,         0,          0,      1.087
 256,  4081,  128,        23,          0,      1.252
 192,     5,  160,        23,          0,      0.894
 192,     5,  160,         0,          0,      0.894
 256,     5,  160,        23,          0,      1.174
 256,     5,  160,         0,          0,      1.174
 512,     5,  160,        23,          0,      1.093
 512,     5,  160,         0,          0,      1.097
 256,  4081,  160,        23,          0,      1.255
 192,     6,  192,        23,          0,      0.869
 192,     6,  192,         0,          0,      0.869
 256,     6,  192,        23,          0,      0.903
 256,     6,  192,         0,          0,      0.899
 512,     6,  192,        23,          0,      0.999
 512,     6,  192,         0,          0,        1.0
 256,  4081,  192,        23,          0,       0.91
 192,     7,  224,        23,          0,      0.869
 192,     7,  224,         0,          0,      0.868
 256,     7,  224,        23,          0,      0.893
 256,     7,  224,         0,          0,      0.893
 512,     7,  224,        23,          0,      0.718
 512,     7,  224,         0,          0,      0.718
 256,  4081,  224,        23,          0,      0.903
   2,     0,    1,        23,          0,      1.026
   2,     0,    1,         0,          0,      1.029
   2,     1,    1,        23,          0,      0.874
   2,     1,    1,         0,          0,      0.875
   0,     0,    1,        23,          0,      0.583
   0,     0,    1,         0,          0,      0.583
   0,     1,    1,        23,          0,      0.539
   0,     1,    1,         0,          0,      0.538
   2,  2048,    1,        23,          0,      0.751
   2,  2048,    1,         0,          0,      0.749
   2,  2049,    1,        23,          0,      0.638
   2,  2049,    1,         0,          0,      0.638
   0,  2048,    1,        23,          0,        0.5
   0,  2048,    1,         0,          0,        0.5
   0,  2049,    1,        23,          0,      0.462
