
Results For: strrchr
len,align,pos,seek,max_char,freq
2048,0,32,0,127,1,1.495
2048,1,32,0,127,1,1.488
2048,0,64,0,127,1,1.728
2048,2,64,0,127,1,1.727
2048,0,128,0,127,1,1.208
2048,3,128,0,127,1,1.209
2048,0,256,0,127,1,1.443
2048,4,256,0,127,1,1.444
2048,0,512,0,127,1,1.616
2048,5,512,0,127,1,1.609
2048,0,1024,0,127,1,1.597
2048,6,1024,0,127,1,1.595
2048,0,2048,0,127,1,1.176
2048,7,2048,0,127,1,1.17
2048,0,4096,0,127,1,1.177
2048,8,4096,0,127,1,1.179
256,1,64,0,127,1,1.726
256,15,64,0,127,1,1.727
256,2,64,0,127,1,1.727
256,30,64,0,127,1,1.727
256,3,64,0,127,1,1.726
256,45,64,0,127,1,1.814
256,4,64,0,127,1,1.727
256,60,64,0,127,1,1.809
256,5,64,0,127,1,1.726
256,75,64,0,127,1,1.729
256,6,64,0,127,1,1.729
256,90,64,0,127,1,1.727
256,7,64,0,127,1,1.727
256,105,64,0,127,1,1.819
1,0,0,0,127,1,1.258
2,0,1,0,127,1,1.255
3,0,2,0,127,1,1.256
4,0,3,0,127,1,1.263
5,0,4,0,127,1,1.267
6,0,5,0,127,1,1.265
7,0,6,0,127,1,1.261
8,0,7,0,127,1,1.268
9,0,8,0,127,1,1.255
10,0,9,0,127,1,1.269
11,0,10,0,127,1,1.256
12,0,11,0,127,1,1.262
13,0,12,0,127,1,1.255
14,0,13,0,127,1,1.258
15,0,14,0,127,1,1.257
16,0,15,0,127,1,1.264
17,0,16,0,127,1,1.253
18,0,17,0,127,1,1.25
19,0,18,0,127,1,1.254
20,0,19,0,127,1,1.253
21,0,20,0,127,1,1.254
22,0,21,0,127,1,1.257
23,0,22,0,127,1,1.263
24,0,23,0,127,1,1.263
25,0,24,0,127,1,1.259
26,0,25,0,127,1,1.254
27,0,26,0,127,1,1.262
28,0,27,0,127,1,1.266
29,0,28,0,127,1,1.266
30,0,29,0,127,1,1.264
31,0,30,0,127,1,1.265
32,0,31,0,127,1,1.265
2048,0,32,23,127,1,1.362
2048,1,32,23,127,1,1.338
2048,0,64,23,127,1,1.318
2048,2,64,23,127,1,1.328
2048,0,128,23,127,1,1.199
2048,3,128,23,127,1,1.197
2048,0,256,23,127,1,1.268
2048,4,256,23,127,1,1.264
2048,0,512,23,127,1,1.134
2048,5,512,23,127,1,1.161
2048,0,1024,23,127,1,1.555
2048,6,1024,23,127,1,1.555
2048,0,2048,23,127,1,1.074
2048,7,2048,23,127,1,1.077
2048,0,4096,23,127,1,1.085
2048,8,4096,23,127,1,1.071
256,1,64,23,127,1,1.369
256,15,64,23,127,1,1.371
256,2,64,23,127,1,1.379
256,30,64,23,127,1,1.373
256,3,64,23,127,1,1.376
256,45,64,23,127,1,1.335
256,4,64,23,127,1,1.371
256,60,64,23,127,1,1.331
256,5,64,23,127,1,1.371
256,75,64,23,127,1,1.375
256,6,64,23,127,1,1.444
256,90,64,23,127,1,1.371
256,7,64,23,127,1,1.371
256,105,64,23,127,1,1.331
1,0,0,23,127,1,1.255
2,0,1,23,127,1,1.259
3,0,2,23,127,1,1.255
4,0,3,23,127,1,1.263
5,0,4,23,127,1,1.281
6,0,5,23,127,1,1.278
7,0,6,23,127,1,1.266
8,0,7,23,127,1,1.265
9,0,8,23,127,1,1.259
10,0,9,23,127,1,1.258
11,0,10,23,127,1,1.258
12,0,11,23,127,1,1.257
13,0,12,23,127,1,1.259
14,0,13,23,127,1,1.263
15,0,14,23,127,1,1.265
16,0,15,23,127,1,1.261
17,0,16,23,127,1,1.257
18,0,17,23,127,1,1.254
19,0,18,23,127,1,1.256
20,0,19,23,127,1,1.256
21,0,20,23,127,1,1.259
22,0,21,23,127,1,1.259
23,0,22,23,127,1,1.261
24,0,23,23,127,1,1.262
25,0,24,23,127,1,1.258
26,0,25,23,127,1,1.262
27,0,26,23,127,1,1.268
28,0,27,23,127,1,1.259
29,0,28,23,127,1,1.261
30,0,29,23,127,1,1.258
31,0,30,23,127,1,1.255
32,0,31,23,127,1,1.291
2048,0,32,23,127,2,1.359
2048,1,32,23,127,2,1.354
2048,0,64,23,127,2,1.117
2048,2,64,23,127,2,1.115
2048,0,128,23,127,2,1.173
2048,3,128,23,127,2,1.183
2048,0,256,23,127,2,1.324
2048,4,256,23,127,2,1.405
2048,0,512,23,127,2,1.167
2048,5,512,23,127,2,1.178
2048,0,1024,23,127,2,1.598
2048,6,1024,23,127,2,1.514
2048,0,2048,23,127,2,1.492
2048,7,2048,23,127,2,1.493
2048,0,4096,23,127,2,1.078
2048,8,4096,23,127,2,1.07
256,1,64,23,127,2,1.444
256,15,64,23,127,2,1.444
256,2,64,23,127,2,1.443
256,30,64,23,127,2,1.445
256,3,64,23,127,2,1.445
256,45,64,23,127,2,1.427
256,4,64,23,127,2,1.444
256,60,64,23,127,2,1.427
256,5,64,23,127,2,1.449
256,75,64,23,127,2,1.444
256,6,64,23,127,2,1.447
256,90,64,23,127,2,1.446
256,7,64,23,127,2,1.443
256,105,64,23,127,2,1.426
1,0,0,23,127,2,1.254
2,0,1,23,127,2,1.271
3,0,2,23,127,2,1.254
4,0,3,23,127,2,1.261
5,0,4,23,127,2,1.263
6,0,5,23,127,2,1.257
7,0,6,23,127,2,1.265
8,0,7,23,127,2,1.262
9,0,8,23,127,2,1.257
10,0,9,23,127,2,1.254
11,0,10,23,127,2,1.254
12,0,11,23,127,2,1.253
13,0,12,23,127,2,1.252
14,0,13,23,127,2,1.256
15,0,14,23,127,2,1.256
16,0,15,23,127,2,1.259
17,0,16,23,127,2,1.258
18,0,17,23,127,2,1.254
19,0,18,23,127,2,1.26
20,0,19,23,127,2,1.258
21,0,20,23,127,2,1.26
22,0,21,23,127,2,1.259
23,0,22,23,127,2,1.256
24,0,23,23,127,2,1.26
25,0,24,23,127,2,1.259
26,0,25,23,127,2,1.26
27,0,26,23,127,2,1.268
28,0,27,23,127,2,1.265
29,0,28,23,127,2,1.264
30,0,29,23,127,2,1.26
31,0,30,23,127,2,1.256
32,0,31,23,127,2,1.593
2048,0,32,23,127,4,1.347
2048,1,32,23,127,4,1.347
2048,0,64,23,127,4,1.112
2048,2,64,23,127,4,1.097
2048,0,128,23,127,4,1.276
2048,3,128,23,127,4,1.227
2048,0,256,23,127,4,1.171
2048,4,256,23,127,4,1.165
2048,0,512,23,127,4,1.103
2048,5,512,23,127,4,1.145
2048,0,1024,23,127,4,1.523
2048,6,1024,23,127,4,1.531
2048,0,2048,23,127,4,1.501
2048,7,2048,23,127,4,1.5
2048,0,4096,23,127,4,1.494
2048,8,4096,23,127,4,1.493
256,1,64,23,127,4,1.457
256,15,64,23,127,4,1.456
256,2,64,23,127,4,1.457
256,30,64,23,127,4,1.456
256,3,64,23,127,4,1.456
256,45,64,23,127,4,1.489
256,4,64,23,127,4,1.456
256,60,64,23,127,4,1.426
256,5,64,23,127,4,1.455
256,75,64,23,127,4,1.458
256,6,64,23,127,4,1.455
256,90,64,23,127,4,1.458
256,7,64,23,127,4,1.45
256,105,64,23,127,4,1.488
1,0,0,23,127,4,1.253
2,0,1,23,127,4,1.265
3,0,2,23,127,4,1.262
4,0,3,23,127,4,1.258
5,0,4,23,127,4,1.264
6,0,5,23,127,4,1.261
7,0,6,23,127,4,1.283
8,0,7,23,127,4,1.264
9,0,8,23,127,4,1.269
10,0,9,23,127,4,1.253
11,0,10,23,127,4,1.256
12,0,11,23,127,4,1.259
13,0,12,23,127,4,1.258
14,0,13,23,127,4,1.26
15,0,14,23,127,4,1.25
16,0,15,23,127,4,1.256
17,0,16,23,127,4,1.256
18,0,17,23,127,4,1.256
19,0,18,23,127,4,1.253
20,0,19,23,127,4,1.256
21,0,20,23,127,4,1.256
22,0,21,23,127,4,1.256
23,0,22,23,127,4,1.249
24,0,23,23,127,4,1.251
25,0,24,23,127,4,1.257
26,0,25,23,127,4,1.261
27,0,26,23,127,4,1.256
