len,align0,align1,dst>src,New / Old
0,0,0,0,0.867
0,2048,0,0,0.867
0,4095,0,0,0.868
0,0,4095,0,0.866
1,1,0,0,1.239
1,0,1,0,0.945
1,1,1,0,0.946
1,2049,0,0,1.142
1,2048,1,0,0.945
1,2049,1,0,0.982
1,4095,0,0,1.277
1,0,4095,0,0.946
2,2,0,0,1.044
2,0,2,0,1.041
2,2,2,0,1.041
2,2050,0,0,1.044
2,2048,2,0,1.042
2,2050,2,0,1.042
2,4095,0,0,1.057
2,0,4095,0,1.022
3,0,0,0,0.899
3,3,0,0,0.902
3,0,3,0,0.9
3,3,3,0,0.9
3,2048,0,0,0.9
3,2051,0,0,0.902
3,2048,3,0,0.9
3,2051,3,0,0.9
3,4095,0,0,0.261
3,0,4095,0,0.211
4,4,0,0,0.964
4,0,4,0,0.962
4,4,4,0,0.962
4,2052,0,0,0.97
4,2048,4,0,0.962
4,2052,4,0,0.962
4,4095,0,0,1.971
4,0,4095,0,1.989
5,0,0,0,0.898
5,5,0,0,0.9
5,0,5,0,0.898
5,5,5,0,0.898
5,2048,0,0,0.898
5,2053,0,0,0.9
5,2048,5,0,0.898
5,2053,5,0,0.898
5,4095,0,0,0.935
5,0,4095,0,1.021
6,0,0,0,0.898
6,6,0,0,0.9
6,0,6,0,0.898
6,6,6,0,0.898
6,2048,0,0,0.898
6,2054,0,0,0.9
6,2048,6,0,0.898
6,2054,6,0,0.898
6,4095,0,0,0.935
6,0,4095,0,1.02
7,0,0,0,0.898
7,7,0,0,0.9
7,0,7,0,0.898
7,7,7,0,0.898
7,2048,0,0,0.898
7,2055,0,0,0.9
7,2048,7,0,0.898
7,2055,7,0,0.898
7,4095,0,0,0.935
7,0,4095,0,1.021
8,8,0,0,1.001
8,0,8,0,0.962
8,8,8,0,0.962
8,2056,0,0,1.0
8,2048,8,0,0.962
8,2056,8,0,0.962
8,4095,0,0,1.971
8,0,4095,0,1.989

len, New / Old
32768,0.89
65536,0.909
131072,0.916
262144,0.921
524288,0.921
1048576,0.93
